,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Production Countries:,Languages:,International Releases:,Video Release:,Source:,Genre:,Production Method:,Creative Type:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Gilda,[],[],100.0% (domestic box office/worldwide),,,"March 14th, 1946 (Limited)",Not Rated,110 minutes,Create your own comparison chart…,Film Noir,United States,English,,,,,,,"$10,000,000",,,,
1,https://www.the-numbers.com/movie/Postman-Always-Rings-Twice-The-(1946),[],[],100.0% (domestic box office/worldwide),,,"May 2nd, 1946 (Limited)",Not Rated,113 minutes,Create your own comparison chart…,Film Noir,United States,English,,,,,,,"$12,000,000",,,,
2,https://www.the-numbers.com/movie/Night-and-Day,[],[],100.0% (domestic box office/worldwide),,,"July 2nd, 1946 (Limited)",Not Rated Approved,128 minutes,Create your own comparison chart…,,United States,English,,,,,,,"$7,500,000",,,,
3,https://www.the-numbers.com/movie/Notorious-(1946),[],"[['Alfred Hitchcock', 'Director'], ['Ben Hecht', 'Screenwriter']]",99.9% (domestic box office/worldwide),"$2,000,000 (worldwide box office is 12.2 times production budget)",,"August 15th, 1946 (Limited)",Not Rated,101 minutes,vs. Jackass: The MovieCreate your own comparison chart…,"Film Noir, Political, Nazis, Undercover, Suicide, Secret Agent, Romance, Directing Yourself, Director Cameo, Psychological Thriller, Nazis Outside of World War II, Relationships Gone Wrong",United States,English,"August 9th, 2019 (Wide), released as Notorious (4K Restoration) (United Kingdom)
January 13th, 2022 (Limited) (New Zealand)
","January 15th, 2019 by Criterion",Original Screenplay,Thriller/Suspense,Live Action,Historical Fiction,"$24,464,742","$28,311","$24,493,053","$1,129,606","$1,129,606"
4,https://www.the-numbers.com/movie/Jolson-Story-The,[],[],100.0% (domestic box office/worldwide),,,"October 10th, 1946 (Wide)",Not Rated Approved,128 minutes,vs. Song of the SouthCreate your own comparison chart…,,United States,English,,,,,,,"$19,000,000",,,,
5,https://www.the-numbers.com/movie/Blue-Skies,[],[],100.0% (domestic box office/worldwide),,,"October 16th, 1946 (Wide) by Paramount Pictures",Not Rated,104 minutes,vs. Song of the SouthCreate your own comparison chart…,,United States,English,,,Original Screenplay,Musical,Live Action,,"$14,300,000",,,,
6,https://www.the-numbers.com/movie/Margie,[],[],100.0% (domestic box office/worldwide),,,"October 16th, 1946 (Limited)",Not Rated Approved,94 minutes,Create your own comparison chart…,,United States,English,,,,,,,"$10,000,000",,,,
7,https://www.the-numbers.com/movie/Song-of-the-South,[],[],100.0% (domestic box office/worldwide),,12.49 (domestic box office/biggest weekend),"November 12th, 1946 (Wide) by Walt DisneyOctober 8th, 1980 (Wide) by Walt DisneyNovember 21st, 1986 (Wide) by Walt Disney",G (1971 re-issue),94 minutes,vs. The Princess and the FrogCreate your own comparison chart…,,United States,English,,,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Kids Fiction,"$65,000,000",,,,
8,https://www.the-numbers.com/movie/Best-Years-of-Our-Lives-The,[],"[['William Wyler', 'Director'], ['Robert E. Sherwood', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$2,100,000 (worldwide box office is 11.2 times production budget)",,"November 21st, 1946 (Wide) by RKO Radio Pictures",Not Rated,172 minutes,vs. Going My WayCreate your own comparison chart…,"World War II, War, War Drama, Returning Soldiers, PTSD, Amputee, Paralysis / Loss of a Limb, Relationships Gone Wrong, Fired, Wedding Day, Infidelity",United States,English,,"November 5th, 2013 by Warner Home Video",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"$23,600,000",,,,
9,https://www.the-numbers.com/movie/Yearling-The,[],"[['Clarence Brown', 'Director']]",100.0% (domestic box office/worldwide),,,"December 18th, 1946 (Wide)",Not Rated Approved,128 minutes,Create your own comparison chart…,Coming of Age,United States,English,,"September 3rd, 2002 by Warner Home Video",Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,"$5,200,000",,,,
