,url,cast,crew,Domestic Share:,Legs:,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Production Countries:,Languages:,International Releases:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Ill-Cry-Tomorrow,[],[],100.0% (domestic box office/worldwide),,,"January 1st, 1955 (Wide)","March 7th, 1994 by MGM Video",Not Rated Passed,117 minutes,Create your own comparison chart…,United States,English,,,,,,,,"$6,500,000",,
1,https://www.the-numbers.com/movie/Love-Me-or-Leave-Me,[],[],100.0% (domestic box office/worldwide),,,"January 1st, 1955 (Wide)",,Not Rated Passed,122 minutes,Create your own comparison chart…,United States,English,,,,,,,,"$8,000,000",,
2,https://www.the-numbers.com/movie/To-Catch-a-Thief,"['Jessie Royce Landis', 'John Williams', 'Cary Grant', 'Grace Kelly']","[['Alfred Hitchcock', 'Director'], ['John Michael Hayes', 'Screenwriter'], ['Alfred Hitchcock', 'Producer'], ['George Tomasini', 'Editor'], ['Lyn Murray', 'Composer'], ['Robert Burks', 'Director of Photography']]",100.0% (domestic box office/worldwide),,,"January 1st, 1955 (Wide)","November 5th, 2002 by Paramount Home Video","PG for some action violence, mild suggestive material and smoking.
Rating is for 2013 Re-Issue for film from Paramount Pictures Corporation(Rating bulletin 2255 (Cert #48151), 1/16/2013)",106 minutes,vs. Rear WindowCreate your own comparison chart…,United States,"English, French","February 3rd, 1956 (Limited) (Australia)
November 12th, 2020 (Wide) (New Zealand)
December 10th, 2020 (Limited) (Australia)
","Heist, Intertitle, World War II, Circus, Surprise Twist, Framed, Romance, Directing Yourself, Crime Thriller, Director Cameo",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,"$8,750,000","$2,085","$8,752,085"
3,https://www.the-numbers.com/movie/Galapagos-(1955),[],[],100.0% (domestic box office/worldwide),,,"1955 (Wide), released as Galapagos (1955)",,Not Rated,78 minutes,vs. Lady and the TrampCreate your own comparison chart…,Norway,Norwegian,,,,Documentary,,Factual,,"$11,500,000",,
4,https://www.the-numbers.com/movie/Seven-Year-Itch-The,"['Marilyn Monroe', 'Tom Ewell']","[['Billy Wilder', 'Director'], ['George Axelrod', 'Screenwriter'], ['Billy Wilder', 'Screenwriter'], ['George Axelrod', 'Story Creator']]",100.0% (domestic box office/worldwide),,,"June 3rd, 1955 (Wide) by 20th Century Fox",,Not Rated,104 minutes,vs. Some Like it HotCreate your own comparison chart…,United States,English,,"Unnamed Character, Infidelity, Performing Arts, Voiceover/Narration, Fantasy Sequence, Prologue, Whitewashed Casting, Mid-Life Crisis, Hallucinations, Novel or Other Work Adapted by Author, Romantic Comedy",Based on Play,Romantic Comedy,Live Action,Contemporary Fiction,,"$6,000,000",,
5,https://www.the-numbers.com/movie/Sea-Chase-The,[],"[['John Farrow', 'Director']]",100.0% (domestic box office/worldwide),,,"June 4th, 1955 (Wide)","May 22nd, 2007 by Warner Home Video",Not Rated Approved,117 minutes,vs. Lady and the TrampCreate your own comparison chart…,United States,English,,,,,,,,"$12,000,000",,
6,https://www.the-numbers.com/movie/Lady-and-the-Tramp,[],[],100.0% (domestic box office/worldwide),18.61 (domestic box office/biggest weekend),,"June 22nd, 1955 (Wide) by Walt DisneyMarch 7th, 1980 (Wide) by Walt DisneyDecember 19th, 1986 (Wide) by Walt DisneyFebruary 16th, 2013 (Special Engagement) by Walt Disney","September 15th, 1998 by Walt Disney Home Entertainment",G,76 minutes,vs. BambiCreate your own comparison chart…,United States,English,"February 23rd, 1956 (Limited) (Australia)
March 2nd, 2023 (Limited) (Australia)
","Animal Lead, Talking Animals, Romance, Cross-Class Romance, Intertitle, Non-Chronological, 1910s",Based on Fiction Book/Short Story,Adventure,Hand Animation,Kids Fiction,Lady and the Tramp,"$93,600,000","$38,184","$93,638,184"
7,https://www.the-numbers.com/movie/Mister-Roberts,[],"[['John Ford', 'Director'], ['Mervyn LeRoy', 'Director']]",100.0% (domestic box office/worldwide),,,"July 30th, 1955 (Wide)","February 3rd, 1998 by Warner Home Video",Not Rated,120 minutes,vs. Lady and the TrampCreate your own comparison chart…,United States,English,,,,,,,,"$21,200,000",,
8,https://www.the-numbers.com/movie/Love-Is-a-Many-Splendored-Thing,[],[],99.7% (domestic box office/worldwide),,,"August 18th, 1955 (Wide)",,Not Rated,102 minutes,vs. Lady and the TrampCreate your own comparison chart…,United States,English,"December 9th, 1972 (Limited) (South Korea)
",,,,,,,"$10,000,000","$30,217","$10,030,217"
9,https://www.the-numbers.com/movie/Tall-Men-The,[],[],100.0% (domestic box office/worldwide),,,"September 22nd, 1955 (Limited)",,Not Rated Approved,122 minutes,vs. Lady and the TrampCreate your own comparison chart…,United States,"English, Spanish","June 10th, 2016 (Wide) (South Korea)
",,,,,,,"$12,000,000","$3,399","$12,003,399"
10,https://www.the-numbers.com/movie/Trouble-With-Harry-The,[],"[['Alfred Hitchcock', 'Director'], ['John Michael Hayes', 'Screenwriter']]",100.0% (domestic box office/worldwide),,"$1,200,000 (worldwide box office is 5.8 times production budget)","October 3rd, 1955 (Wide) by Paramount Pictures, released as The Trouble With Harry",,PG,99 minutes,vs. The Ten CommandmentsCreate your own comparison chart…,United States,English,,"Black Comedy, Ensemble, Romance, Artists",Based on Fiction Book/Short Story,Black Comedy,Live Action,Contemporary Fiction,,"$7,000,000",,
