,territory,release_date,opening_wknd,opening_wknd_screens,max_screens,theatrical_engagements,total_bo,report_date,url,country_url,int_total,total_report_date
0,South Korea,3/18/1977,$0,0,1,1,"$16,347",8/12/2020,https://www.the-numbers.com/movie/Conqueror-The,https://www.the-numbers.com/movie/Conqueror-The/South-Korea#tab=box-office,"$16,347",8/12/2020
0,South Korea,3/18/1977,$0,0,1,1,"$16,347",8/12/2020,https://www.the-numbers.com/movie/Conqueror-The,https://www.the-numbers.com/movie/Conqueror-The/South-Korea#tab=box-office,"$16,347",8/12/2020
0,Portugal,10/3/1956,$0,0,1,1,$303,10/20/2022,https://www.the-numbers.com/movie/Moby-Dick,https://www.the-numbers.com/movie/Moby-Dick/Portugal#tab=box-office,"$11,840",2/15/2023
1,South Korea,3/15/2008,$0,0,1,3,"$11,537",2/15/2023,https://www.the-numbers.com/movie/Moby-Dick,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,"$11,840",2/15/2023
0,Portugal,10/3/1956,$0,0,1,1,$303,10/20/2022,https://www.the-numbers.com/movie/Moby-Dick,https://www.the-numbers.com/movie/Moby-Dick/Portugal#tab=box-office,"$11,840",2/15/2023
1,South Korea,3/15/2008,$0,0,1,3,"$11,537",2/15/2023,https://www.the-numbers.com/movie/Moby-Dick,https://www.the-numbers.com/movie/Moby-Dick/South-Korea#tab=box-office,"$11,840",2/15/2023
0,New Zealand,10/12/2020,$0,0,1,3,$413,7/6/2021,https://www.the-numbers.com/movie/King-and-I-The-(1956),https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,$413,7/6/2021
0,New Zealand,10/12/2020,$0,0,1,3,$413,7/6/2021,https://www.the-numbers.com/movie/King-and-I-The-(1956),https://www.the-numbers.com/movie/King-and-I-The-(1956)/New-Zealand#tab=box-office,$413,7/6/2021
0,South Korea,9/27/1977,$0,0,1,3,"$26,685",6/10/2021,https://www.the-numbers.com/movie/War-and-Peace,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,"$26,685",6/10/2021
0,South Korea,9/27/1977,$0,0,1,3,"$26,685",6/10/2021,https://www.the-numbers.com/movie/War-and-Peace,https://www.the-numbers.com/movie/War-and-Peace/South-Korea#tab=box-office,"$26,685",6/10/2021
0,Australia,12/12/1958,$0,0,4,5,$0,,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956),https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/Australia#tab=box-office,"$33,338",1/12/2022
1,South Korea,6/16/1973,$0,0,81,85,"$33,338",1/12/2022,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956),https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,"$33,338",1/12/2022
0,Australia,12/12/1958,$0,0,4,5,$0,,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956),https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/Australia#tab=box-office,"$33,338",1/12/2022
1,South Korea,6/16/1973,$0,0,81,85,"$33,338",1/12/2022,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956),https://www.the-numbers.com/movie/Ten-Commandments-The-(1956)/South-Korea#tab=box-office,"$33,338",1/12/2022
0,Australia,9/18/2020,$349,1,1,1,$349,9/21/2020,https://www.the-numbers.com/movie/Giant-(1956),https://www.the-numbers.com/movie/Giant-(1956)/Australia#tab=box-office,"$15,790",5/11/2022
1,South Korea,2/28/1974,$0,0,1,2,"$15,441",5/11/2022,https://www.the-numbers.com/movie/Giant-(1956),https://www.the-numbers.com/movie/Giant-(1956)/South-Korea#tab=box-office,"$15,790",5/11/2022
0,Australia,9/18/2020,$349,1,1,1,$349,9/21/2020,https://www.the-numbers.com/movie/Giant-(1956),https://www.the-numbers.com/movie/Giant-(1956)/Australia#tab=box-office,"$15,790",5/11/2022
1,South Korea,2/28/1974,$0,0,1,2,"$15,441",5/11/2022,https://www.the-numbers.com/movie/Giant-(1956),https://www.the-numbers.com/movie/Giant-(1956)/South-Korea#tab=box-office,"$15,790",5/11/2022
