,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Production Countries:,Languages:,International Releases:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/High-Society-(1956),[],[],100.0% (domestic box office/worldwide),,,"January 1st, 1956 (Wide)","January 6th, 1998 by Turner Home Entertainment",Not Rated,111 minutes,Create your own comparison chart…,United States,English,,,,,,,,,"$6,500,000",,
1,https://www.the-numbers.com/movie/Conqueror-The,[],[],99.8% (domestic box office/worldwide),,,"February 21st, 1956 (Wide)",,Not Rated Approved,111 minutes,vs. Lady and the TrampCreate your own comparison chart…,United States,English,"March 18th, 1977 (Limited) (South Korea)
",Whitewashed Casting,Original Screenplay,Adventure,Live Action,Historical Fiction,,,"$9,000,000","$16,347","$9,016,347"
2,https://www.the-numbers.com/movie/Man-in-the-Gray-Flannel-Suit-The,[],"[['Nunnally Johnson', 'Director'], ['Nunnally Johnson', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"April 12th, 1956 (Wide)",,Not Rated Approved,153 minutes,Create your own comparison chart…,United States,English,,"Family Drama, Ex-soldier, PTSD, Relationships Gone Wrong, World War II, Nightmare, Infidelity, Money Troubles, Inheritance, Workaholic, Dysfunctional Family, Eloping",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,,"$10,875,000",,
3,https://www.the-numbers.com/movie/Trapeze,"['Burt Lancaster', 'Tony Curtis', 'Gina Lollobrigida']","[['Sir Carol Reed', 'Director'], ['James R. Webb', 'Screenwriter'], [""Liam O'Brien"", 'Adaptation']]",100.0% (domestic box office/worldwide),"$4,000,000 (worldwide box office is 3.6 times production budget)",,"May 30th, 1956 (Wide)","November 17th, 2009",Not Rated Approved,105 minutes,vs. The Ten CommandmentsCreate your own comparison chart…,United States,"English, Italian",,"Romantic Drama, Romance, Relationships Gone Wrong, Love Triangle, Circus, Acrobatics",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,,"$14,400,000",,
4,https://www.the-numbers.com/movie/Man-Who-Knew-Too-Much-The,"['James Stewart', 'Doris Day']","[['Alfred Hitchcock', 'Director']]",100.0% (domestic box office/worldwide),,,"June 1st, 1956 (Wide) by Universal","February 7th, 2006 by Universal Home Entertainment","PG Rating is for 1983 Re-Issue of film from Universal City Studios, Inc.",120 minutes,vs. To Catch a ThiefCreate your own comparison chart…,United States,English,,,Original Screenplay,Adventure,Live Action,,,,"$11,333,333",,
5,https://www.the-numbers.com/movie/Moby-Dick,[],"[['John Huston', 'Director']]",99.9% (domestic box office/worldwide),"$4,500,000 (worldwide box office is 2.3 times production budget)",,"June 27th, 1956 (Wide)",,Not Rated,116 minutes,vs. The Man Who Knew Too MuchCreate your own comparison chart…,United States,English,"October 3rd, 1956 (Limited) (Portugal)
March 15th, 2008 (Wide) (South Korea)
April 14th, 2022 (Wide) (Portugal)
",Animals Gone Bad,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,,,"$10,400,000","$11,840","$10,411,840"
6,https://www.the-numbers.com/movie/King-and-I-The-(1956),[],[],100.0% (domestic box office/worldwide),,,"June 29th, 1956 (Wide)","April 27th, 2009 by Fox Home Entertainment",G Rating is for 1979 Re-Issue of film from Twentieth Century Fox Film Corp.,133 minutes,vs. Gone with the WindCreate your own comparison chart…,United States,English,"October 12th, 2020 (Wide) (New Zealand)
",Royalty,,,,,,,"$21,300,000",$413,"$21,300,413"
7,https://www.the-numbers.com/movie/War-and-Peace,[],"[['King Vidor', 'Director']]",99.8% (domestic box office/worldwide),"$6,000,000 (worldwide box office is 2.1 times production budget)",,"August 21st, 1956 (Wide)","January 20th, 2015 by Warner Home Video",PG for violence. ,208 minutes,vs. The Ten CommandmentsCreate your own comparison chart…,"Italy, United States","English, Italian, Russian","September 27th, 1977 (Wide) (South Korea)
",,,,,,,,"$12,500,000","$26,685","$12,526,685"
8,https://www.the-numbers.com/movie/Ten-Commandments-The-(1956),"['Anne Baxter', 'Edward G. Robinson', 'Yvonne De Carlo', 'Debra Paget', 'John Derek', 'Cedric Hardwicke', 'Nina Foch', 'Martha Scott', 'Judith Anderson', 'Vincent Price', 'Charlton Heston', 'Yul Brynner']","[['Cecil B. DeMille', 'Director'], ['Aeneas MacKenzie', 'Screenwriter'], ['Jesse L. Lasky', 'Screenwriter'], ['Jack Gariss', 'Screenwriter'], ['Fredric M. Frank', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$13,500,000 (worldwide box office is 6.3 times production budget)",,"October 5th, 1956 (Wide)","December 7th, 1992 by Paramount Home Video, released as Ten Commandments, TheDecember 7th, 1992 by Paramount Home VideoMarch 21st, 2006 by Paramount Home Video, released as Ten Commandments, The (50th Anniversary Collection)",G (1972 re-issue),220 minutes,vs. Ben-HurCreate your own comparison chart…,United States,English,"December 12th, 1958 (Limited) (Australia)
June 16th, 1973 (Wide) (South Korea)
","Visual Effects, Religious, Voiceover/Narration, Prologue, Faith-Based Drama",Based on Religious Text,Drama,Live Action,Dramatization,"Paramount Pictures, Motion Pictures Associates, Inc",,"$85,400,591","$33,338","$85,433,929"
9,https://www.the-numbers.com/movie/Around-the-World-in-80-Days,[],"[['Jules Verne', 'Story Creator']]",100.0% (domestic box office/worldwide),"$6,000,000 (worldwide box office is 7.0 times production budget)",,"October 17th, 1956 (Wide) by United Artists",,"PG for action violence, some crude humor and mild language. ",182 minutes,vs. The King and ICreate your own comparison chart…,United States,English,,Gratuitous Cameos,Based on Fiction Book/Short Story,Adventure,Live Action,,,Around the World in 80 Days,"$42,000,000",,
