,url,cast,crew,Domestic Share:,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Genre:,Production Method:,Production Countries:,Languages:,International Releases:,Source:,Creative Type:,Keywords:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Gigi,[],"[['Vincente Minnelli', 'Director']]",100.0% (domestic box office/worldwide),,"January 1st, 1958 (Wide) by Sony Pictures","May 4th, 1999 by MGM Video",G Rating is for 1975 Re-Issue of film from MGM Film Company,115 minutes,vs. Ben-HurCreate your own comparison chart…,Musical,Live Action,United States,English,,,,,"$7,300,000",,,,
1,https://www.the-numbers.com/movie/South-Pacific,[],"[['Joshua Logan', 'Director']]",100.0% (domestic box office/worldwide),,"March 19th, 1958 (Wide)","November 7th, 2006 by Fox Home Entertainment",Not Rated,171 minutes,vs. Cat on a Hot Tin RoofCreate your own comparison chart…,,,United States,"English, French","February 5th, 1959 (Limited) (Australia)
August 7th, 1971 (Limited) (South Korea)
",,,,"$36,800,000","$17,924","$36,817,924",,
2,https://www.the-numbers.com/movie/Marjorie-Morningstar,[],[],100.0% (domestic box office/worldwide),,"April 24th, 1958 (Wide)","May 9th, 2017 by Kino Lorber",Not Rated Approved,128 minutes,Create your own comparison chart…,,,United States,English,,,,,"$6,000,000",,,"$77,441","$77,441"
3,https://www.the-numbers.com/movie/Indiscreet,[],"[['Stanley Donen', 'Director']]",100.0% (domestic box office/worldwide),,"July 26th, 1958 (Wide)",,Not Rated Approved,100 minutes,vs. The Inn of the Sixth HappinessCreate your own comparison chart…,,,United Kingdom,English,,,,,"$8,000,000",,,,
4,https://www.the-numbers.com/movie/Big-Country-The,[],"[['William Wyler', 'Director']]",100.0% (domestic box office/worldwide),,"August 13th, 1958 (Limited) by United Artists","March 20th, 2001 by MGM Video",Not Rated,166 minutes,vs. South PacificCreate your own comparison chart…,Western,Live Action,United States,"English, Spanish",,Based on Fiction Book/Short Story,Historical Fiction,,"$10,000,000",,,,
5,https://www.the-numbers.com/movie/Cat-on-a-Hot-Tin-Roof,[],"[['Richard Brooks', 'Director'], ['Richard Brooks', 'Screenwriter'], ['James Poe', 'Screenwriter'], ['Tennessee Williams', 'Story Creator']]",100.0% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 5.9 times production budget)","September 20th, 1958 (Wide) by MGM",,Not Rated,107 minutes,vs. South PacificCreate your own comparison chart…,Drama,Live Action,United States,English,,Based on Play,Contemporary Fiction,"Family Drama, Relationships Gone Wrong, Athletes Past Their Prime, Addiction, Inheritance","$17,570,324",,,,
6,https://www.the-numbers.com/movie/I-Want-To-Live,[],"[['Robert Wise', 'Director']]",100.0% (domestic box office/worldwide),,"November 18th, 1958 (Wide)",,Not Rated Approved,120 minutes,Create your own comparison chart…,,,United States,English,,,,,"$7,000,000",,,,
7,https://www.the-numbers.com/movie/Inn-of-the-Sixth-Happiness-The-(1958),[],[],100.0% (domestic box office/worldwide),,"December 11th, 1958 (Limited)",,Not Rated Approved,158 minutes,vs. IndiscreetCreate your own comparison chart…,,,United Kingdom,"English, Japanese, Mandarin, Russian",,,,,"$9,000,000",,,,
8,https://www.the-numbers.com/movie/Separate-Tables,[],[],100.0% (domestic box office/worldwide),,"December 18th, 1958 (Limited)",,Not Rated,100 minutes,Create your own comparison chart…,,,United States,English,,,,,"$7,400,000",,,,
9,https://www.the-numbers.com/movie/Auntie-Mame,[],"[['Morton DaCosta', 'Director'], ['Betty Comden', 'Screenwriter'], ['Adolph Green', 'Screenwriter']]",100.0% (domestic box office/worldwide),,"December 27th, 1958 (Wide) by Warner Bros.",,Not Rated,143 minutes,vs. South PacificCreate your own comparison chart…,Comedy,Live Action,United States,English,,Based on Fiction Book/Short Story,Historical Fiction,"Comedy Drama, Dysfunctional Family, Inspired by a True Story, Young Child Dealing with the Death of a Parent, Orphan, Riches to Rags, Rags to Riches, Writing and Writers, Romance, Relationships Gone Wrong, Gold Digger, 1920s, 1930s, 1940s","$23,300,000",,,,
