,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/North-by-Northwest,[],"[['Alfred Hitchcock', 'Director'], ['Ernest Lehman', 'Screenwriter']]",99.3% (domestic box office/worldwide),,,"January 1st, 1959 (Wide)","March 9th, 1960 (Wide) (Portugal)
July 31st, 1998 (Wide), released as North By Northwest (r/i) (Australia)
October 20th, 2017 (Wide), released as North by Northwest (Re: 2017) (United Kingdom)
September 25th, 2020 (Wide), released as Con la muerte en los talones (re) (Spain)
November 12th, 2020 (Wide) (New Zealand)
... Show all releases
","August 29th, 2000 by Turner Home Entertainment",Not Rated,136 minutes,vs. VertigoCreate your own comparison chart…,"Action Thriller, Mistaken Identity, Kidnap, Romance, Set in New York City, Set in Chicago, Set in South Dakota",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"$13,275,000","$97,845","$13,372,845",,
1,https://www.the-numbers.com/movie/Pillow-Talk,"['Doris Day', 'Rock Hudson']","[['Michael Gordon', 'Director'], ['Stanley Shapiro', 'Screenwriter'], ['Maurice Richlin', 'Screenwriter'], ['Russell Rouse', 'Screenwriter'], ['Clarence Greene', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"January 1st, 1959 (Wide)","April 8th, 1960 (Limited) (Australia)
","March 1st, 1992 by Universal Home Entertainment",Not Rated,102 minutes,vs. Ben-HurCreate your own comparison chart…,Romance,,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"$18,750,000",,,,
2,https://www.the-numbers.com/movie/Solomon-and-Sheba,[],"[['King Vidor', 'Director']]",99.9% (domestic box office/worldwide),"$5,000,000 (worldwide box office is 2.2 times production budget)",,"January 1st, 1959 (Wide)","November 24th, 1972 (Wide) (South Korea)
",,Not Rated,141 minutes,vs. Quo Vadis?Create your own comparison chart…,,Based on Religious Text,,,,United States,English,"$11,000,000","$16,094","$11,016,094",,
3,https://www.the-numbers.com/movie/Sleeping-Beauty-(1959),[],"[['Clyde Geronimi', 'Director'], ['Erdman Penner', 'Screenwriter']]",100.0% (domestic box office/worldwide),,3.71 (domestic box office/biggest weekend),"January 29th, 1959 (Wide) by Walt DisneyMarch 21st, 1986 (Limited) by Walt Disney",,"September 9th, 2003 by Walt Disney Home EntertainmentNovember 2nd, 2010 by MGM Video, released as Sleeping Beauty / Hansel Gretel / Rumpelstiltskin",G Rating is for 1970 Re-Issue of film from Buena Vista Dist. Co. & Walt Disney Productions,75 minutes,vs. CinderellaCreate your own comparison chart…,"Prince/Princess, Arranged Marriage, Romance, False Identity, Curses, Fairies, Voiceover/Narration, Love at First Sight, Family Adventure",Original Screenplay,Adventure,Hand Animation,Fantasy,United States,English,"$9,464,608",,,,
4,https://www.the-numbers.com/movie/Rio-Bravo,[],"[['Howard Hawks', 'Director']]",100.0% (domestic box office/worldwide),,,"March 18th, 1959 (Wide)","June 10th, 2021 (Limited) (New Zealand)
May 13th, 2022 (Limited) (New Zealand)
",,Not Rated,141 minutes,vs. Kill Bill: Volume 1Create your own comparison chart…,,,Western,,,United States,English,"$5,800,000",$64,"$5,800,064",,
5,https://www.the-numbers.com/movie/Shaggy-Dog-The,[],[],100.0% (domestic box office/worldwide),,,"March 19th, 1959 (Wide)",,,Not Rated Approved,104 minutes,vs. Ben-HurCreate your own comparison chart…,"Talking Animals, Animal Lead",,,,,United States,"English, French, Spanish","$29,000,000",,,,
6,https://www.the-numbers.com/movie/Some-Like-it-Hot,[],"[['Billy Wilder', 'Director'], ['Billy Wilder', 'Screenwriter'], ['I.A.L. Diamond', 'Screenwriter']]",99.8% (domestic box office/worldwide),"$2,883,848 (worldwide box office is 8.7 times production budget)",,"March 29th, 1959 (Wide)","April 21st, 2000 (Wide), released as Some Like It Hot (1959) (re) (Australia)
March 1st, 2007 (Wide) (New Zealand)
November 2nd, 2018 (Limited), released as Some Like It Hot (Re: 2018) (United Kingdom)
July 24th, 2023 (Limited) (Australia)
","September 1st, 2009 by MGM Video",Not Rated,121 minutes,vs. Ben-HurCreate your own comparison chart…,"Cross-Dressing, Jazz, Mafia, Musicians, Road Trip, Romance, Eloping, Romantic Comedy, Fugitive / On the Run",Remake,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"$25,000,000","$38,874","$25,038,874",,
7,https://www.the-numbers.com/movie/Imitation-of-Life,[],"[['Douglas Sirk', 'Director'], ['Eleanore Griffin', 'Screenwriter'], ['Allan Scott', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"April 30th, 1959 (Wide)","June 12th, 1959 (Limited) (Australia)
June 11th, 2023 (Limited) (Australia)
","January 12th, 2012 by Universal Home Entertainment",Not Rated,125 minutes,vs. Ben-HurCreate your own comparison chart…,"Whitewashed Casting, Life Drama, Interracial Child, Widow/Widower, Bigotry, 1940s, 1950s, Aspiring Actress / Actor, Dysfunctional Family, Relationships Gone Wrong, African Americans, Young Child Dealing with the Death of a Parent",Original Screenplay,Drama,Live Action,Historical Fiction,United States,English,"$14,000,000",$365,"$14,000,365",,
8,https://www.the-numbers.com/movie/Hole-in-the-Head-A,[],"[['Frank Capra', 'Director']]",100.0% (domestic box office/worldwide),,,"July 15th, 1959 (Wide)",,,Not Rated Approved,120 minutes,Create your own comparison chart…,,,,,,United States,English,"$11,000,000",,,,
9,https://www.the-numbers.com/movie/Nuns-Story-The,[],"[['Fred Zinnemann', 'Director']]",100.0% (domestic box office/worldwide),"$3,500,000 (worldwide box office is 3.7 times production budget)",,"July 18th, 1959 (Wide)",,"October 26th, 1998 by Warner Home Video",Not Rated,149 minutes,vs. The NunCreate your own comparison chart…,Religious,Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,"$12,800,000",,,,
10,https://www.the-numbers.com/movie/Ben-Hur-(1959),[],"[['William Wyler', 'Director'], ['Karl Tunberg', 'Screenwriter']]",99.6% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 4.9 times production budget)",,"November 18th, 1959 (Wide) by MGMFebruary 2nd, 2012 (Special Engagement) by Warner Bros.April 14th, 2019 (Special Engagement) by Fathom Events","September 7th, 1972 (Wide) (South Korea)
","March 13th, 2001 by Warner Home Video",G (rating applied for 1969 re-release),212 minutes,vs. SpartacusCreate your own comparison chart…,"Heroic Adventure, Religious, Jewish, Slavery, Adopted Family, Dysfunctional Family, Political, Friends turned Enemies",Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,United States,English,"$73,000,000","$259,017","$73,259,017",,
11,https://www.the-numbers.com/movie/Operation-Petticoat,[],"[['Blake Edwards', 'Director']]",100.0% (domestic box office/worldwide),,,"December 5th, 1959 (Wide)",,"July 1st, 2014 by Olive",Not Rated Approved,124 minutes,vs. Ben-HurCreate your own comparison chart…,,,Romantic Comedy,Live Action,,United States,English,"$23,300,000",,,"$741,084","$741,084"
12,https://www.the-numbers.com/movie/Journey-to-the-Center-of-the-Earth,[],"[['Jules Verne', 'Story Creator']]",100.0% (domestic box office/worldwide),,,"December 16th, 1959 (Wide)",,,G Rating is for 1969 Re-Issue of film from Twentieth Century Fox Film,132 minutes,vs. The Wizard of OzCreate your own comparison chart…,,,,,,United States,English,"$10,000,000",,,,
13,https://www.the-numbers.com/movie/On-the-Beach,[],[],100.0% (domestic box office/worldwide),,,"December 17th, 1959 (Wide)",,,Not Rated Approved,134 minutes,Create your own comparison chart…,,,,,,United States,English,"$11,000,000",,,,
