,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Psycho-(1960),"['Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Anthony Perkins', 'Janet Leigh']","[['Alfred Hitchcock', 'Director'], ['Joseph Stefano', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"March 8th, 1960 (Wide)2020 (Canceled) by Fathom Events, released as Psycho (1960) (Re-Release)","September 21st, 1960 (Limited) (Australia)
June 25th, 2020 (Wide) (New Zealand)
May 27th, 2022 (Wide), released as Psycho (1960) (Original Theatrical Cut – 4K Restoration)
 (United Kingdom)
","March 1st, 1992 by Universal Home Entertainment",R Rating is for 1984 Re-Rating of film from Universal Pictures,109 minutes,Psycho,vs. VertigoCreate your own comparison chart…,"Surprise Twist, Mental Illness, Hallucinations, Serial Killer, White Collar Crime, Fugitive / On the Run, Cross-Dressing, Psychological Horror",Original Screenplay,Horror,Live Action,Contemporary Fiction,Paramount Pictures,United States,English,"$32,000,000","$2,177","$32,002,177",,
1,https://www.the-numbers.com/movie/Please-Don-t-Eat-the-Daisies,[],[],100.0% (domestic box office/worldwide),,,"March 31st, 1960 (Wide) by MGM",,,Not Rated Approved,112 minutes,,Create your own comparison chart…,,Based on Fiction Book/Short Story,Musical,Live Action,Contemporary Fiction,,United States,English,"$11,100,000",,,,
2,https://www.the-numbers.com/movie/Tall-Story,[],[],100.0% (domestic box office/worldwide),,,"April 6th, 1960 (Wide)",,,Not Rated,91 minutes,,vs. Swiss Family RobinsonCreate your own comparison chart…,,,,,,,United States,English,"$12,000,000",,,,
3,https://www.the-numbers.com/movie/Apartment-The,"['Ray Walston', 'Edie Adams', 'Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']","[['Billy Wilder', 'Director']]",75.6% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 8.2 times production budget)",,"June 15th, 1960 (Limited) by United Artists","March 22nd, 1997 (Wide) (South Korea)
December 7th, 2018 (Wide) (Italy)
August 28th, 2020 (Wide), released as Apartment, The (1960) (re:2020) (Australia)
December 16th, 2021 (Limited) (New Zealand)
","February 5th, 2008 by Fox Home Entertainment",Not Rated,125 minutes,,vs. The FlatCreate your own comparison chart…,"Romance, Voiceover/Narration, Corporate Life, Infidelity, Suicide, Love Triangle, Relationships Gone Wrong, Christmas",Original Screenplay,Romantic Comedy,Live Action,,,United States,English,"$18,600,000","$5,999,998","$24,599,998",,
4,https://www.the-numbers.com/movie/Elmer-Gantry,[],"[['Richard Brooks', 'Director'], ['Richard Brooks', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 3.5 times production budget)",,"July 7th, 1960 (Wide)","April 14th, 2022 (Limited) (New Zealand)
","September 23rd, 2014 by Kino Lorber",Not Rated Approved,146 minutes,,Create your own comparison chart…,"Life Drama, Religious, Preacher, Confidence Men, Blackmail, Prostitution, Romance, Love Triangle, Relationships Gone Wrong",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,United States,English,"$10,400,000",$64,"$10,400,064","$213,584","$213,584"
5,https://www.the-numbers.com/movie/Spartacus,"['Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton', 'Peter Ustinov', 'John Gavin', 'Tony Curtis']","[['Stanley Kubrick', 'Director'], ['Dalton Trumbo', 'Screenwriter'], ['Edward Lewis', 'Producer'], ['Robert Lawrence', 'Editor'], ['Alex North', 'Composer'], ['Russell Metty', 'Director of Photography'], ['Clifford Stine', 'Director of Photography']]",50.0% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 5.0 times production budget)",107.18 (domestic box office/biggest weekend),"October 7th, 1960 (Wide) by UniversalApril 26th, 1991 (Limited) by Universal","December 8th, 1960 (Limited) (Australia)
January 23rd, 1974 (Wide) (South Korea)
December 10th, 2020 (Limited) (Australia)
","March 31st, 1998 by Universal Home Entertainment","PG-13 Rating is for 1991 film released from Universal City Studios, Inc.",197 minutes,,vs. Ben-HurCreate your own comparison chart…,"Inspired by a True Story, Historical Drama, Slavery, Revolution, Ancient Rome, Romance, Political, Government Corruption",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,Universal Pictures,United States,English,"$30,000,000","$30,000,000","$60,000,000",,
6,https://www.the-numbers.com/movie/Midnight-Lace,"['John Gavin', 'Myrna Loy', 'Roddy McDowall', 'Doris Day', 'Rex Harrison']","[['David Miller', 'Director'], ['Ivan Goff', 'Screenwriter'], ['Ben Roberts', 'Screenwriter'], ['Ross Hunter', 'Producer'], ['Martin Melcher', 'Producer']]",100.0% (domestic box office/worldwide),,,"October 13th, 1960 (Limited) by Universal",,"June 6th, 2017 by Universal Home Entertainment",Not Rated Approved,103 minutes,,Create your own comparison chart…,"Crime Thriller, White Collar Crime, Infidelity, Relationships Gone Wrong, Unbelieving Police, Money Troubles, Scotland Yard",Based on Play,Thriller/Suspense,Live Action,Contemporary Fiction,,United States,English,"$7,400,000",,,,
7,https://www.the-numbers.com/movie/Alamo-The,[],"[['John Wayne', 'Director']]",100.0% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 0.7 times production budget)",,"October 24th, 1960 (Wide) by United Artists",,,PG-13 for sustained intense battle sequences. ,167 minutes,,vs. The AlamoCreate your own comparison chart…,War,Original Screenplay,Western,Live Action,Historical Fiction,,United States,English,"$7,900,000",,,,
8,https://www.the-numbers.com/movie/Exodus,[],[],100.0% (domestic box office/worldwide),"$4,000,000 (worldwide box office is 5.4 times production budget)",,"December 15th, 1960 (Limited)",,,Not Rated Approved,208 minutes,,vs. Once Upon a Time in MexicoCreate your own comparison chart…,,,,,,,United States,English,"$21,750,000",,,,
9,https://www.the-numbers.com/movie/Pepe,[],[],100.0% (domestic box office/worldwide),,,"December 21st, 1960 (Limited) by Columbia",,,Not Rated,180 minutes,,Create your own comparison chart…,,,,,,,"Mexico, United States",English,"$9,600,000",,,,
10,https://www.the-numbers.com/movie/Swiss-Family-Robinson,"['John Mills', 'Dorothy McGuire', 'James MacArthur', 'Janet Munro', 'Sessue Hayakawa', 'Tommy Kirk', 'Kevin Corcoran', 'Cecil Parker', 'Andy Ho', 'Milton Reid', 'Larry Taylor']","[['Ken Annakin', 'Director'], ['Lowell S. Hawley', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"December 21st, 1960 (Wide)June 19th, 1981 (Wide)",,"May 7th, 2002 by Walt Disney Home Entertainment",G Rating is for 1968 Re-Issue film from Buena Vista Dist. Co. & Walt Disney Productions,126 minutes,,vs. SpartacusCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,,United States,English,"$40,400,000",,,,
11,https://www.the-numbers.com/movie/Grass-is-Greener-The,[],"[['Stanley Donen', 'Director']]",100.0% (domestic box office/worldwide),,,"December 23rd, 1960 (Limited)",,,Not Rated Approved,104 minutes,,vs. The Bridge on the River KwaiCreate your own comparison chart…,,,,,,,United Kingdom,English,"$6,000,000",,,,
