,url,cast,crew,Legs:,Domestic Share:,Production Budget:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/101-Dalmatians-(1961),['Betty Lou Gerson'],"[['Clyde Geronimi', 'Director'], ['Hamilton Luske', 'Director'], ['Wolfgang Reitherman', 'Director'], ['Bill Peet', 'Screenwriter']]",14.88 (domestic box office/biggest weekend),99.8% (domestic box office/worldwide),,"January 25th, 1961 (Wide) by Walt DisneyDecember 20th, 1985 (Wide) by Walt DisneyJuly 12th, 1991 (Wide) by Walt Disney","April 7th, 1995 (Wide), released as 101 Dalmatians (re:95) (Australia)
August 3rd, 2018 (Wide), released as 101 Dalmatians (1961) (New Zealand)
October 13th, 2022 (Limited) (New Zealand)
","November 9th, 1999 by Walt Disney Home Entertainment",G,79 minutes,101 Dalmatians,vs. Snow White and the Seven DwarfsCreate your own comparison chart…,"Animal Lead, Talking Animals, Voiceover/Narration, Fashion, Kidnap, Rescue",Based on Fiction Book/Short Story,Adventure,Hand Animation,Contemporary Fiction,United States,English,,"$153,000,000","$302,565","$153,302,565",,
1,https://www.the-numbers.com/movie/Misfits-The,[],"[['John Huston', 'Director']]",,100.0% (domestic box office/worldwide),"$4,000,000 (worldwide box office is 2.1 times production budget)","February 1st, 1961 (Wide) by United Artists",,,Not Rated,125 minutes,,vs. GreaseCreate your own comparison chart…,"Romance, Divorcée Romance, May / December Romance, Directing Yourself, Posthumous Release",,,,,United States,English,,"$8,200,000",,,,
2,https://www.the-numbers.com/movie/Absent-Minded-Professor-The,[],"[['Robert Stevenson', 'Director'], ['Bill Walsh', 'Screenwriter']]",,100.0% (domestic box office/worldwide),,"March 16th, 1961 (Wide) by Walt Disney",,,Not Rated Approved,97 minutes,,vs. 101 DalmatiansCreate your own comparison chart…,"Family Comedy, Research Scientist, Scientific Experiment Gone Awry, Romance, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Science Fiction,United States,English,,"$25,381,407",,,,
3,https://www.the-numbers.com/movie/Dolce-Vita-La,[],"[['Federico Fellini', 'Director']]",,99.2% (domestic box office/worldwide),,"April 19th, 1961 (Wide)","May 7th, 1970 (Wide), released as A Doce Vida (Portugal)
December 30th, 2004 (Wide) (New Zealand)
December 20th, 2019 (Wide) (Argentina)
January 3rd, 2020 (Limited), released as La Dolce Vita (4K Restoration) (United Kingdom)
March 5th, 2020 (Wide), released as СЛАДКАЯ ЖИЗНЬ (Russia (CIS))
... Show all releases
","October 21st, 2014 by Criterion, released as Dolce Vita, La",Not Rated,174 minutes,,vs. Night on EarthCreate your own comparison chart…,"Comedy Drama, Prologue, Segments, Epilogue, Ensemble, Romance, Relationships Gone Wrong, Drug Overdose, Religious",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Italy,Italian,,"$19,500,000","$166,568","$19,666,568","$925,248","$925,248"
4,https://www.the-numbers.com/movie/Return-to-Peyton-Place,[],"[['José Ferrer', 'Director'], ['Ronald Alexander', 'Screenwriter'], ['Grace Metalious', 'Story Creator']]",,100.0% (domestic box office/worldwide),,"May 5th, 1961 (Wide)",,,Not Rated Approved,123 minutes,Peyton Place,Create your own comparison chart…,"Life Drama, Life in a Small Town, Scandal, Writing and Writers, You Can't Go Home Again",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,English,,"$9,996,178",,,,
5,https://www.the-numbers.com/movie/Parent-Trap-The-(1961),[],"[['David Swift', 'Director'], ['David Swift', 'Screenwriter']]",,84.8% (domestic box office/worldwide),,"June 21st, 1961 (Wide)",,"May 7th, 2002 by Walt Disney Home Entertainment",PG for some mild mischief. ,128 minutes,,vs. The Parent TrapCreate your own comparison chart…,"Twins, Same Actor, Multiple Roles, Family Comedy, Remade, Pretending to be your Twin, Dysfunctional Family, Exes in Love, Camping, Summer Camp, Sibling Rivalry",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,English,,"$25,150,385","$4,500,000","$29,650,385",,
6,https://www.the-numbers.com/movie/Guns-of-Navarone-The,[],"[['Jack Lee Thompson', 'Director'], ['Alistair MacLean', 'Story Creator']]",,99.9% (domestic box office/worldwide),,"June 22nd, 1961 (Wide), released as The Guns of Naverone","July 20th, 1974 (Wide) (South Korea)
","May 8th, 2007 by Sony Pictures Home Entertainment, released as The Guns of Naverone",Not Rated TV-PG - TV Rating,158 minutes,Guns of Navarone,vs. The Longest DayCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,"United Kingdom, United States",English,"Columbia Pictures, Highroad Productions","$28,900,000","$19,394","$28,919,394",,
7,https://www.the-numbers.com/movie/Fanny,[],[],,100.0% (domestic box office/worldwide),,"June 28th, 1961 (Wide)",,,Not Rated,134 minutes,,Create your own comparison chart…,,,,,,United States,English,,"$9,996,178",,,,
8,https://www.the-numbers.com/movie/Come-September,[],[],,100.0% (domestic box office/worldwide),,"August 9th, 1961 (Wide) by Universal",,,Not Rated Approved,112 minutes,,Create your own comparison chart…,,,,,,United States,"English, Italian",,"$12,710,696",,,,
9,https://www.the-numbers.com/movie/Hustler-The,[],[],,100.0% (domestic box office/worldwide),"$2,000,000 (worldwide box office is 3.8 times production budget)","September 25th, 1961 (Wide)",,"June 2nd, 2002 by Fox Home Entertainment",Not Rated,134 minutes,Eddie Felson,vs. NotoriousCreate your own comparison chart…,"Gambling, Confidence Men",,,,,United States,English,,"$7,600,000",,,,
