,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Keywords:,International Releases:,Production/Financing Companies:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Man-Who-Shot-Liberty-Valance-The,[],"[['John Ford', 'Director']]",100.0% (domestic box office/worldwide),"$3,200,000 (worldwide box office is 2.5 times production budget)",,"April 22nd, 1962 (Wide)","June 5th, 2001 by Paramount Home Video",Not Rated,123 minutes,vs. Liberty HeightsCreate your own comparison chart…,Original Screenplay,Western,Live Action,Contemporary Fiction,United States,English,,,,"$8,000,000",,,,
1,https://www.the-numbers.com/movie/Bon-Voyage-(1962),[],"[['James Neilson', 'Director'], ['Bill Walsh', 'Screenwriter']]",100.0% (domestic box office/worldwide),,342.60 (domestic box office/biggest weekend),"May 17th, 1962 (Wide) by Walt Disney",,Not Rated,130 minutes,vs. The Sword in the StoneCreate your own comparison chart…,Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,English,"Family Comedy, Family Vacations, Dysfunctional Family, Romance, First Love",,,"$9,230,769",,,,
2,https://www.the-numbers.com/movie/Gypsy,[],"[['Mervyn LeRoy', 'Director']]",100.0% (domestic box office/worldwide),,,"May 24th, 1962 (Wide)",,Not Rated Approved,143 minutes,vs. The Music ManCreate your own comparison chart…,,,,,United States,English,,,,"$11,076,923",,,,
3,https://www.the-numbers.com/movie/Hatari,[],"[['Howard Hawks', 'Director']]",100.0% (domestic box office/worldwide),,,"May 24th, 1962 (Wide)",,Not Rated Approved,157 minutes,vs. Gentlemen Prefer BlondesCreate your own comparison chart…,,,,,United States,English,,,,"$12,923,077",,,,
4,https://www.the-numbers.com/movie/Lolita-(1962),[],"[['Stanley Kubrick', 'Director']]",100.0% (domestic box office/worldwide),"$2,000,000 (worldwide box office is 4.6 times production budget)",,"June 13th, 1962 (Limited), released as Lolita (1962)",,Not Rated,152 minutes,vs. Eyes Wide ShutCreate your own comparison chart…,,Drama,Live Action,,"United Kingdom, United States",English,"Same Actor, Multiple Roles, Film Noir, Erotic Drama",,,"$9,250,000",,,,
5,https://www.the-numbers.com/movie/That-Touch-of-Mink,"['Cary Grant', 'Doris Day']","[['Delbert Mann', 'Director'], ['Stanley Shapiro', 'Screenwriter'], ['Nate Monaster', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"June 14th, 1962 (Wide) by Universal","January 23rd, 2001",Not Rated Approved,99 minutes,vs. The Longest DayCreate your own comparison chart…,,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,,,,"$17,648,927",,,,
6,https://www.the-numbers.com/movie/Music-Man-The,[],[],100.0% (domestic box office/worldwide),,,"June 19th, 1962 (Wide)","September 19th, 2000 by Warner Home Video",G Rating is for 1985 Re-Issue of film from Warner Bros. Inc.,151 minutes,vs. In Search of the CastawaysCreate your own comparison chart…,,Musical,,,United States,English,Performing Arts,,,"$14,953,846",,,,
7,https://www.the-numbers.com/movie/Wonderful-World-of-the-Brothers-Grimm-The,[],[],100.0% (domestic box office/worldwide),,,"August 7th, 1962 (Wide) by MGM","March 29th, 2022 by Warner Home Video",G Rating is for 1971 Re-Issue of film from MGM Film Company,135 minutes,Create your own comparison chart…,,Adventure,,,"Germany, United States",English,,,,"$8,920,615","$473,411","$473,411",,
8,https://www.the-numbers.com/movie/Interns-The,[],[],100.0% (domestic box office/worldwide),,,"August 8th, 1962 (Wide) by Sony Pictures",,Not Rated,120 minutes,vs. Jaws 4: The RevengeCreate your own comparison chart…,,,,,United States,English,,,,"$9,230,769",,,,
9,https://www.the-numbers.com/movie/Longest-Day-The,[],[],78.0% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 5.0 times production budget)",,"October 4th, 1962 (Wide) by 20th Century Fox","May 21st, 2002 by Fox Home Entertainment, released as Longest Day, The",G Rating is for 1969 Re-Issue of film from Twentieth Century Fox Film,178 minutes,vs. The Guns of NavaroneCreate your own comparison chart…,Based on Real Life Events,Action,Live Action,Dramatization,United States,"English, French, German","Historical Battles, World War II, Gratuitous Cameos, War, Action Adventure",,,"$39,100,000",,,"$11,000,000","$50,100,000"
