,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Production Countries:,Languages:,Video Release:,Genre:,Production Method:,Creative Type:,International Releases:,Keywords:,Source:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Son-of-Flubber,[],[],100.0% (domestic box office/worldwide),,,"January 16th, 1963 (Wide)",Not Rated Approved,100 minutes,vs. The Absent Minded ProfessorCreate your own comparison chart…,United States,English,,,,,,,,,,"$22,129,412",,,,
1,https://www.the-numbers.com/movie/How-the-West-Was-Won,[],"[['John Ford', 'Director']]",100.0% (domestic box office/worldwide),,,"February 20th, 1963 (Wide)",G Rating is for 1970 Re-Issue of film from MGM Film Company,164 minutes,vs. Bandolero!Create your own comparison chart…,United States,English,"July 28th, 1998 by MGM Video",Western,Live Action,Historical Fiction,,,,,,"$46,500,000",,,,
2,https://www.the-numbers.com/movie/Birds-The,"['Suzanne Pleshette', 'Jessica Tandy', 'Veronica Cartwright', 'Tippi Hedren', 'Rod Taylor']","[['Alfred Hitchcock', 'Director'], ['Alfred Hitchcock', 'Producer'], ['Evan Hunter', 'Screenwriter'], ['Daphne du Maurier', ""Based on the story 'The Birds'""], ['Robert Burks', 'Cinematographer'], ['George Tomashini', 'Editor']]",99.7% (domestic box office/worldwide),,,"March 28th, 1963 (Wide) by UniversalSeptember 19th, 2012 (Special Engagement) by NCM FathomOctober 22nd, 2023 (Special Engagement) by Fathom Events (60th Anniversary)
",PG-13 Rating is for 1984 Re-Issue,119 minutes,vs. PsychoCreate your own comparison chart…,United States,English,"March 1st, 1992 by Universal Home Entertainment",Horror,Live Action,Science Fiction,"September 6th, 1963 (Limited) (Australia)
January 7th, 2019 (Wide), released as Gli uccelli (Italy)
October 15th, 2020 (Wide) (New Zealand)
","Animal Lead, Animals Gone Bad, Directing Yourself, Disaster, Nature Horror",Based on Fiction Book/Short Story,Universal Pictures,,"$11,403,529","$33,400","$11,436,929",,
3,https://www.the-numbers.com/movie/Bye-Bye-Birdie,[],"[['George Sidney', 'Director']]",100.0% (domestic box office/worldwide),,,"April 4th, 1963 (Wide) by Sony Pictures",Not Rated Approved,112 minutes,vs. CabaretCreate your own comparison chart…,United States,English,"July 13th, 1999 by Sony Pictures Home Entertainment",Musical,Live Action,Contemporary Fiction,"June 1st, 2023 (Limited) (Australia)
",,Based on Play,"Columbia Pictures, Kohlmar Sidney",,"$13,129,412",,,,
4,https://www.the-numbers.com/movie/Dr-No,"['Lois Maxwell', 'Joseph Wiseman', 'Ursula Andress', 'Bernard Lee', 'Sean Connery']","[['Terence Young', 'Director'], ['Harry Saltzman', 'Producer'], ['Albert R. Broccoli', 'Producer'], ['Ian Fleming', 'Based on the book Dr. No'], ['Richard Maibaum', 'Screenwriter'], ['Johanna Harwood', 'Screenwriter'], ['Berkely Mather', 'Screenwriter'], ['Monty Norman', 'Composer'], ['Ted Moore', 'Cinematographer'], ['Peter R. Hunt', 'Editor']]",27.0% (domestic box office/worldwide),"$1,000,000 (worldwide box office is 59.6 times production budget)",,"May 8th, 1963 (Wide) by MGMSeptember 25th, 2012 (Limited) by Park Circus",PG,109 minutes,vs. From Russia With LoveCreate your own comparison chart…,United Kingdom,English,"August 14th, 2001 by MGM Video",Action,Live Action,Contemporary Fiction,"August 14th, 2009 (Wide), released as Dr. No (Re: 2009) (United Kingdom)
August 14th, 2020 (Wide), released as Dr. No (1962) (re: 2020) (Australia)
October 15th, 2020 (Wide) (New Zealand)
April 15th, 2022 (Wide), released as Dr. No (60th Anniversary) (United Kingdom)
","Secret Agent, Mad Scientist, Hitmen, Martial Arts, Action Adventure",Based on Fiction Book/Short Story,United Artists,James Bond,"$16,067,035","$43,500,000","$59,567,035",,
5,https://www.the-numbers.com/movie/55-Days-at-Peking,[],"[['Nicholas Ray', 'Director'], ['Philip Yordan', 'Screenwriter'], ['Bernard Gordon', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$17,000,000 (worldwide box office is 0.6 times production budget)",,"May 29th, 1963 (Wide)",Not Rated,153 minutes,vs. The Last SamuraiCreate your own comparison chart…,United States,English,,Drama,Live Action,,,"War Drama, Set in China, 1900s, Rebellion, Colonialism",Original Screenplay,,,"$10,000,000",,,,
6,https://www.the-numbers.com/movie/Hud,[],"[['Martin Ritt', 'Director']]",100.0% (domestic box office/worldwide),"$2,500,000 (worldwide box office is 4.0 times production budget)",,"May 29th, 1963 (Wide)",Not Rated,112 minutes,vs. BullittCreate your own comparison chart…,United States,English,,,,,,,,,,"$10,000,000",,,,
7,https://www.the-numbers.com/movie/Come-Blow-Your-Horn,[],[],100.0% (domestic box office/worldwide),,,"June 5th, 1963 (Wide)",Not Rated,112 minutes,vs. Three Days of the CondorCreate your own comparison chart…,United States,English,,,,,,,,,,"$12,705,882",,,,
8,https://www.the-numbers.com/movie/Cleopatra-(1963),[],"[['Joseph L. Mankiewicz', 'Director']]",80.3% (domestic box office/worldwide),"$42,000,000 (worldwide box office is 1.7 times production budget)",,"June 12th, 1963 (Wide) by 20th Century FoxMay 22nd, 2013 (Special Engagement) by 20th Century Fox",G (1971 re-issue),248 minutes,vs. Lawrence of ArabiaCreate your own comparison chart…,United States,English,"February 7th, 2006 by Fox Home Entertainment",Drama,Live Action,Dramatization,"December 6th, 1963 (Limited) (Australia)
","Historical Drama, Ancient Egypt, Set in Egypt, Set in Cairo, Egypt",Based on Real Life Events,,,"$57,000,000","$14,000,000","$71,000,000","$2,541,867","$2,541,867"
9,https://www.the-numbers.com/movie/Donovans-Reef,[],"[['John Ford', 'Director']]",100.0% (domestic box office/worldwide),"$2,686,000 (worldwide box office is 2.5 times production budget)",,"June 12th, 1963 (Wide) by Paramount Pictures",Not Rated,109 minutes,Create your own comparison chart…,United States,English,,,,,,,,,,"$6,600,000",,,,
10,https://www.the-numbers.com/movie/Irma-La-Douce,[],"[['Billy Wilder', 'Director']]",100.0% (domestic box office/worldwide),,,"July 5th, 1963 (Wide) by MGM",Not Rated,147 minutes,vs. CleopatraCreate your own comparison chart…,United States,English,"July 17th, 2018 by Kino Lorber",,,,,,,,,"$25,246,588",,,"$69,954","$69,954"
11,https://www.the-numbers.com/movie/Thrill-of-it-All-The,[],"[['Norman Jewison', 'Director']]",100.0% (domestic box office/worldwide),,,"July 17th, 1963 (Wide) by Universal",Not Rated Approved,108 minutes,Create your own comparison chart…,United States,English,,,,,,,,,,"$11,779,093",,,,
12,https://www.the-numbers.com/movie/Great-Escape-The,"['James Donald', 'Charles Bronson', 'Donald Pleasance', 'James Coburn', 'Steve McQueen', 'James Garner', 'Richard Attenborough']","[['John Sturges', 'Director'], ['John Sturges', 'Producer'], ['James Clavell', 'Screenwriter'], ['William Riley Burnett', 'Screenwriter'], ['Paul Brickhill', 'Story based on the book by'], ['Elmer Bernstein', 'Composer']]",98.1% (domestic box office/worldwide),"$4,000,000 (worldwide box office is 3.0 times production budget)",,"August 8th, 1963 (Wide) by MGM",Not Rated,172 minutes,vs. DefianceCreate your own comparison chart…,United States,"English, French, German, Russian","May 7th, 2013 by Fox Home Entertainment",Drama,Live Action,Historical Fiction,"December 12th, 1963 (Limited) (Australia)
March 22nd, 2019 (Special Engagement), released as The Great Escape With Dan Snow: A Gala Screening On The 75th Anniversary (United Kingdom)
April 22nd, 2021 (Wide) (New Zealand)
June 25th, 2023 (Limited) (Australia)
","World War II, War, Escape, Inspired by a True Story, Intertitle, Prison Break, Nazis, Ensemble, War Crimes, War Drama",Based on Real Life Events,The Mirisch Company,,"$11,744,471","$228,328","$11,972,799","$1,817,035","$1,817,035"
