,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Dr-Strangelove,"['Sterling Hayden', 'Keenan Wynn', 'Slim Pickens', 'Peter Sellers', 'George C. Scott']","[['Stanley Kubrick', 'Director'], ['Stanley Kubrick', 'Screenwriter'], ['Terry Southern', 'Screenwriter'], ['Peter George', 'Screenwriter'], ['Peter George', 'Story Creator'], ['Stanley Kubrick', 'Producer']]",99.2% (domestic box office/worldwide),"$1,800,000 (worldwide box office is 5.1 times production budget)",,"January 29th, 1964 (Wide) by Sony Pictures","May 17th, 2019 (Limited), released as Dr. Strangelove Or How I Learned To Stop Worrying And Love The Bomb (Re: 2019) & Stanley Kubrick Considers The Bomb (United Kingdom)
April 22nd, 2021 (Wide) (New Zealand)
","February 27th, 2001 by Sony Pictures Home Entertainment","PG 2004 Rating - for thematic elements, some violent content, sexual humor and mild language.",95 minutes,vs. I Care A LotCreate your own comparison chart…,"Same Actor, Multiple Roles, Black Comedy, Cold War, World War III, Novel or Other Work Adapted by Author, In a Plane, 1965 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Black Comedy,Live Action,Contemporary Fiction,Columbia Pictures,"United Kingdom, United States","English, Russian",,"$9,164,370","$74,491","$9,238,861",,
1,https://www.the-numbers.com/movie/Mans-Favorite-Sport,[],"[['Howard Hawks', 'Director']]",100.0% (domestic box office/worldwide),,,"January 29th, 1964 (Wide) by Universal",,,Not Rated Approved,120 minutes,Create your own comparison chart…,,,Romantic Comedy,Live Action,,,United States,English,,"$6,000,000",,,,
2,https://www.the-numbers.com/movie/Becket,[],"[['Peter Glenville', 'Director'], ['Edward Anhalt', 'Screenwriter']]",100.0% (domestic box office/worldwide),,654.64 (domestic box office/biggest weekend),"March 11th, 1964 (Wide) by Paramount Pictures",,"May 15th, 2007 by Mpi Home Video",PG-13 for some sexual content and violence,148 minutes,Create your own comparison chart…,"Biography, Biographical Drama, 1100s, Royalty, Religious, Death of a Best Friend, 1965 Oscars Best Picture Nominee",Based on Play,Drama,Live Action,Dramatization,,"United Kingdom, United States",English,,"$9,164,370",,,,
3,https://www.the-numbers.com/movie/Pink-Panther-The,"['Claudia Cardinale', 'Capucine*', 'David Niven', 'Peter Sellers', 'Robert Wagner']","[['Blake Edwards', 'Director'], ['Maurice Richlin', 'Screenwriter'], ['Blake Edwards', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"March 20th, 1964 (Wide) by MGM",,"June 27th, 2017 by Shout Factory, released as The Pink Panther Film Collection: Starring Peter Sellers",Not Rated,115 minutes,vs. A Shot in the DarkCreate your own comparison chart…,"Crime Comedy, Prologue, Royalty, Exile, Heist, Romance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United Kingdom,"English, Italian",Pink Panther,"$10,878,107",,,"$1,631,262","$1,631,262"
4,https://www.the-numbers.com/movie/From-Russia-With-Love,['Sean Connery'],"[['Terence Young', 'Director'], ['Richard Maibaum', 'Screenwriter'], ['Albert R. Broccoli', 'Producer'], ['Ian Fleming', 'Story Creator']]",31.4% (domestic box office/worldwide),"$2,000,000 (worldwide box office is 39.5 times production budget)",,"April 8th, 1964 (Wide) by MGM","April 24th, 2009 (Wide), released as From Russia With Love (Re: 2009) (United Kingdom)
November 5th, 2020 (Wide) (Australia)
November 19th, 2020 (Limited) (New Zealand)
April 22nd, 2022 (Wide), released as From Russia With Love (Re: 2022) (United Kingdom)
December 9th, 2022 (Limited) (New Zealand)
... Show all releases
",,PG,115 minutes,vs. Dr. NoCreate your own comparison chart…,"Secret Agent, Character's Journey Shown on Map, Action Thriller, Cold War, Shadowy Organization",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"Eon Productions, United Artists",United Kingdom,English,James Bond,"$24,800,000","$54,100,000","$78,900,000",,
5,https://www.the-numbers.com/movie/Carpetbaggers-The,[],"[['Edward Dmytryk', 'Director'], ['John Michael Hayes', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"April 9th, 1964 (Wide) by Paramount Pictures",,,PG 1972 Rating - Re-Issue from 1963,150 minutes,vs. Mary PoppinsCreate your own comparison chart…,"Romantic Drama, Romance, Relationships Gone Wrong, Domestic Abuse, Posthumous Release, Prologue, Voiceover/Narration, Adult Child Dealing with the Death of a Parent, Death of a Twin, Death of a Sibling, Inheritance, Mental Illness, Dysfunctional Family, Addiction, Ensemble",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,United States,English,,"$28,409,547",,,,
6,https://www.the-numbers.com/movie/What-a-Way-to-Go,[],[],100.0% (domestic box office/worldwide),,,"May 12th, 1964 (Wide)",,"January 11th, 2005 by Fox Home Entertainment",Not Rated Approved,111 minutes,Create your own comparison chart…,,,Romantic Comedy,Live Action,,,United States,"English, French",,"$11,180,531",,,,
7,https://www.the-numbers.com/movie/Viva-Las-Vegas,[],[],100.0% (domestic box office/worldwide),,,"May 20th, 1964 (Wide) by MGM",,,Not Rated Approved,85 minutes,vs. Blue HawaiiCreate your own comparison chart…,,,Musical,,,,United States,English,,"$9,442,967",,,,
8,https://www.the-numbers.com/movie/Shot-in-the-Dark-A,[],"[['Blake Edwards', 'Director'], ['Blake Edwards', 'Screenwriter'], ['William Peter Blatty', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"June 23rd, 1964 (Wide) by MGM",,"January 27th, 2009 by MGM Video",PG 1975 Rating - Re-Issue from 1964,102 minutes,vs. The Pink PantherCreate your own comparison chart…,"Crime Comedy, Relationships Gone Wrong, Infidelity, Romance, Framed, Blackmail, Surprise Twist",Based on Play,Comedy,Live Action,Contemporary Fiction,,"United Kingdom, United States","English, Spanish",Pink Panther,"$12,368,234",,,,
9,https://www.the-numbers.com/movie/Unsinkable-Molly-Brown-The,[],[],100.0% (domestic box office/worldwide),,,"July 11th, 1964 (Wide) by MGM",,"September 12th, 2011 by Warner Home Video",Not Rated Approved,128 minutes,vs. The Greatest Show on EarthCreate your own comparison chart…,,Based on Real Life Events,Musical,Live Action,Dramatization,,United States,English,,"$11,070,559",,,,
