,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Sound-of-Music-The,"['Christopher Plummer', 'Eleanor Parker', 'Richard Haydn', 'Peggy Wood', 'Charmian Carr', 'Heather Menzies', 'Nicholas Hamond', 'Duane Chase', 'Angela Cartwright', 'Debbie Turner', 'Kym Karath', 'Anne Lee', 'Portia Nelson', 'Ben Wright', 'Danial Truhitte', 'Norma Varden', 'Gill Stuart', 'Marni Nixon', 'Evadne Baker', 'Doris Lloyd', 'Julie Andrews']","[['Robert Wise', 'Director']]",57.0% (domestic box office/worldwide),"$8,200,000 (worldwide box office is 34.9 times production budget)",,"March 2nd, 1965 (Wide) by 20th Century Fox","January 1st, 1965 (Wide), released as Sound of Music, The (Australia)
March 29th, 1965 (Wide) (United Kingdom)
May 7th, 2015 (Limited), released as Sound of Music, The (2015 Re-Issue) (New Zealand)
May 18th, 2018 (Limited), released as The Sound of Music (Re: 2018) (United Kingdom)
","December 7th, 1992 by Fox Home Entertainment, released as The Sound of Music ",G,174 minutes,Best Picture Oscar Winnersvs. Mamma Mia!Create your own comparison chart…,"Widow/Widower, 1966 Oscars Best Picture Nominee, Oscars Best Picture Winner",Based on Fiction Book/Short Story,Musical,Live Action,Historical Fiction,United States,English,,,"$163,214,286","$122,999,218","$286,213,504",,
1,https://www.the-numbers.com/movie/Our-Man-Flint,[],"[['Daniel Mann', 'Director'], ['Hal Fimberg', 'Screenwriter'], ['Ben Starr', 'Screenwriter'], ['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),,,"January 16th, 1965 (Wide)",,,Not Rated Unrated,108 minutes,vs. GoldfingerCreate your own comparison chart…,"Action Comedy, Spoof, Secret Agent, Out of Retirement",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,"English, Italian",Flint,,"$16,000,000",,,,
2,https://www.the-numbers.com/movie/How-to-Murder-Your-Wife,"['Jack Lemmon', 'Virna Lisi']","[['Richard Quine', 'Director'], ['George Axelrod', 'Screenwriter'], ['George Axelrod', 'Producer'], ['Gordon Carroll', 'Executive Producer'], ['David Wages', 'Editor'], ['Neal Hefti', 'Composer'], ['Harry Stradling Sr.', 'Director of Photography']]",100.0% (domestic box office/worldwide),,,"January 26th, 1965 (Limited)",,"February 17th, 2015 by Olive",Not Rated Approved,118 minutes,Create your own comparison chart…,,Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,United States,"English, Italian",,,"$12,000,000",,,,
3,https://www.the-numbers.com/movie/Greatest-Story-Ever-Told-The,[],"[['David Lean', 'Director'], ['George Stevens', 'Director'], ['George Stevens', 'Screenwriter'], ['James Lee Barrett', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 0.8 times production budget)",,"February 15th, 1965 (Wide) by MGM",,,G (1972 - previously rated G in 1962),260 minutes,vs. The Fall of the Roman EmpireCreate your own comparison chart…,"Religious, Faith-Based Drama, Faith-Based Film, Bible Epic, Ancient Rome",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,English,,,"$15,473,333",,,,
4,https://www.the-numbers.com/movie/Train-The,[],"[['Arthur Penn', 'Director'], ['John Frankenheimer', 'Director'], ['Franklin Coen', 'Screenwriter'], ['Frank Davis', 'Screenwriter'], ['Rose Valland', 'Story Creator']]",100.0% (domestic box office/worldwide),"$5,800,000 (worldwide box office is 1.2 times production budget)",,"March 7th, 1965 (Wide)",,"February 12th, 2008 by MGM Video",Not Rated,133 minutes,Create your own comparison chart…,"Action Thriller, Inspired by a True Story, Heist, Trains, World War II, French Resistance, Nazis",Based on Factual Book/Article,Thriller/Suspense,Live Action,Historical Fiction,"France, Italy, United States","English, German",,,"$6,800,000",,,,
5,https://www.the-numbers.com/movie/Shenandoah,"['James Stewart', 'Doug McClure', 'Glenn Corbett', 'Patrick Wayne', 'Katharine Ross', 'Rosemary Forsyth', 'Phillip Alford', 'Paul Fix', 'James Best']","[['Andrew V. McLaglen', 'Director']]",100.0% (domestic box office/worldwide),,,"June 3rd, 1965 (Wide) by Universal",,"May 6th, 2003 by Universal Home Entertainment",Not Rated Approved,105 minutes,Create your own comparison chart…,"The Civil War, 1860s",Original Screenplay,Western,Live Action,Historical Fiction,United States,English,,,"$17,268,889",,,,
6,https://www.the-numbers.com/movie/Those-Magnificent-Men-In-Their-Flying,[],[],100.0% (domestic box office/worldwide),,,"June 16th, 1965 (Wide)",,,G 1969 Rating - Re-Issue from 1956,138 minutes,vs. Doctor ZhivagoCreate your own comparison chart…,,,Adventure,,,United Kingdom,"English, French, German, Italian, Japanese",,,"$31,111,111",,,,
7,https://www.the-numbers.com/movie/Whats-New-Pussycat,[],"[['Clive Donner', 'Director'], ['Richard Talmadge', 'Director'], ['Woody Allen', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"June 22nd, 1965 (Wide) by MGM, released as What's New, Pussycat",,"August 26th, 2014 by Kino Lorber, released as What's New, Pussycat",Not Rated Approved,108 minutes,Create your own comparison chart…,"Farcical / Slapstick Comedy, Romance, Relationships Gone Wrong, Therapists / Therapy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"France, United States","English, French",,,"$18,820,000",,,"$167,871","$167,871"
8,https://www.the-numbers.com/movie/Sandpiper-The,[],"[['Vincente Minnelli', 'Director'], ['Michael Wilson', 'Screenwriter'], ['Dalton Trumbo', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"June 23rd, 1965 (Wide) by MGM",,,Not Rated Approved,117 minutes,Create your own comparison chart…,"Romantic Drama, Romance, Single Parent, Homeschooling",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,"$13,691,111",,,,
9,https://www.the-numbers.com/movie/Von-Ryans-Express,[],"[['Mark Robson', 'Director']]",100.0% (domestic box office/worldwide),,,"June 23rd, 1965 (Wide)",,,Not Rated Approved,117 minutes,vs. The Longest DayCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,United States,"English, German, Italian",,,"$17,111,111",,,,
10,https://www.the-numbers.com/movie/Cat-Ballou,[],"[['Elliot Silverstein', 'Director'], ['Walter Newman', 'Screenwriter'], ['Frank Pierson', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"June 24th, 1965 (Wide) by Sony Pictures",,,Not Rated,97 minutes,vs. Doctor ZhivagoCreate your own comparison chart…,"Comedy Westerns, Non-Chronological, Same Actor, Multiple Roles, Twins, Dysfunctional Family",Based on Fiction Book/Short Story,Comedy,Live Action,Historical Fiction,United States,English,,,"$20,666,667",,,,
11,https://www.the-numbers.com/movie/Great-Race-The,"['Peter Falk', 'Keenan Wynn', ""Arthur O'Connell"", 'Vivian Vance', 'Dorothy Provine', 'Larry Storch', 'Ross Martin', 'Tony Curtis', 'Jack Lemmon', 'Natalie Wood']","[['Blake Edwards', 'Director'], ['Arthur A. Ross', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"July 1st, 1965 (Wide)",,"February 9th, 2007 by Warner Home Video",Not Rated Passed,160 minutes,vs. The Sound of MusicCreate your own comparison chart…,"Farcical / Slapstick Comedy, Inspired by a True Story, Auto Racing, 1900s, Professional Rivalry, Romance, Same Actor, Multiple Roles, Daredevil",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,English,,"Warner Bros., Seven Arts Pictures","$25,333,333",,,,
12,https://www.the-numbers.com/movie/Sons-of-Katie-Elder-The,"['John Wayne', 'Dean Martin']","[['Henry Hathaway', 'Director']]",100.0% (domestic box office/worldwide),,,"July 1st, 1965 (Wide)",,"February 19th, 1997 by Warner Home Video",Not Rated,122 minutes,vs. Big JakeCreate your own comparison chart…,,Original Screenplay,Western,Live Action,Historical Fiction,United States,English,,,"$13,333,333",,,,
13,https://www.the-numbers.com/movie/Help,"['John Lennon', 'Paul McCartney', 'George Harrison', 'Ringo Starr']","[['Richard Lester', 'Director'], ['Walter Shenson', 'Producer'], ['Marc Behm', 'Screenwriter'], ['Charles Wood', 'Screenwriter'], ['Marc Behm', 'Story Creator'], ['David Watkin', 'Director of Photography'], ['John Lennon', 'Composer'], ['Paul McCartney', 'Composer'], ['George Harrison', 'Composer']]",100.0% (domestic box office/worldwide),,,"August 9th, 1965 (Wide) by MGM",,"June 25th, 2013 by Universal Home Entertainment",Not Rated,153 minutes,vs. InniCreate your own comparison chart…,,Based on Musical Group,Musical,Live Action,Contemporary Fiction,United Kingdom,English,,United Artists,"$12,066,667",,,,
14,https://www.the-numbers.com/movie/Agony-and-the-Ecstasy-The,[],"[['Sir Carol Reed', 'Director'], ['Philip Dunne', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"October 7th, 1965 (Wide) by 20th Century Fox",,"February 22nd, 2005 by Fox Home Entertainment",Not Rated Approved,138 minutes,Create your own comparison chart…,"Biography, Biographical Drama, Artists, 1500s, Religious, Christians",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,"Italy, United States","English, Latin",,,"$8,000,000",,,,
15,https://www.the-numbers.com/movie/That-Darn-Cat,[],[],100.0% (domestic box office/worldwide),,,"December 2nd, 1965 (Wide)",,,Not Rated Approved,116 minutes,vs. The Sound of MusicCreate your own comparison chart…,"Family Comedy, Bank Robbery, Animal Lead",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,"English, French",,,"$28,062,222",,,,
16,https://www.the-numbers.com/movie/Spy-Who-Came-in-from-the-Cold-The,[],"[['Martin Ritt', 'Director'], ['Paul Dehn', 'Screenwriter'], ['Guy Trosper', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"December 16th, 1965 (Wide) by Paramount Pictures","June 2nd, 2022 (Limited) (New Zealand)
","September 10th, 2013 by Criterion",Not Rated,112 minutes,vs. ArgoCreate your own comparison chart…,"Political Thriller, Secret Agent, Undercover, Cold War, East Germany, Surprise Twist, Romance, MI6, Double Agent",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United Kingdom,English,,,"$7,600,000",$342,"$7,600,342",,
17,https://www.the-numbers.com/movie/Do-Not-Disturb-(1965),[],"[['Ralph Levy', 'Director'], ['George Marshall', 'Director'], ['Richard L. Breen', 'Screenwriter'], ['Milt Rosen', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"December 22nd, 1965 (Wide) by 20th Century Fox",,"January 30th, 2007 by Fox Home Entertainment",Not Rated,102 minutes,Create your own comparison chart…,"Romantic Comedy, Romance, Relationships Gone Wrong, Infidelity",Based on Play,Romantic Comedy,Live Action,Contemporary Fiction,United States,"English, French",,,"$8,000,000",,,,
18,https://www.the-numbers.com/movie/Doctor-Zhivago,"['Geraldine Chaplin', 'Rod Steiger', 'Alec Guinness', 'Tom Courtenay', 'Klaus Kinski', 'Omar Sharif', 'Julie Christie']","[['David Lean', 'Director']]",99.9% (domestic box office/worldwide),"$11,000,000 (worldwide box office is 10.2 times production budget)","1,284.91 (domestic box office/biggest weekend)","December 22nd, 1965 (Wide) by MGMApril 7th, 1995 (Limited) by MGM, released as Doctor Zhivago (1965) (Re-Release)","May 12th, 2011 (Wide) (New Zealand)
November 27th, 2015 (Limited), released as Doctor Zhivago (Re: 2015) (United Kingdom)
September 24th, 2020 (Limited) (Australia)
July 1st, 2021 (Wide), released as Доктор Живаго (Russia (CIS))
","September 26th, 1995 by MGM Video",PG-13 for mature themes. ,197 minutes,vs. Lawrence of ArabiaCreate your own comparison chart…,"World War I, Set in Russia, Romantic Drama, 1966 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"Italy, United Kingdom","English, Russian",,"Metro-Goldwyn-Mayer Pictures, Carlo Ponti Production","$111,897,830","$142,558","$112,040,388",,
