,url,cast,crew,Domestic Share:,Production Budget:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Franchise:,Video Release:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Walk-Don-t-Run,"['Cary Grant', 'Samantha Eggar', 'Jim Hutton']","[['Charles Walters', 'Director'], ['Frank Ross', 'Screenwriter'], ['Robert W. Russell', 'Story Creator']]",100.0% (domestic box office/worldwide),,"January 1st, 1966 (Wide)",Not Rated Approved,114 minutes,Create your own comparison chart…,"Romantic Comedy, 1960s, Set in Japan, Set in Tokyo, Olympics, Miscellaneous Racing, Romance, Matchmaker, Remake",Based on Movie,Romantic Comedy,Live Action,Historical Fiction,United States,English,,,,,"$7,500,000",,,,
1,https://www.the-numbers.com/movie/Homme-et-une-Femme-Un,[],"[['Claude Lelouch', 'Director'], ['Pierre Uytterhoeven', 'Screenwriter']]",99.7% (domestic box office/worldwide),,"1966 (Wide) by Allied Artists, released as A Man and a Woman",Not Rated unrated,102 minutes,vs. CabaretCreate your own comparison chart…,"Romantic Drama, Romance, Widow/Widower, Movie Business, Auto Racing, Suicide, Accidental Death, Stuntman, Single Parent",Original Screenplay,Drama,Live Action,Contemporary Fiction,France,French,"July 3rd, 2020 (Wide) (Netherlands)
",Un homme et une femme,,,"$14,000,000","$44,741","$14,044,741",,
2,https://www.the-numbers.com/movie/Silencers-The,[],"[['Phil Karlson', 'Director'], ['Oscar Saul', 'Screenwriter']]",100.0% (domestic box office/worldwide),,"February 18th, 1966 (Wide) by Sony Pictures",R for action violence. ,102 minutes,Create your own comparison chart…,"Action Comedy, Spoof, Retirement, Out of Retirement",Based on Fiction Book/Short Story,Comedy,Live Action,Science Fiction,United States,English,,Donald Hamilton's Matt Helm,,,"$16,318,124",,,,
3,https://www.the-numbers.com/movie/Harper,"['Pamela Tiffin', 'Robert Wagner', 'Shelley Winters', 'Paul Newman', 'Lauren Bacall', 'Julie Harris', 'Arthur Hill', 'Janet Leigh']","[['Jack Smight', 'Director'], ['William Goldman', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$3,500,000 (worldwide box office is 3.4 times production budget)","February 23rd, 1966 (Wide)",Not Rated,121 minutes,vs. HooperCreate your own comparison chart…,"Film Noir, Crime Drama, Private Investigator, Missing Person, Relationships Gone Wrong, Kidnap, Ransom",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,English,,,"November 14th, 2006 by Warner Home Video","Gershwin, Kastner","$12,000,000",,,,
4,https://www.the-numbers.com/movie/Group-The,[],"[['Sidney Lumet', 'Director'], ['Sidney Buchman', 'Screenwriter']]",100.0% (domestic box office/worldwide),,"April 4th, 1966 (Limited) by United Artists",Not Rated Approved,150 minutes,Create your own comparison chart…,"1930s, Life Drama, Relationships Gone Wrong, Infidelity, Troubled Pregnancy or Miscarriage, Twins, Domestic Abuse, LGBTQ+, 1940s, World War II, Funeral Reunions",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,English,,,"December 15th, 2009 by MGM Video",,"$6,000,000",,,,
5,https://www.the-numbers.com/movie/Russians-are-Coming-The-Russians-Are-Coming-The,[],"[['Norman Jewison', 'Director'], ['William Rose', 'Screenwriter']]",100.0% (domestic box office/worldwide),,"May 25th, 1966 (Wide) by MGM",Not Rated unrated,126 minutes,vs. InterstellarCreate your own comparison chart…,"Satirical Comedy, Satire, Life in a Small Town, Commies, Red Scare, Romance, Cross-Culture Romance, Romeo and Juliet Romance, Rescue, Enemies Forced to Work Together, Rivals Becoming Friends, 1967 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,English,,,,,"$21,693,114",,,,
6,https://www.the-numbers.com/movie/Blue-Max-The,[],"[['John Guillermin', 'Director'], ['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),,"June 21st, 1966 (Wide) by 20th Century Fox",Not Rated approved,156 minutes,Create your own comparison chart…,,Based on Fiction Book/Short Story,,Live Action,,United Kingdom,English,,,,,"$16,151,612",,,,
7,https://www.the-numbers.com/movie/Whos-Afraid-of-Virginia-Wolf,[],"[['Mike Nichols', 'Director']]",100.0% (domestic box office/worldwide),,"June 22nd, 1966 (Wide)",Not Rated,132 minutes,vs. The BibleCreate your own comparison chart…,1967 Oscars Best Picture Nominee,Based on Play,Black Comedy,Live Action,Contemporary Fiction,United States,English,,,"November 9th, 2010 by Warner Home Video",,"$33,736,689",,,,
8,https://www.the-numbers.com/movie/Lt-Robin-Crusoe-U-S-N,"['Dick Van Dyke', 'Nancy Kwan']","[['Byron Paul', 'Director'], ['Walt Disney', 'Screenwriter'], ['Don DaGradi', 'Screenwriter'], ['Bill Walsh', 'Screenwriter'], ['Daniel Defoe', 'Story Creator']]",100.0% (domestic box office/worldwide),,"June 29th, 1966 (Wide)",G Rating for 1974 Re-Issue.,110 minutes,vs. 2001: A Space OdysseyCreate your own comparison chart…,"Family Adventure, In a Plane, Plane Crash, Marooned, Living on a Small Island, Animal Lead, Modern Adaptation, Romance, Relationships Gone Wrong, Dysfunctional Family",Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,United States,English,,,,,"$22,565,634",,,,
9,https://www.the-numbers.com/movie/Torn-Curtain,[],"[['Alfred Hitchcock', 'Director'], ['Willis Hall', 'Screenwriter'], ['Keith Waterhouse', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 4.3 times production budget)","July 16th, 1966 (Wide)",PG Rating for 1984 Re-Issue,128 minutes,vs. CharadeCreate your own comparison chart…,"Political Thriller, Defecting, Double Agent, Surprise Twist, Romance",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,,,,"$13,000,000",,,,
