,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Genre:,Production Countries:,Languages:,Video Release:,International Releases:,Keywords:,Source:,Production Method:,Creative Type:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/In-Like-Flint,[],"[['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),,,1967 (Wide),Not Rated Unrated,114 minutes,Flint,vs. Doctor DolittleCreate your own comparison chart…,Adventure,United States,English,,,,,,,,"$11,000,000",,,,
1,https://www.the-numbers.com/movie/Taming-of-the-Shrew-The,[],"[['Franco Zeffirelli', 'Director']]",100.0% (domestic box office/worldwide),,,"March 8th, 1967 (Wide)",Not Rated Approved,122 minutes,,vs. The Dirty DozenCreate your own comparison chart…,,"Italy, United States",English,,,,,,,,"$8,000,000",,,,
2,https://www.the-numbers.com/movie/How-to-Succeed-in-Business-Without-Really-Trying,[],[],100.0% (domestic box office/worldwide),,,"March 9th, 1967 (Wide)",Not Rated Approved,121 minutes,,vs. The Unsinkable Molly BrownCreate your own comparison chart…,,United States,English,"January 31st, 2006 by MGM Video",,,,,,,"$6,000,000",,,,
3,https://www.the-numbers.com/movie/Hombre,[],"[['Martin Ritt', 'Director']]",100.0% (domestic box office/worldwide),,,"March 21st, 1967 (Wide)",Not Rated Approved,111 minutes,,Create your own comparison chart…,,United States,English,,,,,,,,"$12,000,000",,,,
4,https://www.the-numbers.com/movie/Casino-Royale,"['Peter Sellers', 'Woody Allen', 'Joanna Pettet', 'Orson Welles', 'Daliah Lavi', 'Deborah Kerr', 'William Holden', 'Charles Boyer', 'Jean-Paul Belmondo', 'George Raft', 'John Huston', 'Terence Cooper', 'Barbara Bouchet', 'Gabriella Licudi', 'Tracy Reed', 'Tracey Crisp', 'Kurt Kasznar', 'Elaine Taylor', 'Angela Scoular', 'Ursula Andress', 'David Niven']","[['John Huston', 'Director'], ['Ken Hughes', 'Director'], ['Robert Parrish', 'Director'], ['Joe McGrath', 'Director'], ['Val Guest', 'Director'], ['Wolf Mankowitz', 'Screenwriter'], ['John Law', 'Screenwriter'], ['Michael Sayers', 'Screenwriter'], ['Ian Fleming', 'Story suggested by the novel by'], ['Charles K. Feldman', 'Producer'], ['Jerry Bresler', 'Producer'], ['Burt Bacharach', 'Composer']]",54.5% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 3.5 times production budget)",,"April 28th, 1967 (Wide) by Sony Pictures",Not Rated,131 minutes,James Bond,vs. Quantum of SolaceCreate your own comparison chart…,Comedy,"United Kingdom, United States","English, French, Gaelic, German, Japanese","October 15th, 2002 by MGM Video, released as Casino Royale (1967)","July 10th, 2015 (Wide), released as Casino Royale (Re: 2015) (United Kingdom)
","Spoof, Same Actor, Multiple Roles, Adapted as a Comedy, Farcical / Slapstick Comedy, Development Hell, Famously Bad, Remade",Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"Famous Artists Productions, Columbia Pictures","$22,744,718","$19,000,000","$41,744,718",,
5,https://www.the-numbers.com/movie/Barefoot-in-the-Park,"['Robert Redford', 'Jane Fonda', 'Charles Boyer', 'Mildred Natwick']","[['Gene Saks', 'Director'], ['Neil Simon', 'Screenwriter'], ['Neil Simon', 'Story based on the play by']]",100.0% (domestic box office/worldwide),,,"May 25th, 1967 (Wide) by Paramount Pictures",G,106 minutes,,Create your own comparison chart…,Romantic Comedy,United States,English,"April 9th, 2002 by Paramount Home Video",,Romance,Based on Play,Live Action,,,"$19,994,515",,,,
6,https://www.the-numbers.com/movie/War-Wagon-The,[],[],100.0% (domestic box office/worldwide),,,"May 27th, 1967 (Wide)",Not Rated unrated,96 minutes,,Create your own comparison chart…,Western,United States,"English, Spanish",,,,,Live Action,,,"$6,000,000",,,,
7,https://www.the-numbers.com/movie/Dorado-El,"['James Caan', 'John Wayne', 'John Mitchum']","[['Howard Hawks', 'Director']]",100.0% (domestic box office/worldwide),,,"June 7th, 1967 (Wide)",Not Rated,127 minutes,,Create your own comparison chart…,Western,United States,English,"March 11th, 2014 by Warner Bros / Paramount",,,Original Screenplay,Live Action,Historical Fiction,,"$6,000,000",,,"$515,377","$515,377"
8,https://www.the-numbers.com/movie/You-Only-Live-Twice,[],"[['Albert R. Broccoli', 'Producer']]",38.6% (domestic box office/worldwide),"$9,500,000 (worldwide box office is 11.7 times production budget)",,"June 13th, 1967 (Wide) by MGM",PG,117 minutes,James Bond,vs. ThunderballCreate your own comparison chart…,Action,United Kingdom,English,"October 17th, 2000 by MGM Video","March 20th, 2020 (Limited), released as You Only Live Twice (Re: 2020) (United Kingdom)
November 5th, 2020 (Wide) (Australia)
November 12th, 2020 (Wide) (New Zealand)
May 13th, 2022 (Wide), released as You Only Live Twice (Re: 2022) (United Kingdom)
",Secret Agent,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"Eon Productions, United Artists","$43,100,000","$68,500,000","$111,600,000",,
9,https://www.the-numbers.com/movie/Thoroughly-Modern-Millie,[],"[['George Roy Hill', 'Director']]",100.0% (domestic box office/worldwide),,,"June 14th, 1967 (Wide) by Universal",G,138 minutes,,vs. AirportCreate your own comparison chart…,Musical,United States,"English, French, Hebrew, Italian, Spanish, Swiss German","June 3rd, 2003 by Universal Home Entertainment",,,Original Screenplay,Live Action,Historical Fiction,,"$34,335,025",,,,
10,https://www.the-numbers.com/movie/To-Sir-With-Love,[],"[['James Clavell', 'Director']]",100.0% (domestic box office/worldwide),,,"June 14th, 1967 (Wide) by Sony Pictures",Not Rated,105 minutes,,vs. Guess Who's Coming to DinnerCreate your own comparison chart…,Drama,United Kingdom,English,"July 8th, 1994 by Sony Pictures Home Entertainment, released as To Sir, With Love",,"Life Drama, Bigotry, Inspirational Teacher, Immigration, Teachers, Set in London, Black British",,Live Action,,,"$42,432,803",,,,
11,https://www.the-numbers.com/movie/Dirty-Dozen-The,[],[],100.0% (domestic box office/worldwide),,,"June 15th, 1967 (Wide)",Not Rated,150 minutes,,vs. The Jungle BookCreate your own comparison chart…,,"United Kingdom, United States","English, French, German, Latin, Spanish","May 7th, 1996 by MGM Video",,"World War II, War",Based on Fiction Book/Short Story,,,,"$45,300,000",,,,
12,https://www.the-numbers.com/movie/Divorce-American-Style,[],"[['Bud Yorkin', 'Director'], ['Norman Lear', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"June 21st, 1967 (Wide)",Not Rated Approved,109 minutes,,Create your own comparison chart…,Romantic Comedy,United States,English,,,"Romantic Comedy, Romance, Relationships Gone Wrong, Divorcée Romance, Exes in Love, Hypnotism",Original Screenplay,Live Action,Contemporary Fiction,,"$12,000,000",,,,
13,https://www.the-numbers.com/movie/In-the-Heat-of-the-Night,[],"[['Norman Jewison', 'Director'], ['Stirling Silliphant', 'Screenwriter']]",99.9% (domestic box office/worldwide),"$2,000,000 (worldwide box office is 12.2 times production budget)",,"August 2nd, 1967 (Wide) by MGMOctober 16th, 2022 (Special Engagement) by Fathom Events",Not Rated,154 minutes,,Best Picture Oscar Winnersvs. A Man for All SeasonsCreate your own comparison chart…,Drama,United States,English,"January 14th, 2014 by Fox Home Entertainment","November 18th, 2016 (Limited), released as In the Heat of the Night (Re: 2016) (United Kingdom)
","Mystery Drama, Police Detective, Bigotry, Set in Mississippi, Abortion, Murder Mystery, 1968 Oscars Best Picture Nominee, Oscars Best Picture Winner",Original Screenplay,Live Action,Contemporary Fiction,,"$24,379,978","$27,669","$24,407,647","$729,346","$729,346"
14,https://www.the-numbers.com/movie/Bonnie-and-Clyde-(1967),"['Michael J. Pollard', 'Gene Hackman', 'Estelle Parsons', 'Gene Wilder', 'Warren Beatty', 'Faye Dunaway']","[['Arthur Penn', 'Director']]",100.0% (domestic box office/worldwide),"$2,500,000 (worldwide box office is 20.3 times production budget)",,"August 13th, 1967 (Wide) by Warner Bros.",R for violence (2007 - previously rated M in 1969),111 minutes,,vs. GoodfellasCreate your own comparison chart…,Drama,United States,English,"June 18th, 1996 by Warner Home Video","March 21st, 1968 (Limited) (Australia)
April 22nd, 2021 (Limited) (Australia)
January 26th, 2023 (Limited) (New Zealand)
","Fugitive / On the Run, Biographical Drama, 1968 Oscars Best Picture Nominee",Based on Real Life Events,Live Action,Dramatization,,"$50,700,000",$128,"$50,700,128",,
15,https://www.the-numbers.com/movie/Born-Losers-The,[],[],100.0% (domestic box office/worldwide),,,"August 18th, 1967 (Wide) by American International Pictures",PG,113 minutes,Billy Jack,vs. Mad MaxCreate your own comparison chart…,,United States,English,"July 10th, 2018 by Shout Factory",,"Motorcycle Gangs, Sex Crimes, Kidnap, Corrupt Cops",Original Screenplay,Live Action,,,"$36,000,000",,,"$52,157","$52,157"
16,https://www.the-numbers.com/movie/Jungle-Book-The-(1967),[],"[['Wolfgang Reitherman', 'Director']]",100.0% (domestic box office/worldwide),,18.40 (domestic box office/biggest weekend),"October 18th, 1967 (Wide) by Walt DisneyJuly 27th, 1984 (Wide) by Walt DisneyJuly 13th, 1990 (Wide) by Walt Disney",Not Rated,78 minutes,Jungle Book,vs. The Lion KingCreate your own comparison chart…,Musical,United States,English,"October 2nd, 2007 by Walt Disney Home Entertainment",,"Voiceover/Narration, Talking Animals, Animal Lead, Coming of Age, Orphan",Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,,"$141,843,000",,,"$22,999,397","$22,999,397"
17,https://www.the-numbers.com/movie/Camelot,[],[],100.0% (domestic box office/worldwide),,,"October 25th, 1967 (Wide) by Warner Bros.",G,179 minutes,,"vs. Hello, DollyCreate your own comparison chart…",Musical,United States,English,"July 1st, 1991 by Warner Home Video",,,Based on Fiction Book/Short Story,Live Action,Historical Fiction,,"$31,102,578",,,,
18,https://www.the-numbers.com/movie/Wait-Until-Dark,[],[],100.0% (domestic box office/worldwide),,,"October 26th, 1967 (Wide)",Not Rated,108 minutes,,Create your own comparison chart…,,United States,English,,,"Blindness, Narcotics, Smuggler",,,,,"$17,550,741",,,,
19,https://www.the-numbers.com/movie/Comedians-The,[],"[['Peter Glenville', 'Director'], ['Graham Greene', 'Screenwriter'], ['Graham Greene', 'Story Creator']]",100.0% (domestic box office/worldwide),,,"October 31st, 1967 (Wide) by MGM",Not Rated Approved,150 minutes,,Create your own comparison chart…,Drama,"Bermuda, France, United States","English, French, Haitian Creole, Spanish",,,"Political Drama, Haiti, Rebellion, Political, Ensemble, Mistaken Identity, Government Corruption, Prostitution, War, Inheritance, Novel or Other Work Adapted by Author",Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,,"$5,200,000",,,,
20,https://www.the-numbers.com/movie/Cool-Hand-Luke,[],"[['Stuart Rosenberg', 'Director'], ['Donn Pearce', 'Story Creator'], ['Donn Pearce', 'Screenwriter'], ['Frank Pierson', 'Screenwriter'], ['Lalo Schifrin', 'Composer']]",100.0% (domestic box office/worldwide),,,"November 1st, 1967 (Wide)",GP,126 minutes,,vs. Romeo+JulietCreate your own comparison chart…,Drama,United States,English,"June 25th, 1997 by Warner Home Video","June 18th, 2020 (Limited) (New Zealand)
September 11th, 2020 (Wide), released as Cool Hand Luke (1967) (2020) (Australia)
April 28th, 2022 (Limited) (New Zealand)
","Prison, Unnamed Character, Corrupt Cops, Crime Drama, 1950s, Cruel Wardens or Prison Guards",Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,,"$16,217,773",$388,"$16,218,161",,
21,https://www.the-numbers.com/movie/Guess-Whos-Coming-to-Dinner,[],"[['Stanley Kramer', 'Director']]",100.0% (domestic box office/worldwide),,,"December 12th, 1967 (Wide)",Not Rated,108 minutes,,vs. To Sir With LoveCreate your own comparison chart…,Romantic Comedy,United States,English,,"January 14th, 2022 (Limited) (United Kingdom)
",1968 Oscars Best Picture Nominee,Original Screenplay,Live Action,Contemporary Fiction,,"$56,700,000",,,,
22,https://www.the-numbers.com/movie/In-Cold-Blood,[],"[['Richard Brooks', 'Director'], ['Richard Brooks', 'Screenwriter'], ['Truman Capote', 'based on the book by']]",99.9% (domestic box office/worldwide),"$3,500,000 (worldwide box office is 3.7 times production budget)",,"December 14th, 1967 (Limited)",R,134 minutes,,vs. CapoteCreate your own comparison chart…,Drama,United States,English,"April 21st, 1998 by Sony Pictures Home Entertainment","September 11th, 2015 (Wide), released as In Cold Blood (Re: 2015) (United Kingdom)
","True Crime, Non-Chronological, Heist, Crime Drama, Film Noir, 1950s, Set in Kansas, Home Invasion, Police Detective",Based on Factual Book/Article,Live Action,Dramatization,,"$13,000,000","$7,551","$13,007,551",,
23,https://www.the-numbers.com/movie/Valley-of-the-Dolls,[],[],100.0% (domestic box office/worldwide),,,"December 15th, 1967 (Wide)","PG-13 for thematic elements involving substance abuse, some sexual content, partial nudity and language (re-rated March, 2006)GP original rating, 1/17/1971",123 minutes,,vs. Billy JackCreate your own comparison chart…,,United States,"English, French","September 27th, 2016 by Criterion",,,,,,,"$44,432,255",,,"$125,865","$125,865"
24,https://www.the-numbers.com/movie/Doctor-Dolittle-(1967),"['Richard Attenborough', 'Rex Harrison', 'Samantha Eggar', 'Anthony Newley']","[['Richard Fleischer', 'Director'], ['Leslie Bricusse', 'Screenwriter'], ['Hugh Lofting', 'Story based on the “Doctor Dolittle” stories by'], ['Leslie Bricusse', 'Composer'], ['Leslie Bricusse', 'Song Writer'], ['Ray Aghayan', 'Costume Designer']]",100.0% (domestic box office/worldwide),,,"December 19th, 1967 (Wide), released as Doctor Dolittle (1967)",Not Rated Approved,152 minutes,,vs. Doctor DolittleCreate your own comparison chart…,Adventure,United States,English,"October 16th, 2000 by Fox Home Entertainment, released as Doctor Dolittle (1967)",,1968 Oscars Best Picture Nominee,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20th Century Fox,"$9,000,000",,,,
25,https://www.the-numbers.com/movie/Graduate-The,[],"[['Mike Nichols', 'Director']]",99.9% (domestic box office/worldwide),,"2,751.06 (domestic box office/biggest weekend)","December 21st, 1967 (Wide) by EmbassyFebruary 14th, 1997 (Limited) by Embassy",PG,105 minutes,,vs. The StingCreate your own comparison chart…,Comedy,United States,English,"October 5th, 1999 by MGM Video","June 19th, 1971 (Wide) (South Korea)
June 23rd, 2017 (Limited), released as The Graduate: 50th Anniversary (United Kingdom)
","Wedding Day Disasters, Wedding Crashers, Romance, Recent College Graduate, 1968 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,,"$104,397,102","$69,731","$104,466,833",,
26,https://www.the-numbers.com/movie/Buono-il-brutto-il-cattivo-Il,"['Clint Eastwood', 'Lee Van Cleef', 'Eli Wallach']","[['Sergio Leone', 'Director'], ['Ennio Morricone', 'Composer']]",99.9% (domestic box office/worldwide),"$1,200,000 (worldwide box office is 5.1 times production budget)",,"December 29th, 1967 (Wide) by United Artists, released as The Good, The Bad and the Ugly",Not Rated Approved,177 minutes,Dollar Trilogy,vs. UnforgivenCreate your own comparison chart…,Western,"Germany, Italy, Spain","English, Italian, Spanish","January 28th, 1998 by MGM Video, released as The Good, the Bad and the Ugly","January 24th, 1969 (Wide), released as O Bom, O Mau E O Vilão (Portugal)
September 5th, 2003 (Wide), released as Good, The Bad, And The Ugly(re), The (Australia)
May 27th, 2004 (Wide), released as The Good, Bad & Ugly (New Zealand)
",Spaghetti Western,Original Screenplay,Live Action,Historical Fiction,Constantin Film,"$6,100,000","$3,885","$6,103,885",,
