,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Ambushers-The,[],"[['Henry Levin', 'Director'], ['Herbert Baker', 'Screenwriter'], ['Donald Hamilton', 'Story Creator']]",100.0% (domestic box office/worldwide),,,1968 (Wide) by Sony Pictures,"November 1st, 2022",Not Rated,102 minutes,Donald Hamilton's Matt Helm,Create your own comparison chart…,"Action Comedy, Spoof, Secret Agent, Undercover, Traitor",Based on Fiction Book/Short Story,Comedy,Live Action,Science Fiction,United States,English,,,"$10,000,000",,
1,https://www.the-numbers.com/movie/Bandolero,[],"[['Andrew V. McLaglen', 'Director'], ['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),,,1968 (Wide) by 20th Century Fox,,PG-13 for violence. ,106 minutes,,vs. How the West Was WonCreate your own comparison chart…,,Original Screenplay,Western,Live Action,Historical Fiction,United States,"English, Spanish",,,"$12,000,000",,
2,https://www.the-numbers.com/movie/Devils-Brigade-The,[],"[['Andrew V. McLaglen', 'Director'], ['William Roberts', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,1968 (Wide),"January 31st, 2006 by MGM Video",Not Rated Approved,130 minutes,,Create your own comparison chart…,"War, 1940s, World War II, Action Thriller, Set in Italy",Based on Factual Book/Article,Action,Live Action,Dramatization,United States,"English, German",,,"$8,000,000",,
3,https://www.the-numbers.com/movie/Fox-The,[],[],100.0% (domestic box office/worldwide),,,"February 7th, 1968 (Wide)",,R,110 minutes,,Create your own comparison chart…,,,,,,Canada,English,,,"$19,146,711",,
4,https://www.the-numbers.com/movie/Blackbeards-Ghost,[],[],100.0% (domestic box office/worldwide),,,"February 8th, 1968 (Wide) by Walt Disney",,G,106 minutes,,vs. The AristocatsCreate your own comparison chart…,Family Comedy,Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,United States,English,,,"$21,540,050",,
5,https://www.the-numbers.com/movie/Planet-of-the-Apes,[],"[['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),"$5,800,000 (worldwide box office is 5.8 times production budget)",,"February 8th, 1968 (Wide)","August 21st, 2001 by Fox Home Entertainment, released as Planet of the Apes (1968)",G,112 minutes,Planet of the Apes,vs. Beneath the Planet of the ApesCreate your own comparison chart…,"Post Apocalypse, Talking Animals, Humans as Pets, Slavery, Action Adventure, Surprise Twist",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,United States,English,"June 18th, 2020 (Wide) (New Zealand)
",,"$33,395,426","$3,510","$33,398,936"
6,https://www.the-numbers.com/movie/2001-A-Space-Odyssey,[],"[['Stanley Kubrick', 'Director']]",83.5% (domestic box office/worldwide),"$10,500,000 (worldwide box office is 6.8 times production budget)",295.60 (domestic box office/biggest weekend),"April 2nd, 1968 (Wide) by MGMOctober 5th, 2001 (Limited) by Warner Bros., released as 2001: A Space Odyssey (1968) (Re-Release)January 2nd, 2013 (Limited) by Warner Bros., released as 2001: A Space Odyssey (1968) (Re-Release)November 30th, 2013 (Limited) by Warner Bros., released as 2001: A Space Odyssey (1968) (Re-Release)May 18th, 2018 (Limited) by Warner Bros., released as 2001: A Space Odyssey (1968) (Re-Release)August 24th, 2018 (Limited) by Warner Bros., released as 2001: A Space Odyssey (1968) (Re-Release)","June 30th, 1993 by MGM Video",G,141 minutes,2001,vs. ContactCreate your own comparison chart…,"Visual Effects, Artificial Intelligence, Moonbase, First Contact, Space Program, Space Colonization, 2000s, Yesterday's Tomorrow, IMAX: DMR",Original Screenplay,Adventure,Live Action,Science Fiction,"United Kingdom, United States",English,"October 2nd, 1968 (Wide), released as 2001: Uma Odisseia no Espaço (Portugal)
November 21st, 2014 (Limited), released as 2001: A Space Odyssey (Re: 2014) (United Kingdom)
December 9th, 2016 (Wide) (Argentina)
June 2nd, 2017 (Limited), released as 2001: A Space Odyssey (Re-release) (Netherlands)
May 18th, 2018 (Limited), released as 2001: A Space Odyssey (Re: 2018) (United Kingdom)
... Show all releases
",Stanley Kubrick Productions,"$59,936,321","$11,864,953","$71,801,274"
7,https://www.the-numbers.com/movie/Yours-Mine-and-Ours,[],"[['Melville Shavelson', 'Director']]",100.0% (domestic box office/worldwide),,,"April 24th, 1968 (Wide) by MGM","December 21st, 1994 by MGM Video",PG for some mild crude humor,111 minutes,,"vs. Yours, Mine and OursCreate your own comparison chart…","Inspired by a True Story, Family Comedy, Remade, Dysfunctional Family",Based on Factual Book/Article,Comedy,Live Action,Contemporary Fiction,United States,English,,,"$25,912,624",,
8,https://www.the-numbers.com/movie/Odd-Couple-The,[],"[['Gene Saks', 'Director']]",100.0% (domestic box office/worldwide),,,"May 2nd, 1968 (Wide)","December 12th, 2000 by Paramount Home Video, released as Odd Couple, The",G,105 minutes,Odd Couple,vs. Romeo and JulietCreate your own comparison chart…,"Buddy Comedy, Romance, Relationships Gone Wrong, Divorcée Romance, Widow/Widower, Suicide",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,"$44,527,234",,
9,https://www.the-numbers.com/movie/Rosemarys-Baby,['Mia Farrow'],"[['Roman Polanski', 'Director'], ['Ira Levin', 'Story Creator']]",100.0% (domestic box office/worldwide),"$3,200,000 (worldwide box office is 10.4 times production budget)",,"June 12th, 1968 (Wide)","August 25th, 1998 by Paramount Home Video",R,137 minutes,,vs. ChinatownCreate your own comparison chart…,"Religious, Psychological Horror",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,United States,English,"1968 (Limited) (Australia)
March 1st, 1969 (Wide), released as A Semente do Diabo (Portugal)
May 11th, 2023 (Limited) (New Zealand)
",,"$33,395,426","$1,654","$33,397,080"
10,https://www.the-numbers.com/movie/Green-Berets-The,[],"[['John Wayne', 'Director'], ['Ray Kellogg', 'Director'], ['James Lee Barrett', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"June 19th, 1968 (Wide)","April 1st, 1992 by Warner Home Video",G,142 minutes,,vs. Alice's RestaurantCreate your own comparison chart…,"War Drama, War, Directing Yourself, Vietnam War, Set in Vietnam, Political",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,"Danish, English, German, Vietnamese",,,"$21,707,027",,
11,https://www.the-numbers.com/movie/Thomas-Crown-Affair-The-(1968),"['Faye Dunaway', 'Steve McQueen']","[['Norman Jewison', 'Director']]",100.0% (domestic box office/worldwide),,,"June 19th, 1968 (Wide) by MGM","May 8th, 2012 by MGM Video",R,102 minutes,Thomas Crown Affair,vs. BullittCreate your own comparison chart…,"Heist, Crime, Romance, Crime Drama, Remade",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,"$14,000,000",,
12,https://www.the-numbers.com/movie/Where-Were-You-When-the-Lights-Went-Out,[],"[['Hy Averback', 'Director'], ['Everett Freeman', 'Screenwriter'], ['Karl Tunberg', 'Screenwriter'], ['Claude Magnier', 'Story Creator']]",100.0% (domestic box office/worldwide),,,"June 19th, 1968 (Wide) by MGM",,M/PG,89 minutes,,vs. PattonCreate your own comparison chart…,"Romantic Comedy, Set in New York City, Set in New York, Theater Actor, Relationships Gone Wrong, Infidelity, 1960s, Inspired by a True Story",Based on Play,Romantic Comedy,Live Action,Historical Fiction,United States,"English, Spanish",,,"$7,988,000",,
13,https://www.the-numbers.com/movie/Hang-em-High,[],"[['Ted Post', 'Director']]",100.0% (domestic box office/worldwide),"$1,800,000 (worldwide box office is 3.8 times production budget)",,"August 3rd, 1968 (Wide) by United Artists","November 19th, 1997 by MGM Video, released as Hang  em High",PG-13,114 minutes,,Create your own comparison chart…,,Original Screenplay,Western,Live Action,Historical Fiction,United States,English,,,"$6,800,000",,
14,https://www.the-numbers.com/movie/With-Six-You-Get-Eggroll,"['Doris Day', 'Brian Keith']","[['Howard Morris', 'Director'], ['Gwen Bagni', 'Screenwriter'], ['Harvey Bullock', 'Screenwriter'], ['Paul Dubov', 'Screenwriter'], ['R.S. Allen', 'Screenwriter'], ['Martin Melcher', 'Producer']]",100.0% (domestic box office/worldwide),,,"August 7th, 1968 (Wide) by National General Pictures","May 3rd, 2005 by Paramount Home Video",G,95 minutes,,Create your own comparison chart…,"Family Comedy, Widow/Widower, Romance, Dysfunctional Family, Step-Family",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,"$10,095,200",,
15,https://www.the-numbers.com/movie/Funny-Girl-(1968),['Barbra Streisand'],"[['William Wyler', 'Director']]",100.0% (domestic box office/worldwide),,"1,181.95 (domestic box office/biggest weekend)","September 19th, 1968 (Wide) by ColumbiaAugust 31st, 2001 (Wide) by Sony Pictures","April 30th, 2013 by Sony Pictures Home Entertainment",G,151 minutes,,vs. The Odd CoupleCreate your own comparison chart…,"Comedy Drama, Biography, Vaudeville, 1900s, 1910s, Romance, Relationships Gone Wrong, White Collar Crime, Prison, Money Troubles, 1969 Oscars Best Picture Nominee",Based on Musical or Opera,Comedy,Live Action,Historical Fiction,United States,English,"November 19th, 2020 (Limited) (Australia)
",,"$58,707,416",,
16,https://www.the-numbers.com/movie/Night-of-the-Living-Dead-(1968),[],"[['George A. Romero', 'Director'], ['George A. Romero', 'Screenwriter'], ['John A. Russo', 'Screenwriter'], ['George A. Romero', 'Editor'], ['George A. Romero', 'Director of Photography']]",40.2% (domestic box office/worldwide),"$114,000 (worldwide box office is 263.9 times production budget)",537.32 (domestic box office/biggest weekend),"October 1st, 1968 (Wide) by Walter Reade OrganizationOctober 13th, 2017 (Limited) by Janus Films","July 10th, 1997 by Sony Pictures Home Entertainment",Not Rated,96 minutes,George A. Romero's Dead Series,vs. PsychoCreate your own comparison chart…,"Zombies, Death of a Son or Daughter, Surprise Twist, Death of a Sibling, African Americans, Retro Black and White, Scene in End Credits, Survival Horror",Original Screenplay,Horror,Live Action,Science Fiction,United States,English,"October 24th, 2018 (Limited) (United Kingdom)
",,"$12,087,064","$18,000,000","$30,087,064"
17,https://www.the-numbers.com/movie/Romeo-and-Juliet-(1968-United-Kingdom),[],[],100.0% (domestic box office/worldwide),,,"October 8th, 1968 (Wide)","February 14th, 2023 by Criterion",PG,138 minutes,,vs. TangledCreate your own comparison chart…,"Gangs, Historical Drama, Romance, Romeo and Juliet Romance, Relationships Gone Wrong, First Love, 1969 Oscars Best Picture Nominee",Based on Play,Drama,Live Action,Historical Fiction,United Kingdom,English,"May 20th, 2016 (Limited), released as Romeo and Juliet (1968) (United Kingdom)
","Paramount Pictures, BHE Films, Verona Produzione","$38,901,218","$6,429","$38,907,647"
18,https://www.the-numbers.com/movie/Finians-Rainbow,[],"[['Francis Ford Coppola', 'Director']]",100.0% (domestic box office/worldwide),,,"October 9th, 1968 (Wide)","May 9th, 2016 by Warner Home Video",G,141 minutes,,"vs. Hello, DollyCreate your own comparison chart…",,,,,,United States,"English, French",,,"$11,600,000",,
19,https://www.the-numbers.com/movie/Boston-Strangler-The,[],"[['Richard Fleischer', 'Director'], ['Edward Anhalt', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"October 16th, 1968 (Wide) by 20th Century Fox",,R,116 minutes,,vs. The Silence of the LambsCreate your own comparison chart…,"Crime Thriller, Biography, Serial Killer, Set in Boston, Police Detective, 1960s",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Dramatization,United States,English,,,"$17,810,894",,
20,https://www.the-numbers.com/movie/Bullitt,[],"[['Peter Yates', 'Director'], ['Lalo Schifrin', 'Composer']]",100.0% (domestic box office/worldwide),,,"October 17th, 1968 (Wide) by Warner Bros.","November 19th, 1997 by Warner Home Video",M/PG,114 minutes,,vs. 2001: A Space OdysseyCreate your own comparison chart…,"Film Noir, Car Chase",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,English,"December 10th, 2020 (Limited) (Australia)
",,"$42,300,873",$72,"$42,300,945"
21,https://www.the-numbers.com/movie/Lion-in-Winter-The-(UK),"['Jane Merrow', 'John Castle', 'Timothy Dalton', 'Anthony Hopkins', 'Nigel Stock', 'Nigel Terry', ""Peter O'Toole"", 'Katharine Hepburn']","[['Anthony Harvey', 'Director'], ['James Goldman', 'Screenwriter'], ['James Goldman', 'Based on a play by'], ['Martin Poll', 'Producer'], ['Jane C. Nusbaum', 'Producer'], ['Joseph E. Levine', 'Producer'], ['John Barry', 'Composer'], ['Douglas Slocombe', 'Cinematographer']]",100.0% (domestic box office/worldwide),,"4,175.88 (domestic box office/biggest weekend)","October 30th, 1968 (Wide)December 16th, 2016 (Limited) by Rialto Pictures","January 31st, 2006 by MGM Video",PG,134 minutes,,vs. The MummyCreate your own comparison chart…,"Royalty, Medieval, Set in England, Inheritance, Infidelity, Political, Dysfunctional Family, Historical Drama, 1100s, 1969 Oscars Best Picture Nominee",Based on Real Life Events,Drama,Live Action,Dramatization,United Kingdom,English,,"Avco Embassy Pictures Corporation, Haworth Productions","$22,295,024",,
22,https://www.the-numbers.com/movie/Oliver,[],"[['Sir Carol Reed', 'Director']]",100.0% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 3.7 times production budget)",,"December 11th, 1968 (Wide) by Sony Pictures","August 11th, 1998 by Sony Pictures Home Entertainment",G,153 minutes,,Best Picture Oscar Winnersvs. Midnight CowboyCreate your own comparison chart…,"1969 Oscars Best Picture Nominee, Oscars Best Picture Winner",Based on Fiction Book/Short Story,Musical,Live Action,Historical Fiction,United Kingdom,English,"November 5th, 2020 (Wide) (Australia)
",,"$37,402,877",,
23,https://www.the-numbers.com/movie/Candy,[],"[['Christian Marquand', 'Director'], ['Buck Henry', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"December 17th, 1968 (Wide)",,"R for pervasive depiction of drug addiction, disturbing images, language, sexual content and nudity",115 minutes,,Create your own comparison chart…,"Sex Comedy, Sex Crimes, Dysfunctional Family, Twins, Medical and Hospitals",Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,"France, Italy, United States","English, Welsh",,,"$16,408,286",,
