,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Franchise:,Video Release:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Jag-ar-Nyfiken-en-film-i-gult,"['Vilgot Sjöman', 'Lena Nyman']","[['Vilgot Sjöman', 'Director'], ['Uncredited*', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"March 10th, 1969 (Wide), released as I Am Curious (Yellow)",NC-17 Rated X,121 minutes,Create your own comparison chart…,"Life Drama, Directing Yourself, Screenplay Written By the Star, Political, Fictionalized Version of Yourself",Original Screenplay,Drama,Live Action,Contemporary Fiction,Sweden,Swedish,,,,,"$20,200,000",,,,
1,https://www.the-numbers.com/movie/Where-Eagles-Dare,[],"[['Brian G. Hutton', 'Director'], ['Alistair MacLean', 'Screenwriter'], ['Alistair MacLean', 'Story Creator']]",100.0% (domestic box office/worldwide),,,"March 12th, 1969 (Wide) by MGM",M/PG,158 minutes,vs. DelgoCreate your own comparison chart…,"World War II, War, Action Thriller, 1940s, Novel or Other Work Adapted by Author, Double Agent",Based on Fiction Book/Short Story,Action,Live Action,Historical Fiction,"United Kingdom, United States","English, German","December 10th, 2020 (Wide) (New Zealand)
",,,,"$7,100,000",$436,"$7,100,436",,
2,https://www.the-numbers.com/movie/Love-Bug-The,[],[],100.0% (domestic box office/worldwide),,,"March 13th, 1969 (Wide)",G,108 minutes,vs. Herbie Goes BananasCreate your own comparison chart…,"Auto Racing, Family Comedy, Animated Inanimate Objects",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,"Cantonese, English, Spanish","October 8th, 2020 (Limited) (Australia)
January 7th, 2021 (Wide) (New Zealand)
",Herbie,,,"$50,576,808","$5,457","$50,582,265",,
3,https://www.the-numbers.com/movie/Sweet-Charity,"['Shirley MacLaine', 'John McMartin', 'Chita Rivera', 'Paula Kelly', 'Stubby Kaye', 'Ricardo Montalbán', 'Sammy Davis, Jr.']","[['Bob Fosse', 'Director'], ['Bob Fosse', 'Screenwriter'], ['Robert Arthur', 'Producer'], ['Neil Simon', 'Story based on the book by'], ['Cy Coleman', 'Composer'], ['Dorothy Fields', 'Song Writer']]",100.0% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 0.4 times production budget)",,"April 1st, 1969 (Limited) by Universal",G,149 minutes,"vs. Hello, DollyCreate your own comparison chart…",,Compilation,Musical,Live Action,Contemporary Fiction,United States,English,,,"March 4th, 2003 by Universal Home Entertainment",Fryer Carr and Harris,"$8,000,000",,,,
4,https://www.the-numbers.com/movie/Goodbye-Columbus,[],"[['Larry Peerce', 'Director']]",100.0% (domestic box office/worldwide),,,"April 3rd, 1969 (Wide)",PG Re-Rating,102 minutes,Create your own comparison chart…,,,,,,United States,English,,,,,"$22,939,805",,,,
5,https://www.the-numbers.com/movie/If-Its-Tuesday-This-Must-Be-Belgium,[],[],100.0% (domestic box office/worldwide),,,"April 24th, 1969 (Wide) by United Artists",G Edited for re-rating,99 minutes,Create your own comparison chart…,"Vacation, Romance",Based on Factual Book/Article,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,,,"May 1st, 2008 by United Artists Video",,"$6,000,000",,,,
6,https://www.the-numbers.com/movie/Winning,[],"[['James Goldstone', 'Director'], ['Howard Rodman', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"May 22nd, 1969 (Wide) by Universal",PG Re-Rating,123 minutes,Create your own comparison chart…,"Sports Drama, Professional Rivalry, Auto Racing, Relationships Gone Wrong, Infidelity, Relatives Playing Relatives",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,,,"$14,644,335",,,,
7,https://www.the-numbers.com/movie/Midnight-Cowboy,[],"[['John Schlesinger', 'Director']]",100.0% (domestic box office/worldwide),"$3,600,000 (worldwide box office is 12.4 times production budget)",,"May 25th, 1969 (Wide) by MGM","R Edited for re-rating
(1971 - Previously rated X in 1969)",113 minutes,Best Picture Oscar Winnersvs. Oliver!Create your own comparison chart…,"LGBTQ+, Oscars Best Picture Winner, 1970 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,"English, Italian","September 13th, 2019 (Wide), released as Midnight Cowboy (4K Restoration) (United Kingdom)
",,"January 24th, 2012 by MGM Video",,"$44,785,053","$11,276","$44,796,329",,
8,https://www.the-numbers.com/movie/Once-Upon-a-Time-in-the-West,"['Claudia Cardinale', 'Henry Fonda', 'Jason Robards', 'Charles Bronson']","[['Sergio Leone', 'Director'], ['Dario Argento', 'Story by']]",98.9% (domestic box office/worldwide),"$5,000,000 (worldwide box office is 1.1 times production budget)",,"May 28th, 1969 (Wide) by Paramount Pictures",PG-13 for western violence and brief sensuality.,165 minutes,vs. UnforgivenCreate your own comparison chart…,"Revenge, Unnamed Character, Gangs, Death of a Son or Daughter, Trains, Terminal Illness, Non-Chronological",Original Screenplay,Western,Live Action,Historical Fiction,"Italy, United States","Italian, Spanish","April 1st, 1970 (Wide), released as Aconteceu no Oeste (Portugal)
November 3rd, 2016 (Wide), released as Once Upon a Time in the West (Re-release) (Netherlands)
November 23rd, 2018 (Wide), released as Once Upon A Time In The West (1968) (re) (Australia)
November 19th, 2020 (Wide) (New Zealand)
June 4th, 2023 (Limited) (Australia)
... Show all releases
",,"February 19th, 1997 by Paramount Home Video",,"$5,321,508","$59,005","$5,380,513",,
9,https://www.the-numbers.com/movie/True-Grit-(1969),[],"[['Henry Hathaway', 'Director']]",82.7% (domestic box office/worldwide),,,"June 11th, 1969 (Wide)May 5th, 2019 (Special Engagement) by Fathom Events, released as True Grit 50th Anniversary",G Edited for re-rating,128 minutes,vs. True GritCreate your own comparison chart…,,Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,United States,English,"May 13th, 2021 (Limited) (Australia)
",,"February 19th, 1997 by Warner Home Video, released as True Grit (1969)",,"$31,132,592","$6,527,308","$37,659,900",,
