,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/MASH-(1970),[],"[['Robert Altman', 'Director']]",100.0% (domestic box office/worldwide),"$3,500,000 (worldwide box office is 23.3 times production budget)",,"January 1st, 1970 (Wide)","September 7th, 2004 by Fox Home Entertainment",R for sexual content. (edited version) ,116 minutes,vs. The War of the RosesCreate your own comparison chart…,"Military Life, Korean War, War, 1971 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Black Comedy,Live Action,Historical Fiction,United States,English,,,"$81,600,000",,,,
1,https://www.the-numbers.com/movie/Patton,[],"[['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 5.2 times production budget)",,"January 1st, 1970 (Wide)","November 7th, 2000 by Fox Home Entertainment",M/PG,172 minutes,Best Picture Oscar Winnersvs. The French ConnectionCreate your own comparison chart…,"Oscars Best Picture Winner, 1971 Oscars Best Picture Nominee",Based on Factual Book/Article,Drama,Live Action,Historical Fiction,United States,,,,"$62,500,000",,,,
2,https://www.the-numbers.com/movie/Airport,[],"[['George Seaton', 'Director']]",100.0% (domestic box office/worldwide),,,"March 5th, 1970 (Wide) by Universal","June 14th, 2016 by Universal Home Entertainment, released as Airport: The Complete Collection",G,137 minutes,vs. PattonCreate your own comparison chart…,"Disaster, In a Plane, Ensemble, 1971 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,"English, Italian",Airport,,"$100,489,150","$348,176","$348,176",,
3,https://www.the-numbers.com/movie/Woodstock,[],"[['Michael Wadleigh', 'Director']]",99.4% (domestic box office/worldwide),"$600,000 (worldwide box office is 57.8 times production budget)",,"March 26th, 1970 (Wide)","March 26th, 1997 by Warner Home Video, released as Woodstock: 3 Days of Peace and Music",R,184 minutes,vs. An Inconvenient TruthCreate your own comparison chart…,,Based on Real Life Events,Documentary,Live Action,Factual,United States,English,,"August 15th, 2019 (Wide), released as Woodstock (50th Anniversary) (Netherlands)
","$34,505,110",,,"$194,156","$34,699,266"
4,https://www.the-numbers.com/movie/Aristocats-The,[],"[['Wolfgang Reitherman', 'Director']]",100.0% (domestic box office/worldwide),,16.81 (domestic box office/biggest weekend),"April 24th, 1970 (Wide) by Walt DisneyDecember 19th, 1980 (Wide) by Walt DisneyApril 10th, 1987 (Wide) by Walt Disney","April 4th, 2000 by Walt Disney Home Entertainment",G,78 minutes,vs. Lady and the TrampCreate your own comparison chart…,"Animal Lead, Talking Animals, Cross-Class Romance, Romance, Inheritance, Musicians, Jazz, Country Mouse, City Mouse",Original Screenplay,Musical,Hand Animation,Kids Fiction,United States,English,,"May 26th, 2012 (Wide) (New Zealand)
September 29th, 2022 (Limited) (New Zealand)
","$55,675,257",,,$269,"$55,675,526"
5,https://www.the-numbers.com/movie/Ballad-of-Cable-Hogue-The,[],"[['Sam Peckinpah', 'Director'], ['Jerry Goldsmith', 'Composer']]",70.0% (domestic box office/worldwide),"$3,716,946 (worldwide box office is 1.3 times production budget)",,"May 13th, 1970 (Wide) by Warner Bros.",,R,121 minutes,vs. Planet 51Create your own comparison chart…,,Original Screenplay,Western,Live Action,Historical Fiction,United States,English,,,"$3,500,000",,,"$1,500,000","$5,000,000"
6,https://www.the-numbers.com/movie/Beneath-the-Planet-of-the-Apes,[],"[['Ted Post', 'Director'], ['Paul Dehn', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 5.8 times production budget)",,"May 26th, 1970 (Wide) by 20th Century Fox","March 28th, 2006 by Fox Home Entertainment",G,95 minutes,vs. Battle for the Planet of the ApesCreate your own comparison chart…,"Action Adventure, Voiceover/Narration, Post Apocalypse, Talking Animals",Original Screenplay,Action,Live Action,Science Fiction,United States,English,Planet of the Apes,,"$17,489,009",,,,
7,https://www.the-numbers.com/movie/Two-Mules-for-Sister-Sara,[],"[['Don Siegel', 'Director'], ['Albert Maltz', 'Screenwriter'], ['Budd Boetticher', 'Story Creator'], ['Ennio Morricone', 'Composer']]",100.0% (domestic box office/worldwide),,,"June 16th, 1970 (Wide) by Universal","January 19th, 1999 by Universal Home Entertainment",M/PG,116 minutes,Create your own comparison chart…,"Fugitive / On the Run, Prostitution, Monks and Nuns, War, Romance, 1860s",Original Screenplay,Western,Live Action,Historical Fiction,"Mexico, United States","English, French, Latin, Spanish",,,"$5,050,000",,,,
8,https://www.the-numbers.com/movie/Beyond-the-Valley-of-the-Dolls,"['Erica Gavin', 'Dolly Read', 'Cynthia Myers', 'Marcia McBroom']","[['Russ Meyer', 'Director'], ['Roger Ebert', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$1,000,000 (worldwide box office is 9.0 times production budget)",,"June 17th, 1970 (Wide) by 20th Century Fox","June 13th, 2006 by Fox Home Entertainment",NC-17,109 minutes,vs. Welcome to the DollhouseCreate your own comparison chart…,"Satirical Comedy, Satire, Prescription Drug Abuse, Addiction, Relationships Gone Wrong, Suicide, Domestic Abuse, LGBTQ+, Abortion, Musicians, Inheritance, Cult Movie, Ensemble",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,"$9,000,000",,,,
9,https://www.the-numbers.com/movie/Kellys-Heroes,[],"[['Brian G. Hutton', 'Director'], ['Troy Kennedy Martin', 'Screenwriter'], ['Lalo Schifrin', 'Composer']]",100.0% (domestic box office/worldwide),,,"June 23rd, 1970 (Wide) by MGM",,GP,84 minutes,vs. The Longest DayCreate your own comparison chart…,"World War II, War, Inspired by a True Story, 1940s, Heist, Nazis, Nazi Treasure, Ensemble, Crime Comedy, AWOL",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,"English, French, German",,,"$5,200,000",,,,
