,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Opening Weekend:,Theater counts:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Andromeda-Strain-The,[],"[['Robert Wise', 'Director'], ['Nelson Gidding', 'Screenwriter'], ['Robert Wise', 'Screenwriter'], ['Michael Crichton', 'Based on the novel by']]",100.0% (domestic box office/worldwide),"$6,500,000 (worldwide box office is 1.9 times production budget)",,,,"January 1st, 1971 (Wide) by Universal","April 6th, 2023 (Limited) (New Zealand)
","July 14th, 2015 by Universal Home Entertainment",G,131 minutes,Create your own comparison chart…,"Techno-Thriller, Epidemic, Non-Chronological, Space Program, Medical and Hospitals, Split Screen",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction,United States,English,,,"$12,376,563",$70,"$12,376,633","$285,443","$285,443"
1,https://www.the-numbers.com/movie/Big-Doll-House-The,[],"[['Jack Hill', 'Director']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1971 (Wide) by MGM",,,R,95 minutes,vs. The Hows of UsCreate your own comparison chart…,,Original Screenplay,,Live Action,,"Philippines, United States",English,,,"$10,000,000",,,,
2,https://www.the-numbers.com/movie/Billy-Jack,[],[],100.0% (domestic box office/worldwide),"$800,000 (worldwide box office is 122.5 times production budget)",,,,"January 1st, 1971 (Wide) by Warner Bros.",,,GP,112 minutes,vs. Summer of '42Create your own comparison chart…,,Original Screenplay,Western,Live Action,Contemporary Fiction,United States,English,Billy Jack,,"$98,000,000",,,,
3,https://www.the-numbers.com/movie/Carnal-Knowledge,[],"[['Mike Nichols', 'Director']]",100.0% (domestic box office/worldwide),,"3,703.37 (domestic box office/biggest weekend)",,,"January 1st, 1971 (Wide) by Avco Embassy","February 28th, 1972 (Limited), released as Ce plaisir qu'on dit charnel (France)
July 20th, 2022 (Wide), released as Ce plaisir qu'on dit charnel (France)
July 28th, 2022 (Limited) (New Zealand)
",,R,97 minutes,vs. Billy JackCreate your own comparison chart…,"Comedy Drama, Relationships Gone Wrong, Relationship Advice, Romance, Prostitution, Suicide, Depression, Abusive boyfriend, College, 1940s, 1950s, 1970s",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,"$28,630,731",$322,"$28,631,053",,
4,https://www.the-numbers.com/movie/Fiddler-on-the-Roof,[],"[['Norman Jewison', 'Director']]",100.0% (domestic box office/worldwide),"$9,000,000 (worldwide box office is 8.9 times production budget)",46.61 (domestic box office/biggest weekend),,,"January 1st, 1971 (Wide) by United ArtistsDecember 13th, 2020 (Special Engagement) by Fathom Events, released as Fiddler on the Roof (1971)","November 19th, 2020 (Limited) (Australia)
",,G,181 minutes,vs. GreaseCreate your own comparison chart…,"Religious, 1972 Oscars Best Picture Nominee",Based on Musical or Opera,Musical,Live Action,Historical Fiction,United States,"English, Hebrew, Russian",,,"$80,500,000","$1,127","$80,501,127",,
5,https://www.the-numbers.com/movie/Klute,"['Jane Fonda', 'Donald Sutherland']","[['Alan J. Pakula', 'Director'], ['Andy Lewis', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1971 (Wide)","December 15th, 1971 (Limited) (Australia)
","August 30th, 2005 by Warner Home Video",R,114 minutes,vs. MementoCreate your own comparison chart…,"Film Noir, Crime Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,,"$12,512,637",,,,
6,https://www.the-numbers.com/movie/Play-Misty-for-Me,"['Donna Mills', 'John Larch', 'Clint Eastwood', 'Jessica Walter']","[['Clint Eastwood', 'Director'], ['Jo Heims', 'Screenwriter'], ['Dean Riesner', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1971 (Wide) by Universal",,"September 18th, 2001 by Universal Home Entertainment",R,102 minutes,vs. JawsCreate your own comparison chart…,"Actors Making Their Directorial Debut, Radio Industry, One Night Stand, Obsessive Love, Stalker, Directing Yourself, Psychological Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,"Universal Pictures, Malpaso Productions, Jennings Lang","$10,600,000",,,,
7,https://www.the-numbers.com/movie/Sweet-Sweetbacks-Baad-Asssss-Song,[],[],100.0% (domestic box office/worldwide),"$150,000 (worldwide box office is 101.3 times production budget)",,,,"January 1st, 1971 (Wide)",,,R,,vs. Deep ThroatCreate your own comparison chart…,"Black Urban, African Americans, Blaxploitation",,,,,United States,,,,"$15,200,000",,,,
8,https://www.the-numbers.com/movie/Willard,[],[],100.0% (domestic box office/worldwide),,,,,"January 1st, 1971 (Wide)",,"May 16th, 2017 by Shout Factory","PG-13 for terror/violence, some sexual content and language.",,Create your own comparison chart…,"Animal Lead, Animals Gone Bad, Remade",,,,,United States,,Willard,,"$14,545,941",,,"$87,551","$87,551"
9,https://www.the-numbers.com/movie/Big-Jake,[],"[['John Wayne', 'Director']]",100.0% (domestic box office/worldwide),,,,,1971 (Wide),,"May 31st, 2011 by Paramount Home Video",PG-13 for western violence. (re-rating) ,110 minutes,vs. The Sons of Katie ElderCreate your own comparison chart…,"Prologue, Voiceover/Narration, Gangs, Kidnap, Dysfunctional Family, Rescue",Original Screenplay,Western,Live Action,Historical Fiction,"Mexico, United States","English, Spanish",,,"$7,500,000",,,,
