,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Godfather-The,"Mar 17, 1972",1,"$302,393", ,6,"$50,399","  $302,393",weekend,1,
1,https://www.the-numbers.com/movie/Godfather-The,"Mar 24, 1972",1,"$5,264,402","+1,641%",323,"$16,298","  $133,698,921",weekend,2,
2,https://www.the-numbers.com/movie/Godfather-The,"Mar 21, 1997",30,"$229,932", ,40,"$5,748","  $133,928,853",weekend,"1,306",
3,https://www.the-numbers.com/movie/Godfather-The,"Mar 28, 1997",36,"$176,316",-23%,40,"$4,408","  $134,318,802",weekend,"1,307",
4,https://www.the-numbers.com/movie/Godfather-The,"Apr 4, 1997",40,"$126,343",-28%,40,"$3,159","  $134,542,560",weekend,"1,308",
5,https://www.the-numbers.com/movie/Godfather-The,"Apr 11, 1997",41,"$93,402",-26%,40,"$2,335","  $134,693,556",weekend,"1,309",
6,https://www.the-numbers.com/movie/Godfather-The,"Apr 18, 1997",47,"$71,220",-24%,40,"$1,781","  $134,802,361",weekend,"1,310",
7,https://www.the-numbers.com/movie/Godfather-The,"Apr 25, 1997",54,"$43,901",-38%,40,"$1,098","  $134,874,308",weekend,"1,311",
8,https://www.the-numbers.com/movie/Godfather-The,"May 2, 1997",57,"$29,177",-34%,40,$729,"  $134,920,873",weekend,"1,312",
9,https://www.the-numbers.com/movie/Godfather-The,"May 9, 1997",61,"$17,891",-39%,40,$447,"  $134,951,867",weekend,"1,313",
10,https://www.the-numbers.com/movie/Godfather-The,"May 16, 1997",61,"$20,202",+13%,40,$505,"  $134,983,600",weekend,"1,314",
11,https://www.the-numbers.com/movie/Godfather-The,"May 23, 1997",61,"$14,875",-26%,40,$372,"  $135,014,048",weekend,"1,315",
12,https://www.the-numbers.com/movie/Godfather-The,"May 30, 1997",61,"$10,965",-26%,40,$274,"  $135,029,670",weekend,"1,316",
13,https://www.the-numbers.com/movie/Godfather-The,"Jun 6, 1997",61,"$6,704",-39%,40,$168,"  $135,043,998",weekend,"1,317",
14,https://www.the-numbers.com/movie/Godfather-The,"Jun 13, 1997",61,"$4,487",-33%,40,$112,"  $135,053,260",weekend,"1,318",
15,https://www.the-numbers.com/movie/Godfather-The,"Jun 20, 1997",62,"$4,495",n/c,40,$112,"  $135,062,694",weekend,"1,319",
16,https://www.the-numbers.com/movie/Godfather-The,"Feb 25, 2022",12,"$965,375", ,156,"$6,188","  $136,030,707",weekend,"2,607",
17,https://www.the-numbers.com/movie/Godfather-The,"Mar 18, 2022",-,"$115,029", ,596,$193,"  $136,380,324",weekend,"2,610",
0,https://www.the-numbers.com/movie/Godfather-The,"Feb 25, 2022",9,"$427,682", ,156,"$2,742","  $135,493,014",daily,"18,245", 
1,https://www.the-numbers.com/movie/Godfather-The,"Feb 26, 2022",-,"$298,243",-30%,156,"$1,912","  $135,791,257",daily,"18,246", 
2,https://www.the-numbers.com/movie/Godfather-The,"Feb 27, 2022",-,"$239,450",-20%,156,"$1,535","  $136,030,707",daily,"18,247", 
3,https://www.the-numbers.com/movie/Godfather-The,"Feb 28, 2022",-,"$92,413",-61%,156,$592,"  $136,123,120",daily,"18,248", 
4,https://www.the-numbers.com/movie/Godfather-The,"Mar 1, 2022",-,"$103,198",+12%,156,$662,"  $136,226,318",daily,"18,249", 
5,https://www.the-numbers.com/movie/Godfather-The,"Mar 2, 2022",-,"$38,883",-62%,156,$249,"  $136,265,201",daily,"18,250", 
6,https://www.the-numbers.com/movie/Godfather-The,"Mar 3, 2022",-,$94,-100%,156,$1,"  $136,265,295",daily,"18,251", 
7,https://www.the-numbers.com/movie/Godfather-The,"Mar 18, 2022",-,"$28,372", ,596,$48,"  $136,293,667",daily,"18,266", 
8,https://www.the-numbers.com/movie/Godfather-The,"Mar 19, 2022",-,"$49,364",+74%,596,$83,"  $136,343,031",daily,"18,267", 
9,https://www.the-numbers.com/movie/Godfather-The,"Mar 20, 2022",-,"$37,293",-24%,596,$63,"  $136,380,324",daily,"18,268", 
10,https://www.the-numbers.com/movie/Godfather-The,"Mar 21, 2022",-,"$19,393",-48%,596,$33,"  $136,399,717",daily,"18,269", 
11,https://www.the-numbers.com/movie/Godfather-The,"Mar 22, 2022",-,"$26,073",+34%,596,$44,"  $136,425,790",daily,"18,270", 
12,https://www.the-numbers.com/movie/Godfather-The,"Mar 23, 2022",-,"$29,129",+12%,596,$49,"  $136,454,919",daily,"18,271", 
13,https://www.the-numbers.com/movie/Godfather-The,"Mar 24, 2022",-,"$25,075",-14%,596,$42,"  $136,479,994",daily,"18,272", 
0,https://www.the-numbers.com/movie/Godfather-The,"Mar 17, 1972",1,"$302,393", ,6,"$50,399","  $302,393",weekly,2,
1,https://www.the-numbers.com/movie/Godfather-The,"Mar 21, 1997",28,"$443,565", ,40,"$11,089","  $134,142,486",weekly,"1,307",
2,https://www.the-numbers.com/movie/Godfather-The,"Mar 28, 1997",34,"$273,731",-38%,40,"$6,843","  $134,416,217",weekly,"1,308",
3,https://www.the-numbers.com/movie/Godfather-The,"Apr 4, 1997",37,"$183,937",-33%,40,"$4,598","  $134,600,154",weekly,"1,309",
4,https://www.the-numbers.com/movie/Godfather-The,"Apr 11, 1997",41,"$130,987",-29%,40,"$3,275","  $134,731,141",weekly,"1,310",
5,https://www.the-numbers.com/movie/Godfather-The,"Apr 18, 1997",48,"$99,266",-24%,40,"$2,482","  $134,830,407",weekly,"1,311",
6,https://www.the-numbers.com/movie/Godfather-The,"Apr 25, 1997",49,"$61,289",-38%,40,"$1,532","  $134,891,696",weekly,"1,312",
7,https://www.the-numbers.com/movie/Godfather-The,"May 2, 1997",53,"$42,280",-31%,40,"$1,057","  $134,933,976",weekly,"1,313",
8,https://www.the-numbers.com/movie/Godfather-The,"May 9, 1997",53,"$29,422",-30%,40,$736,"  $134,963,398",weekly,"1,314",
9,https://www.the-numbers.com/movie/Godfather-The,"May 16, 1997",52,"$35,775",+22%,40,$894,"  $134,999,173",weekly,"1,315",
10,https://www.the-numbers.com/movie/Godfather-The,"May 23, 1997",55,"$19,532",-45%,40,$488,"  $135,018,705",weekly,"1,316",
11,https://www.the-numbers.com/movie/Godfather-The,"May 30, 1997",56,"$18,589",-5%,40,$465,"  $135,037,294",weekly,"1,317",
12,https://www.the-numbers.com/movie/Godfather-The,"Jun 6, 1997",54,"$11,479",-38%,40,$287,"  $135,048,773",weekly,"1,318",
13,https://www.the-numbers.com/movie/Godfather-The,"Jun 13, 1997",56,"$9,426",-18%,40,$236,"  $135,058,199",weekly,"1,319",
14,https://www.the-numbers.com/movie/Godfather-The,"Jun 20, 1997",58,"$7,133",-24%,40,$178,"  $135,065,332",weekly,"1,320",
15,https://www.the-numbers.com/movie/Godfather-The,"Feb 25, 2022",12,"$1,199,963", ,156,"$7,692","  $136,265,295",weekly,"2,608",
