,url,cast,crew,Domestic Share:,Opening Weekend:,Legs:,Production Budget:,Theater counts:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Franchise:,Production/Financing Companies:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Joe-Kidd,"['Robert Duvall', 'John Saxon', 'Don Stroud', 'Stella Garcia', 'Clint Eastwood']","[['John Sturges', 'Director'], ['Lalo Schifrin', 'Composer']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1972 (Wide) by Universal","March 1st, 1992 by Universal Home Entertainment",PG,88 minutes,Create your own comparison chart…,Set in New Mexico,Original Screenplay,Western,Live Action,Historical Fiction,United States,English,,,,"$6,330,000",,,,
1,https://www.the-numbers.com/movie/Across-110th-Street,[],"[['Barry Shear', 'Director'], ['Luther Davis', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,1972 (Wide) by United Artists,"September 9th, 2014 by Kino Lorber",R,102 minutes,Create your own comparison chart…,"Film Noir, Hood Film, Crime Thriller, Mafia, Gangs, Bank Robbery, Set in Harlem, Set in New York City, Set in New York",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,,,"$10,000,000","$103,468","$103,468",,
2,https://www.the-numbers.com/movie/Cowboys-The,[],[],100.0% (domestic box office/worldwide),,,,,"January 13th, 1972 (Wide) by Warner Bros.",,GP,,vs. Good Will HuntingCreate your own comparison chart…,,,,,,United States,,,,,"$7,500,000",,,,
3,https://www.the-numbers.com/movie/Cabaret,[],"[['Bob Fosse', 'Director']]",99.8% (domestic box office/worldwide),,,,,"February 12th, 1972 (Wide) by Allied Artists","April 1st, 1992 by Warner Home Video",PG,124 minutes,vs. Un homme et une femmeCreate your own comparison chart…,"Performing Arts, Film Noir, 1973 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Musical,Live Action,Historical Fiction,United States,,"June 17th, 2021 (Limited) (New Zealand)
May 6th, 2022 (Limited), released as Cabaret (50th Anniversary) (United Kingdom)
August 11th, 2022 (Limited) (Australia)
May 28th, 2023 (Limited) (Australia)
",,,"$41,326,446",,,"$73,311","$41,399,757"
4,https://www.the-numbers.com/movie/Whats-Up-Doc,[],"[['Peter Bogdanovich', 'Director']]",100.0% (domestic box office/worldwide),,,,,"March 10th, 1972 (Wide) by Warner Bros.","December 6th, 1993 by Warner Home Video, released as Whats Up, Doc",G,94 minutes,vs. How to Be a Latin LoverCreate your own comparison chart…,"Farcical / Slapstick Comedy, Ensemble, Set in San Francisco, Heist, Whistleblowers, Academics, Professional Rivalry",Original Screenplay,Comedy,Live Action,,United States,English,,,,"$57,142,740",,,,
5,https://www.the-numbers.com/movie/Godfather-The,[],"[['Francis Ford Coppola', 'Director'], ['Mario Puzo', 'Story Creator']]",50.5% (domestic box office/worldwide),"$302,393 (0.2% of total gross)",25.93 (domestic box office/biggest weekend),"$7,000,000 (worldwide box office is 38.6 times production budget)","6 opening theaters/596 max. theaters, 2.8 weeks average run per theater","March 15th, 1972 (Wide) by Paramount PicturesMarch 21st, 1997 (Limited) by Paramount PicturesMarch 1st, 2012 (Special Engagement) by Paramount PicturesApril 10th, 2013 (Special Engagement) by CinemarkFebruary 25th, 2022 (Limited) by Paramount Pictures, released as The Godfather: 50 Years","May 11th, 2004 by Paramount Home Video",R,175 minutes,Best Picture Oscar Winnersvs. The Shawshank RedemptionCreate your own comparison chart…,"Mafia, Crime Drama, Oscars Best Picture Winner, 1973 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,English,"October 24th, 1972 (Limited) (Portugal)
November 2nd, 1972 (Wide) (Australia)
June 29th, 2018 (Wide), released as El Padrino (re) (Spain)
September 21st, 2018 (Limited), released as The Godfather: Part I (Re: 2018) (United Kingdom)
October 8th, 2020 (Wide) (New Zealand)
... Show all releases
",Godfather,,"$136,479,994",,,"$133,527,400","$270,007,394"
6,https://www.the-numbers.com/movie/Jeremiah-Johnson,[],"[['Sydney Pollack', 'Director']]",100.0% (domestic box office/worldwide),,,,,"May 12th, 1972 (Wide) by Warner Bros.","July 22nd, 1994 by Warner Home Video, released as jeremiah Johnson",GP,108 minutes,vs. The GodfatherCreate your own comparison chart…,,Original Screenplay,Western,Live Action,Contemporary Fiction,United States,,,,,"$44,693,786",,,,
7,https://www.the-numbers.com/movie/Shafts-Big-Score,[],"[['Gordon Parks', 'Director'], ['Ernest Tidyman', 'Screenwriter'], ['David Golden', 'Producer'], ['Ernest Tidyman', 'Producer'], ['Roger H. Lewis', 'Producer'], ['Stirling Silliphant', 'Producer']]",100.0% (domestic box office/worldwide),,,,,"June 8th, 1972 (Wide) by MGM","June 6th, 2000 by Warner Home Video",R,104 minutes,vs. ShaftCreate your own comparison chart…,"Action Thriller, Blaxploitation, Set in Queens NY, Money Troubles, Death of a Partner, Gambling, Mafia, No Honor Among Thieves",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,,Shaft,Metro-Goldwyn-Mayer Pictures,"$10,000,000",,,,
8,https://www.the-numbers.com/movie/Frenzy,[],"[['Alfred Hitchcock', 'Director'], ['Anthony Shaffer', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,"$3,500,000 (worldwide box office is 3.6 times production budget)",,"June 21st, 1972 (Wide) by Universal","May 23rd, 1995 by Universal Home Entertainment",R,116 minutes,vs. TopazCreate your own comparison chart…,"Crime Thriller, Falsely Accused, Serial Killer, Death of a Spouse or Fiancée / Fiancé, Relationships Gone Wrong, Directing Yourself, Director Cameo, Fugitive / On the Run, Sex Crimes",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United Kingdom,,,,,"$12,600,000",,,,
9,https://www.the-numbers.com/movie/Conquest-of-the-Planet-of-the-Apes,[],"[['Jack Lee Thompson', 'Director']]",100.0% (domestic box office/worldwide),,,"$1,700,000 (worldwide box office is 5.7 times production budget)",,"June 30th, 1972 (Wide) by 20th Century Fox","March 28th, 2006 by Fox Home Entertainment",PG,,vs. Battle for the Planet of the ApesCreate your own comparison chart…,,,,,,United States,,,Planet of the Apes,,"$9,700,000",,,,
10,https://www.the-numbers.com/movie/Deep-Throat,[],[],100.0% (domestic box office/worldwide),,,"$25,000 (worldwide box office is 1,800.0 times production budget)",,"June 30th, 1972 (Wide)","December 18th, 2018 by Sunset Films",NC-17 Rated X,,vs. DopeCreate your own comparison chart…,,,,,,United States,,,,,"$45,000,000","$77,509","$77,509",,
