,url,cast,crew,Domestic Share:,Production Budget:,Opening Weekend:,Legs:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Paper-Moon,[],"[['Peter Bogdanovich', 'Director']]",100.0% (domestic box office/worldwide),,,,"January 1st, 1973 (Wide)","December 20th, 1973 (Limited), released as Lua de Papel (Portugal)
May 21st, 2021 (Limited) (Australia)
January 20th, 2022 (Wide), released as Lua de Papel (Portugal)
","May 26th, 1998 by Paramount Home Video",PG,102 minutes,"vs. What's Up, Doc?Create your own comparison chart…","Confidence Men, Young Child Dealing with the Death of a Parent, Relatives Playing Relatives, Road Trip, Corrupt Cops, Prostitution",Based on Fiction Book/Short Story,Comedy,Live Action,Historical Fiction,United States,English,,,"$30,933,743",$248,"$30,933,991",,
1,https://www.the-numbers.com/movie/Battle-for-the-Planet-of-the-Apes,[],"[['Jack Lee Thompson', 'Director'], ['John William Corrington', 'Screenwriter'], ['Joyce Hooper Corrington', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$1,800,000 (worldwide box office is 4.9 times production budget)",,,1973 (Wide) by 20th Century Fox,,"March 28th, 2006 by Fox Home Entertainment",G,93 minutes,vs. Beneath the Planet of the ApesCreate your own comparison chart…,"Action Adventure, Rebellion, Talking Animals, Animal Lead",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,United States,English,Planet of the Apes,,"$8,800,000",,,,
2,https://www.the-numbers.com/movie/Last-Detail-The,[],"[['Hal Ashby', 'Director']]",100.0% (domestic box office/worldwide),,,,1973 (Wide),,"June 24th, 1994 by Sony Pictures Home Entertainment",R,104 minutes,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,"$10,000,000",,,,
3,https://www.the-numbers.com/movie/Worlds-Greatest-Athlete-The,[],[],100.0% (domestic box office/worldwide),,,,"February 2nd, 1973 (Wide)June 12th, 1981 (Limited)",,,G,,Create your own comparison chart…,,,,,,United States,,,,"$22,583,370",,,,
4,https://www.the-numbers.com/movie/Day-of-the-Jackal-The,['Alan Badel'],"[['Fred Zinnemann', 'Director']]",100.0% (domestic box office/worldwide),,,,"May 18th, 1973 (Wide) by Universal",,"April 28th, 1998 by Universal Home Entertainment",PG,143 minutes,Create your own comparison chart…,"Hitmen, Unnamed Character",,,,,"France, United Kingdom",,,,"$16,056,255",,,,
5,https://www.the-numbers.com/movie/Pat-Garrett-and-Billy-the-Kid,"['Bob Dylan', 'Jason Robards, Jr.', 'James Coburn', 'Kris Kristofferson']","[['Sam Peckinpah', 'Director'], ['Gordon Carroll', 'Producer'], ['Rudy Wurlitzer', 'Screenwriter'], ['Bob Dylan', 'Composer']]",72.7% (domestic box office/worldwide),"$4,638,783 (worldwide box office is 2.4 times production budget)",,,"May 23rd, 1973 (Wide)",,"April 25th, 1994 by MGM Video",R for western violence and sexuality/nudity. (edited for re-rating; originally R),122 minutes,vs. The Frisco KidCreate your own comparison chart…,,Based on Real Life Events,Western,Live Action,Dramatization,United States,English,,Metro-Goldwyn-Mayer Pictures,"$8,000,000","$3,000,000","$11,000,000",,
6,https://www.the-numbers.com/movie/Touch-of-Class-A,"['Paul Sorvino', 'Hildegard Neil', 'George Segal', 'Glenda Jackson']","[['Melvin Frank', 'Director'], ['Melvin Frank', 'Producer'], ['Melvin Frank', 'Screenwriter'], ['Jack Rose', 'Screenwriter'], ['George Barrie', 'Song Writer'], ['Sammy Cahn', 'Song Writer'], ['John Cameron', 'Composer']]",100.0% (domestic box office/worldwide),,,,"June 20th, 1973 (Wide) by Avco Embassy",,"June 29th, 2011 by Arrow Video",PG,106 minutes,Create your own comparison chart…,1974 Oscars Best Picture Nominee,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,United Kingdom,English,,Brut Productions,"$16,800,000",,,,
7,https://www.the-numbers.com/movie/Live-and-Let-Die,['Roger Moore'],"[['Guy Hamilton', 'Director'], ['Albert R. Broccoli', 'Producer']]",21.9% (domestic box office/worldwide),"$7,000,000 (worldwide box office is 23.1 times production budget)",,,"June 27th, 1973 (Wide) by MGM","June 19th, 2015 (Wide), released as Live And Let Die (Re: 2015) (United Kingdom)
November 12th, 2020 (Wide) (Australia)
","May 21st, 1996 by MGM Video",PG,121 minutes,vs. Diamonds Are ForeverCreate your own comparison chart…,"Secret Agent, Action Thriller, Sequel With Lead Character Recast, Sequels Without Their Original Stars, African Americans, Organized Crime, Secret Identity, United Nations, Assassination, Set in New York City, Set in New York, Set in New Orleans, LA",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United Kingdom,English,James Bond,"Eon Productions, United Artists","$35,400,000","$126,400,000","$161,800,000",,
8,https://www.the-numbers.com/movie/American-Graffiti-(1973),"['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat', 'Charles Martin Smith', 'Candy Clark', 'Mackenzie Phillips', 'Cindy Williams', 'Wolfman Jack']","[['George Lucas', 'Director'], ['George Lucas', 'Screenwriter'], ['Gloria Katz', 'Screenwriter'], ['Willard Huyck', 'Screenwriter'], ['Francis Ford Coppola', 'Producer'], ['Gary Kurtz', 'Co-Producer']]",82.1% (domestic box office/worldwide),"$777,000 (worldwide box office is 180.2 times production budget)",,,"August 11th, 1973 (Wide) by Universal","August 2nd, 1973 (Limited) (Switzerland)
April 25th, 1974 (Wide) (Australia)
February 16th, 2023 (Limited) (New Zealand)
September 27th, 2023 (Limited) (Australia)
","September 15th, 2010 by Universal Home Entertainment",PG,112 minutes,vs. Star Wars Ep. IV: A New HopeCreate your own comparison chart…,"Street Racing, Coming of Age, Epilogue, Coming-of-Age Drama, Filmed in San Rafael, CA, Filmed in Marin County, CA, Filmed in California, United States, Filmed in United States, Filmed in Mel’s Drive-in, San Francisco, CA, Filmed in San Francisco, CA, Filmed in Sonoma County, CA, Filmed in Sonoma, CA, Filmed in Richmond, CA, Filmed in Contra Costa County, CA, Filmed in Novato, CA, Filmed in Buchanan Field Airport, Concord, CA, Filmed in Concord, CA, Filmed in Tamalpais High School, Mill Valley, CA, Filmed in Mill Valley, CA, Filmed in Petaluma, CA, 1974 Oscars Best Picture Nominee",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,American Graffiti,"Lucas Film LTD, Coppola Company","$115,000,000","$25,000,000","$140,000,000",,
9,https://www.the-numbers.com/movie/Enter-the-Dragon,[],"[['Robert Clouse', 'Director'], ['Lalo Schifrin', 'Composer']]",100.0% (domestic box office/worldwide),,,,"August 15th, 1973 (Wide) by Warner Bros.August 13th, 2023 (Special Engagement) by Fathom Events (50th Anniversary)
","January 10th, 1974 (Wide) (United Kingdom)
September 7th, 2003 (Wide) (Australia)
November 26th, 2020 (Limited) (Australia)
August 11th, 2023 (Special Engagement) (50th Anniversary)
 (United Kingdom)
August 14th, 2023 (Limited), released as I tre dell'operazione Drago (Italy)
... Show all releases
","July 1st, 1998 by Warner Home Video",R for martial arts violence and brief nudity. ,112 minutes,vs. Dragon: The Bruce Lee StoryCreate your own comparison chart…,"Martial Arts, Posthumous Release",Original Screenplay,Action,Live Action,Contemporary Fiction,"Hong Kong, United States","Cantonese, English",,,"$21,483,063","$2,003","$21,485,066",,
10,https://www.the-numbers.com/movie/Jesus-Christ-Superstar,[],"[['Norman Jewison', 'Director']]",99.5% (domestic box office/worldwide),,,,"August 17th, 1973 (Wide) by Universal","April 1st, 2021 (Limited) (Australia)
","February 10th, 2012 by Universal Home Entertainment",G,,vs. EvitaCreate your own comparison chart…,Religious,Based on Religious Text,Musical,Live Action,Historical Fiction,United States,,,,"$24,477,615","$115,488","$24,593,103",,
11,https://www.the-numbers.com/movie/High-Plains-Drifter,[],"[['Clint Eastwood', 'Director']]",100.0% (domestic box office/worldwide),"$5,500,000 (worldwide box office is 2.9 times production budget)",,,"August 22nd, 1973 (Wide) by Universal",,"March 1st, 1992 by Universal Home Entertainment",Not Rated,105 minutes,vs. The GodfatherCreate your own comparison chart…,Film Noir,Original Screenplay,Western,Live Action,Historical Fiction,United States,English,,,"$15,700,000",,,,
12,https://www.the-numbers.com/movie/Way-We-Were-The,[],"[['Sydney Pollack', 'Director']]",100.0% (domestic box office/worldwide),,,,"October 19th, 1973 (Wide) by Sony Pictures",,,PG,118 minutes,vs. The ExorcistCreate your own comparison chart…,,,,,,United States,English,,,"$49,919,870",,,,
13,https://www.the-numbers.com/movie/Robin-Hood-(1973),[],"[['Wolfgang Reitherman', 'Director']]",100.0% (domestic box office/worldwide),,,,"November 8th, 1973 (Wide) by Walt Disney",,"November 28th, 2006 by Walt Disney Home Entertainment",G,,vs. The Little MermaidCreate your own comparison chart…,"Intertitle, Prologue, Voiceover/Narration, Breaking the Fourth Wall, Talking Animals, Animal Lead",Based on Folk Tale/Legend/Fairytale,Adventure,Hand Animation,Kids Fiction,United States,English,,,"$32,056,467",,,"$2,267,811","$2,267,811"
