,url,cast,crew,Domestic Share:,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,International Releases:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Groove-Tube-The,[],"[['Ken Shapiro', 'Director'], ['Ken Shapiro', 'Screenwriter'], ['Lane Sarasohn', 'Screenwriter'], ['Rich Allen', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1974 (Wide) by Levitt-Pickman","May 30th, 2000 by Hen's Tooth",R,75 minutes,Create your own comparison chart…,"Segments, Satirical Comedy, Satire",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,,"$20,447,000",,,,
1,https://www.the-numbers.com/movie/Macon-County-Line,[],"[['Richard Compton', 'Director']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1974 (Wide)","May 6th, 2008 by Warner Home Video",R,,Create your own comparison chart…,,,,,,United States,,,,,"$18,800,000",,,,
2,https://www.the-numbers.com/movie/Thats-Entertainment,[],[],100.0% (domestic box office/worldwide),,,,,"January 1st, 1974 (Wide)",,G,,vs. Conquest of the Planet of the ApesCreate your own comparison chart…,,Compilation,,,,United States,,,,,"$19,100,000",,,,
3,https://www.the-numbers.com/movie/Thunderbolt-and-Lightfoot,[],"[['Michael Cimino', 'Director'], ['Michael Cimino', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1974 (Wide) by United Artists",,R,115 minutes,vs. TightropeCreate your own comparison chart…,"Action Comedy, Heist, Crime, Bank Robbery, Gangs, Fugitive / On the Run, No Honor Among Thieves, Death of a Partner",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,,,,"$25,000,000",,,,
4,https://www.the-numbers.com/movie/Trial-of-Billy-Jack-The,"['Sacheen Littlefeather', 'Tom Laughlin']","[['Tom Laughlin', 'Director']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1974 (Wide)",,PG,,vs. Blazing SaddlesCreate your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,Billy Jack,,,"$89,000,000",,,,
5,https://www.the-numbers.com/movie/California-Split,[],"[['Robert Altman', 'Director'], ['Joseph Walsh', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,1974 (Wide) by Sony Pictures,,R,108 minutes,vs. KaliforniaCreate your own comparison chart…,"Comedy Drama, Gambling, Mentor, Addiction, Set in Los Angeles",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,"$10,000,000",,,,
6,https://www.the-numbers.com/movie/Claudine,"['Diahann Carroll', 'James Earl Jones']","[['John Berry', 'Director'], ['Lester Pine', 'Screenwriter'], ['Tina Pine', 'Screenwriter'], ['Hannah Weinstein', 'Producer']]",100.0% (domestic box office/worldwide),,,,,1974 (Wide) by 20th Century Fox,"January 14th, 2003 by Fox Home Entertainment",PG,92 minutes,Create your own comparison chart…,"African Americans, Comedy Drama, Romance, Divorcée Romance, Poverty, Set in Harlem, Set in New York City, Set in New York, Relationships Gone Wrong, Dysfunctional Family, Single Parent",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,,"$6,000,000",,,,
7,https://www.the-numbers.com/movie/Freebie-and-the-Bean,[],[],100.0% (domestic box office/worldwide),,,,,1974 (Wide),,R,,Create your own comparison chart…,,,,,,United States,,,,,"$30,000,000",,,,
8,https://www.the-numbers.com/movie/Golden-Voyage-of-Sinbad-The,[],[],100.0% (domestic box office/worldwide),,,,,"January 25th, 1974 (Wide) by Columbia",,G,,vs. The Day the Earth Stood StillCreate your own comparison chart…,,,,,,United Kingdom,,,,,"$11,000,000",,,,
9,https://www.the-numbers.com/movie/Blazing-Saddles,"['Slim Pickens', 'David Huddleston', 'Claude Ennis Starrett Jr', 'Mel Brooks', 'Harvey Korman', 'Madeline Kahn', 'Cleavon Little', 'Gene Wilder']","[['Mel Brooks', 'Director'], ['Michael Hertzberg', 'Producer'], ['Andrew Bergman', 'Story by'], ['Mel Brooks', 'Screenwriter'], ['Norman Steinberg', 'Screenwriter'], ['Andrew Bergman', 'Screenwriter'], ['Richard Pryor', 'Screenwriter'], ['Alan Uger', 'Screenwriter'], ['John Morris', 'Composer']]",100.0% (domestic box office/worldwide),"$2,600,000 (worldwide box office is 46.0 times production budget)",,,,"February 7th, 1974 (Wide) by Warner Bros.","August 2nd, 1993 by Warner Home Video",R,93 minutes,vs. My Big Fat Greek WeddingCreate your own comparison chart…,"Spoof, Same Actor, Multiple Roles, Government Corruption, Trains, Gangs, Bigotry, African Americans",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,English,,"June 1st, 2023 (Limited) (New Zealand)
",Warner Bros.,"$119,500,000",$603,"$119,500,603",,
