,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Opening Weekend:,Theater counts:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Production/Financing Companies:,Franchise:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Eiger-Sanction-The,"['George Kennedy', 'Vonetta McGee', 'Jack Cassidy', 'Clint Eastwood']","[['Clint Eastwood', 'Director'], ['Hal Dresner', 'Screenwriter'], ['Warren B. Murphy', 'Screenwriter'], ['Rod Whitaker', 'Screenwriter'], ['John Williams', 'Composer']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1975 (Wide) by Universal","March 1st, 1992 by Universal Home Entertainment",R,129 minutes,vs. FirefoxCreate your own comparison chart…,"Action Thriller, Crime, Mountain Climbing, Out of Retirement, One Last Job, Hitmen, Nazis Outside of World War II",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,"English, German",,,,"$14,200,000",,,,
1,https://www.the-numbers.com/movie/Hard-Times,[],"[['Walter Hill', 'Director']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1975 (Wide)",,"R for language and some sexual content/nudity.(Rating bulletin 2233, 7/25/2012)",,Create your own comparison chart…,,,,,,United States,,,,,"$5,000,000",,,,
2,https://www.the-numbers.com/movie/Lucky-Lady,[],"[['Stanley Donen', 'Director'], ['Gloria Katz', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1975 (Wide)",,PG,118 minutes,Create your own comparison chart…,"Comedy Drama, 1930s, Prohibition Era, Smuggler, Romance, Love Triangle, Set in Mexico, Set in California",Original Screenplay,Drama,Live Action,Historical Fiction,United States,"English, French, Spanish",,,,"$24,441,725",,,,
3,https://www.the-numbers.com/movie/Rollerball-(1975),[],"[['Norman Jewison', 'Director'], ['William Harrison', 'Story Creator'], ['William Harrison', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1975 (Wide), released as Rollerball (1975)",,R,125 minutes,vs. TommyCreate your own comparison chart…,"Fake Sports, Roller Skating, Remade, Sports Action, Death Sports, Dystopia, Corporate Malfeasance, Novel or Other Work Adapted by Author, Yesterday's Tomorrow, 2010s",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,"Canada, United Kingdom, United States",English,,,,"$30,000,000",,,,
4,https://www.the-numbers.com/movie/Rooster-Cogburn,[],"[['Stuart Millar', 'Director']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1975 (Wide)","April 1st, 2014 by Universal Home Entertainment",PG,108 minutes,vs. True GritCreate your own comparison chart…,,Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,United States,English,,,,"$8,000,000","$287,685","$287,685",,
5,https://www.the-numbers.com/movie/Shootist-The,[],"[['Don Siegel', 'Director']]",100.0% (domestic box office/worldwide),,,,,"January 1st, 1975 (Wide)","July 24th, 2001 by Paramount Home Video",PG,100 minutes,vs. Billy JackCreate your own comparison chart…,,Based on Fiction Book/Short Story,Western,Live Action,Contemporary Fiction,United States,English,,,,"$6,000,000",,,,
6,https://www.the-numbers.com/movie/Adventure-of-Sherlock-Holmes-Smarter-Brother-The,[],"[['Gene Wilder', 'Director'], ['Gene Wilder', 'Screenwriter'], ['John Morris', 'Composer']]",100.0% (domestic box office/worldwide),,,,,1975 (Wide) by 20th Century Fox,"April 4th, 2006 by Fox Home Entertainment",PG,91 minutes,vs. Without a ClueCreate your own comparison chart…,"Crime Comedy, Sibling Rivalry, Dysfunctional Family, 1890s, Scotland Yard, Blackmail, Directing Yourself, Screenplay Written By the Star, Actors Making Their Directorial Debut, Romance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"United Kingdom, United States",English,,,,"$20,000,000",,,,
7,https://www.the-numbers.com/movie/Barry-Lyndon,[],"[['Stanley Kubrick', 'Director'], ['Stanley Kubrick', 'Screenwriter']]",99.0% (domestic box office/worldwide),"$11,000,000 (worldwide box office is 1.8 times production budget)",,,,1975 (Wide) by Warner Bros.,"October 23rd, 2007 by Warner Home Video",PG,185 minutes,vs. 2001: A Space OdysseyCreate your own comparison chart…,"Historical Drama, Marriage of Convenience, Dysfunctional Family, Step-Family, Gambling, Stolen Identity, Money Troubles, Child Abuse, Death of a Son or Daughter, Spoiled Child, 1700s, 1976 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"United Kingdom, United States","English, French, German","February 26th, 1977 (Wide) (Portugal)
July 29th, 2016 (Limited), released as Barry Lyndon (Re: 2016) (United Kingdom)
November 3rd, 2022 (Limited) (New Zealand)
","Hawk Films, Peregrine Productions, Warner Bros.",,"$20,000,000",,,"$198,512","$20,198,512"
8,https://www.the-numbers.com/movie/Bite-the-Bullet,[],"[['Richard Brooks', 'Director']]",100.0% (domestic box office/worldwide),,,,,1975 (Wide) by Sony Pictures,,PG,132 minutes,Create your own comparison chart…,,Original Screenplay,Western,Live Action,Historical Fiction,United States,"English, Spanish",,,,"$11,000,000",,,,
9,https://www.the-numbers.com/movie/Breakout,[],"[['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),,,,,1975 (Wide) by Sony Pictures,,"R for violence and some language.(Rating bulletin 2275, 6/5/2013)",96 minutes,Create your own comparison chart…,"Action Adventure, Prison, Prison Break, Framed, Inspired by a True Story, Family Affair",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,English,,,,"$16,000,000",,,,
10,https://www.the-numbers.com/movie/French-Connection-II,[],"[['John Frankenheimer', 'Director'], ['Alexander Jacobs', 'Screenwriter'], ['Robert Dillon', 'Screenwriter'], ['Laurie Dillon', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,1975 (Wide),,R,119 minutes,Create your own comparison chart…,"Film Noir, Crime Drama, Narcotics, Set in France, Police Detective, Organized Crime",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,"English, French",,,French Connection,"$12,000,000",,,,
11,https://www.the-numbers.com/movie/Great-Waldo-Pepper-The,[],"[['George Roy Hill', 'Director'], ['George Roy Hill', 'Screenwriter'], ['William Goldman', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,1975 (Wide),"August 3rd, 2010 by Universal Home Entertainment, released as Great Waldo Pepper, The",PG,107 minutes,Create your own comparison chart…,"Historical Drama, In a Plane, Plane Crash, Romance, Relationships Gone Wrong, 1920s, 1930s, Stuntman, Professional Rivalry, Death of a Colleague",Original Screenplay,Drama,Live Action,Historical Fiction,United States,English,,,,"$20,000,000",,,,
12,https://www.the-numbers.com/movie/W-W-and-the-Dixie-Dancekings,[],"[['John G. Avildsen', 'Director'], ['Thomas Rickman', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,1975 (Wide),,PG,91 minutes,Create your own comparison chart…,"Farcical / Slapstick Comedy, Fugitive / On the Run, On Tour, Musicians, 1950s, Revenge, Bank Robbery",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,,"$17,000,000",,,,
13,https://www.the-numbers.com/movie/Alice-Doesn-t-Live-Here-Anymore,[],"[['Martin Scorsese', 'Director'], ['Robert Getchell', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"January 29th, 1975 (Wide) by Warner Bros.",,PG,112 minutes,vs. Taxi DriverCreate your own comparison chart…,"Road Trip, Comedy Drama, Single Parent, Domestic Abuse, Relationships Gone Wrong, Money Troubles, Dysfunctional Family, Romance, Prostitution, Juvenile Delinquent",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,,,"$17,600,000",,,,
14,https://www.the-numbers.com/movie/Shampoo,[],"[['Hal Ashby', 'Director']]",100.0% (domestic box office/worldwide),,,,,"February 14th, 1975 (Wide) by Sony Pictures","January 21st, 2003 by Sony Pictures Home Entertainment",R,109 minutes,vs. Dog Day AfternoonCreate your own comparison chart…,"Beauty Industry, Comedy Drama, Romance, Relationships Gone Wrong, Satire, Infidelity, Love Triangle",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,,"$49,407,734",,,,
15,https://www.the-numbers.com/movie/Funny-Lady,[],"[['Herbert Ross', 'Director']]",100.0% (domestic box office/worldwide),,,,,"March 7th, 1975 (Wide) by Sony Pictures",,PG,136 minutes,vs. One Flew Over the Cuckoo's NestCreate your own comparison chart…,"Comedy Drama, Biography, 1930s, Singers, Romance",Based on Real Life Events,Comedy,Live Action,Dramatization,United States,English,,,,"$40,055,897",,,,
16,https://www.the-numbers.com/movie/Tommy,['Roger Daltrey'],"[['Ken Russell', 'Director'], ['Pete Townshend', 'Based on the rock opera by'], ['John Entwistle', 'Story Creator'], ['Keith Moon', 'Story Creator']]",99.9% (domestic box office/worldwide),,,,,"March 14th, 1975 (Wide)","September 7th, 2010 by Sony Pictures Home Entertainment",PG,111 minutes,vs. One Flew Over the Cuckoo's NestCreate your own comparison chart…,"Prologue, 1940s, World War II, In a Plane, Plane Crash, 1950s, Missing Person, Death of a Spouse or Fiancée / Fiancé, Young Child Dealing with the Death of a Parent",Based on Musical or Opera,Musical,Live Action,Fantasy,United Kingdom,English,"March 8th, 2019 (Wide), released as Tommy (1975) (re:2019) (Australia)
November 22nd, 2019 (Wide), released as Tommy (Re: 2019) (United Kingdom)
March 10th, 2022 (Limited) (New Zealand)
June 20th, 2023 (Limited) (Australia)
",,,"$34,251,525",,,"$22,953","$34,274,478"
17,https://www.the-numbers.com/movie/Monty-Python-and-the-Holy-Grail-(1975),[],"[['Terry Gilliam', 'Director'], ['Terry Jones', 'Director']]",68.2% (domestic box office/worldwide),"$400,000 (worldwide box office is 12.6 times production budget)",36.58 (domestic box office/biggest weekend),,,"May 10th, 1975 (Wide)June 15th, 2001 (Limited)","September 7th, 1999 by Sony Pictures Home Entertainment",PG,91 minutes,vs. Take ShelterCreate your own comparison chart…,"Same Actor, Multiple Roles",Original Screenplay,Comedy,Live Action,Fantasy,United Kingdom,English,"October 9th, 2015 (Limited), released as Monty Python and the Holy Grail (Re: 2015) (United Kingdom)
August 27th, 2020 (Wide) (New Zealand)
October 8th, 2020 (Limited) (Australia)
","Michael White Productions, Python (Monty) Pictures, National Film Trustee Company",Monty Python,"$3,427,696",,,"$1,601,252","$5,028,948"
18,https://www.the-numbers.com/movie/Return-of-the-Pink-Panther-The,[],"[['Blake Edwards', 'Director']]",100.0% (domestic box office/worldwide),"$5,000,000 (worldwide box office is 8.4 times production budget)",,,,"May 16th, 1975 (Wide) by MGM",,G,113 minutes,vs. Three Days of the CondorCreate your own comparison chart…,"Crime Comedy, Sequels With Returning Stars, Delayed Sequel, Heist",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"United Kingdom, United States",English,,,Pink Panther,"$41,833,347",,,,
19,https://www.the-numbers.com/movie/Love-and-Death,[],"[['Woody Allen', 'Director'], ['Woody Allen', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 6.7 times production budget)",,,,"June 10th, 1975 (Limited) by MGM",,PG,85 minutes,vs. Gone with the WindCreate your own comparison chart…,"Satirical Comedy, Satire, Romance, Pacifism, Relationships Gone Wrong, Political Assassination, 1800s, Arranged Marriage",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,English,,,,"$20,123,742",,,,
20,https://www.the-numbers.com/movie/Jaws,"['Lorraine Gary', 'Murray Hamilton', 'Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']","[['Steven Spielberg', 'Director'], ['Peter Benchley', 'Screenwriter'], ['Carl Gottlieb', 'Screenwriter'], ['Peter Benchley', 'Based on the novel by'], ['Richard D. Zanuck', 'Producer'], ['David Brown', 'Producer'], ['John Williams', 'Composer']]",56.4% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 40.2 times production budget)",34.95 (domestic box office/biggest weekend),"$7,790,627 (2.9% of total gross)","409 opening theaters/1,246 max. theaters, 5.8 weeks average run per theater","June 20th, 1975 (Wide) by UniversalJune 21st, 2015 (Special Engagement) by Fathom EventsSeptember 2nd, 2022 (Wide) by Universal","August 14th, 2012 by Universal Home Entertainment",PG,124 minutes,vs. The ExorcistCreate your own comparison chart…,"Animals Gone Bad, Visual Effects, Addiction, Government Corruption, Development Hell, Nature Horror, 1976 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,United States,English,"December 27th, 1975 (Wide) (Australia)
April 22nd, 1978 (Wide) (South Korea)
August 17th, 2012 (Wide) (Netherlands)
July 12th, 2019 (Limited), released as Jaws (Re: 2019) (United Kingdom)
July 9th, 2020 (Limited) (New Zealand)
... Show all releases
","Universal Pictures, Zancuk Company, David Brown",Jaws,"$272,257,035","$19,051,559","$19,051,559","$210,690,343","$482,947,378"
21,https://www.the-numbers.com/movie/Race-with-the-Devil,[],"[['Jack Starrett', 'Director'], ['Wes Bishop', 'Screenwriter'], ['Lee Frost', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"June 27th, 1975 (Wide) by 20th Century Fox",,PG,88 minutes,Create your own comparison chart…,"Action Horror, Satanism, Corrupt Cops, Cults, Road Trip, Fugitive / On the Run",Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,,,,"$12,000,000",,,,
22,https://www.the-numbers.com/movie/Apple-Dumpling-Gang-The,"['Bill Bixby', 'Susan Clark', 'Don Knotts', 'Tim Conway']","[['Norman Tokar', 'Director'], ['Don Tait', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,"July 1st, 1975 (Wide) by Walt Disney","September 2nd, 2003 by Walt Disney Home Entertainment",G,100 minutes,vs. Charlie and the Chocolate FactoryCreate your own comparison chart…,"Comedy Westerns, Unexpected Families, Rags to Riches, Romance, Gangs, Dysfunctional Family, Marriage of Convenience, 1870s",Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,United States,English,,,,"$31,916,500",,,,
