,url,cast,crew,Domestic Share:,Production Budget:,Legs:,Opening Weekend:,Theater counts:,Domestic Releases:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Franchise:,Languages:,Video Release:,Running Time:,Keywords:,Production/Financing Companies:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Across-the-Great-Divide,[],[],100.0% (domestic box office/worldwide),,,,,1976 (Wide) by Pacific International,vs. The Perfect GuyCreate your own comparison chart…,Original Screenplay,Western,Live Action,Historical Fiction,United States,,,,,,,,,"$18,800,000",,,,
1,https://www.the-numbers.com/movie/Enforcer-The,[],"[['James Fargo', 'Director']]",100.0% (domestic box office/worldwide),,,,,1976 (Wide) by Warner Bros.,vs. Magnum ForceCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,United States,Dirty Harry,English,,,,,,,"$46,200,000",,,,
2,https://www.the-numbers.com/movie/Gator,[],"[['Burt Reynolds', 'Director']]",100.0% (domestic box office/worldwide),,,,,1976 (Wide) by United Artists,Create your own comparison chart…,,,,,United States,,,"November 11th, 2014 by Kino Lorber",,,,,,"$11,000,000",,,,
3,https://www.the-numbers.com/movie/Logans-Run,[],"[['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),"$7,000,000 (worldwide box office is 3.6 times production budget)",,,,1976 (Wide) by MGM,vs. Star Trek: The Motion PictureCreate your own comparison chart…,,,,Science Fiction,United States,,,,,,,,,"$25,000,000",,,,
4,https://www.the-numbers.com/movie/Marathon-Man,[],"[['John Schlesinger', 'Director'], ['Robert Evans', 'Producer'], ['Sidney Beckerman', 'Producer'], ['William Goldman', 'Screenwriter'], ['William Goldman', 'Story based on the novel by']]",100.0% (domestic box office/worldwide),,,,,1976 (Wide) by Paramount Pictures,vs. Flash GordonCreate your own comparison chart…,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,,English,"August 28th, 2001 by Paramount Home Video",125 minutes,"Crime Thriller, Nazi, Nazis Outside of World War II, Nazi Treasure, Jewish","Paramount Pictures, Robert Evans, Sidney Kimmel Entertainment",,,"$28,204,261",,,,
5,https://www.the-numbers.com/movie/Missouri-Breaks-The,[],"[['Arthur Penn', 'Director'], ['John Williams', 'Composer']]",100.0% (domestic box office/worldwide),,,,,1976 (Wide) by United Artists,Create your own comparison chart…,,,,,United States,,,,,,,,,"$14,000,000",,,,
6,https://www.the-numbers.com/movie/Murder-by-Death,['Maggie Smith'],"[['Robert Moore', 'Director']]",100.0% (domestic box office/worldwide),,,,,1976 (Wide) by Columbia,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,,United States,,English,"December 18th, 2001 by Sony Pictures Home Entertainment",94 minutes,"Franchise Crossover, Satirical Comedy, Satire, Ensemble, Murder Mystery, False Identity, Blindness, Deaf, Mute",,,,"$32,511,047",,,,
7,https://www.the-numbers.com/movie/Network,[],"[['Sidney Lumet', 'Director'], ['Paddy Chayefsky', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$3,800,000 (worldwide box office is 6.2 times production budget)",,,,1976 (Wide) by MGM,vs. JawsCreate your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,English,,121 minutes,"News, TV Industry, TV News, Satire, Terrorism, Corporate Malfeasance, Romance, Relationships Gone Wrong, Infidelity, Comedy Drama, 1977 Oscars Best Picture Nominee",,R,,"$23,689,877",,,,
8,https://www.the-numbers.com/movie/Outlaw-Josey-Wales-The,[],"[['Clint Eastwood', 'Director']]",100.0% (domestic box office/worldwide),,,,,1976 (Wide) by Warner Bros.,vs. TightropeCreate your own comparison chart…,Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,United States,,English,,135 minutes,,,,,"$27,000,000",,,,
9,https://www.the-numbers.com/movie/Pom-Pom-Girls-The,"['Robert Carradine', 'Jennifer Ashley', 'Michael Mullins', 'Lisa Reeves']","[['Joseph Ruben', 'Director'], ['Joseph Ruben', 'Screenwriter']]",100.0% (domestic box office/worldwide),,,,,1976 (Wide) by Crown International,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,English,"June 18th, 2007 by WEA Corp DVD",89 minutes,"Teenage Sex Comedy, High School, High School Sports, Football, Cheerleaders",,,,"$17,900,000",,,,
