,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,International Releases:,Video Release:,MPAA Rating:,Languages:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Bobby-Deerfield,"['Al Pacino', 'Marthe Keller']","[['Sydney Pollack', 'Director'], ['Alvin Sargent', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$38,242,596",,,,,1977 (Wide) by Warner Bros.,124 minutes,Create your own comparison chart…,"Romantic Drama, Auto Racing, Death of a Teammate, Romance, Terminal Illness, Dysfunctional Family, Relationships Gone Wrong, Love Triangle",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,,,,,,"$9,300,000",,,,
1,https://www.the-numbers.com/movie/Eraserhead,[],"[['David Lynch', 'Director'], ['David Lynch', 'Screenwriter']]",98.6% (domestic box office/worldwide),"$28,784,749","$100,000 (worldwide box office is 71.0 times production budget)",,,,1977 (Wide) by Libra Films,89 minutes,vs. I am LegendCreate your own comparison chart…,"Cult Movie, Midnight Movie, Avant Garde, Body Horror",Original Screenplay,Horror,Live Action,Science Fiction,United States,"May 19th, 2017 (Limited), released as Eraserhead (Re-release) (Russia (CIS))
February 28th, 2020 (Wide), released as Cabeza borradora (Mexico)
October 8th, 2020 (Special Engagement) (Australia)
October 26th, 2020 (Wide) (Turkey)
","September 16th, 2014 by Criterion",Not Rated,English,,,"$7,000,000","$97,971","$7,097,971","$1,815,186","$1,815,186"
2,https://www.the-numbers.com/movie/Gauntlet-The,[],"[['Clint Eastwood', 'Director']]",100.0% (domestic box office/worldwide),"$145,568,606",,,,,1977 (Wide) by Warner Bros.,,vs. The French ConnectionCreate your own comparison chart…,"Action Thriller, Fugitive / On the Run, Prostitution, Mafia, Organized Crime, Witness Protection, Addiction, Falsely Accused, Framed, Corrupt Cops, Government Corruption, Sex Crimes, Revenge",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,"April 1st, 1992 by Warner Home Video",,,Malpaso Productions,,"$35,400,000",,,,
3,https://www.the-numbers.com/movie/Kingdom-of-the-Spiders,[],"[['John Cardos', 'Director'], ['Alan Caillou', 'Screenwriter'], ['Richard Robinson', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$69,905,826","$500,000 (worldwide box office is 34.0 times production budget)",,,,1977 (Wide) by Dimension Pictures,95 minutes,Create your own comparison chart…,"Animals Gone Bad, Nature Horror, Life on a Farm, Environment, Life in a Small Town",,Horror,Live Action,Science Fiction,United States,,"September 16th, 2003 by Good Times Video",,English,,,"$17,000,000",,,,
4,https://www.the-numbers.com/movie/Slap-Shot,[],"[['George Roy Hill', 'Director']]",100.0% (domestic box office/worldwide),"$115,139,006",,,,,1977 (Wide) by Universal,,vs. The HangoverCreate your own comparison chart…,"Winter Sports, Hockey",,,,,United States,,"March 26th, 2002 by Universal Home Entertainment",,,,,"$28,000,000",,,,
5,https://www.the-numbers.com/movie/Which-Way-Is-Up,[],[],100.0% (domestic box office/worldwide),"$69,905,826",,,,,1977 (Wide) by Universal,,Create your own comparison chart…,African Americans,,,,,United States,,,,,,,"$17,000,000",,,,
6,https://www.the-numbers.com/movie/Freaky-Friday-(1977),[],"[['Gary Nelson', 'Director'], ['Mary Rodgers', 'Screenwriter'], ['Mary Rodgers', 'Story Creator']]",100.0% (domestic box office/worldwide),"$106,676,288",,,,,"January 21st, 1977 (Wide) by Walt Disney",95 minutes,vs. Like Father Like SonCreate your own comparison chart…,"Body Swap, Family Comedy, Dysfunctional Family, Remade, Novel or Other Work Adapted by Author",Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,United States,,1982 by CBS,,,,,"$25,942,000",,,,
7,https://www.the-numbers.com/movie/Suspiria-(Italy),[],"[['Dario Argento', 'Director']]",,,,,,,,98 minutes,vs. Monty Python and the Holy GrailCreate your own comparison chart…,,Original Screenplay,Horror,Live Action,Contemporary Fiction,Italy,"February 1st, 1977 (Wide) (Italy)
September 29th, 2017 (Limited) (Turkey)
November 17th, 2017 (Limited), released as Suspiria (4K Restoration) (United Kingdom)
November 12th, 2020 (Wide) (Australia)
","March 13th, 2018 by Synapse Films",,"English, German, Italian, Latin, Russian",,,n/a,"$35,694","$35,694","$5,362,765","$5,362,765"
8,https://www.the-numbers.com/movie/In-Search-of-Noahs-Ark,[],[],100.0% (domestic box office/worldwide),"$229,044,390",,,,,"February 11th, 1977 (IMAX) by Sunn Classics Pictures",,vs. In the Line of FireCreate your own comparison chart…,,,,,,United States,,,G,,,,"$55,700,000",,,,
9,https://www.the-numbers.com/movie/Wizards,[],"[['Ralph Bakshi', 'Director']]",100.0% (domestic box office/worldwide),"$37,008,965",,,,,"March 2nd, 1977 (Wide) by 20th Century Fox",,vs. Pink Floyd: The WallCreate your own comparison chart…,"Fairies, Post Apocalypse, War, Good vs. Evil, Mutants, Prologue, Voiceover/Narration, Demons, Non-Chronological, Hitmen, Twins, Sibling Rivalry, Cult Movie, Terrorism, Robot, Nazis Outside of World War II",,,Rotoscoping,,United States,,"May 19th, 1993 by Fox Home Entertainment",,,,,"$9,000,000",,,,
