,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Bad-News-Bears-Go-To-Japan-The,"['Tony Curtis', 'Jackie Earle Haley']","[['John Berry', 'Director'], ['Bill Lancaster', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$54,863,239",,,,,1978 (Wide) by Paramount Pictures,"February 12th, 2002 by Paramount Home Video",91 minutes,Bad News Bears,Create your own comparison chart…,"Baseball, Sports Comedy, Set in Japan, Culture Clash, Bad Role Models, Sequels Without Their Original Stars, Underdog, Romance, Cross-Culture Romance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Paramount Pictures,United States,English,,,"$14,000,000",,,,
1,https://www.the-numbers.com/movie/Beyond-and-Back,[],[],100.0% (domestic box office/worldwide),"$93,267,520",,,,,1978 (Wide) by Sunn Classics Pictures,,,,Create your own comparison chart…,,Based on Fiction Book/Short Story,Documentary,Live Action,Factual,,United States,,,,"$23,800,000",,,,
2,https://www.the-numbers.com/movie/Big-Fix-The-(1978),['Richard Dreyfuss'],"[['Jeremy Paul Kagan', 'Director'], ['Roger L. Simon', 'Screenwriter'], ['Roger L. Simon', 'Story Creator']]",100.0% (domestic box office/worldwide),"$47,025,640",,,,,1978 (Wide) by Universal,,108 minutes,,Create your own comparison chart…,"Crime Comedy, Novel or Other Work Adapted by Author, Crime, Political, Political Campaign, Political Activist, Framed, Private Investigator",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,,United States,,,,"$12,000,000",,,,
3,https://www.the-numbers.com/movie/Boys-from-Brazil-The,"['Gregory Peck', 'Laurence Olivier', 'James Mason']","[['Franklin J. Schaffner', 'Director'], ['Heywood Gould', 'Screenwriter'], ['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),"$74,457,264","$12,000,000 (worldwide box office is 1.6 times production budget)",,,,1978 (Wide) by 20th Century Fox,"December 14th, 1999 by Lionsgate Home Entertainment, released as Boys From Brazil, The",125 minutes,,Create your own comparison chart…,"Cloning, Political Thriller, Nazis, Nazis Outside of World War II, Adopted Family, Young Child Dealing with the Death of a Parent, Dysfunctional Family",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,"United Kingdom, United States",English,,,"$19,000,000",,,,
4,https://www.the-numbers.com/movie/Brinks-Job-The,[],"[['William Friedkin', 'Director'], ['Walon Green', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$36,836,752",,,,,1978 (Wide) by Universal,"July 27th, 2011 by Universal Home Entertainment",104 minutes,,vs. Out ColdCreate your own comparison chart…,"Crime Comedy, Inspired by a True Story, Heist, Corporate Malfeasance, Set in Boston, Ensemble",Based on Factual Book/Article,Comedy,Live Action,Dramatization,,United States,,,,"$9,400,000",,,,
5,https://www.the-numbers.com/movie/Caseys-Shadow,[],"[['Martin Ritt', 'Director'], ['Carol Sobieski', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$31,350,424",,,,,1978 (Wide) by Columbia,,117 minutes,,Create your own comparison chart…,"Miscellaneous Sports, Sports Drama, Father’s Footsteps, Animal Lead, Horse Racing, Death of a Pet, Professional Rivalry",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,,,"$8,000,000",,,,
6,https://www.the-numbers.com/movie/Coming-Home,"['Jane Fonda', 'Jon Voight', 'Bruce Dern']",[],100.0% (domestic box office/worldwide),"$127,960,683","$3,000,000 (worldwide box office is 10.9 times production budget)",,,,1978 (Wide) by United Artists,,119 minutes,,vs. PlatoonCreate your own comparison chart…,"Returning Soldiers, War, Vietnam War, IMAX: DMR, 1960s, PTSD, Relationships Gone Wrong, Infidelity, Suicide, Paralysis, Wheelchair User, Life Drama, 1979 Oscars Best Picture Nominee",Original Screenplay,Drama,Live Action,Historical Fiction,,United States,English,,,"$32,653,000",,,,
7,https://www.the-numbers.com/movie/Corvette-Summer,"['Mark Hamill', 'Annie Potts']",[],100.0% (domestic box office/worldwide),"$60,741,447",,,,,1978 (Wide) by MGM,"August 30th, 2005 by Warner Home Video",,,Create your own comparison chart…,,,,,,,United States,,,,"$15,500,000",,,,
8,https://www.the-numbers.com/movie/Fifth-Floor-The,[],[],100.0% (domestic box office/worldwide),"$27,431,615",,,,,1978 (Wide) by Film Ventures International,,,,Create your own comparison chart…,,,,,,,United States,,,,"$7,000,000",,,,
9,https://www.the-numbers.com/movie/Good-Guys-Wear-Black,[],"[['Ted Post', 'Director'], ['Bruce Cohn', 'Screenwriter'], ['Mark Medoff', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$71,714,095",,,,,1978 (Wide) by American Cinema Releasing,,96 minutes,,vs. Dragon: The Bruce Lee StoryCreate your own comparison chart…,"Martial Arts, Action Thriller, 1970s, Vietnam War, POW, Rescue, C.I.A., Government Corruption",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,,,,"$18,300,000",,,,
