,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Franchise:,Video Release:,MPAA Rating:,Languages:,International Releases:,Production/Financing Companies:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Bermuda-Triangle-The,[],"[['René Cardona, Jr.', 'Director'], ['René Cardona, Jr.', 'Screenwriter'], ['Stephen Lord', 'Screenwriter'], ['Carlos Valdemar', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$81,105,175",,,,,1979 (Wide),112 minutes,vs. TitanicCreate your own comparison chart…,"Supernatural, Supernatural Horror, On a Boat, Disaster, Possessed, Time Travel, Surprise Twist, Young Child Dealing with the Death of a Parent, Death of a Son or Daughter",Based on Fiction Book/Short Story,Horror,Live Action,Science Fiction,Mexico,,,,,,,"$22,200,000",,,,
1,https://www.the-numbers.com/movie/Chapter-Two,"['James Caan', 'Marsha Mason']","[['Robert Moore', 'Director'], ['Neil Simon', 'Story Creator'], ['Neil Simon', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$109,601,591",,,,,1979 (Wide) by Columbia,,Create your own comparison chart…,"Romantic Comedy, Romance, Widow/Widower, Death of a Spouse or Fiancée / Fiancé, Divorcée Romance, Honeymoon, Relationships Gone Wrong, Infidelity, Blind Date, Novel or Other Work Adapted by Author",Based on Play,Comedy,Live Action,Contemporary Fiction,United States,,,,,,,"$30,000,000",,,,
2,https://www.the-numbers.com/movie/Concorde-Airport-79-The,[],"[['Lalo Schifrin', 'Composer']]",100.0% (domestic box office/worldwide),"$47,494,016",,,,,1979 (Wide) by Universal,,Create your own comparison chart…,,,,,,United States,Airport,,,,,,"$13,000,000",,,,
3,https://www.the-numbers.com/movie/Dracula-(1979),[],"[['John Badham', 'Director'], ['W.D. Richter', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$76,721,108",,,,,1979 (Wide) by Universal,110 minutes,vs. Forrest GumpCreate your own comparison chart…,"Vampire, Gothic Horror, 1910s, Romance, Set in London",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,"United Kingdom, United States",,"September 2nd, 2014 by Universal Home Entertainment",R,"Dutch, English, Romanian, Russian",,,"$21,000,000","$574,452","$574,452",,
4,https://www.the-numbers.com/movie/Force-of-One-A,[],"[['Aaron Paul', 'Director'], ['Pat E. Johnson', 'Screenwriter'], ['Ernest Tidyman', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$73,798,399",,,,,1979 (Wide) by American Cinema Releasing,90 minutes,vs. Enter the DragonCreate your own comparison chart…,"Martial Arts, Action Thriller, Serial Killer, Narcotics, Police Detective",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,,,,,,"$20,200,000",,,,
5,https://www.the-numbers.com/movie/Going-in-Style-(1979),"['George Burns', 'Art Carney', 'Lee Strasberg']","[['Martin Brest', 'Director']]",100.0% (domestic box office/worldwide),"$109,236,250",,,,,1979 (Wide) by Warner Bros.,97 minutes,vs. Going in StyleCreate your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,"January 26th, 1993 by Warner Home Video",,,,,"$29,900,000",,,,
6,https://www.the-numbers.com/movie/Love-at-First-Bite,"['George Hamilton', 'Susan Saint James']","[['Stan Dragoti', 'Director']]",100.0% (domestic box office/worldwide),"$160,383,658",,,,,1979 (Wide) by American International Pictures,,Create your own comparison chart…,Vampire,,,,,United States,,,PG,,,,"$43,900,000",,,,
7,https://www.the-numbers.com/movie/Time-After-Time,"['Malcolm McDowell', 'David Warner', 'Mary Steenburgen']",[],100.0% (domestic box office/worldwide),"$47,494,016",,,,,1979 (Wide) by Warner Bros.,,Create your own comparison chart…,Time Travel,,,,,United States,,"September 2nd, 2008 by Warner Home Video",,,,,"$13,000,000",,,,
8,https://www.the-numbers.com/movie/Warriors-The,[],"[['Walter Hill', 'Director'], ['David Shaber', 'Screenwriter'], ['Walter Hill', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$82,164,658","$3,529,675 (15.7% of total gross)",6.37 (domestic box office/biggest weekend),"551 opening theaters/551 max. theaters, 1.0 weeks average run per theater",,"February 9th, 1979 (Wide) by Paramount Pictures",92 minutes,vs. BloodsportCreate your own comparison chart…,"Gangs, Hood Film, Action Thriller, Framed, Fugitive / On the Run",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,United States,,1983 by ABC,R for violence and language. (director's cut),,"February 1st, 1979 (Limited) (Australia)
February 4th, 2021 (Wide) (New Zealand)
March 6th, 2023 (Limited), released as I Guerrieri Della Notte (Italy)
June 9th, 2023 (Limited) (Australia)
",,"$22,490,000",,,"$5,419","$22,495,419"
9,https://www.the-numbers.com/movie/Agatha,"['Christopher Fairbank', 'Vanessa Redgrave', 'Dustin Hoffman', 'Timothy Dalton']","[['Michael Apted', 'Director'], ['Kathleen Tynan', 'Screenwriter'], ['Arthur Hopcraft', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$31,225,091",,,,,"February 9th, 1979 (Wide) by Warner Bros.",98 minutes,Create your own comparison chart…,"Crime Thriller, Biography, Non-Drama Biographies, Missing Person, Relationships Gone Wrong, Infidelity, Faked Death, Investigative Journalist",Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,United Kingdom,,,,,,,"$7,500,000",,,,
