,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Franchise:,MPAA Rating:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Cruising,"['Paul Sorvino', 'Karen Allen', 'Al Pacino']","[['William Friedkin', 'Director'], ['William Friedkin', 'Screenwriter'], ['Gerald Walker', 'Story based upon the novel by'], ['Jerry Weintraub', 'Producer'], ['Jack Nitzsche', 'Composer']]",100.0% (domestic box office/worldwide),"$67,442,865",,,,,"January 1st, 1980 (Wide) by United Artists",2007 by Warner Home Video,102 minutes,vs. Dressed to KillCreate your own comparison chart…,"Film Noir, Serial Killer, Set in New York, Set in New York City, NYPD, Police Detective, Undercover, Sexual Fetishism, LGBTQ+, Police Brutality, Erotic Thriller",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"Lorimar Film Entertainment, Jerry Weintraub","Germany, United States",English,,,,"$19,784,223",,,,
1,https://www.the-numbers.com/movie/Dressed-to-Kill,[],"[['Brian De Palma', 'Director'], ['Pino Donaggio', 'Composer']]",100.0% (domestic box office/worldwide),"$108,741,198","$6,500,000 (worldwide box office is 4.9 times production budget)",,,,"January 1st, 1980 (Wide) by Filmways Pictures","September 8th, 2015 by Criterion",104 minutes,vs. CruisingCreate your own comparison chart…,"Mental Illness, Faulty Memory, Cross-Dressing, Prostitution, Surprise Twist, Erotic Thriller, Nightmare, Unbelieving Police, Revenge, LGBTQ+, Therapists / Therapy, Young Child Dealing with the Death of a Parent",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,United States,English,,,,"$31,899,000","$1,059,554","$1,059,554",,
2,https://www.the-numbers.com/movie/Hollywood-Knights-The,[],[],100.0% (domestic box office/worldwide),"$34,089,218",,,,,"January 1st, 1980 (Wide) by Columbia",,,Create your own comparison chart…,,,,,,,United States,,,,,"$10,000,000",,,,
3,https://www.the-numbers.com/movie/How-to-Beat-the-High-Cost-of-Living,[],[],100.0% (domestic box office/worldwide),"$25,566,914",,,,,"January 1st, 1980 (Wide) by Filmways Pictures",,,Create your own comparison chart…,,,,,,,United States,,,,,"$7,500,000",,,,
4,https://www.the-numbers.com/movie/Mirror-Crackd-The,"['Angela Lansbury', 'Edward Fox', 'Kim Novak', 'Rock Hudson', 'Geraldine Chaplin', 'Tony Curtis', 'Elizabeth Taylor']","[['Guy Hamilton', 'Director'], ['John Brabourne', 'Producer'], ['Richard Goodwin', 'Producer'], ['Jonathan Hales', 'Screenwriter'], ['Barry Sandler', 'Screenwriter'], ['John Cameron', 'Composer'], ['Agatha Christie', 'Story by']]",100.0% (domestic box office/worldwide),"$37,498,138",,,,,"January 1st, 1980 (Wide) by Associated Film Distributors","January 29th, 2006 by Starz / Anchor Bay",105 minutes,Create your own comparison chart…,"Crime Thriller, Murder Mystery, Film Actor, Movie Business, Troubled Pregnancy or Miscarriage, Pregnant Women, Revenge, Suicide, Surprise Twist, Set in England, Inspired by a True Story",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Historical Fiction,,United Kingdom,English,"April 21st, 2018 (Wide) (New Zealand)
",,,"$11,000,000",,,$414,"$11,000,414"
5,https://www.the-numbers.com/movie/Changeling-The,[],"[['Peter Medak', 'Director']]",100.0% (domestic box office/worldwide),"$40,907,058",,,,,1980 (Wide) by Associated Film Distributors,"September 6th, 2005 by HBO Home Video",107 minutes,vs. PoltergeistCreate your own comparison chart…,"Supernatural, Psychological Horror, Death of a Spouse or Fiancée / Fiancé, Death of a Son or Daughter, Dysfunctional Family, Familial Murder, False Identity, Politicians, Surprise Twist, Haunting, Haunted House, Séance",Original Screenplay,Horror,Live Action,Fantasy,Malpaso Productions,Canada,English,,,,"$12,000,000",,,,
6,https://www.the-numbers.com/movie/Exterminator-The,[],[],100.0% (domestic box office/worldwide),"$17,044,609",,,,,1980 (Wide) by Avco Embassy,,,vs. Terminator: Dark FateCreate your own comparison chart…,,,,,,,United States,,,Exterminator,,"$5,000,000",,,,
7,https://www.the-numbers.com/movie/Final-Countdown-The,"['Katharine Ross', 'Ron O’Neal', 'Charles Durning', 'Kirk Douglas', 'Martin Sheen', 'James Farentino']","[['Don Taylor', 'Director'], ['Peter Vincent Douglas', 'Producer'], ['Richard R. St. Johns', 'Executive Producer'], ['David Ambrose', 'Screenwriter'], ['Gerry Davis', 'Screenwriter'], ['Thomas Hunter', 'Screenwriter'], ['Peter Powell', 'Screenwriter'], ['Thomas Hunter', 'Story by'], ['Peter Powell', 'Story by'], ['David Ambrose', 'Story by'], ['Victor J. Kemper', 'Director of Photography'], ['John Scott', 'Composer'], ['Lloyd Kaufman', 'Associate Producer'], ['Robert K. Lambert', 'Editor'], ['John W. Hyde', 'Executive in Charge of Production']]",29.4% (domestic box office/worldwide),"$56,751,048",,,,,1980 (Wide) by United Artists,"March 30th, 2004 by WEA Corp DVD",103 minutes,vs. The Spy Who Loved MeCreate your own comparison chart…,"Time Travel, Action Adventure, 1940s, World War II, On a Boat, Ensemble",Original Screenplay,Action,Live Action,Science Fiction,Bryna Productions,United States,English,,,,"$16,647,800",,,"$40,000,000","$56,647,800"
8,https://www.the-numbers.com/movie/Hangar-18,[],[],100.0% (domestic box office/worldwide),"$37,498,138",,,,,1980 (Wide) by Sunn Classics Pictures,,,Create your own comparison chart…,,,,,,,United States,,,,,"$11,000,000",,,,
9,https://www.the-numbers.com/movie/Hardly-Working,[],[],100.0% (domestic box office/worldwide),"$61,360,587",,,,,1980 (Wide) by 20th Century Fox,,,Create your own comparison chart…,,,,,,,United States,,,,,"$18,000,000",,,,
