,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Comparisons:,Production Countries:,Video Release:,Running Time:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Languages:,International Releases:,Franchise:,MPAA Rating:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Death-Hunt,[],[],100.0% (domestic box office/worldwide),"$16,492,804",,,,,1981 (Wide) by 20th Century Fox,Create your own comparison chart…,United States,,,,,,,,,,,,,"$5,000,000",,,,
1,https://www.the-numbers.com/movie/Devil-and-Max-Devlin-The,[],[],100.0% (domestic box office/worldwide),"$52,776,972",,,,,1981 (Wide) by Walt Disney,vs. Hocus PocusCreate your own comparison chart…,United States,,,,,,,,,,,,,"$16,000,000",,,,
2,https://www.the-numbers.com/movie/Fort-Apache-The-Bronx,[],[],44.8% (domestic box office/worldwide),"$96,317,984",,,,,1981 (Wide) by 20th Century Fox,vs. Star Wars Ep. V: The Empire Strikes BackCreate your own comparison chart…,United States,,,,,,,,,,,,,"$29,200,000","$36,000,000","$65,200,000",,
3,https://www.the-numbers.com/movie/Private-Eyes-The,"['Trisha Noble', 'Tim Conway', 'Don Knotts']","[['Lang Elliott', 'Director'], ['Lang Elliott', 'Producer'], ['Wanda Dell', 'Producer'], ['Tim Conway', 'Screenwriter'], ['John Mythers', 'Screenwriter'], ['Fabien Tordjmann', 'Editor'], ['Jacques Haitkin', 'Director of Photography'], ['Peter Matz', 'Composer'], ['Lang Elliott', 'Executive Producer']]",100.0% (domestic box office/worldwide),"$59,374,099",,,,,1981 (Wide) by New World,"vs. Fort Apache, The BronxCreate your own comparison chart…",United States,"October 10th, 2000 by Hen's Tooth",91 minutes,"Buddy Comedy, Scotland Yard, Crime, 1900s, Adopted Family, Inheritance, Murder Mystery, Young Child Dealing with the Death of a Parent, Faked Death, Surprise Twist",Original Screenplay,Comedy,Live Action,Historical Fiction,"Tri-Star Pictures, New World Pictures, Deluxe Entertainment Services Group",English,,,,"$18,000,000",,,,
4,https://www.the-numbers.com/movie/Scanners,[],"[['David Cronenberg', 'Director'], ['Howard Shore', 'Composer']]",100.0% (domestic box office/worldwide),"$46,839,562",,,,,1981 (Wide) by Avco Embassy,vs. Ghost in the MachineCreate your own comparison chart…,Canada,"July 15th, 2014 by Criterion",,"Body Horror, Canuxploitation",Original Screenplay,Horror,Live Action,Science Fiction,,English,,,,"$14,200,000",,,"$244,596","$244,596"
5,https://www.the-numbers.com/movie/Incredible-Shrinking-Woman-The,[],"[['Joel Schumacher', 'Director'], ['Jane Wagner', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$66,825,550","$4,279,264 (21.1% of total gross)",4.73 (domestic box office/biggest weekend),"789 opening theaters/789 max. theaters, 1.0 weeks average run per theater",,"January 30th, 1981 (Wide) by Universal",vs. The Private EyesCreate your own comparison chart…,United States,"July 4th, 2017 by Universal Home Entertainment",88 minutes,"Farcical / Slapstick Comedy, Spoof, Remake, Remake with a Different Genre, Mad Scientist, Kidnap, Faked Death, F-Rated, Genderbending Casting",Based on Fiction Book/Short Story,Comedy,Live Action,Science Fiction,,,,,,"$20,259,000",,,,
6,https://www.the-numbers.com/movie/Sphinx,[],"[['Franklin J. Schaffner', 'Director']]",17.5% (domestic box office/worldwide),"$6,597,118","$439,564 (22.0% of total gross)",4.55 (domestic box office/biggest weekend),"214 opening theaters/214 max. theaters, 1.0 weeks average run per theater","$10,000,000 (worldwide box office is 1.1 times production budget)","February 11th, 1981 (Wide) by Warner Bros.",vs. Alone with HerCreate your own comparison chart…,United States,"October 26th, 2006 by Orion Video",,,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,English,,,,"$2,000,000","$9,400,000","$11,400,000",,
7,https://www.the-numbers.com/movie/American-Pop,[],"[['Ralph Bakshi', 'Director'], ['Ronni Kern', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$22,553,953","$210,084 (3.5% of total gross)",28.56 (domestic box office/biggest weekend),"6 opening theaters/6 max. theaters, 1.0 weeks average run per theater",,"February 13th, 1981 (Wide) by Columbia",vs. THX 1138Create your own comparison chart…,United States,,96 minutes,"1890s, 1910s, 1930s, World War I, Singers, World War II, Death of a Spouse or Fiancée / Fiancé, Young Child Dealing with the Death of a Parent, Jazz, Rock 'n' Roll, Narcotics, Addiction, Dysfunctional Family, Organized Crime, Drug Dealer",Original Screenplay,Musical,Rotoscoping,Historical Fiction,,,,,,"$6,000,000",,,,
8,https://www.the-numbers.com/movie/Eyewitness,[],"[['Peter Yates', 'Director']]",100.0% (domestic box office/worldwide),"$21,110,789",,,,,"February 13th, 1981 (Wide) by 20th Century Fox",vs. SphinxCreate your own comparison chart…,United States,,,Film Noir,,,,,,,,,,"$6,400,000",,,,
9,https://www.the-numbers.com/movie/All-Night-Long,"['Diane Ladd', 'Kevin James Dobson', 'Barbra Streisand', 'Gene Hackman', 'Dennis Quaid']","[['Jean-Claude Tramont', 'Director'], ['W.D. Richter', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$25,728,773","$1,392,852 (17.9% of total gross)",5.60 (domestic box office/biggest weekend),"362 opening theaters/362 max. theaters, 1.0 weeks average run per theater",,"March 6th, 1981 (Wide) by Universal",vs. The Postman Always Rings TwiceCreate your own comparison chart…,United States,"December 14th, 2004 by Universal Home Entertainment",88 minutes,"Romantic Comedy, Romance, Relationships Gone Wrong, Dysfunctional Family, Domestic Abuse, Firefighter, Inventor, Development Hell",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,English,,,,"$7,800,000",,,,
