,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Comparisons:,Production Countries:,Running Time:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Video Release:,MPAA Rating:,Languages:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Timerider-The-Adventure-of-Lyle-Swann,[],[],100.0% (domestic box office/worldwide),"$18,714,283",,,,,1982 (Wide),Create your own comparison chart…,United States,,,,,,,,,,,,,"$6,000,000",,,,
1,https://www.the-numbers.com/movie/Shoot-the-Moon,[],"[['Alan Parker', 'Director'], ['Bo Goldman', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$25,264,285","$91,306 (1.1% of total gross)",4.33 (domestic box office/biggest weekend),"3 opening theaters/585 max. theaters, 3.4 weeks average run per theater",,"January 22nd, 1982 (Wide) by MGM",Create your own comparison chart…,United States,123 minutes,"Family Drama, Infidelity, Dysfunctional Family, Relationships Gone Wrong, Single Parent, Writing and Writers",Original Screenplay,Drama,Live Action,Contemporary Fiction,,,,,,,"$8,100,000",,,,
2,https://www.the-numbers.com/movie/Vice-Squad,"['Season Hubley', 'Gary Swanson', 'Wings Hauser']","[['Gary A. Sherman', 'Director'], ['Sandy Howard', 'Screenwriter'], ['Gary Sherman', 'Screenwriter'], ['Robert Vincent O’Neil', 'Screenwriter'], ['Kenneth Peter', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$17,369,594","$2,177,163 (39.1% of total gross)",2.56 (domestic box office/biggest weekend),"617 opening theaters/617 max. theaters, 2.5 weeks average run per theater",,"January 22nd, 1982 (Wide) by Avco Embassy",vs. Raiders of the Lost ArkCreate your own comparison chart…,United States,93 minutes,"Action Thriller, Crime, Prostitution, Fugitive / On the Run, Revenge, Police Detective, Spree Killer",Original Screenplay,Action,Live Action,Contemporary Fiction,"August 13th, 2019 by Shout Factory",R,English,,,,"$5,568,880","$13,609","$13,609",,
3,https://www.the-numbers.com/movie/Border-The,[],"[['Tony Richardson', 'Director']]",100.0% (domestic box office/worldwide),"$19,084,457","$520,837 (8.5% of total gross)",2.44 (domestic box office/biggest weekend),"84 opening theaters/888 max. theaters, 2.0 weeks average run per theater","$13,500,000 (worldwide box office is 0.5 times production budget)","January 29th, 1982 (Wide) by Universal",vs. Kabhi Alvida Naa KehnaCreate your own comparison chart…,United States,108 minutes,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"June 18th, 2019 by Kino Lorber",R,"English, Spanish",,,,"$6,118,683",,,,
4,https://www.the-numbers.com/movie/Boot-Das,[],"[['Wolfgang Petersen', 'Director'], ['Wolfgang Petersen', 'Screenwriter'], ['Lothar-Gunther Buchheim', 'Based on the novel by']]",13.5% (domestic box office/worldwide),"$23,051,152","$26,994 (0.2% of total gross)",121.06 (domestic box office/biggest weekend),"2 opening theaters/29 max. theaters, 3.3 weeks average run per theater","$12,000,000 (worldwide box office is 7.1 times production budget)","February 10th, 1982 (Wide) by Quartet Films, released as The BootApril 4th, 1997 (Limited) by Sony Pictures, released as Das Boot (1982) (Re-Release)",vs. Die FälscherCreate your own comparison chart…,Germany,149 minutes,"World War II, War, War Drama, Underwater, On a Boat",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,,R for some war violence and brief language. (director's cut),German,,,,"$11,487,676",,,"$73,482,661","$84,970,337"
5,https://www.the-numbers.com/movie/Guerre-du-Feu-La,[],"[['Jean-Jacques Annaud', 'Director']]",100.0% (domestic box office/worldwide),"$65,373,939",,9.65 (domestic box office/biggest weekend),,"$12,500,000 (worldwide box office is 1.7 times production budget)","February 12th, 1982 (Wide) by 20th Century Fox, released as Quest for Fire",vs. Quick ChangeCreate your own comparison chart…,"Canada, France",,,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,,,,,,,"$20,959,585",,,,
6,https://www.the-numbers.com/movie/Making-Love,[],"[['Arthur Hiller', 'Director'], ['Barry Sandler', 'Screenwriter'], ['A. Scott Berg', 'Story Creator']]",100.0% (domestic box office/worldwide),"$37,110,357","$3,015,497 (25.3% of total gross)",3.95 (domestic box office/biggest weekend),"363 opening theaters/380 max. theaters, 6.4 weeks average run per theater",,"February 12th, 1982 (Wide) by 20th Century Fox",vs. Major PayneCreate your own comparison chart…,United States,113 minutes,"Comedy Drama, Romance, Relationships Gone Wrong, LGBTQ+, Closeted Homosexual, Infidelity, Breaking the Fourth Wall",Original Screenplay,Drama,Live Action,Contemporary Fiction,,,,,,,"$11,897,978",,,,
7,https://www.the-numbers.com/movie/Missing,[],"[['Costa-Gavras', 'Director'], ['Costa-Gavras', 'Screenwriter'], ['Donald E. Stewart', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$49,904,754",,6.96 (domestic box office/biggest weekend),,,"February 12th, 1982 (Wide) by Universal",vs. La Guerre du feuCreate your own comparison chart…,United States,122 minutes,"Historical Drama, Military Coup, Missing Person, Political, Investigative Journalist, 1983 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,,,,,,,"$16,000,000",,,,
8,https://www.the-numbers.com/movie/Death-Wish-II,[],"[['Michael Winner', 'Director'], ['David Engelbach', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$50,216,662",,8.60 (domestic box office/biggest weekend),,,"February 19th, 1982 (Wide) by Sony Pictures",vs. Making LoveCreate your own comparison chart…,United States,,"Revenge, Action Thriller, Delayed Sequel, Gangs, Sex Crimes, Set in Los Angeles",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"May 15th, 2001 by Good Times Video",,,Death Wish,,,"$16,100,000",,,,
9,https://www.the-numbers.com/movie/Richard-Pryor-Live-on-the-Sunset-Strip,[],[],100.0% (domestic box office/worldwide),"$109,074,051","$7,780,693 (22.2% of total gross)",4.49 (domestic box office/biggest weekend),"1,277 opening theaters/1,277 max. theaters, 7.9 weeks average run per theater",,"March 12th, 1982 (Wide) by Sony Pictures",vs. On Golden PondCreate your own comparison chart…,United States,,,Based on Real Life Events,Concert/Performance,Live Action,Factual,,,,,,,"$34,970,309",,,,
