,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,MPAA Rating:,International Releases:,Franchise:,Production/Financing Companies:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/House-on-Sorority-Row-The,[],"[['Mark Rosman', 'Director'], ['Mark Rosman', 'Screenwriter']]","$617,661 (7.5% of total gross)",7.78 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"153 opening theaters/257 max. theaters, 7.4 weeks average run per theater","$23,826,374",,"January 21st, 1983 (Wide) by Artists Releasing Corporation","October 16th, 2018 by Scorpion Releasing / Kino Lorber",91 minutes,vs. The HungerCreate your own comparison chart…,"Slasher Horror, Serial Killer, Fraternity/Sorority, Prank Gone Wrong",Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,,,,,"$8,184,633","$132,462","$132,462",,
1,https://www.the-numbers.com/movie/Year-of-Living-Dangerously-The,[],"[['Peter Weir', 'Director'], ['David Williamson', 'Screenwriter'], ['Peter Weir', 'Screenwriter'], ['C.J. Koch', 'Screenwriter'], ['C.J. Koch', 'Story Creator']]","$35,000 (0.3% of total gross)",5.99 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1 opening theaters/690 max. theaters, 4.6 weeks average run per theater","$29,922,068","$6,000,000 (worldwide box office is 1.7 times production budget)","January 21st, 1983 (Wide) by MGM",,114 minutes,vs. Brooklyn RulesCreate your own comparison chart…,"Whitewashed Casting, Genderbending Casting, Romance, Romantic Drama, Set in Indonesia, Investigative Journalist, Military Coup, Political, Novel or Other Work Adapted by Author",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,Australia,,,,,,"$10,278,575",,,,
2,https://www.the-numbers.com/movie/Entity-The,[],"[['Sidney J. Furie', 'Director']]","$3,685,654 (27.8% of total gross)",3.60 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,031 opening theaters/1,035 max. theaters, 4.2 weeks average run per theater","$38,652,439",,"February 4th, 1983 (Wide) by 20th Century Fox","July 3rd, 2012 by Anchor Bay Home Entertainment",,vs. Enemy of the StateCreate your own comparison chart…,"Supernatural Horror, Supernatural, Haunting, Sex Crimes, Paranormal Investigation, Mental Hospital",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,United States,English,R,,,,"$13,277,558",,,,
3,https://www.the-numbers.com/movie/Without-a-Trace,"['David Dukes', 'Stockard Channing', 'Kate Nelligan', 'Judd Hirsch']",[],"$1,609,448 (16.7% of total gross)",5.24 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"721 opening theaters/721 max. theaters, 4.9 weeks average run per theater","$28,039,998",,"February 4th, 1983 (Wide) by 20th Century Fox",,120 minutes,Create your own comparison chart…,"Crime Drama, Missing Child, Presumed Dead, Falsely Accused, LGBTQ+, Set in New York City, Unbelieving Police",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,,,,,"$9,632,062",,,,
4,https://www.the-numbers.com/movie/Local-Hero,"['Denis Lawson', 'Fulton Mackay', 'Burt Lancaster', 'Peter Riegert']","[['Bill Forsyth', 'Director'], ['Bill Forsyth', 'Screenwriter'], ['David Puttnam', 'Producer'], ['Iain Smith', 'Producer'], ['Mark Knopfler', 'Composer']]","$23,567 (0.4% of total gross)",8.13 (domestic box office/biggest weekend),98.8% (domestic box office/worldwide),"1 opening theaters/207 max. theaters, 6.3 weeks average run per theater","$16,789,426",,"February 18th, 1983 (Wide) by Warner Bros.","September 21st, 1999 by Warner Home Video",111 minutes,Create your own comparison chart…,"Comedy Drama, Set in Scotland, Cult Movie, Culture Clash, Corporate Life, Surprise Twist",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United Kingdom,English,,"March 17th, 1983 (Wide) (United Kingdom)
August 5th, 2022 (Limited), released as Local Hero (ローカル・ヒーロー　夢に生きた男) (Japan)
May 19th, 2023 (Limited) (40th Anniversary)
 (United Kingdom)
June 1st, 2023 (Limited) (New Zealand)
",,,"$5,767,363",,,"$72,677","$5,840,040"
5,https://www.the-numbers.com/movie/Lords-of-Discipline-The,[],"[['Franc Roddam', 'Director'], ['Lloyd Fonvielle', 'Screenwriter'], ['Thomas Pope', 'Screenwriter'], ['Pat Conroy', 'Story Creator']]","$3,011,932 (25.7% of total gross)",3.89 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"800 opening theaters/800 max. theaters, 5.1 weeks average run per theater","$34,121,249",,"February 18th, 1983 (Wide) by Paramount Pictures",,103 minutes,Create your own comparison chart…,"Psychological Thriller, Bigotry, Boarding School, Military Life, 1960s, African Americans, New Guy/Girl in School, Inspired by a True Story",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Historical Fiction,United States,,,,,,"$11,721,041",,,,
6,https://www.the-numbers.com/movie/Lovesick,[],"[['Marshall Brickman', 'Director'], ['Marshall Brickman', 'Screenwriter']]","$3,093,281 (30.5% of total gross)",3.28 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"718 opening theaters/744 max. theaters, 4.7 weeks average run per theater","$29,529,197","$10,100,000 (worldwide box office is 1.0 times production budget)","February 18th, 1983 (Wide) by Warner Bros.",,95 minutes,vs. SplashCreate your own comparison chart…,"Romantic Comedy, Romance, Therapist, Relationships Gone Wrong, Imaginary Character, Infidelity",Original Screenplay,Romantic Comedy,Live Action,Fantasy,United States,English,,,,,"$10,143,618",,,,
7,https://www.the-numbers.com/movie/Sting-II-The,"['Ron Rifkin', 'John Hancock', 'Jackie Gleason', 'Mac Davis', 'Teri Garr', 'Karl Malden', 'Oliver Reed']","[['Jeremy Paul Kagan', 'Director'], ['Jennings Lang', 'Producer'], ['Bill Butler', 'Director of Photography'], ['Albert Whitlock', 'Special Effects'], ['Lalo Schifrin', 'Composer'], ['David S. Ward', 'Screenwriter']]","$3,106,108 (48.9% of total gross)",2.04 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,294 opening theaters/1,294 max. theaters, 2.4 weeks average run per theater","$18,477,027",,"February 18th, 1983 (Wide) by Universal","August 3rd, 2004 by Universal Home Entertainment",101 minutes,vs. All of MeCreate your own comparison chart…,"Boxing, Sequel With Lead Character Recast, Sequels Without Their Original Stars, Delayed Sequel, Crime Comedy, Confidence Men, Revenge, Life on the Outside, 1940s, Organized Crime, Death of a Partner, Romance, Surprise Twist, Take a Dive",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,English,PG,,The Sting,Universal Pictures,"$6,347,072",,,,
8,https://www.the-numbers.com/movie/My-Tutor,"['Matt Lattanzi', 'Caren Kaye']","[['George Bowers', 'Director'], ['Joe Roberts', 'Screenwriter']]","$435,188 (1.9% of total gross)",9.54 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"96 opening theaters/500 max. theaters, 9.5 weeks average run per theater","$65,753,265",,"March 4th, 1983 (Wide) by Crown",,97 minutes,Create your own comparison chart…,"Teenage Sex Comedy, Graduation, Romance, Relationships Gone Wrong, First Love, Unrequited Love, Dysfunctional Family",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$22,587,000",,,,
9,https://www.the-numbers.com/movie/Tender-Mercies,[],"[['Bruce Beresford', 'Director'], ['Horton Foote', 'Screenwriter']]","$46,977 (0.6% of total gross)",57.38 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"3 opening theaters/37 max. theaters, 2.2 weeks average run per theater","$24,578,865",,"March 4th, 1983 (Wide) by Universal","March 17th, 1998 by Kino Lorber",92 minutes,Create your own comparison chart…,"Life Drama, Dysfunctional Family, Singers, Addiction, Country and Western Music, Rehab / Former Addict, Single Parent, 1984 Oscars Best Picture Nominee",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,PG,,,,"$8,443,124",,,,
10,https://www.the-numbers.com/movie/Vigilante,"['Robert Forster', 'Fred Williamson']","[['William Lustig', 'Director'], ['Richard Vetere', 'Screenwriter']]","$1,588,464 (31.2% of total gross)",3.21 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"250 opening theaters/250 max. theaters, 4.1 weeks average run per theater","$14,823,048",,"March 4th, 1983 (Wide) by Artists Releasing Corporation","September 21st, 2010 by Sony Pictures Home Entertainment",95 minutes,Create your own comparison chart…,"Revenge, Action Thriller, Gangs, Vigilante, Home Invasion, Death of a Son or Daughter, Prison",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,"R For pervasive language, violence and brief drug content",,,,"$5,091,888",,,,
11,https://www.the-numbers.com/movie/10-to-Midnight,[],"[['Jack Lee Thompson', 'Director']]","$3,050,225 (42.5% of total gross)",2.35 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"595 opening theaters/595 max. theaters, 2.8 weeks average run per theater","$23,804,734",,"March 11th, 1983 (Wide) by Cannon","January 22nd, 2019 by Shout Factory",101 minutes,vs. Bad BoysCreate your own comparison chart…,"Serial Killer, Crime Thriller, LAPD, Police Detective, Set in Los Angeles, Dysfunctional Family, Framed, Fired, Revenge, Prostitution, Police Brutality",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,R,,,,"$7,175,592","$78,375","$78,375",,
12,https://www.the-numbers.com/movie/High-Road-to-China,[],"[['Brian G. Hutton', 'Director'], ['Jon Cleary', 'Based on the novel by']]","$6,156,049 (21.7% of total gross)",4.62 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,508 opening theaters/1,508 max. theaters, 6.3 weeks average run per theater","$82,723,469",,"March 18th, 1983 (Wide) by Warner Bros.","April 1st, 1992 by Warner Home Video",,vs. Spring BreakCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,United States,English,,,,,"$28,416,459",,,,
13,https://www.the-numbers.com/movie/Bad-Boys-(1983),[],"[['Rick Rosenthal', 'Director'], ['Richard Di Lello', 'Screenwriter']]","$2,171,197 (23.6% of total gross)",4.24 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"468 opening theaters/535 max. theaters, 4.1 weeks average run per theater","$26,782,214",,"March 25th, 1983 (Wide) by Universal",,123 minutes,vs. Bad Boys For LifeCreate your own comparison chart…,"Prison, Hood Film, Crime Drama, Coming of Age, Gangs, Death of a Best Friend, Death of a Sibling, Revenge, Sex Crimes, Solitary Confinement, Prison Break",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,,,"$9,200,000",,,,
14,https://www.the-numbers.com/movie/Black-Stallion-Returns-The,[],[],"$2,923,297 (29.7% of total gross)",3.37 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,370 opening theaters/1,376 max. theaters, 3.8 weeks average run per theater","$28,679,331",,"March 25th, 1983 (Wide) by MGM/UA Classics",,,vs. The OutsidersCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,United States,,,,Black Stallion,,"$9,851,679",,,,
15,https://www.the-numbers.com/movie/Max-Dugan-Returns,[],"[['Herbert Ross', 'Director'], ['Neil Simon', 'Screenwriter'], ['Herbert Ross', 'Producer'], ['Neil Simon', 'Producer']]","$2,791,002 (15.8% of total gross)",6.31 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"790 opening theaters/801 max. theaters, 6.8 weeks average run per theater","$51,275,495",,"March 25th, 1983 (Wide) by 20th Century Fox",,98 minutes,vs. The OutsidersCreate your own comparison chart…,"Comedy Drama, Dysfunctional Family, Widow/Widower, Single Parent",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$17,613,720",,,,
