,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Angel,"['Cliff Gorman', 'Susan Tyrrell', 'Dick Shawn', 'Rory Calhoun', 'Donna Wilkes']","[['Robert Vincent O’Neil', 'Director'], ['Robert Vincent O’Neil', 'Screenwriter'], ['Joseph M. Cala', 'Screenwriter'], ['Roy Watts', 'Producer'], ['Donald P. Borchers', 'Producer'], ['Mel Pearl', 'Executive Producer'], ['Don Levin', 'Executive Producer']]","$2,214,824 (12.7% of total gross)",7.90 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"330 opening theaters/499 max. theaters, 10.4 weeks average run per theater","$47,729,199",,"January 13th, 1984 (Wide) by New World","March 31st, 2020 by Vinegar Syndrome",R,94 minutes,Angel,Create your own comparison chart…,"Crime Thriller, Prostitution, Double Life, Serial Killer, Child Prostitution, Abandoned Child",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"New World Pictures, Adams Apple Film Company",United States,English,,"$17,488,564","$66,632","$66,632",,
1,https://www.the-numbers.com/movie/Hot-Dog-The-Movie,"['Patrick Houser', 'David Naughton', 'Tracy Smith', 'Shannon Tweed']","[['Peter Markle', 'Director'], ['Mike Marvin', 'Screenwriter']]","$4,506,756 (25.7% of total gross)",3.89 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,273 opening theaters/1,276 max. theaters, 5.3 weeks average run per theater","$47,870,032",,"January 13th, 1984 (Wide) by MGM/UA Classics","August 5th, 2003 by MGM Video",,99 minutes,,vs. Aspen ExtremeCreate your own comparison chart…,"Winter Sports, Skiing, Sex Comedy, Slobs vs. Snobs, Love Triangle, Professional Rivalry",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,English,,"$17,540,166",,,,
2,https://www.the-numbers.com/movie/Broadway-Danny-Rose,[],"[['Woody Allen', 'Director'], ['Woody Allen', 'Screenwriter']]","$953,740 (9.0% of total gross)",5.09 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"109 opening theaters/613 max. theaters, 4.5 weeks average run per theater","$28,930,516",,"January 27th, 1984 (Wide) by Orion Pictures",,,84 minutes,,Create your own comparison chart…,"Mafia, Farcical / Slapstick Comedy, Love Triangle, Talent Agent, Retro Black and White, Voiceover/Narration, Non-Chronological, Prologue, Gratuitous Cameos, Romance, Relationships Gone Wrong, Fake Dating, Screenplay Written By the Star, Directing Yourself",Original Screenplay,Comedy,Live Action,Historical Fiction,,United States,,,"$10,600,497",,,,
3,https://www.the-numbers.com/movie/Reckless-(1984),[],"[['James Foley', 'Director'], ['Thomas Newman', 'Composer']]","$2,446,016 (36.3% of total gross)",2.75 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"897 opening theaters/899 max. theaters, 3.1 weeks average run per theater","$18,371,655",,"February 3rd, 1984 (Wide) by MGM/UA Classics",,,90 minutes,,Create your own comparison chart…,"Romantic Drama, High School, High School Sports, Football, Romance, Love Triangle, Cross-Class Romance, Addiction, Dysfunctional Family, Young Child Dealing with the Death of a Parent",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,,"$6,731,602",,,,
4,https://www.the-numbers.com/movie/Weekend-Pass,[],"[['Lawrence Bassoff', 'Director'], ['Lawrence Bassoff', 'Screenwriter']]","$1,451,676 (6.9% of total gross)",14.51 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"399 opening theaters/475 max. theaters, 11.6 weeks average run per theater","$57,470,875",,"February 3rd, 1984 (Wide) by Crown",,R,92 minutes,,Create your own comparison chart…,"Sex Comedy, Military Life",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,,United States,,,"$21,058,033",,,,
5,https://www.the-numbers.com/movie/Unfaithfully-Yours,[],"[['Howard Zieff', 'Director']]","$3,744,126 (18.8% of total gross)",5.32 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"820 opening theaters/831 max. theaters, 7.1 weeks average run per theater","$54,387,371",,"February 10th, 1984 (Wide) by 20th Century Fox",,,,,vs. FootlooseCreate your own comparison chart…,"Film Noir, Romance",Remake,Romantic Comedy,Live Action,Contemporary Fiction,,United States,,,"$19,928,200",,,,
6,https://www.the-numbers.com/movie/Blame-it-on-Rio,[],"[['Stanley Donen', 'Director'], ['Charlie Peters', 'Screenwriter'], ['Larry Gelbart', 'Screenwriter'], ['Ken Wannberg', 'Composer']]","$3,437,660 (18.5% of total gross)",5.41 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,201 opening theaters/1,234 max. theaters, 5.4 weeks average run per theater","$50,762,497",,"February 17th, 1984 (Wide) by 20th Century Fox","May 22nd, 2001 by MGM Video",,100 minutes,,vs. The Blair Witch ProjectCreate your own comparison chart…,"Romantic Comedy, Romance, Relationships Gone Wrong, Dysfunctional Family, February / May Romance, Family Vacations, Infidelity, Set in Rio de Janeiro",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,,,"$18,600,000",,,,
7,https://www.the-numbers.com/movie/Footloose-(1984),"['Lori Singer', 'Dianne Wiest', 'John Lithgow', 'Kevin Bacon']","[['Herbert Ross', 'Director'], ['Lewis J. Rachmil', 'Producer'], ['Craig Zadan', 'Producer'], ['Dean Pitchford', 'Screenwriter'], ['Paul Hirsch', 'Editor'], ['Daniel Melnick', 'Executive Producer']]","$8,556,935 (10.7% of total gross)",9.35 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,384 opening theaters/1,384 max. theaters, 14.0 weeks average run per theater","$218,333,326","$8,200,000 (worldwide box office is 9.8 times production budget)","February 17th, 1984 (Wide) by Paramount Pictures","June 25th, 1996 by Paramount Home Video",PG (edited for re-rating),110 minutes,,vs. Dirty DancingCreate your own comparison chart…,"Dancing, Religious, Rock 'n' Roll, Country Mouse, City Mouse, Culture Clash, Romance, New Guy/Girl in School, Death of a Son or Daughter, Coming of Age, Bullies",Based on Fiction Book/Short Story,Musical,Live Action,Contemporary Fiction,Paramount Pictures,United States,English,"March 30th, 1984 (Wide), released as Footloose (1984) (Australia)
July 15th, 2021 (Wide) (New Zealand)
","$80,000,000",,,"$8,943","$80,008,943"
8,https://www.the-numbers.com/movie/Lassiter,[],"[['Roger Young', 'Director'], ['David Taylor', 'Screenwriter']]","$5,072,583 (29.0% of total gross)",3.45 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"945 opening theaters/945 max. theaters, 5.9 weeks average run per theater","$47,797,121",,"February 17th, 1984 (Wide) by Warner Bros.",,,100 minutes,,vs. High Road to ChinaCreate your own comparison chart…,"Action Thriller, 1930s, World War II, Nazi Treasure, Heist",Original Screenplay,Thriller/Suspense,Live Action,Historical Fiction,,United States,,,"$17,513,452",,,,
9,https://www.the-numbers.com/movie/Against-All-Odds,"['James Woods', 'Alex Karras', 'Jane Greer', 'Richard Widmark', 'Jeff Bridges', 'Rachel Ward']","[['Taylor Hackford', 'Director'], ['Taylor Hackford', 'Producer'], ['William S. Gilmore', 'Producer'], ['Eric Hughes', 'Screenwriter'], ['Michel Colomber', 'Composer'], ['Larry Carlton', 'Composer'], ['Jerry Bick', 'Executive Producer']]","$3,766,128 (15.0% of total gross)",6.66 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"976 opening theaters/979 max. theaters, 6.3 weeks average run per theater","$78,063,987",,"March 2nd, 1984 (Wide) by Sony Pictures",,,121 minutes,,vs. Agent Cody BanksCreate your own comparison chart…,"Film Noir, Crime Thriller, Romance, Relationships Gone Wrong, Killing in Self Defence, Love Triangle, Abusive boyfriend, Dysfunctional Family, Fugitive / On the Run, Remake, Remake with Returning Cast Member, Football, Athletes Past Their Prime, Gambling, Organized Crime, Government Corruption, Erotic Thriller",Remake,Thriller/Suspense,Live Action,Contemporary Fiction,Columbia Pictures,United States,English,,"$25,100,000",,,,
