,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,MPAA Rating:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Tomboy-(1985),['Betsy Russell'],"[['Herb Freed', 'Director'], ['Ben Zelig', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$36,421,681",,,,,1985 (Wide),"June 5th, 2012 by Wolfe Video",91 minutes,vs. BraveheartCreate your own comparison chart…,"Romantic Comedy, Romance, Relationships Gone Wrong, Auto Racing, Professional Rivalry",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,,,,,"$14,100,000",,,,
1,https://www.the-numbers.com/movie/Avenging-Angel,"['Rory Calhoun', 'Robert F. Lyons', 'Betsy Russell']","[['Robert Vincent O’Neil', 'Director'], ['Christopher Young', 'Composer'], ['Sandy Howard', 'Producer'], ['Keith Rubinstein', 'Producer'], ['Robert Vincent O’Neil', 'Screenwriter'], ['Joseph M. Cala', 'Screenwriter'], ['Mel Pearl', 'Executive Producer'], ['Don Levin', 'Executive Producer'], ['Joel Soisson', 'Associate Producer'], ['Michael S. Murphey', 'Associate Producer'], ['Chris Young', 'Composer'], ['Peter Lyons Collister', 'Director of Photography']]",100.0% (domestic box office/worldwide),"$14,524,207","$1,755,264 (31.2% of total gross)",3.20 (domestic box office/biggest weekend),"525 opening theaters/525 max. theaters, 4.3 weeks average run per theater",,"January 11th, 1985 (Wide) by New World","March 31st, 2020 by Vinegar Syndrome",93 minutes,Create your own comparison chart…,"Action Thriller, Prostitution, Police Detective, Revenge, Death of a Son or Daughter, Kidnap, Rescue",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,R,Angel,"New World Pictures, Republic Entertainment International",,"$5,622,787",,,,
2,https://www.the-numbers.com/movie/Tuff-Turf,"['James Spader', 'Kim Richards', 'Paul Mones', 'Matt Clark']","[['Fritz Kiersch', 'Director'], ['Donald P. Borchers', 'Producer'], ['Jonathan Elias', 'Composer'], [""Greg Collins O'Neill"", 'Story Creator'], ['Murray Michaels', 'Story Creator'], ['Jette Rinck', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$24,201,895","$1,509,380 (16.1% of total gross)",5.12 (domestic box office/biggest weekend),"440 opening theaters/653 max. theaters, 5.3 weeks average run per theater",,"January 11th, 1985 (Wide) by New World","March 12th, 2001 by Starz / Anchor Bay",112 minutes,Create your own comparison chart…,"Comedy Drama, New Guy/Girl in School, Relationships Gone Wrong, Love Triangle, Gangs",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,R,,Frankie Films,,"$9,369,329",,,,
3,https://www.the-numbers.com/movie/Falcon-and-the-Snowman-The,[],"[['John Schlesinger', 'Director'], ['Steven Zaillian', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$44,248,698","$2,358,846 (13.8% of total gross)",6.96 (domestic box office/biggest weekend),"265 opening theaters/914 max. theaters, 5.7 weeks average run per theater",,"January 25th, 1985 (Wide) by Orion Pictures","January 13th, 2015 by Kino Lorber",131 minutes,vs. The FamilyCreate your own comparison chart…,"Political Thriller, KGB, FBI, Double Agent, Addiction, Biography",Based on Factual Book/Article,Thriller/Suspense,Live Action,Dramatization,United States,English,,,,,"$17,130,087",,,,
4,https://www.the-numbers.com/movie/Heaven-Help-Us,[],"[['Michael Dinner', 'Director'], ['Charles Purpura', 'Screenwriter'], ['James Horner', 'Composer']]",100.0% (domestic box office/worldwide),"$15,681,452","$2,235,687 (36.8% of total gross)",2.72 (domestic box office/biggest weekend),"1,003 opening theaters/1,003 max. theaters, 3.0 weeks average run per theater",,"February 8th, 1985 (Wide) by Sony/TriStar",,104 minutes,vs. MischiefCreate your own comparison chart…,"Comedy Drama, Young Child Dealing with the Death of a Parent, Orphan, Catholic, High School Hell, Bullies, 1960s, First Love, Coming of Age",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,English,,,,,"$6,070,794",,,,
5,https://www.the-numbers.com/movie/Mischief,"['Catherine Mary Stewart', 'Doug McKeon', 'Kelly Preston']","[['Mel Damski', 'Director'], ['Noel Black', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$22,472,956","$2,618,460 (30.1% of total gross)",3.32 (domestic box office/biggest weekend),"1,221 opening theaters/1,221 max. theaters, 3.9 weeks average run per theater",,"February 8th, 1985 (Wide) by 20th Century Fox",,100 minutes,vs. Heaven Help UsCreate your own comparison chart…,"Teenage Sex Comedy, High School, Romance, 1950s, Dysfunctional Family",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,,,,,,"$8,700,000",,,,
6,https://www.the-numbers.com/movie/Witness,[],"[['Peter Weir', 'Director']]",100.0% (domestic box office/worldwide),"$169,277,100","$4,539,990 (6.9% of total gross)",10.09 (domestic box office/biggest weekend),"876 opening theaters/1,169 max. theaters, 13.2 weeks average run per theater","$12,000,000 (worldwide box office is 5.5 times production budget)","February 8th, 1985 (Wide) by Paramount Pictures","October 13th, 2015 by Paramount Home Video",112 minutes,vs. ChloeCreate your own comparison chart…,"Religious, Culture Clash, Romance, Witnessing a Crime, Amish, Cross-Culture Romance, Corrupt Cops, Crime Drama, 1986 Oscars Best Picture Nominee",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,R,,,,"$65,532,576","$229,743","$229,743",,
7,https://www.the-numbers.com/movie/Breakfast-Club-The,"['Paul Gleason', 'Emilio Estevez', 'Anthony Michael Hall', 'Judd Nelson', 'Molly Ringwald', 'Ally Sheedy']","[['John Hughes', 'Director'], ['John Hughes', 'Screenwriter'], ['Ned Tanen', 'Producer'], ['John Hughes', 'Producer'], ['Gil Friesen', 'Executive Producer'], ['Andrew Meyer', 'Executive Producer'], ['Michelle Manning', 'Co-Producer'], ['Keith Forsey', 'Composer'], ['Dede Allen', 'Editor']]",99.9% (domestic box office/worldwide),"$118,500,086","$5,107,599 (11.1% of total gross)",8.98 (domestic box office/biggest weekend),"1,071 opening theaters/1,118 max. theaters, 9.0 weeks average run per theater",,"February 15th, 1985 (Wide) by Universal","March 1st, 1992 by Universal Home Entertainment",97 minutes,vs. Ferris Bueller’s Day OffCreate your own comparison chart…,"Wrestling, High School, Juvenile Delinquent, Comedy Drama, Coming of Age, Romance, Cross-Class Romance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,R,,"Universal Pictures, A&M Films, Channel Production Films","May 3rd, 1985 (Wide), released as Breakfast Club, The (Australia)
August 23rd, 1985 (Wide) (Netherlands)
","$45,875,171",,,"$29,955","$45,905,126"
8,https://www.the-numbers.com/movie/Lost-in-America,[],"[['Albert Brooks', 'Director'], ['Albert Brooks', 'Screenwriter'], ['Monica Johnson', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$26,035,574","$53,982 (0.5% of total gross)",8.38 (domestic box office/biggest weekend),"10 opening theaters/316 max. theaters, 7.9 weeks average run per theater",,"February 15th, 1985 (Wide) by Warner Bros.","July 25th, 2017 by Sony Pictures Home Entertainment",91 minutes,Create your own comparison chart…,"Satire, Satirical Comedy, Road Trip, Gambling, Riches to Rags, Fired, Advertising and Marketing, Life in a Small Town, Relationships Gone Wrong, Money Troubles, Directing Yourself, Screenplay Written By the Star",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$10,079,206","$129,912","$129,912",,
9,https://www.the-numbers.com/movie/Vision-Quest,[],"[['Harold Becker', 'Director'], ['Darryl Ponicsan', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$33,580,274","$2,651,665 (20.4% of total gross)",4.90 (domestic box office/biggest weekend),"993 opening theaters/993 max. theaters, 5.2 weeks average run per theater",,"February 15th, 1985 (Wide) by Warner Bros.",,107 minutes,Create your own comparison chart…,"Miscellaneous Sports, Wrestling, Romantic Drama, Romance, Artists",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,,,,,"$13,000,000",,,,
