,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Black-Moon-Rising,"['Robert Vaughn', 'Richard Jaeckel', 'Bubba Smith', 'Tommy Lee Jones', 'Linda Hamilton']","[['Harley Cokliss', 'Director'], ['Joel B. Michaels', 'Producer'], ['Douglas Curtis', 'Producer'], ['John Carpenter', 'Screenwriter'], ['Desmond Nakano', 'Screenwriter'], ['William Gray', 'Screenwriter'], ['John Carpenter', 'Story by'], ['Lalo Schifrin', 'Composer']]","$2,775,388 (41.8% of total gross)",2.39 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"907 opening theaters/907 max. theaters, 2.5 weeks average run per theater","$16,406,056",,"January 10th, 1986 (Wide) by New World","November 1st, 2011 by Image Entertainment Video",100 minutes,Create your own comparison chart…,"Action Thriller, Corporate Malfeasance, Corporate Espionage, Car Chase, Heist, Romance, Car Thief, FBI",Original Screenplay,Action,Live Action,Science Fiction,New World Pictures,United States,English,,,,"$6,637,565",,,,
1,https://www.the-numbers.com/movie/Iron-Eagle,[],"[['Sidney J. Furie', 'Director'], ['Kevin Alyn Elders', 'Screenwriter'], ['Sidney J. Furie', 'Screenwriter'], ['Basil Poledouris', 'Composer']]","$6,104,754 (25.3% of total gross)",3.96 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,080 opening theaters/1,129 max. theaters, 6.5 weeks average run per theater","$59,715,902",,"January 17th, 1986 (Wide) by Sony/TriStar",,117 minutes,vs. Fire BirdsCreate your own comparison chart…,"Action Thriller, Rescue, In a Plane, Middle East, Set in Middle East, Father’s Footsteps",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,English,Iron Eagle,,,"$24,159,872",,,,
2,https://www.the-numbers.com/movie/Best-of-Times-The,[],"[['Roger Spottiswoode', 'Director'], ['Ron Shelton', 'Screenwriter'], ['Gordon Carroll', 'Producer']]","$2,419,820 (31.1% of total gross)",3.22 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"872 opening theaters/872 max. theaters, 2.6 weeks average run per theater","$19,256,826",,"January 31st, 1986 (Wide) by Universal",,104 minutes,vs. Facing the GiantsCreate your own comparison chart…,"Football, Sports Comedy, Mid-Life Crisis, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,English,,PG-13,,"$7,790,931",,,,
3,https://www.the-numbers.com/movie/Down-and-Out-in-Beverly-Hills,"['Nick Nolte', 'Bette Midler', 'Richard Dreyfuss']","[['Paul Mazursky', 'Director'], ['Leon Capetanos', 'Screenwriter']]","$5,726,495 (9.2% of total gross)",8.85 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"809 opening theaters/1,082 max. theaters, 11.1 weeks average run per theater","$153,577,042",,"January 31st, 1986 (Wide) by Walt Disney",,103 minutes,vs. The Color PurpleCreate your own comparison chart…,"Dysfunctional Family, Homeless, LGBTQ+, Closeted Homosexual, Foreign-Language Remake, Suicide Attempt, Infidelity, Satire, Family Comedy",Based on Play,Comedy,Live Action,Contemporary Fiction,,United States,"English, Spanish",,R,,"$62,134,225",,,,
4,https://www.the-numbers.com/movie/Youngblood,"['Keanu Reeves', 'Ed Lauter', 'Rob Lowe', 'Cynthia Gibb', 'Patrick Swayze']","[['Peter Markle', 'Director'], ['Peter Markle', 'Screenwriter'], ['Mark Whitman Johnson', 'Screenwriter'], ['Jon Peters', 'Producer'], ['Lynn Isenberg', 'Producer'], ['Patrick Wells', 'Producer'], ['Peter Bart', 'Producer']]","$4,183,292 (27.1% of total gross)",3.69 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,354 opening theaters/1,354 max. theaters, 4.1 weeks average run per theater","$38,183,779",,"January 31st, 1986 (Wide) by MGM","January 31st, 2006 by MGM Video",110 minutes,vs. Avengers: Infinity WarCreate your own comparison chart…,"Hockey, Sports Drama, Coming of Age, Life on a Farm, Life in a Small Town, Dysfunctional Family, Underdog, Professional Rivalry, Sports Injury",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,R,,"$15,448,400",,,,
5,https://www.the-numbers.com/movie/FX,[],"[['Robert Mandel', 'Director'], ['Gregory Fleeman', 'Screenwriter'], ['Robert T. Megginson', 'Screenwriter']]","$3,240,695 (15.7% of total gross)",6.36 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"914 opening theaters/914 max. theaters, 8.5 weeks average run per theater","$50,926,154","$10,000,000 (worldwide box office is 2.1 times production budget)","February 7th, 1986 (Wide) by Orion Pictures",,108 minutes,Create your own comparison chart…,"Mafia, Action Thriller, Surprise Twist, Faked Death, Corrupt Cops, Witness Protection",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,English,F/X,R,,"$20,603,715",,,,
6,https://www.the-numbers.com/movie/Hannah-and-Her-Sisters,[],"[['Woody Allen', 'Director'], ['Woody Allen', 'Screenwriter']]","$1,265,826 (3.2% of total gross)",11.52 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"54 opening theaters/761 max. theaters, 14.3 weeks average run per theater","$98,488,560",,"February 7th, 1986 (Wide) by Orion Pictures","January 15th, 2013 by Fox Home Entertainment",106 minutes,Create your own comparison chart…,"Romance, Intertitle, Voiceover/Narration, Narcotics, Performing Arts, Food, Writing and Writers, Infidelity, Dysfunctional Family, Relationships Gone Wrong, Artists, Rehab / Former Addict, Segments, Thanksgiving, Addiction, Architecture, Love Triangle, TV Industry, Religious, Suicide, Depression, Relatives Playing Relatives, 1987 Oscars Best Picture Nominee",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,English,,PG-13,,"$40,084,041",,,,
7,https://www.the-numbers.com/movie/Delta-Force-The,"['Chuck Norris', 'Lee Marvin']","[['Menahem Golan', 'Director'], ['James Bruner', 'Screenwriter'], ['Menahem Golan', 'Screenwriter'], ['Alan Silvestri', 'Composer']]","$5,959,505 (35.0% of total gross)",2.85 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,720 opening theaters/1,720 max. theaters, 3.2 weeks average run per theater","$42,032,703",,"February 14th, 1986 (Wide) by Cannon","June 5th, 2012 by 20th Century Studios",129 minutes,Create your own comparison chart…,"Action Thriller, 1980s, Prologue, Quitting in Protest, Terrorism, Hostage, Rescue, Middle East, Inspired by a True Story",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,English,Delta Force,R,,"$17,005,599",,,,
8,https://www.the-numbers.com/movie/Quicksilver,[],"[['Thomas Michael Donnelly', 'Director'], ['Thomas Michael Donnelly', 'Screenwriter'], ['Christopher Meledandri', 'Associate Producer']]","$3,170,215 (41.5% of total gross)",2.41 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,251 opening theaters/1,253 max. theaters, 3.0 weeks average run per theater","$18,871,181",,"February 14th, 1986 (Wide) by Sony Pictures",,106 minutes,vs. FootlooseCreate your own comparison chart…,"Bike Messengers, Crime Drama, Gangs, Fired, Wall Street, Romance, Money Troubles",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,,PG,,"$7,634,909",,,,
9,https://www.the-numbers.com/movie/Wildcats,"['James Keach', 'Swoosie Kurtz', 'Goldie Hawn']","[['Michael Ritchie', 'Director'], ['Ezra Sacks', 'Screenwriter']]","$5,472,905 (20.8% of total gross)",4.80 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,054 opening theaters/1,062 max. theaters, 8.6 weeks average run per theater","$64,969,927",,"February 14th, 1986 (Wide) by Warner Bros.","July 11th, 2006 by Warner Home Video",107 minutes,vs. 8 Million Ways to DieCreate your own comparison chart…,"Football, Sports Comedy, High School Sports, Underdog, Father’s Footsteps, Set in Chicago, Woman in a Male Dominated Profession, Bigotry, Sexism",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,English,,R,,"$26,285,544",,,,
