,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,MPAA Rating:,Production/Financing Companies:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Assassination,[],"[['Peter Hunt', 'Director'], ['Richard Sale', 'Screenwriter'], ['Richard Sale', 'Story Creator']]","$2,787,449 (45.9% of total gross)",2.18 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,000 opening theaters/1,000 max. theaters, 2.9 weeks average run per theater","$14,249,364",,"January 9th, 1987 (Wide) by Cannon","May 3rd, 2016 by Kino Lorber",105 minutes,Create your own comparison chart…,"Action Thriller, Novel or Other Work Adapted by Author, Assassination, Secret Service Agent, Relationships Gone Wrong, Political",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,,,,,"$6,075,793","$39,304","$39,304",,
1,https://www.the-numbers.com/movie/Bedroom-Window-The,"['Isabelle Huppert', 'Kate McGregor-Stewart', 'Steve Guttenberg', 'Elizabeth McGovern']","[['Curtis Hanson', 'Director'], ['Martha Schumacher', 'Producer'], ['Curtis Hanson', 'Screenwriter'], ['Michael Shrieve', 'Composer'], ['Patrick Gleeson', 'Composer'], ['Robert Towne', 'Executive Producer']]","$2,921,000 (23.1% of total gross)",4.33 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"930 opening theaters/934 max. theaters, 3.8 weeks average run per theater","$29,645,097",,"January 16th, 1987 (Wide) by De Laurentiis Entertainment Group","November 14th, 2006 by Lionsgate Home Entertainment",112 minutes,Create your own comparison chart…,Erotic Thriller,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,R,De Laurentiis Entertainment Group,,,"$12,640,385",,,,
2,https://www.the-numbers.com/movie/Critical-Condition,[],"[['Michael Apted', 'Director'], ['Denis Hamill', 'Screenwriter'], ['John Hamill', 'Screenwriter'], ['Alan Silvestri', 'Composer']]","$5,715,701 (28.2% of total gross)",3.54 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,343 opening theaters/1,343 max. theaters, 3.9 weeks average run per theater","$47,469,404",,"January 16th, 1987 (Wide) by Paramount Pictures","March 21st, 1995 by Paramount Home Video",100 minutes,vs. PlatoonCreate your own comparison chart…,"Farcical / Slapstick Comedy, Confidence Men, Framed, Heist, False Identity, Medical and Hospitals, Doctors",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,,,"$20,240,502",,,,
3,https://www.the-numbers.com/movie/Wanted-Dead-or-Alive,[],"[['Gary Sherman', 'Director'], ['Michael Patrick Goodman', 'Screenwriter'], ['Brian Taggert', 'Screenwriter'], ['Gary Sherman', 'Screenwriter']]","$2,845,826 (44.1% of total gross)",2.27 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,017 opening theaters/1,032 max. theaters, 2.8 weeks average run per theater","$15,138,597",,"January 16th, 1987 (Wide) by New World",,104 minutes,Create your own comparison chart…,"Action Thriller, Set in Los Angeles, Bounty Hunter, C.I.A., Terrorism",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,,,,,"$6,454,953",,,,
4,https://www.the-numbers.com/movie/Outrageous-Fortune,"['Bette Midler', 'Shelley Long']","[['Arthur Hiller', 'Director'], ['Alan Silvestri', 'Composer']]","$6,404,783 (12.1% of total gross)",8.25 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,081 opening theaters/1,316 max. theaters, 8.6 weeks average run per theater","$123,982,013",,"January 30th, 1987 (Wide) by Walt Disney",,,vs. Baby MamaCreate your own comparison chart…,"Action Comedy, C.I.A., Double Agent, KGB, Weapons of Mass Destruction, Faked Death, Fugitive / On the Run, Love Triangle, Female Lead, Enemies Forced to Work Together",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,R,,,,"$52,864,741",,,,
5,https://www.the-numbers.com/movie/Radio-Days,[],"[['Woody Allen', 'Director'], ['Woody Allen', 'Screenwriter']]","$1,522,423 (10.3% of total gross)",9.43 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"128 opening theaters/488 max. theaters, 4.4 weeks average run per theater","$34,693,035","$16,000,000 (worldwide box office is 0.9 times production budget)","January 30th, 1987 (Wide) by Orion Pictures",,85 minutes,vs. The Importance of Being EarnestCreate your own comparison chart…,"Comedy Drama, Directing Yourself, Screenplay Written By the Star, Voiceover/Narration, 1930s, 1940s, Coming of Age, Jewish",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,English,,,,,"$14,792,779",,,,
6,https://www.the-numbers.com/movie/Black-Widow,[],"[['Bob Rafelson', 'Director'], ['Ronald Bass', 'Screenwriter']]","$3,426,831 (13.6% of total gross)",6.11 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"735 opening theaters/745 max. theaters, 7.4 weeks average run per theater","$59,113,571",,"February 6th, 1987 (Wide) by 20th Century Fox",,102 minutes,vs. Shang-Chi and the Legend of the Ten RingsCreate your own comparison chart…,"Serial Killer, Film Noir, Crime Thriller, Femme Fatale, Widow/Widower, Relationships Gone Wrong, Mariticide / Uxoricide, Erotic Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,,,,"$25,205,460",,,,
7,https://www.the-numbers.com/movie/From-the-Hip,[],[],"$2,645,437 (27.8% of total gross)",3.60 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"970 opening theaters/971 max. theaters, 3.3 weeks average run per theater","$22,323,063",,"February 6th, 1987 (Wide) by De Laurentiis Entertainment Group",,111 minutes,Create your own comparison chart…,Courtroom Drama,Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,,,"$9,518,342",,,,
8,https://www.the-numbers.com/movie/Light-of-Day,[],"[['Paul Schrader', 'Director'], ['Paul Schrader', 'Screenwriter'], ['Thomas Newman', 'Composer']]","$3,536,309 (33.7% of total gross)",2.97 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,041 opening theaters/1,041 max. theaters, 4.0 weeks average run per theater","$24,600,964",,"February 6th, 1987 (Wide) by Sony Pictures",,107 minutes,Create your own comparison chart…,"Music Industry, Family Drama, Dysfunctional Family, Money Troubles, Single Parent, Faulty Memory, On Tour",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,,,,"$10,489,617",,,,
9,https://www.the-numbers.com/movie/Mannequin,[],[],"$6,001,208 (15.8% of total gross)",6.34 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"992 opening theaters/992 max. theaters, 7.7 weeks average run per theater","$89,162,413",,"February 13th, 1987 (Wide) by 20th Century Fox",,90 minutes,vs. SplashCreate your own comparison chart…,"Romantic Comedy, Romance, Animated Inanimate Objects, Prologue, Ancient Egypt, Arranged Marriage, Relationships Gone Wrong, Artists, Corporate Malfeasance",Original Screenplay,Romantic Comedy,Live Action,Fantasy,United States,,,,Mannequin,,"$38,018,000",,,,
