,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Claras-Heart,"['Michael Ontkean', 'Kathleen Quinlan', 'Spalding Gray', 'Beverly Todd', 'Neil Patrick Harris', 'Whoopi Goldberg']","[['Richard Mulligan', 'Director'], ['Martin Elfand', 'Producer'], ['Joseph Olshan', 'Story based upon the novel by'], ['Mark Medoff', 'Screenwriter'], ['Marianne Moloney', 'Executive Producer'], ['Dave Grusin', 'Composer'], ['Freddie Francis', 'Director of Photography'], ['Sidney Levin', 'Editor']]",100.0% (domestic box office/worldwide),"$11,589,651",,,,,1988 (Wide) by Warner Bros.,"September 29th, 1993 by Warner Home Video",PG-13,108 minutes,vs. Lara Croft: Tomb RaiderCreate your own comparison chart…,"Family Drama, Dysfunctional Family, Death of a Son or Daughter, Death of a Sibling, Sex Crimes",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Warner Bros., MTM Entertainment",United States,English,,,"$5,194,491",,,,
1,https://www.the-numbers.com/movie/Hero-and-the-Terror,[],"[['William Tannen', 'Director'], ['Dennis Shryack', 'Screenwriter'], ['Michael Blodgett', 'Screenwriter'], ['Michael Blodgett', 'Story Creator']]",100.0% (domestic box office/worldwide),"$11,155,718",,,,,1988 (Wide) by Cannon,,,96 minutes,Create your own comparison chart…,"Action Thriller, Crime, Serial Killer, Police Detective, Prison Break, Presumed Dead, Novel or Other Work Adapted by Author, Famously Bad",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,United States,English,,,"$5,000,000",,,,
2,https://www.the-numbers.com/movie/Monkey-Shines,[],"[['George A. Romero', 'Director'], ['George A. Romero', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$11,155,718",,,,,1988 (Wide),,,,Create your own comparison chart…,,,,,,,United States,,,,"$5,000,000",,,,
3,https://www.the-numbers.com/movie/Couch-Trip-The,[],"[['Michael Ritchie', 'Director'], ['Steven Kampmann', 'Screenwriter'], ['Will Porter', 'Screenwriter'], ['Sean Stein', 'Screenwriter'], ['Walter Bernstein', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$24,554,408","$3,351,891 (30.5% of total gross)",3.28 (domestic box office/biggest weekend),"1,332 opening theaters/1,332 max. theaters, 3.0 weeks average run per theater",,"January 15th, 1988 (Wide) by Orion Pictures","August 18th, 2015 by Kino Lorber",R,97 minutes,vs. HouseSitterCreate your own comparison chart…,"Satirical Comedy, Satire, False Identity, Mental Illness, Mental Hospital, Radio Industry",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,,United States,English,,,"$11,005,304","$36,629","$36,629",,
4,https://www.the-numbers.com/movie/For-Keeps,[],"[['John G. Avildsen', 'Director'], ['Denise DeClue', 'Screenwriter'], ['Tim Kazurinsky', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$37,929,440","$4,839,790 (28.5% of total gross)",3.51 (domestic box office/biggest weekend),"922 opening theaters/959 max. theaters, 4.0 weeks average run per theater",,"January 15th, 1988 (Wide) by Sony/TriStar",,PG-13,98 minutes,Create your own comparison chart…,"Romance, Teenage Mom, Comedy Drama, Coming of Age, Pregnant Women, Unexpected Pregnancy, Abortion, Relationships Gone Wrong, Depression, Money Troubles, Dysfunctional Family, Religious, Catholic, Single Parent",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$17,000,000",,,,
5,https://www.the-numbers.com/movie/Return-of-the-Living-Dead-Part-II,['Suzanne Snyder'],"[['Ken Wiederhorn', 'Director'], ['Ken Wiederhorn', 'Screenwriter'], ['J. Peter Robinson', 'Composer']]",100.0% (domestic box office/worldwide),"$20,539,736","$3,647,254 (39.6% of total gross)",2.52 (domestic box office/biggest weekend),"1,467 opening theaters/1,467 max. theaters, 2.0 weeks average run per theater","$6,200,000 (worldwide box office is 1.5 times production budget)","January 15th, 1988 (Wide) by Lorimar Motion Pictures","September 27th, 2005 by Warner Home Video",,89 minutes,vs. Halloween 5: The Revenge of Michael MyersCreate your own comparison chart…,"Zombies, Horror Comedy",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,"Lorimar Film Entertainment, Greenfox",United States,English,Return of the Living Dead,,"$9,205,924",,,,
6,https://www.the-numbers.com/movie/Braddock-Missing-in-Action-III,[],"[['Aaron Norris', 'Director'], ['James Bruner', 'Screenwriter'], ['Chuck Norris', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$13,386,861","$2,208,116 (36.8% of total gross)",2.72 (domestic box office/biggest weekend),"1,040 opening theaters/1,040 max. theaters, 2.0 weeks average run per theater",,"January 22nd, 1988 (Wide) by Cannon","March 15th, 2016 by Shout Factory",,102 minutes,Create your own comparison chart…,"Vietnam War, War, Action Adventure, Unexpected Families, Screenplay Written By the Star, Missionary, Single Parent, Young Child Dealing with the Death of a Parent, Orphan, Revenge",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,English,Missing in Action,,"$6,000,000","$78,270","$78,270",,
7,https://www.the-numbers.com/movie/Serpent-and-the-Rainbow-The,[],"[['Wes Craven', 'Director'], ['Richard Maxwell', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$43,719,250","$5,848,700 (29.8% of total gross)",3.35 (domestic box office/biggest weekend),"1,430 opening theaters/1,431 max. theaters, 3.5 weeks average run per theater",,"February 5th, 1988 (Wide) by Universal",,R,98 minutes,vs. CandymanCreate your own comparison chart…,"Supernatural Horror, Supernatural, Zombies, Haiti, Revolution, Tortured as Punishment, Pharmaceuticals, Framed, 1970s, Prologue",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,,United States,,,,"$19,595,000",,,,
8,https://www.the-numbers.com/movie/Shes-Having-a-Baby,[],"[['John Hughes', 'Director'], ['John Hughes', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$35,769,034","$3,827,520 (23.9% of total gross)",4.19 (domestic box office/biggest weekend),"925 opening theaters/1,133 max. theaters, 3.7 weeks average run per theater",,"February 5th, 1988 (Wide) by Paramount Pictures",,PG-13,106 minutes,"vs. Planes, Trains & AutomobilesCreate your own comparison chart…","Gratuitous Cameos, Scene in End Credits, Infertility, Romantic Comedy, Voiceover/Narration, Adult Child Dealing with the Death of a Parent, Pregnant Women, Troubled Pregnancy or Miscarriage",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,English,,,"$16,031,707",,,,
9,https://www.the-numbers.com/movie/Unbearable-Lightness-of-Being-The,"['Daniel Day-Lewis', 'Juliette Binoche', 'Lena Olin']","[['Philip Kaufman', 'Director'], ['Jean-Claude Carriere', 'Screenwriter'], ['Philip Kaufman', 'Screenwriter'], ['Saul Zaentz', 'Producer']]",100.0% (domestic box office/worldwide),"$22,324,814",,,,,"February 5th, 1988 (Wide) by Orion PicturesJune 19th, 2020 (Special Engagement) by Orion Pictures",,R,171 minutes,vs. The Bad GuysCreate your own comparison chart…,"Erotic Drama, 1960s, Romance, Relationships Gone Wrong, Infidelity, Set in Czechoslovakia, Political, Political Activist, Doctors, Blacklisted, Epilogue, Love Triangle",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,,United States,English,,,"$10,006,000",,,,
