,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Deepstar-Six,"['Taurean Blacque', 'Nancy Everhard', 'Greg Evigan', 'Miguel Ferrer', 'Matt McCoy', 'Nia Peeples', 'Cindy Pickett', 'Marius Weyers']","[['Sean Cunningham', 'Director'], ['Lewis Abernathy', 'Screenwriter'], ['Geof Miller', 'Screenwriter'], ['Lewis Abernathy', 'Story by'], ['Sean Cunningham', 'Producer'], ['Patrick Markey', 'Producer'], ['David Handman', 'Editor'], ['Harry Manfredini', 'Composer'], ['Mac Ahlberg', 'Director of Photography'], ['John Reinhart', 'Production Designer'], ['Mario Kassar', 'Executive Producer'], ['Andrew G. Vajna', 'Executive Producer']]","$3,306,320 (42.8% of total gross)",2.34 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,117 opening theaters/1,118 max. theaters, 3.0 weeks average run per theater","$17,753,588",,"January 13th, 1989 (Wide) by Sony Pictures","April 16th, 1995 by Live / Artisan",R,99 minutes,vs. LeviathanCreate your own comparison chart…,"Underwater, Action Horror, Creature Feature, Non-Chronological, Trapped, Rescue, Surprise Twist",Original Screenplay,Horror,Live Action,Science Fiction,Carolco Pictures,United States,English,,,"$7,724,847",,,,
1,https://www.the-numbers.com/movie/Physical-Evidence,[],"[['Michael Crichton', 'Director'], ['Bill Phillips', 'Screenwriter']]","$1,777,358 (14.8% of total gross)",6.75 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"691 opening theaters/691 max. theaters, 1.0 weeks average run per theater","$27,578,940",,"January 27th, 1989 (Wide) by Sony Pictures",,R,99 minutes,Create your own comparison chart…,"Crime Thriller, Framed, Prologue, Blackmail, Revenge",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,United States,,,,"$12,000,000",,,,
2,https://www.the-numbers.com/movie/Three-Fugitives,[],"[['Lauren Schuler-Donner*', 'Producer']]","$6,434,717 (15.9% of total gross)",6.31 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,153 opening theaters/1,374 max. theaters, 5.8 weeks average run per theater","$93,285,786",,"January 27th, 1989 (Wide) by Walt Disney",,PG-13,,vs. Rain ManCreate your own comparison chart…,"Fugitive / On the Run, Crime Comedy, Life on the Outside, Hostage, Bank Robbery, Medical and Hospitals, Dysfunctional Family, Falsely Accused",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,,,"$40,590,000",,,,
3,https://www.the-numbers.com/movie/Her-Alibi,"['Tom Selleck', 'Paulina Porizkova']","[['Bruce Beresford', 'Director'], ['Charlie Peters', 'Screenwriter']]","$5,037,047 (29.3% of total gross)",3.41 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,429 opening theaters/1,429 max. theaters, 2.0 weeks average run per theater","$39,518,445",,"February 3rd, 1989 (Wide) by Warner Bros.",,PG,94 minutes,vs. Blade Runner 2049Create your own comparison chart…,"Crime Comedy, Writing and Writers, Writer's Block, Falsely Accused, Romance, Relationships Gone Wrong, Political, Catholic",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,"English, Romanian, Spanish",,,"$17,195,050",,,,
4,https://www.the-numbers.com/movie/Whos-Harry-Crumb,[],"[['Paul Flaherty', 'Director'], ['Arnon Milchan', 'Producer'], ['George Perkins', 'Producer']]","$3,862,719 (35.2% of total gross)",2.84 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,197 opening theaters/1,198 max. theaters, 2.0 weeks average run per theater","$25,240,168",,"February 3rd, 1989 (Wide) by Sony/TriStar","March 7th, 2000 by Sony Pictures Home Entertainment",PG-13,89 minutes,Create your own comparison chart…,"Crime Comedy, Private Investigator, Father’s Footsteps, Kidnap, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Regency Enterprises, Frostbacks, NBC Film, Tri-Star Pictures",United States,English,,,"$10,982,364",,,,
5,https://www.the-numbers.com/movie/Cousins,[],"[['Joel Schumacher', 'Director']]","$3,039,805 (14.0% of total gross)",6.19 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"535 opening theaters/747 max. theaters, 4.6 weeks average run per theater","$49,888,560",,"February 10th, 1989 (Limited) by Paramount Pictures",,PG-13,113 minutes,Create your own comparison chart…,Romance,Remake,Romantic Comedy,Live Action,Contemporary Fiction,Paramount Pictures,United States,English,,,"$21,707,236",,,,
6,https://www.the-numbers.com/movie/Fly-II-The,[],"[['Mick Garris', 'Screenwriter'], ['Christopher Young', 'Composer']]","$6,751,371 (34.7% of total gross)",2.88 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,524 opening theaters/1,528 max. theaters, 2.9 weeks average run per theater","$44,681,403",,"February 10th, 1989 (Wide) by 20th Century Fox",,R,105 minutes,vs. The `BurbsCreate your own comparison chart…,Body Horror,Remake,Horror,Live Action,Science Fiction,,United States,English,Fly,,"$19,441,528",,,,
7,https://www.the-numbers.com/movie/Tap,[],"[['Nick Castle', 'Director'], ['Nick Castle', 'Screenwriter']]","$2,217,150 (24.3% of total gross)",4.11 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"585 opening theaters/585 max. theaters, 1.0 weeks average run per theater","$20,947,820",,"February 10th, 1989 (Wide) by Sony Pictures",,,111 minutes,Create your own comparison chart…,"Life Drama, Dancing, Life on the Outside, African Americans, Romance, Relationships Gone Wrong",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$9,114,702",,,,
8,https://www.the-numbers.com/movie/Bill-and-Teds-Excellent-Adventure,[],"[['Stephen Herek', 'Director'], ['David Newman', 'Composer']]","$6,167,651 (15.2% of total gross)",6.56 (domestic box office/biggest weekend),99.9% (domestic box office/worldwide),"1,196 opening theaters/1,321 max. theaters, 8.6 weeks average run per theater","$93,044,560","$10,000,000 (worldwide box office is 4.1 times production budget)","February 17th, 1989 (Wide) by Orion Pictures, released as Bill & Ted's Excellent Adventure","April 14th, 1993 by Warner Home Video, released as Bill and Ted’s Excellent Adventure",PG,90 minutes,vs. SpaceballsCreate your own comparison chart…,"Time Travel, Breaking the Fourth Wall, Prologue, Musicians, Intertitle, Step-Family, Ensemble",Original Screenplay,Adventure,Live Action,Science Fiction,,United States,"English, French, German, Greek",Bill & Ted,"June 29th, 2018 (Wide), released as Bill And Ted's Excellent Adventure (1989) (re: 2013) (Australia)
September 3rd, 2020 (Wide) (New Zealand)
","$40,485,039","$25,072","$40,510,111",,
9,https://www.the-numbers.com/movie/Burbs-The,"['Bruce Dern', 'Carrie Fisher', 'Rick Ducommun', 'Corey Feldman', 'Tom Hanks']","[['Joe Dante', 'Director'], ['Michael Finnell', 'Producer'], ['Larry Brezner', 'Producer'], ['Dana Olsen', 'Screenwriter'], ['Robert Stevens', 'Director of Photography'], ['James Spencer', 'Production Designer'], ['Jerry Goldsmith', 'Composer'], ['Dana Olsen', 'Co-Producer']]","$11,101,197 (31.4% of total gross)",3.19 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,952 opening theaters/1,956 max. theaters, 3.8 weeks average run per theater","$81,317,084",,"February 17th, 1989 (Wide) by Universal, released as The `burbs","May 4th, 1999 by Universal Home Entertainment, released as The `burbs",PG,102 minutes,vs. PunchlineCreate your own comparison chart…,"Neighbors from Hell, Serial Killer, Unbelieving Police, Missing Person, Surprise Twist, Black Comedy",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,Imagine Entertainment,United States,English,,,"$35,382,246",,,,
10,https://www.the-numbers.com/movie/True-Believer,"['Margaret Colin', 'Kurtwood Smith', 'James Woods', 'Robert Downey, Jr.']","[['Joseph Ruben', 'Director'], ['Walter F. Parkes', 'Producer'], ['Lawrence Lasker', 'Producer'], ['Wesley Strick', 'Screenwriter'], ['Peter Rosten', 'Executive Producer'], ['Brad Fiedel', 'Composer'], ['Patrick Crowley', 'Co-Producer'], ['George Bowers', 'Editor']]","$3,009,692 (34.4% of total gross)",2.90 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"897 opening theaters/897 max. theaters, 2.0 weeks average run per theater","$20,091,259",,"February 17th, 1989 (Wide) by Sony Pictures","August 13th, 2019 by Mill Creek Entertainment",R,104 minutes,Create your own comparison chart…,"Courtroom Drama, Crime, Lawyers, Wrongfully Convicted, Killing in Self Defence, Corrupt Cops, Film Noir, Mistaken Identity, Non-Chronological, Set in New York City, Set in New York, Set in Manhattan, Gangs",Original Screenplay,Drama,Live Action,Contemporary Fiction,"TBP, Inc",United States,English,,,"$8,742,000",,,,
11,https://www.the-numbers.com/movie/New-York-Stories,[],"[['Francis Ford Coppola', 'Director'], ['Martin Scorsese', 'Director'], ['Woody Allen', 'Director'], ['Richard Price', 'Screenwriter'], ['Francis Ford Coppola', 'Screenwriter'], ['Sofia Coppola', 'Screenwriter'], ['Woody Allen', 'Screenwriter']]",,4.47 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$24,737,093","$15,000,000 (worldwide box office is 0.7 times production budget)","March 1st, 1989 (Wide) by Walt Disney","May 15th, 2012 by Mill Creek Entertainment",PG,124 minutes,vs. GoodfellasCreate your own comparison chart…,"Segments, Comedy Drama, Romance, Set in New York City, Set in New York, Relationships Gone Wrong, Dysfunctional Family, Artists, Directing Yourself, Screenplay Written By the Star, Family Affair",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,,,"$10,763,469",,,,
12,https://www.the-numbers.com/movie/Dream-a-Little-Dream,"['Jason Robards, Jr.', 'Piper Laurie', 'Harry Dean Stanton', 'Susan Blakely', 'William McNamara', 'Matt Adler', 'Victoria Jackson', 'Alex Rocco', 'Corey Feldman', 'Meredith Salenger', 'Corey Haim']","[['Marc Rocco', 'Director'], ['Marc Rocco', 'Screenwriter'], ['Daniel Jay Franklin', 'Screenwriter'], ['D.E Eisenberg*', 'Screenwriter'], ['Marc Rocco', 'Producer'], ['D. E. Eisenberg*', 'Producer']]","$2,568,963 (49.7% of total gross)",2.01 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,019 opening theaters/1,019 max. theaters, 1.0 weeks average run per theater","$11,885,209",,"March 3rd, 1989 (Wide) by Vestron","October 21st, 2003 by Lionsgate Home Entertainment",PG-13,114 minutes,Create your own comparison chart…,"Body Swap, Romantic Comedy, Romance, High School, Psychics, Cult Movie, Bullies, Relationships Gone Wrong, Domestic Abuse, Supernatural",Original Screenplay,Romantic Comedy,Live Action,Science Fiction,Lightning Pictures,United States,English,,,"$5,171,429",,,,
13,https://www.the-numbers.com/movie/Lean-on-Me,[],"[['John G. Avildsen', 'Director']]","$5,032,605 (16.9% of total gross)",5.93 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"894 opening theaters/1,107 max. theaters, 6.3 weeks average run per theater","$68,540,899",,"March 3rd, 1989 (Wide) by Warner Bros.","April 1st, 1992 by Warner Home Video",PG-13,,vs. The `BurbsCreate your own comparison chart…,"Hood Film, African Americans, Biographical Drama, Biography, Teachers, Inspirational Teacher, Bullies, Narcotics, 1980s",Based on Real Life Events,Drama,Live Action,Dramatization,,United States,,,,"$29,823,140",,,,
14,https://www.the-numbers.com/movie/Skin-Deep,"['Vincent Gardenia', 'Alyson Reed', 'Julianne Phillips', 'Chelsea Field', 'John Ritter']","[['Blake Edwards', 'Director'], ['Blake Edwards', 'Screenwriter'], ['Tony Adams', 'Producer'], ['James G. Robinson', 'Executive Producer'], ['Joe Roth', 'Executive Producer'], ['Trish Caroselli', 'Associate Producer'], ['Henry Mancini', 'Composer']]","$2,460,262 (12.9% of total gross)",4.85 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"489 opening theaters/1,062 max. theaters, 4.1 weeks average run per theater","$43,666,660",,"March 3rd, 1989 (Wide) by 20th Century Fox","May 17th, 2012 by Warner Archive","R for strong sexuality and language, and some violence. ",102 minutes,vs. Young GunsCreate your own comparison chart…,"Sex Comedy, Addiction, Relationships Gone Wrong, Writing and Writers, Writer's Block",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Morgan Creek Productions, BECO",United States,English,,,"$19,000,000",,,,
15,https://www.the-numbers.com/movie/Adventures-of-Baron-Munchausen-The,[],"[['Terry Gilliam', 'Director'], ['Terry Gilliam', 'Screenwriter'], ['Charles McKeown', 'Screenwriter'], ['Michael Kamen', 'Composer']]",,30.80 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$21,057,158",,"March 10th, 1989 (Wide) by Sony Pictures","October 25th, 2006 by Columbia Pictures Home Entertainment",,126 minutes,vs. BrazilCreate your own comparison chart…,"Development Hell, Watching a Fictionalized Version of Yourself, Farcical / Slapstick Comedy, Cult Movie, War, Siege, Underwater, Death as a Character, Non-Chronological, Theater Actor, Romance, Infidelity, Royalty, Same Actor, Multiple Roles",Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,Columbia Pictures,United States,English,,,"$8,040,008",,,"$81,490","$81,490"
