,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Franchise:,Production/Financing Companies:,Languages:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Internal-Affairs,[],"[['Mike Figgis', 'Director'], ['Henry Bean', 'Screenwriter']]","$5,043,516 (18.2% of total gross)",5.48 (domestic box office/biggest weekend),99.5% (domestic box office/worldwide),"975 opening theaters/986 max. theaters, 5.4 weeks average run per theater","$60,108,864",,"January 12th, 1990 (Wide) by Paramount Pictures","March 18th, 2016 (Wide) (South Korea)
","October 10th, 2017 by Paramount Home Video",R,115 minutes,Create your own comparison chart…,"Film Noir, Crime Thriller, Crime, LAPD, Accidental Shooting, Internal Affairs",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,,,,"$27,661,878","$128,026","$27,789,904",,
1,https://www.the-numbers.com/movie/Leatherface-Texas-Chainsaw-Massacre-III-(1990),[],"[['Jeff Burr', 'Director'], ['Danny Elfman', 'Composer']]",,,100.0% (domestic box office/worldwide),,"$12,380,775",,"January 12th, 1990 (Wide)",,"June 7th, 2005 by Warner Home Video",,85 minutes,vs. The Texas Chainsaw Massacre 2Create your own comparison chart…,Slasher Horror,Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,Texas Chainsaw Massacre,New Line Cinema,English,"$5,697,588",,,,
2,https://www.the-numbers.com/movie/Ski-Patrol,[],"[['Rich Correll', 'Director'], ['Steven Long Mitchell', 'Screenwriter'], ['Craig W. Van Sickle', 'Screenwriter']]",,,100.0% (domestic box office/worldwide),,"$17,383,881",,"January 12th, 1990 (Wide)",,"January 29th, 2007 by Polygram USA Video",PG,91 minutes,Create your own comparison chart…,"Farcical / Slapstick Comedy, Skiing, Land Developer, Slobs vs. Snobs",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,"Epic Productions, Paul Maslansky Productions",English,"$8,000,000",,,,
3,https://www.the-numbers.com/movie/Nuovo-cinema-Paradiso,"['Jacques Perrin', 'Antonella Attili', 'Pupella Maggio', 'Philippe Noiret', 'Salvatore Cascio']","[['Giuseppe Tornatore', 'Director'], ['Giuseppe Tornatore', 'Screenwriter'], ['Franco Cristaldi', 'Producer'], ['Gabriella Carosio', 'Producer'], ['Giovanna Romagnoli', 'Producer']]",,64.88 (domestic box office/biggest weekend),78.0% (domestic box office/worldwide),,"$26,043,561",,"February 2nd, 1990 (Wide) by Miramax, released as Cinema Paradiso","January 16th, 1990 (Wide), released as Cinema Paraíso (Portugal)
July 7th, 1990 (Wide) (South Korea)
June 26th, 2020 (Wide) (Spain)
July 3rd, 2020 (Limited), released as Cinema Paradiso (United Kingdom)
June 11th, 2021 (Wide), released as Nuovo Cinema Paradiso (China)
... Show all releases
","October 4th, 2011 by Arrow Video, released as Cinema Paradiso",R for some sexuality.,155 minutes,vs. The Matrix ReloadedCreate your own comparison chart…,"Non-Chronological, Foreign Language, Coming of Age, Religious, Cross-Class Romance, Funeral Reunions, Romance, Censorship, Coming-of-Age Drama",Original Screenplay,Drama,Live Action,Historical Fiction,"France, Italy",,Miramax Films,Italian,"$11,985,152","$3,382,219","$15,367,371",,
4,https://www.the-numbers.com/movie/Tremors,"['Michael Gross', 'Reba McEntire', 'Kevin Bacon', 'Fred Ward', 'Finn Carter']","[['Ron Underwood', 'Director'], ['Brent Maddock', 'Producer'], ['S.S. Wilson', 'Producer'], ['S.S. Wilson', 'Screenwriter'], ['Brent Maddock', 'Screenwriter'], ['S.S. Wilson', 'Story by'], ['Brent Maddock', 'Story by'], ['Ron Underwood', 'Story by'], ['Gale Anne Hurd', 'Executive Producer'], ['Ginny Nugent', 'Line Producer'], ['Alexander Gruszynski', 'Director of Photography'], ['Ivo Cristante', 'Production Designer'], ['O. Nicholas Brown', 'Editor'], ['Ernest Troost', 'Music Composed and Conducted by']]","$3,731,520 (22.4% of total gross)",4.47 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,472 opening theaters/1,477 max. theaters, 2.9 weeks average run per theater","$36,217,328","$10,000,000 (worldwide box office is 1.7 times production budget)","January 19th, 1990 (Wide) by Universal","May 19th, 2022 (Limited) (New Zealand)
","March 26th, 1996 by Universal Home Entertainment",PG-13,96 minutes,vs. GremlinsCreate your own comparison chart…,"Creature Feature, Monster, Horror Comedy, Life in a Small Town, Survivalist",Original Screenplay,Comedy,Live Action,Science Fiction,United States,Tremors,"No Frills Film, Universal Pictures",English,"$16,667,084",$307,"$16,667,391",,
5,https://www.the-numbers.com/movie/Flashback,[],"[['Franco Amurri', 'Director']]","$2,910,116 (44.9% of total gross)",2.23 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"875 opening theaters/875 max. theaters, 1.0 weeks average run per theater","$14,072,539",,"February 2nd, 1990 (Wide) by Paramount Pictures",,"May 21st, 2013 by Warner Home Video",R,108 minutes,vs. Dungeons & Dragons: Honor Among ThievesCreate your own comparison chart…,Action Comedy,Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,,English,"$6,476,134",,,,
6,https://www.the-numbers.com/movie/Men-Dont-Leave,"['Jessica Lange', 'Arliss Howard', 'Joan Cusack', ""Chris O'Donnell"", 'Kevin Corrigan']","[['Paul Brickman', 'Director'], ['Barbara Benedek', 'Screenwriter'], ['Paul Brickman', 'Screenwriter'], ['Jon Avnet', 'Producer'], ['Thomas Newman', 'Composer']]",,3.01 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$13,146,598",,"February 2nd, 1990 (Wide) by Warner Bros.",,,,115 minutes,vs. BeetlejuiceCreate your own comparison chart…,"Comedy Drama, Widow/Widower, Death of a Spouse or Fiancée / Fiancé, Young Child Dealing with the Death of a Parent, Single Parent, Fired, Money Troubles, Dysfunctional Family",Remake,Drama,Live Action,Contemporary Fiction,United States,,Geffen Film,,"$6,050,018",,,,
7,https://www.the-numbers.com/movie/Stella,"['Bette Midler', 'Trini Alvarado']","[['John Erman', 'Director'], ['Robert Getchell', 'Screenwriter'], ['John Morris', 'Composer']]","$4,311,656 (21.5% of total gross)",4.65 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,033 opening theaters/1,393 max. theaters, 4.6 weeks average run per theater","$43,595,189",,"February 2nd, 1990 (Wide) by Walt Disney",,,PG-13,109 minutes,Create your own comparison chart…,"Life Drama, Single Parent, Relationships Gone Wrong, Cross-Class Romance, Romance, Coming of Age",Remake,Drama,Live Action,Contemporary Fiction,United States,,,,"$20,062,347",,,,
8,https://www.the-numbers.com/movie/Hard-To-Kill,[],[],"$9,213,631 (19.4% of total gross)",5.14 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,301 opening theaters/1,508 max. theaters, 6.3 weeks average run per theater","$102,959,073",,"February 9th, 1990 (Wide) by Warner Bros.","August 18th, 1990 (Wide) (South Korea)
",,R,,vs. Passenger 57Create your own comparison chart…,,Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,,English,"$47,381,386",$141,"$47,381,527",,
9,https://www.the-numbers.com/movie/Stanley-and-Iris,"['Jane Fonda', 'Robert De Niro']","[['Martin Ritt', 'Director'], ['Irving Ravetch', 'Screenwriter'], ['Harriet Frank, Jr.', 'Screenwriter'], ['John Williams', 'Composer']]","$2,102,831 (36.1% of total gross)",2.77 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"907 opening theaters/907 max. theaters, 1.0 weeks average run per theater","$12,646,806",,"February 9th, 1990 (Wide) by MGM",,"January 13th, 2004 by MGM Video",,104 minutes,Create your own comparison chart…,"Romantic Drama, Romance, Widow/Widower, Death of a Spouse or Fiancée / Fiancé, Single Parent, Money Troubles, Teen Pregnancy, Pregnant Women, Illiteracy / Learning to Read",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,,,English,"$5,820,015",,,,
