,url,cast,crew,Legs:,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Theater counts:,Domestic Releases:,Video Release:,MPAA Rating:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Running Time:,Franchise:,Languages:,Production/Financing Companies:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Once-Around,[],"[['Lasse Hallström', 'Director'], ['Malia Scotch Marmo', 'Screenwriter'], ['James Horner', 'Composer']]",3.59 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$32,347,661",,,,1991 (Wide) by Universal,"July 20th, 1993 by Universal Home Entertainment",R,Create your own comparison chart…,"Comedy Drama, Romance, May / December Romance, Death of a Spouse or Fiancée / Fiancé, In-Laws / Future In-Laws, Dysfunctional Family",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$14,851,000",,,,
1,https://www.the-numbers.com/movie/Warlock,['Mary Woronov'],"[['Steve Miner', 'Director'], ['David Twohy', 'Screenwriter'], ['Steve Miner', 'Producer'], ['Brian Yuzna', 'Executive Producer'], ['Jerry Goldsmith', 'Composer']]",12.29 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$19,221,173","$7,000,000 (worldwide box office is 1.3 times production budget)",,,"January 10th, 1991 (Wide) by Trimark","February 19th, 2004 by Lionsgate Home Entertainment",R,vs. 28 Days Later…Create your own comparison chart…,"Time Travel, Supernatural, Supernatural Horror, 1600s, Satan, Revenge, Curses",Original Screenplay,Horror,Live Action,Science Fiction,United States,103 minutes,Warlock,English,,,"$8,824,553",,,,
2,https://www.the-numbers.com/movie/Lionheart,"['Harrison Page', 'Deborah Rennard', 'Lisa Pelikan', 'Brian Thompson', 'Jean-Claude Van Damme']","[['Sheldon Lettich', 'Director'], ['S. N. Warren*', 'Screenwriter'], ['Jean-Claude Van Damme', 'Screenwriter'], ['Sheldon Lettich', 'Screenwriter']]",3.18 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$49,107,111",,"$7,094,552 (31.5% of total gross)","1,462 opening theaters/1,485 max. theaters, 3.0 weeks average run per theater","January 11th, 1991 (Wide) by Universal","September 8th, 1998 by Universal Home Entertainment",R for graphically violent fight scenes and for strong language.,"vs. Monsters, Inc.Create your own comparison chart…","Underground / Illegal Fighting, AWOL, Death of a Sibling, Money Troubles, Set in New York City, Set in New York, Fugitive / On the Run, Homeless, Set in Los Angeles, Set in California, Addiction, Narcotics, Drug Dealer, Smuggler, Taking the Rap, Makeover, Sports Action, Screenplay Written By the Star",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,105 minutes,,English,,,"$22,545,360",,,,
3,https://www.the-numbers.com/movie/Not-Without-My-Daughter,[],"[['Brian Gilbert', 'Director'], ['David W. Rintels', 'Screenwriter'], ['Jerry Goldsmith', 'Composer']]",3.89 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$32,212,862",,"$3,804,055 (25.7% of total gross)","1,137 opening theaters/1,137 max. theaters, 1.0 weeks average run per theater","January 11th, 1991 (Wide) by MGM","October 2nd, 2001 by MGM Video",PG-13,vs. Rabbit-Proof FenceCreate your own comparison chart…,"Relationships Gone Wrong, Domestic Abuse, Set in Iran, 1980s, Biographical Drama, Biography, Autobiographical",Based on Factual Book/Article,Drama,Live Action,Dramatization,United States,116 minutes,,,,,"$14,789,113",,,,
4,https://www.the-numbers.com/movie/Flight-of-the-Intruder,[],"[['John Milius', 'Director'], ['Basil Poledouris', 'Composer']]",2.53 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$31,520,921","$35,000,000 (worldwide box office is 0.4 times production budget)","$5,725,133 (39.6% of total gross)","1,489 opening theaters/1,489 max. theaters, 2.2 weeks average run per theater","January 18th, 1991 (Wide) by Paramount Pictures","September 1st, 1998 by Lionsgate Home Entertainment",PG-13,vs. A Walk Among the TombstonesCreate your own comparison chart…,"Vietnam War, Action Thriller",Based on Fiction Book/Short Story,Action,Live Action,Historical Fiction,United States,115 minutes,,English,,,"$14,471,440",,,,
5,https://www.the-numbers.com/movie/White-Fang,"['Klaus Maria Brandauer', 'Seymour Cassel', 'James Remar', 'Susan Hogan', 'Ethan Hawke']","[['Randal Kleiser', 'Director'], ['Marykay Powell', 'Producer'], ['Jeanne Rosenberg', 'Screenwriter'], ['Nick Thiel', 'Screenwriter'], ['David Fallon', 'Screenwriter'], ['Mike Lobell', 'Executive Producer'], ['Andrew Bergman', 'Executive Producer'], ['Jack London', 'Story Creator'], ['Tony Pierce-Roberts', 'Director of Photography'], ['Basil Poledouris', 'Composer']]",6.16 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$75,645,072","$14,000,000 (worldwide box office is 2.5 times production budget)","$5,640,712 (16.2% of total gross)","1,108 opening theaters/1,259 max. theaters, 5.9 weeks average run per theater","January 18th, 1991 (Wide) by Walt Disney",,PG,vs. Raiders of the Lost ArkCreate your own comparison chart…,Animal Lead,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,United States,104 minutes,White Fang,,Hybrid Productions,,"$34,729,091",,,,
6,https://www.the-numbers.com/movie/L-A-Story,[],"[['Mick Jackson', 'Director']]",4.36 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$62,849,300",,"$6,616,915 (22.9% of total gross)","1,091 opening theaters/1,122 max. theaters, 6.3 weeks average run per theater","February 8th, 1991 (Wide) by Sony Pictures","May 18th, 2010 by Lionsgate Home Entertainment",PG-13,vs. The Last SamuraiCreate your own comparison chart…,"News, Set in Los Angeles, Romantic Comedy, Satire, Romance, Relationships Gone Wrong, Gratuitous Cameos",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,98 minutes,,English,,,"$28,854,480",,,,
7,https://www.the-numbers.com/movie/NeverEnding-Story-II-The-Next-Chapter-The,[],"[['George T. Miller', 'Director']]",3.48 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$37,283,258",,"$4,912,124 (28.7% of total gross)","1,188 opening theaters/1,208 max. theaters, 4.3 weeks average run per theater","February 8th, 1991 (Wide) by Warner Bros.",,PG,vs. Die Unendliche GeschichteCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy,United States,,NeverEnding Story,,,,"$17,116,963",,,,
8,https://www.the-numbers.com/movie/Sleeping-with-the-Enemy-(1991),[],"[['Joseph Ruben', 'Director'], ['Jerry Goldsmith', 'Composer']]",7.37 (domestic box office/biggest weekend),58.1% (domestic box office/worldwide),"$221,297,593",,"$13,777,943 (13.6% of total gross)","1,406 opening theaters/1,545 max. theaters, 14.7 weeks average run per theater","February 8th, 1991 (Wide) by 20th Century Fox",,R for wife abuse terror and a sex scene.,vs. EnoughCreate your own comparison chart…,Erotic Thriller,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,97 minutes,,,,,"$101,599,005","$73,369,937","$174,968,942",,
9,https://www.the-numbers.com/movie/Silence-of-the-Lambs-The,"['Scott Glenn', 'Ted Levine', 'Jodie Foster', 'Anthony Hopkins']","[['Jonathan Demme', 'Director']]",9.50 (domestic box office/biggest weekend),47.4% (domestic box office/worldwide),"$284,742,035","$20,000,000 (worldwide box office is 13.8 times production budget)","$13,766,814 (10.5% of total gross)","1,497 opening theaters/1,642 max. theaters, 15.5 weeks average run per theater","February 14th, 1991 (Wide) by Orion Pictures","October 3rd, 1997 by Orion Video, released as Silence of the Lambs, The",R,Best Picture Oscar Winnersvs. UnforgivenCreate your own comparison chart…,"Serial Killer, Cannibalism, Oscars Best Picture Winner, Psychological Horror, 1992 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,United States,118 minutes,Hannibal Lecter,English,Orion Pictures,"June 22nd, 1991 (Wide) (South Korea)
November 3rd, 2017 (Wide), released as The Silence of the Lambs (Re: 2017) (United Kingdom)
November 12th, 2020 (Wide) (Australia)
April 8th, 2021 (Wide) (New Zealand)
September 16th, 2021 (Wide), released as Молчание ягнят (Russia (CIS))
... Show all releases
","$130,726,716","$145,000,000","$275,726,716",,
