,url,cast,crew,Legs:,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Theater counts:,Production Budget:,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Orlando,[],"[['Sally Potter', 'Director'], ['Sally Potter', 'Screenwriter']]",527.09 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$7,055,031",,,,"1992 (Wide) by Sony Pictures ClassicsJuly 23rd, 2010 (Limited) by Sony Pictures Classics","October 21st, 1993 (Wide) (Portugal)
","July 11th, 1995 by Sony Pictures Home Entertainment",PG-13 for some sensuality.,93 minutes,vs. Schindler’s ListCreate your own comparison chart…,"Life Drama, Genderbending Casting, Fountain of Youth, 1600s, 1700s, Single Parent, Satire",Based on Fiction Book/Short Story,Drama,Live Action,Fantasy,United Kingdom,,,,"$5,737,353",$529,"$5,737,882",,
1,https://www.the-numbers.com/movie/Hand-That-Rocks-the-Cradle-The,"['Julianne Moore', 'John de Lancie', 'Kevin Skousen', 'Madeline Zima', 'Annabella Sciorra', 'Rebecca De Mornay', 'Matt McCoy']","[['Curtis Hanson', 'Director'], ['Graeme Revell', 'Composer']]",7.44 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$194,529,244","$7,675,016 (8.7% of total gross)","766 opening theaters/1,759 max. theaters, 9.7 weeks average run per theater",,"January 10th, 1992 (Wide) by Walt Disney",,,"R for terror, violence, a scene of sexual molestation, and for language.",110 minutes,vs. UnforgettableCreate your own comparison chart…,"Sex Crimes, Suicide, Revenge, Learning Disabilities, False Identity, Troubled Pregnancy or Miscarriage, Intertitle, Widow/Widower, Death of a Spouse or Fiancée / Fiancé, Infertility, Falsely Accused, Erotic Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,,"$88,036,683",,,,
2,https://www.the-numbers.com/movie/Kuffs,[],"[['Bruce A. Evans', 'Director'], ['Bruce A. Evans', 'Screenwriter'], ['Raynold Gideon', 'Screenwriter'], ['Raynold Gideon', 'Producer'], ['Harold Faltermeyer', 'Composer']]",3.47 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$43,348,983","$5,651,055 (28.8% of total gross)","1,411 opening theaters/1,432 max. theaters, 2.0 weeks average run per theater",,"January 10th, 1992 (Wide) by Universal",,"June 1st, 2010 by Universal Home Entertainment",PG-13,102 minutes,vs. The Hand That Rocks the CradleCreate your own comparison chart…,"Action Comedy, Police Detective, Death of a Sibling, Revenge",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,,,"$19,618,135",,,,
3,https://www.the-numbers.com/movie/Freejack,[],"[['Geoff Murphy', 'Director'], ['Steven Pressfield', 'Screenwriter'], ['Ronald Shusett', 'Screenwriter'], ['Dan Gilroy', 'Screenwriter']]",2.53 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$37,637,082","$6,736,243 (39.5% of total gross)","1,551 opening theaters/1,560 max. theaters, 2.0 weeks average run per theater",,"January 17th, 1992 (Wide) by Warner Bros.",,"June 1st, 2004 by Warner Home Video",R for language and violence.,110 minutes,vs. The Hand That Rocks the CradleCreate your own comparison chart…,"Time Travel, Action Thriller, Bounty Hunter, Set in New York City, Set in New York, Yesterday's Tomorrow, Dystopia, Environment, Cyberpunk, Class Warfare, 2000s, 1990s",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,,,,,"$17,033,142",,,,
4,https://www.the-numbers.com/movie/Juice,"['Omar Epps', 'Jermaine Hopkins', 'Khalil Kain', 'Tupac Shakur']","[['Ernest Dickerson', 'Director'], ['David Heyman', 'Producer'], ['Neal H. Moritz', 'Producer'], ['Gerard Brown', 'Screenwriter'], ['Ernest Dickerson', 'Screenwriter'], ['Ernest Dickerson', 'Story Creator'], ['Preston Holmes', 'Co-Producer'], ['Larry Banks', 'Director of Photography'], ['Lester Cohen', 'Production Designer'], ['Sam Pollard', 'Editor'], ['Brunilda Torres', 'Editor'], ['Hank Shocklee', 'Composer'], ['The Bomb Squad', 'Composer']]",2.49 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$44,517,141","$8,085,715 (40.1% of total gross)","1,089 opening theaters/1,100 max. theaters, 3.0 weeks average run per theater",,"January 17th, 1992 (Wide) by Paramount Pictures",,"June 6th, 2017 by Paramount Home Video",R,94 minutes,vs. Menace II SocietyCreate your own comparison chart…,"Black Urban, African Americans, Hood Film, Crime Drama, Friends turned Enemies, Death of a Best Friend, Accidental Death",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,English,"Island World Productions, Paramount Pictures",,"$20,146,800",,,"$764,699","$764,699"
5,https://www.the-numbers.com/movie/Shining-Through,[],"[['Michael Kamen', 'Composer']]",3.39 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$48,023,794","$6,406,829 (29.5% of total gross)","1,432 opening theaters/1,433 max. theaters, 3.0 weeks average run per theater",,"January 31st, 1992 (Wide) by 20th Century Fox",,,R for a scene of sensuality.,,vs. Hudson HawkCreate your own comparison chart…,"World War II, Political Thriller, Secret Agent, Double Agent, Jewish, Surprise Twist, Set in Germany, Romance, Relationships Gone Wrong, 1940s, Set in New York City, Set in New York",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Historical Fiction,United States,,,,"$21,733,781",,,,
6,https://www.the-numbers.com/movie/Stop-Or-My-Mom-Will-Shoot,"['JoBeth Williams', 'Roger Rees', 'Sylvester Stallone', 'Estelle Getty']","[['Roger Spottiswoode', 'Director'], ['Ivan Reitman', 'Producer'], ['Joe Medjuck', 'Producer'], ['Michael C. Gross', 'Producer'], ['Blake Snyder', 'Screenwriter'], ['William Osborne', 'Screenwriter'], ['William Davies', 'Screenwriter'], ['Joe Wizan', 'Executive Producer'], ['Todd Black', 'Executive Producer'], ['Frank Tidy', 'Director of Photography'], ['Charles Rosen', 'Production Designer'], ['Mark Conte', 'Editor'], ['Lois Freeman-Fox', 'Editor'], ['Alan Silvestri', 'Composer']]",4.03 (domestic box office/biggest weekend),40.4% (domestic box office/worldwide),"$62,778,040",,,,"February 1st, 1992 (Wide) by Universal",,"July 7th, 1998 by Universal Home Entertainment, released as Stop Or My Mom Will Shoot",PG-13 for a scene of nudity.,87 minutes,vs. Death Becomes HerCreate your own comparison chart…,"Farcical / Slapstick Comedy, Famously Bad, Police Detective, Dysfunctional Family, Witnessing a Crime",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"Universal Pictures, Northern Lights Films",,"$28,411,000","$42,000,000","$70,411,000",,
7,https://www.the-numbers.com/movie/Mississippi-Masala,[],"[['Mira Nair', 'Director'], ['Sooni Taraporevala', 'Screenwriter']]",4.88 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$10,461,915",,,,"February 5th, 1992 (Wide) by Goldwyn EntertainmentApril 15th, 2022 (Limited) by Janus Films",,,R R for sensuality and language.,117 minutes,Create your own comparison chart…,"Romance, Romantic Drama, Interracial Romance, African Americans, Indians, 1970s, Immigration, Forbidden Romance, Dysfunctional Family, Eloping, You Can't Go Home Again, Set in Uganda, Bigotry",Original Screenplay,Drama,Live Action,Contemporary Fiction,,English,,,"$7,332,515",,,,
8,https://www.the-numbers.com/movie/Final-Analysis,[],"[['Phil Joanou', 'Director'], ['George Fenton', 'Composer']]",4.46 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$63,175,028","$6,411,441 (22.4% of total gross)","1,504 opening theaters/1,599 max. theaters, 3.8 weeks average run per theater",,"February 7th, 1992 (Wide) by Warner Bros.",,,"R for a scene of strong sensuality, and for language and violence.",124 minutes,Create your own comparison chart…,"Film Noir, Erotic Thriller, Therapists / Therapy, Organized Crime, Child Abuse, Dysfunctional Family, Sex Crimes, Adult Child Dealing with the Death of a Parent, Abandoned Child, Faulty Memory, Mental Illness, Abusive Therapists, Infidelity, Relationships Gone Wrong, Surprise Twist, Life Insurance, Death of a Spouse or Fiancée / Fiancé",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,,,"$28,590,665",,,,
9,https://www.the-numbers.com/movie/Medicine-Man,"['Sean Connery', 'Lorraine Bracco']","[['John McTiernan', 'Director'], ['Donna Dubrow', 'Producer'], ['Andrew G. Vajna', 'Producer'], ['Jerry Goldsmith', 'Composer']]",5.04 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$99,319,362","$8,494,271 (18.9% of total gross)","1,304 opening theaters/1,370 max. theaters, 5.7 weeks average run per theater","$40,000,000 (worldwide box office is 1.1 times production budget)","February 7th, 1992 (Wide) by Walt Disney",,"April 14th, 1994 by Walt Disney Home Entertainment",PG-13,106 minutes,vs. Wayne's WorldCreate your own comparison chart…,"Set in Amazon Rainforest, Chase Adventure, Environment, Research Scientist, Field Scientists, Terminal Illness, Medical and Hospitals",Original Screenplay,Adventure,Live Action,Contemporary Fiction,United States,English,Hollywood Pictures,,"$44,948,240",,,,
