,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Production/Financing Companies:,Languages:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Leprechaun,"['Jennifer Aniston', 'Warwick Davis']","[['Mark Jones', 'Director'], ['Mark Jones', 'Screenwriter']]","$2,493,020 (29.2% of total gross)",3.42 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"620 opening theaters/620 max. theaters, 1.5 weeks average run per theater","$18,901,039",,"January 8th, 1993 (Wide) by Trimark","February 19th, 2004 by Lionsgate Home Entertainment",R for horror violence and language.PG-13 for terror violence. (Edited version),92 minutes,Leprechaun,vs. RumpelstiltskinCreate your own comparison chart…,"Horror Comedy, 1980s, Revenge, Found Money, Learning Disabilities, Prologue",Original Screenplay,Horror,Live Action,Fantasy,United States,,,,"$8,533,294",,,,
1,https://www.the-numbers.com/movie/Alive,"['Ethan Hawke', 'Vincent Spano', 'Josh Hamilton']","[['Frank Marshall', 'Director'], ['John Patrick Shanley', 'Screenwriter'], ['Robert Watts', 'Producer'], ['Kathleen Kennedy', 'Producer'], ['Piers Paul Read', 'Story Creator'], ['Peter James', 'Director of Photography'], ['Norman Reynolds', 'Production Designer'], ['Michael Kahn', 'Editor'], ['James Newton Howard', 'Composer']]","$8,624,292 (23.8% of total gross)",4.21 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,132 opening theaters/1,337 max. theaters, 4.0 weeks average run per theater","$80,402,890","$32,000,000 (worldwide box office is 1.1 times production budget)","January 15th, 1993 (Wide) by Walt Disney",,R for strong violent content and language,125 minutes,,vs. The RevenantCreate your own comparison chart…,"Cannibalism, Plane Crash, Survival Drama",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,United States,"Touchstone Pictures, Paramount Pictures",English,,"$36,299,670",,,,
2,https://www.the-numbers.com/movie/Body-of-Evidence,[],"[['Uli Edel', 'Director'], ['Brad Mirman', 'Screenwriter'], ['Graeme Revell', 'Composer']]","$7,365,429 (53.6% of total gross)",1.86 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,050 opening theaters/2,050 max. theaters, 2.9 weeks average run per theater","$30,420,558",,"January 15th, 1993 (Wide) by MGM","December 3rd, 2002 by MGM Video","R for strong sexuality, and for language and violence.",99 minutes,,vs. Indecent ProposalCreate your own comparison chart…,Erotic Thriller,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,,English,,"$13,734,039",,,,
3,https://www.the-numbers.com/movie/Nowhere-to-Run,[],"[['Robert Harmon', 'Director'], ['Mark Isham', 'Composer']]","$8,203,255 (37.0% of total gross)",2.70 (domestic box office/biggest weekend),42.5% (domestic box office/worldwide),"1,745 opening theaters/1,776 max. theaters, 3.4 weeks average run per theater","$49,148,183","$15,000,000 (worldwide box office is 3.5 times production budget)","January 15th, 1993 (Wide) by Sony Pictures",,"R for violence, language and sexuality.",94 minutes,,vs. The MarineCreate your own comparison chart…,"Action Thriller, Life on the Outside, Land Developer, Prison Break, Car Accident, Corrupt Cops, Romance, Single Parent",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,,English,,"$22,189,039","$30,000,000","$52,189,039",,
4,https://www.the-numbers.com/movie/Aspen-Extreme,[],[],"$3,342,613 (42.6% of total gross)",2.35 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,455 opening theaters/1,455 max. theaters, 2.0 weeks average run per theater","$17,372,913",,"January 22nd, 1993 (Wide) by Walt Disney",,"PG-13 for some language, drug content and nudity.",,,vs. Hot Dog… The MovieCreate your own comparison chart…,"Miscellaneous Sports, Romance",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,,,"$7,843,388",,,,
5,https://www.the-numbers.com/movie/Knight-Moves,[],[],"$493,080 (53.4% of total gross)",1.87 (domestic box office/biggest weekend),6.8% (domestic box office/worldwide),"420 opening theaters/420 max. theaters, 1.6 weeks average run per theater","$2,045,341",,"January 22nd, 1993 (Limited) by InterStar Releasing",,,,,Create your own comparison chart…,Film Noir,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,Germany,,,,"$923,418","$12,744,731","$13,668,149",,
6,https://www.the-numbers.com/movie/Children-of-the-Corn-II-The-Final-Sacrifice,[],[],"$2,719,750 (39.1% of total gross)",2.56 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"946 opening theaters/946 max. theaters, 1.0 weeks average run per theater","$15,401,474",,"January 29th, 1993 (Wide) by Paramount Pictures",,R for horror violence and language.,92 minutes,Children of the Corn,vs. Children of the CornCreate your own comparison chart…,"Supernatural Horror, Supernatural, Child Murderer, Cults, Demons, Investigative Journalist, Dysfunctional Family, Romance, Native Americans, Native American Folklore",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,United States,,English,,"$6,953,340",,,,
7,https://www.the-numbers.com/movie/Matinee,"['Cathy Moriarty', 'Simon Fenton', 'Omri Katz', 'Kellie Martin', 'Lisa Jakub', 'John Goodman']","[['Joe Dante', 'Director'], ['Charlie Haas', 'Screenwriter'], ['Michael Finnell', 'Producer'], ['Jerry Goldsmith', 'Composer']]","$3,601,015 (40.3% of total gross)",2.48 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,143 opening theaters/1,144 max. theaters, 2.0 weeks average run per theater","$19,770,373",,"January 29th, 1993 (Wide) by Universal","February 22nd, 2000 by Universal Home Entertainment","PG for language, and for mild violence and sensuality.",99 minutes,,vs. Jurassic ParkCreate your own comparison chart…,"Coming of Age, Comedy Drama, 1960s, Set in Florida, Cold War, Political, Political Activist, First Love, Bullies",Original Screenplay,Comedy,Live Action,Historical Fiction,United States,"Universal Pictures, Renfield",English,,"$8,925,775",,,,
8,https://www.the-numbers.com/movie/Sniper,"['Billy Zane', 'J.T. Walsh', 'Tom Berenger']","[['Luis Llosa', 'Director'], ['Robert L. Rosen', 'Producer'], ['Michael Frost Beckner', 'Screenwriter'], ['Crash Leyland', 'Screenwriter'], ['Mark Johnson', 'Executive Producer'], ['Walon Green', 'Executive Producer'], ['Patrick Wachsberger', 'Executive Producer'], ['Bill Butler', 'Director of Photography'], ['Herbert Pinter', 'Production Designer'], ['Scott Smith', 'Editor'], ['Gary Chang', 'Composer'], ['James Gorman', 'Co-Producer'], ['Charles J.D. Schlissel', 'Co-Producer']]","$5,715,435 (30.1% of total gross)",3.32 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,551 opening theaters/1,553 max. theaters, 2.0 weeks average run per theater","$42,072,694",,"January 29th, 1993 (Wide) by Sony Pictures","August 12th, 2008 by Sony Pictures Home Entertainment",R,98 minutes,Sniper,Create your own comparison chart…,"Action Thriller, Drug Cartels, Crime Boss, C.I.A.",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,Baltimore Pictures,English,,"$18,994,653",,,,
9,https://www.the-numbers.com/movie/Cemetery-Club-The,"['Olympia Dukakis', 'Ellen Burstyn', 'Diane Ladd', 'Danny Aiello']","[['Bill Duke', 'Director'], ['Ivan Menchell', 'Screenwriter']]",,,100.0% (domestic box office/worldwide),,"$12,367,579",,"February 3rd, 1993 (Wide) by Walt Disney","August 5th, 2003 by Walt Disney Home Entertainment",PG-13 for sensuality and some language.,106 minutes,,vs. The Truth About Cats & DogsCreate your own comparison chart…,"Comedy Drama, Autumn Years, Widow/Widower, Jewish, Set in Pittsburgh, PA, Romance, Prologue",Based on Play,Comedy,Live Action,Contemporary Fiction,,,,,"$5,583,621",,,,
10,https://www.the-numbers.com/movie/Homeward-Bound-The-Incredible-Journey,[],"[['Bruce Broughton', 'Composer']]",,5.16 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"$92,659,796",,"February 3rd, 1993 (Wide) by Walt Disney","August 13th, 1993 by Buena Vista Home Entertainment",G,,Homeward Bound,vs. Homeward Bound II: Lost in San FranciscoCreate your own comparison chart…,Talking Animals,Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,United States,,,,"$41,833,324",,,,
