,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Franchise:,Production Countries:,Languages:,International Releases:,Video Release:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Air-Up-There-The,[],"[['Paul Michael Glaser', 'Director'], ['Max Apple', 'Screenwriter'], ['David Newman', 'Composer']]","$5,240,859 (25.2% of total gross)",3.97 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,507 opening theaters/1,721 max. theaters, 2.8 weeks average run per theater","$53,229,531",,"January 7th, 1994 (Wide) by Walt Disney",PG for some violence and language,107 minutes,vs. Like MikeCreate your own comparison chart…,"Basketball, Sports Comedy, Culture Clash",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,,,,"$20,782,439",,,,
1,https://www.the-numbers.com/movie/House-Party-3,[],"[['Eric Meza', 'Director'], ['David Toney', 'Screenwriter'], ['Takashi Bufford', 'Screenwriter']]","$6,781,716 (35.3% of total gross)",2.83 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"848 opening theaters/855 max. theaters, 3.0 weeks average run per theater","$43,140,733",,"January 12th, 1994 (Wide) by New Line",R for strong language and some strong sexuality,100 minutes,vs. BlinkCreate your own comparison chart…,"Farcical / Slapstick Comedy, Music Industry, Sequels Without Their Original Stars",Original Screenplay,Comedy,Live Action,Contemporary Fiction,House Party,United States,English,,,,"$19,194,572",,,,
2,https://www.the-numbers.com/movie/Iron-Will,[],"[['Charles Haid', 'Director'], ['John Michael Hayes', 'Screenwriter'], ['Djordje Milićević', 'Screenwriter'], ['Jeff Arch', 'Screenwriter']]","$5,313,406 (25.8% of total gross)",3.88 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,901 opening theaters/2,036 max. theaters, 3.6 weeks average run per theater","$46,351,361",,"January 14th, 1994 (Wide) by Walt Disney",PG for adventure action,108 minutes,vs. Soul FoodCreate your own comparison chart…,"Family Adventure, Miscellaneous Racing, Animal Lead, 1910s, Set in Manitoba, Set in Minnesota",Based on Real Life Events,Adventure,Live Action,Dramatization,,United States,,,,,"$20,623,071",,,,
3,https://www.the-numbers.com/movie/Intersection,"['Martin Landau', 'Richard Gere', 'Sharon Stone', 'Lolita Davidovich']","[['Mark Rydell', 'Director'], ['David Rayfiel', 'Screenwriter'], ['Marshall Brickman', 'Screenwriter'], ['James Newton Howard', 'Composer']]","$7,818,502 (37.9% of total gross)",2.64 (domestic box office/biggest weekend),93.2% (domestic box office/worldwide),"1,300 opening theaters/1,300 max. theaters, 3.0 weeks average run per theater","$46,396,229",,"January 21st, 1994 (Wide) by Paramount Pictures",R for some language and sexuality,98 minutes,vs. JuniorCreate your own comparison chart…,"Life Drama, Non-Chronological, Car Accident, Relationships Gone Wrong, Dysfunctional Family, Architecture, Remake, Foreign-Language Remake",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,United States,English,"November 5th, 2020 (Wide) (Australia)
","February 19th, 2002 by Paramount Home Video",,"$20,643,034","$1,514,243","$22,157,277",,
4,https://www.the-numbers.com/movie/Blink,[],"[['Michael Apted', 'Director'], ['Dana Stevens', 'Screenwriter']]","$4,410,077 (26.5% of total gross)",3.78 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,527 opening theaters/1,540 max. theaters, 2.0 weeks average run per theater","$37,463,384",,"January 26th, 1994 (Wide) by New Line","R for sexuality, language and violence",106 minutes,vs. House Party 3Create your own comparison chart…,"Film Noir, Crime Thriller, Blindness, Musicians, Witnessing a Crime, Serial Killer, Police Detective",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,,,,,"$16,668,552",,,,
5,https://www.the-numbers.com/movie/Red-Rock-West,[],[],"$11,562 (0.5% of total gross)",216.45 (domestic box office/biggest weekend),26.3% (domestic box office/worldwide),"1 opening theaters/1 max. theaters, 1.0 weeks average run per theater","$5,624,603",,1994 (Limited) by Walt Disney,"R for language and violence, and for sexuality.",,Create your own comparison chart…,Film Noir,,,,,,United States,,,,,"$2,502,551","$7,000,000","$9,502,551",,
6,https://www.the-numbers.com/movie/Ace-Ventura-Pet-Detective,"['Sean Young', 'Courteney Cox', 'Tone Loc', 'Dan Marino', 'Jim Carrey']","[['Tom Shadyac', 'Director'], ['James G. Robinson', 'Producer'], ['Jack Bernstein', 'Screenwriter'], ['Tom Shadyac', 'Screenwriter'], ['Jim Carrey', 'Screenwriter'], ['Jack Bernstein', 'Story by'], ['Gary Barber', 'Executive Producer'], ['William A. Elliott', 'Production Designer'], ['Julio Macat', 'Director of Photography'], ['Don Zimmerman', 'Editor'], ['Bob Israel', 'Co-Producer'], ['Ira Newborn', 'Composer']]","$12,115,105 (16.8% of total gross)",5.96 (domestic box office/biggest weekend),67.4% (domestic box office/worldwide),"1,750 opening theaters/1,963 max. theaters, 7.6 weeks average run per theater","$162,312,136","$12,000,000 (worldwide box office is 8.9 times production budget)","February 4th, 1994 (Wide) by Warner Bros.",PG-13 for off-color humor and some nudity,86 minutes,vs. Dumb & DumberCreate your own comparison chart…,"Farcical / Slapstick Comedy, Animal Lead, Missing Pet, Kidnap, Fictionalized Version of Yourself, Football, Private Investigator, Revenge",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Ace Ventura,United States,English,,"August 26th, 1997 by Warner Home Video",Morgan Creek Productions,"$72,217,396","$35,000,000","$107,217,396",,
7,https://www.the-numbers.com/movie/Ill-Do-Anything,[],"[['James L. Brooks', 'Director'], ['James L. Brooks', 'Screenwriter']]","$4,702,625 (46.1% of total gross)",2.17 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,205 opening theaters/1,205 max. theaters, 1.0 weeks average run per theater","$22,945,477",,"February 4th, 1994 (Wide) by Sony Pictures",PG-13 for sexual language and situations,115 minutes,Create your own comparison chart…,"Comedy Drama, Dysfunctional Family, Unexpected Families, TV Industry, TV Actor, 1980s, 1990s, Prologue, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,,,,"$10,209,111",,,,
8,https://www.the-numbers.com/movie/My-Father-the-Hero,[],"[['Steve Miner', 'Director'], ['David Newman', 'Composer']]","$5,645,251 (22.2% of total gross)",4.51 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,193 opening theaters/1,373 max. theaters, 3.8 weeks average run per theater","$57,266,549",,"February 4th, 1994 (Wide) by Miramax",PG for language and elements of sensuality,,vs. Ace Ventura: Pet DetectiveCreate your own comparison chart…,"Coming of Age, Comedy Drama, Remake, Foreign-Language Remake, Remake with Returning Cast Member",Remake,Comedy,Live Action,Contemporary Fiction,,"France, United States",,,"April 8th, 2003 by Mill Creek Entertainment",,"$25,479,558",,,,
9,https://www.the-numbers.com/movie/Blank-Check,[],"[['Rupert Wainwright', 'Director']]","$5,411,897 (17.7% of total gross)",4.86 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,698 opening theaters/1,732 max. theaters, 4.7 weeks average run per theater","$68,716,046",,"February 11th, 1994 (Wide) by Walt Disney","PG for language, and for some threatening situations",94 minutes,vs. Sky HighCreate your own comparison chart…,"Crime Comedy, Crime, Car Accident, Found Money, Money Troubles, Bullies, Fugitive / On the Run, Prison Break, Dysfunctional Family, Sibling Rivalry",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,,"March 21st, 1995 by Buena Vista Home Entertainment",,"$30,573,770",,,,
10,https://www.the-numbers.com/movie/Getaway-The-(1994),"['Jennifer Tilly', 'Richard Farnsworth', 'Alec Baldwin', 'Kim Basinger', 'Michael Madsen', 'James Woods']","[['Roger Donaldson', 'Director'], ['David Foster', 'Producer'], ['Lawrence Turman', 'Producer'], ['John Alan Simon', 'Producer'], ['Walter Hill', 'Screenwriter'], ['Amy Jones', 'Screenwriter'], ['Jim Thompson', 'Story based on the novel by'], ['Peter Menzies Jr.', 'Director of Photography'], ['Joseph Nemec III', 'Production Designer'], ['Conrad Buff', 'Editor'], ['Mark Isham', 'Composer'], ['Danny Bramson', 'Music Supervisor'], ['Marilyn Vance', 'Associate Producer']]","$5,806,515 (37.4% of total gross)",2.68 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,659 opening theaters/1,659 max. theaters, 1.0 weeks average run per theater","$34,938,406",,"February 11th, 1994 (Wide) by Universal","R for violence, sexuality and language",115 minutes,vs. Get HardCreate your own comparison chart…,"Film Noir, Action Thriller, Heist, Prison Break, No Honor Among Thieves, Left for Dead, Infidelity, Suicide, Confidence Men, Fugitive / On the Run, Border Town",Remake,Action,Live Action,Contemporary Fiction,,"Japan, United States",English,,"May 26th, 1998 by Universal Home Entertainment","Largo Entertainment, JVC Entertainment, Turman-Foster","$15,545,115",,,,
11,https://www.the-numbers.com/movie/My-Girl-2,"['Dan Aykroyd', 'Jamie Lee Curtis', 'Anna Chlumsky', 'Austin O’Brien']","[['Howard Zieff', 'Director'], ['Brian Grazer', 'Producer'], ['Janet Kovalcik', 'Screenwriter'], ['David T. Friendly', 'Executive Producer'], ['Howard Zieff', 'Executive Producer'], ['Joseph M. Caracciolo', 'Executive Producer'], ['Paul Elliot', 'Director of Photography'], ['Charles Rosen', 'Production Designer'], ['Wendy Greene Bricmont', 'Editor'], ['Cliff Eidelman', 'Composer']]","$5,012,295 (30.3% of total gross)",3.30 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,841 opening theaters/1,853 max. theaters, 2.0 weeks average run per theater","$37,217,380",,"February 11th, 1994 (Wide) by Sony Pictures",PG for thematic elements and mild language,99 minutes,Create your own comparison chart…,"Coming of Age, Comedy Drama, 1970s, Single Parent, Step-Family, Pregnant Women, Set in Los Angeles, Family Secrets",Original Screenplay,Comedy,Live Action,Historical Fiction,My Girl,United States,English,,"December 3rd, 2002 by Sony Pictures Home Entertainment","Columbia Pictures, Imagine Films","$16,559,100",,,,
12,https://www.the-numbers.com/movie/Blue-Chips,[],"[['William Friedkin', 'Director']]","$10,123,605 (45.3% of total gross)",2.21 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,980 opening theaters/1,980 max. theaters, 3.0 weeks average run per theater","$50,253,040",,"February 18th, 1994 (Wide) by Paramount Pictures",PG-13 for language,108 minutes,vs. Above the RimCreate your own comparison chart…,Basketball,Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,"June 27th, 2006 by Paramount Home Video",,"$22,359,041",,,,
13,https://www.the-numbers.com/movie/On-Deadly-Ground,[],"[['Steven Seagal', 'Director'], ['Basil Poledouris', 'Composer']]","$12,679,573 (32.9% of total gross)",3.04 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,010 opening theaters/2,010 max. theaters, 3.9 weeks average run per theater","$86,733,941","$50,000,000 (worldwide box office is 0.8 times production budget)","February 18th, 1994 (Wide) by Warner Bros.",R for strong violence and language,,vs. Bangkok DangerousCreate your own comparison chart…,"Action Adventure, Set in Alaska",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,,,,,"$38,590,458",,,,
14,https://www.the-numbers.com/movie/Reality-Bites,[],"[['Ben Stiller', 'Director']]","$6,003,525 (29.9% of total gross)",3.34 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,149 opening theaters/1,175 max. theaters, 2.0 weeks average run per theater","$45,130,439",,"February 18th, 1994 (Wide) by Universal","PG-13 for some language, drug content and sensuality",,Create your own comparison chart…,"Romance, Love Triangle",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,English,,"April 15th, 2014 by Universal Home Entertainment",Jersey Films,"$20,079,850",,,"$188,402","$188,402"
