,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,International Releases:,Languages:,Video Release:,Franchise:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Houseguest,"['Sinbad', 'Phil Hartman']","[['Randall Miller', 'Director'], ['Michael J. Di Gaetano', 'Screenwriter'], ['Lawrence Gay', 'Screenwriter'], ['John Debney', 'Composer']]","$5,831,302 (22.2% of total gross)",4.13 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,238 opening theaters/1,604 max. theaters, 6.6 weeks average run per theater","$55,494,841",,"January 6th, 1995 (Wide) by Walt Disney","PG for language, double entendre humor and some comic violence",113 minutes,vs. DelgoCreate your own comparison chart…,"Farcical / Slapstick Comedy, Confidence Men, False Identity, Dentist, Money Troubles, Loan Shark, Organized Crime, Fugitive / On the Run, Dysfunctional Family, Workaholic, Boss From Hell",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$26,325,256",,,,
1,https://www.the-numbers.com/movie/Showgirls,[],"[['Paul Verhoeven', 'Director'], ['Joe Eszterhas', 'Screenwriter']]","$8,112,627 (39.9% of total gross)",2.51 (domestic box office/biggest weekend),53.9% (domestic box office/worldwide),"1,388 opening theaters/1,388 max. theaters, 3.8 weeks average run per theater","$42,900,323","$40,000,000 (worldwide box office is 0.9 times production budget)","September 22nd, 1995 (Wide) by MGM","NC-17 for nudity and erotic sexuality throughout, and for some graphic language and sexual violence",131 minutes,vs. Henry & JuneCreate your own comparison chart…,"Set in Las Vegas, Strippers / Stripping, Famously Bad, Romance, Cult Movie, Life Drama, Erotic Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,"January 6th, 1995 (Wide) (Portugal)
November 18th, 1995 (Wide) (South Korea)
November 5th, 2020 (Wide) (Australia)
",English,,,,"$20,350,754","$17,400,000","$37,750,754",,
2,https://www.the-numbers.com/movie/Higher-Learning,[],"[['John Singleton', 'Director']]","$13,276,662 (34.9% of total gross)",2.86 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,409 opening theaters/1,450 max. theaters, 6.5 weeks average run per theater","$80,155,465",,"January 11th, 1995 (Wide) by Sony Pictures","R for scenes of violence and sexuality, and for strong language",128 minutes,vs. The Imitation GameCreate your own comparison chart…,"LGBTQ+, African Americans, Hood Film, Sex Crimes, College, New Guy/Girl in School, Life Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,,,"January 7th, 1997 by Sony Pictures Home Entertainment",,,"$38,023,585",,,,
3,https://www.the-numbers.com/movie/Far-from-Home-The-Adventures-of-Yellow-Dog,"['Bruce Davison', 'Mimi Rogers', 'Tom Bower', 'Jesse Bradford']","[['Phillip Borsos', 'Director'], ['Peter O’Brian', 'Producer'], ['James Gardner', 'Director of Photography'], ['Mark S. Freeborn*', 'Production Designer'], ['Sidney Wolinsky', 'Editor'], ['John Scott', 'Composer']]","$4,231,917 (37.2% of total gross)",2.69 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,217 opening theaters/1,219 max. theaters, 6.0 weeks average run per theater","$23,991,223",,"January 13th, 1995 (Wide) by 20th Century Fox",PG for perilous adventure,79 minutes,vs. Ella EnchantedCreate your own comparison chart…,,Original Screenplay,Adventure,Live Action,Kids Fiction,United States,,English,"March 29th, 2011 by Fox Home Entertainment",Far From Home,"Twentieth Century Fox, Kagan Company Radio Telegraph","$11,380,788",,,,
4,https://www.the-numbers.com/movie/Tales-from-the-Crypt-Demon-Knight,[],"[['Ernest Dickerson', 'Director'], ['Mark Bishop', 'Screenwriter'], ['Ethan Reiff', 'Screenwriter'], ['Cyrus Voris', 'Screenwriter'], ['Danny Elfman', 'Composer']]","$10,019,555 (47.5% of total gross)",2.10 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,729 opening theaters/1,732 max. theaters, 4.7 weeks average run per theater","$44,456,884","$12,000,000 (worldwide box office is 1.8 times production budget)","January 13th, 1995 (Wide) by Universal","R for gore, horror violence, sexuality and language",92 minutes,vs. Poltergeist IIICreate your own comparison chart…,"Demons, Horror Comedy, Possessed, Prostitution",Original Screenplay,Horror,Live Action,Fantasy,United States,,,,Tales from the Crypt,,"$21,089,146",,,,
5,https://www.the-numbers.com/movie/Murder-in-the-First,[],"[['Marc Rocco', 'Director'], ['Dan Gordon', 'Screenwriter'], ['Christopher Young', 'Composer']]","$4,719,188 (27.3% of total gross)",3.67 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,237 opening theaters/1,302 max. theaters, 5.4 weeks average run per theater","$36,469,695",,"January 20th, 1995 (Wide) by Warner Bros.","R for strong images of prison brutalities, sexuality and language",122 minutes,vs. SleepersCreate your own comparison chart…,"Prison, Courtroom Drama, 1930s, 1940s, Cruel Wardens or Prison Guards, Orphan, Public Defenders, Lawyers",Original Screenplay,Drama,Live Action,Dramatization,"France, United States",,,,,,"$17,300,238",,,,
6,https://www.the-numbers.com/movie/Before-Sunrise,[],"[['Richard Linklater', 'Director'], ['Richard Linklater', 'Screenwriter'], ['Kim Krizan', 'Screenwriter']]","$1,423,537 (27.0% of total gross)",3.70 (domestic box office/biggest weekend),92.7% (domestic box office/worldwide),"363 opening theaters/474 max. theaters, 3.7 weeks average run per theater","$11,117,836","$2,500,000 (worldwide box office is 2.3 times production budget)","January 27th, 1995 (Wide) by Sony Pictures",R for some strong language,101 minutes,vs. OnceCreate your own comparison chart…,"Romantic Drama, Romance, One Day, Trains, Set in Hungary",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Austria, Switzerland, United States","March 30th, 1996 (Wide) (South Korea)
September 25th, 2020 (Limited) (Australia)
","English, French, German","November 30th, 1999 by Turner Home Entertainment",Before Sunrise,Castle Rock Entertainment,"$5,274,005","$417,847","$5,691,852",,
7,https://www.the-numbers.com/movie/Highlander-The-Final-Dimension,[],"[['Andy Morahan', 'Director'], ['Paul Ohl', 'Screenwriter'], ['René Manzor', 'Screenwriter'], ['Brad Mirman', 'Screenwriter'], ['J. Peter Robinson', 'Composer']]","$5,636,435 (41.0% of total gross)",2.44 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,593 opening theaters/1,593 max. theaters, 4.1 weeks average run per theater","$28,961,538","$26,000,000 (worldwide box office is 0.5 times production budget)","January 27th, 1995 (Wide) by Miramax",PG-13 for strong adventure violence and some sensuality,99 minutes,vs. HighlanderCreate your own comparison chart…,"Non-Chronological, Action Adventure, 1500s, 1700s, 1980s",Original Screenplay,Action,Live Action,Fantasy,"Canada, France, United Kingdom",,,,Highlander,,"$13,738,574",,,,
8,https://www.the-numbers.com/movie/Miami-Rhapsody,[],"[['David Frankel', 'Director'], ['Mark Isham', 'Composer']]","$71,421 (1.4% of total gross)",4.80 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2 opening theaters/180 max. theaters, 5.9 weeks average run per theater","$10,722,738",,"January 27th, 1995 (Wide) by Walt Disney",PG-13 for sex-related plot material,,Create your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$5,086,578",,,,
9,https://www.the-numbers.com/movie/Living-Sea-The,[],"[['Greg MacGillivray', 'Director']]",,,100.0% (domestic box office/worldwide),,"$136,601,373",,"February 1st, 1995 (IMAX) by IMAX Films",Not Rated,40 minutes,vs. Space StationCreate your own comparison chart…,Short Film,Based on Real Life Events,Documentary,Live Action,Factual,United States,,English,,,,"$64,800,000",,,,
