,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Production/Financing Companies:,International Releases:,Franchise:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Bio-Dome,[],"[['Jason Bloom', 'Director']]","$6,018,203 (45.3% of total gross)",2.21 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,510 opening theaters/1,510 max. theaters, 4.1 weeks average run per theater","$27,582,113",,"January 12th, 1996 (Wide) by MGM","April 21st, 2015 by Olive","PG-13 for crude language, sex-related material and some drug content",88 minutes,vs. Billy MadisonCreate your own comparison chart…,"Prologue, Voiceover/Narration, Environment, Delayed Adulthood, Stoner Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,,,,"$13,294,762","$307,248","$307,248",,
1,https://www.the-numbers.com/movie/Dont-Be-a-Menace-to-South-Central-While-Drinking-Your-Juice-in-the-Hood,[],"[['Paris Barclay', 'Director'], ['Shawn Wayans', 'Screenwriter'], ['Marlon Wayans', 'Screenwriter'], ['Phil Beauman', 'Screenwriter']]","$9,632,409 (49.0% of total gross)",2.04 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,010 opening theaters/1,010 max. theaters, 4.9 weeks average run per theater","$40,818,559",,"January 12th, 1996 (Wide) by Miramax","November 25th, 2014 by Lionsgate Home Entertainment","R for strong language, sexuality, some drug content and violence.",89 minutes,vs. The Assassination of Jesse James by the Coward Robert FordCreate your own comparison chart…,"African Americans, Hood Film, Farcical / Slapstick Comedy, Spoof",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,,,"$19,674,813",,,,
2,https://www.the-numbers.com/movie/Dunston-Checks-In,[],"[['Ken Kwapis', 'Director']]","$4,015,116 (42.6% of total gross)",2.35 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,290 opening theaters/1,292 max. theaters, 4.2 weeks average run per theater","$19,541,875",,"January 12th, 1996 (Wide) by 20th Century Fox",,PG for some mild language and sensuality,88 minutes,vs. Mighty Morphin Power Rangers: The MovieCreate your own comparison chart…,Animal Lead,Original Screenplay,Adventure,Live Action,Kids Fiction,,English,,,,"$9,419,316",,,,
3,https://www.the-numbers.com/movie/Eye-for-an-Eye,[],"[['John Schlesinger', 'Director'], ['James Newton Howard', 'Composer']]","$7,929,086 (29.6% of total gross)",3.38 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,528 opening theaters/1,680 max. theaters, 5.7 weeks average run per theater","$55,585,752","$20,000,000 (worldwide box office is 1.3 times production budget)","January 12th, 1996 (Wide) by Paramount Pictures","October 10th, 2017 by Paramount Home Video",R for language and disturbing violence which includes rape,101 minutes,vs. The Weather ManCreate your own comparison chart…,"Revenge, Film Noir, Sex Crimes, Crime Thriller, Support Group, Death of a Sibling, Death of a Son or Daughter, Dysfunctional Family, Killing in Self Defence, Sexual Predator",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,,,,,"$26,792,700",,,,
4,https://www.the-numbers.com/movie/Two-if-by-Sea,[],"[['Bill Bennett', 'Director']]","$5,222,573 (49.8% of total gross)",2.01 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,712 opening theaters/1,796 max. theaters, 3.0 weeks average run per theater","$21,770,800",,"January 12th, 1996 (Wide) by Warner Bros.","March 21st, 2000 by Warner Home Video",R for language,96 minutes,vs. For Love or MoneyCreate your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,Morgan Creek Productions,,,"$10,493,670",,,,
5,https://www.the-numbers.com/movie/From-Dusk-Till-Dawn,"['Harvey Keitel', 'Quentin Tarantino', 'Juliette Lewis', 'Cheech Marin', 'Fred Williamson', 'Salma Hayek', 'Michael Parks', 'Tom Savini', 'John Saxon', 'Danny Trejo', 'Ernest Liu', 'George Clooney']","[['Robert Rodriguez', 'Director'], ['Quentin Tarantino', 'Screenwriter'], ['Robert Kurtzman', 'Story Creator'], ['Meir Teper', 'Producer'], ['Lawrence Bender', 'Executive Producer'], ['Robert Rodriguez', 'Executive Producer'], ['Quentin Tarantino', 'Executive Producer'], ['Cecilia Montiel', 'Production Designer'], ['Robert Rodriguez', 'Supervising Film Editor'], ['Graeme Revell', 'Composer'], ['Guillermo Navarro', 'Director of Photography']]","$10,240,805 (39.8% of total gross)",2.51 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,004 opening theaters/2,007 max. theaters, 4.1 weeks average run per theater","$53,378,854","$20,000,000 (worldwide box office is 1.3 times production budget)","January 19th, 1996 (Wide) by Miramax/Dimension",,"R for strong violence and gore, language and nudity.",108 minutes,vs. GhostbustersCreate your own comparison chart…,"Vampire, Surprise Twist, Same Actor, Multiple Roles, Action Horror",Original Screenplay,Horror,Live Action,Fantasy,United States,English,"A Band Apart, Los Hooligans","December 8th, 2016 (Wide) (New Zealand)
December 9th, 2016 (Limited), released as From Dusk Till Dawn (20th Anniversary) (Australia)
",,"$25,728,961",,,"$7,201","$25,736,162"
6,https://www.the-numbers.com/movie/Bed-of-Roses,"['Pamela Segall*', 'Christian Slater', 'Mary Stuart Masterson']","[['Michael Goldenberg', 'Director'], ['Michael Goldenberg', 'Screenwriter']]","$6,117,558 (32.2% of total gross)",3.10 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,545 opening theaters/1,575 max. theaters, 4.3 weeks average run per theater","$39,360,950",,"January 26th, 1996 (Wide) by New Line",,PG for mild language and thematic elements,87 minutes,vs. Bedtime StoriesCreate your own comparison chart…,"Romantic Drama, Romance, Dysfunctional Family, Foster Family, Abandoned Child, Adult Child Dealing with the Death of a Parent, Death of a Spouse or Fiancée / Fiancé, Death of a Son or Daughter, Depression, Secret Admirer",Original Screenplay,Drama,Live Action,Contemporary Fiction,,,,,,"$18,972,237",,,,
7,https://www.the-numbers.com/movie/Screamers,[],"[['Christian Duguay', 'Director'], ['Dan O’Bannon', 'Screenwriter'], ['Miguel Tejada-Flores', 'Screenwriter'], ['Philip K. Dick', 'Story Creator']]","$2,904,140 (50.9% of total gross)",1.96 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,560 opening theaters/1,560 max. theaters, 2.3 weeks average run per theater","$11,828,383",,"January 26th, 1996 (Wide) by Sony Pictures",,"R for sci-fi violence and terror, some language and a brief moment of nudity",108 minutes,vs. Bed of RosesCreate your own comparison chart…,"Action Horror, Robot, Set in Outer Space, Strike, Mining, Surprise Twist",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,,,,,,"$5,701,359",,,,
8,https://www.the-numbers.com/movie/Black-Sheep,"['Tim Matheson', 'Christine Ebersole', 'Gary Busey', 'Chris Farley', 'David Spade']","[['Penelope Spheeris', 'Director'], ['Lorne Michaels', 'Producer'], ['Fred Wolf', 'Screenwriter'], ['Robert K. Weiss', 'Executive Producer'], ['C.O. Erickson', 'Executive Producer'], ['Daryn Okada', 'Director of Photography'], ['Peter Jamison', 'Production Designer'], ['Ross Albert', 'Editor'], ['William Ross', 'Composer'], ['Jill Ohanneson', 'Costume Designer']]","$10,593,609 (32.8% of total gross)",3.05 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,045 opening theaters/2,092 max. theaters, 6.0 weeks average run per theater","$67,074,506",,"February 2nd, 1996 (Wide) by Paramount Pictures",,"PG-13 for crude language and humor, drug-related material and sexual innuendo",87 minutes,vs. Tommy BoyCreate your own comparison chart…,"Political Campaign, Buddy Comedy, Road Trip, Political, Dysfunctional Family",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"Paramount Pictures, Lorne Michaels",,,"$32,330,354",,,,
9,https://www.the-numbers.com/movie/Juror-The,[],"[['Brian Gibson', 'Director'], ['Ted Tally', 'Screenwriter'], ['James Newton Howard', 'Composer']]","$8,411,178 (37.0% of total gross)",2.70 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,205 opening theaters/2,205 max. theaters, 3.5 weeks average run per theater","$47,158,944","$44,000,000 (worldwide box office is 0.5 times production budget)","February 2nd, 1996 (Wide) by Sony Pictures",,"R for violence, language and sexuality",118 minutes,vs. Charlie St. CloudCreate your own comparison chart…,"Mafia, Crime Thriller, No Honor Among Thieves, Tricked into a Relationship, Relationships Gone Wrong, Single Parent, Erotic Thriller",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,United States,,,,,"$22,730,924",,,,
