,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Video Release:,Running Time:,Keywords:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Jackie-Chans-First-Strike,['Jackie Chan'],"[['Stanley Tong', 'Director'], ['J. Peter Robinson', 'Composer'], ['Nathan Wang', 'Composer']]","$5,778,933 (39.6% of total gross)",2.53 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,344 opening theaters/1,344 max. theaters, 3.7 weeks average run per theater","$29,171,503",,"January 10th, 1997 (Wide) by New Line, released as Jackie Chan's First Strike",PG-13 for plentiful action/violence,vs. Beverly Hills NinjaCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,,,,,,,,,"$14,601,662",,,,
1,https://www.the-numbers.com/movie/Relic-The,"['Penelope Ann Miller', 'Tom Sizemore', 'Linda Hunt', 'James Whitmore']","[['Peter Hyams', 'Director'], ['Gale Anne Hurd', 'Producer'], ['Sam Mercer', 'Producer'], ['Amy Jones', 'Screenwriter'], ['John Raffo', 'Screenwriter'], ['Rick Jaffa', 'Screenwriter'], ['Amanda Silver', 'Screenwriter'], ['Douglas Preston', 'Story based upon the novel by'], ['Lincoln Child', 'Story based upon the novel by'], ['Peter Hyams', 'Director of Photography'], ['Philip Harrison', 'Production Designer'], ['Steven Kemper', 'Editor'], ['John Debney', 'Composer'], ['Stan Winston', 'Creature Designer']]","$9,064,143 (26.7% of total gross)",3.75 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,095 opening theaters/2,128 max. theaters, 5.6 weeks average run per theater","$67,839,229","$60,000,000 (worldwide box office is 0.6 times production budget)","January 10th, 1997 (Wide) by Paramount Pictures","R for monster violence and gore, and for language",vs. The WretchedCreate your own comparison chart…,Based on Fiction Book/Short Story,Horror,Live Action,Science Fiction,"June 6th, 2000 by Lionsgate Home Entertainment",110 minutes,"Supernatural, Supernatural Horror","Paramount Pictures, Pacific Western",United States,English,,,"$33,956,608",,,,
2,https://www.the-numbers.com/movie/Turbulence,[],"[['Robert Butler', 'Director'], ['Jonathan Brett', 'Screenwriter']]","$4,464,008 (38.7% of total gross)",2.58 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,094 opening theaters/2,094 max. theaters, 3.5 weeks average run per theater","$23,040,414","$55,000,000 (worldwide box office is 0.2 times production budget)","January 10th, 1997 (Wide) by MGM","R for terror, strong violence and language",vs. Premium RushCreate your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"June 25th, 1997 by HBO Home Video",100 minutes,"Action Thriller, Serial Killer, In a Plane, Surprise Twist",,,English,,,"$11,532,774",,,,
3,https://www.the-numbers.com/movie/Beverly-Hills-Ninja,[],"[['Dennis Dugan', 'Director'], ['George S. Clinton', 'Composer']]","$12,220,920 (39.1% of total gross)",2.56 (domestic box office/biggest weekend),83.0% (domestic box office/worldwide),"2,112 opening theaters/2,112 max. theaters, 6.2 weeks average run per theater","$62,422,611",,"January 17th, 1997 (Wide) by Sony Pictures","PG-13 for sex related humor, martial arts violence and a humorous drug related scene",vs. Pet SemataryCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"February 24th, 1998 by Sony Pictures Home Entertainment",88 minutes,"Farcical / Slapstick Comedy, Abandoned Child, Adopted Family, Ninja, Martial Arts, Martial Arts Master, Mistaken Identity, Set in Japan, Set in California, White Collar Crime, False Identity, Death of a Sibling",,,,,,"$31,245,344","$6,393,685","$37,639,029",,
4,https://www.the-numbers.com/movie/Metro,[],[],"$11,411,107 (35.6% of total gross)",2.81 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,001 opening theaters/2,005 max. theaters, 5.2 weeks average run per theater","$63,966,032",,"January 17th, 1997 (Wide) by Walt Disney",R for strong violence and language,vs. Beverly Hills NinjaCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,"January 6th, 1998 by Walt Disney Home Entertainment",117 minutes,"Action Comedy, Heist, Hostage, Police Detective, Death of a Partner, Kidnap, Rescue",,United States,English,,,"$32,017,895",,,,
5,https://www.the-numbers.com/movie/Fierce-Creatures,[],"[['Robert Young', 'Director'], ['Fred Schepisi', 'Director'], ['John Cleese', 'Screenwriter'], ['Iain Johnstone', 'Screenwriter'], ['Jerry Goldsmith', 'Composer']]","$3,759,480 (40.6% of total gross)",2.46 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,593 opening theaters/1,620 max. theaters, 2.9 weeks average run per theater","$18,488,206",,"January 24th, 1997 (Wide) by Universal",PG-13 for sexual innuendo and language,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"January 27th, 1998 by Universal Home Entertainment",89 minutes,"Farcical / Slapstick Comedy, Delayed Sequel, Sequel With Returning Stars Playing New Characters",Jersey Films,,,A Fish Called Wanda,,"$9,254,184",,,,
6,https://www.the-numbers.com/movie/Kolya,"['Zdeněk Svěrák', 'Andrey Khalimon']","[['Jan Svěrák', 'Director'], ['Zdeněk Svěrák', 'Screenwriter']]","$37,795 (0.7% of total gross)",12.95 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"3 opening theaters/173 max. theaters, 11.0 weeks average run per theater","$11,527,928",,"January 24th, 1997 (Wide) by Miramax",PG-13 for some sensuality,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Historical Fiction,,111 minutes,"Comedy Drama, Marriage of Convenience, Green Card Marriage, Unexpected Families, Culture Clash, 1980s",,Czech Republic,,,,"$5,770,254",,,,
7,https://www.the-numbers.com/movie/Zeus-and-Roxanne,[],[],"$2,755,382 (38.4% of total gross)",2.61 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,745 opening theaters/1,745 max. theaters, 4.0 weeks average run per theater","$14,350,436",,"January 24th, 1997 (Wide) by MGM",PG for mild thematic elements,Create your own comparison chart…,Original Screenplay,Adventure,Live Action,Contemporary Fiction,,98 minutes,,,,English,,,"$7,183,046",,,,
8,https://www.the-numbers.com/movie/Gridlockd,"['Thandie Newton*', 'Tupac Shakur', 'Tim Roth']","[['Vondie Curtis-Hall', 'Director'], ['Vondie Curtis-Hall', 'Screenwriter']]","$2,678,372 (48.1% of total gross)",2.08 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"743 opening theaters/743 max. theaters, 2.4 weeks average run per theater","$11,135,709",,"January 29th, 1997 (Wide) by Gramercy","R for graphic drug use, pervasive strong language and brief nudity",Create your own comparison chart…,Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,,91 minutes,"Government Bureaucracy, Black Comedy, Posthumous Release",,,,,,"$5,573,929",,,,
9,https://www.the-numbers.com/movie/Beautician-and-the-Beast-The,[],"[['Ken Kwapis', 'Director']]","$4,080,222 (35.5% of total gross)",2.82 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,801 opening theaters/1,801 max. theaters, 4.5 weeks average run per theater","$22,948,732",,"February 7th, 1997 (Wide) by Paramount Pictures",PG for some mild language and sensuality,vs. Star Wars Ep. VIII: The Last JediCreate your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,Romance,,United States,English,,,"$11,486,880",,,,
10,https://www.the-numbers.com/movie/Dantes-Peak-(1997),"['Charles Hallahan', 'Grant Heslov', 'Elizabeth Hoffman', 'Pierce Brosnan', 'Linda Hamilton']","[['Roger Donaldson', 'Director'], ['Gale Anne Hurd', 'Producer'], ['Leslie Bohem', 'Screenwriter'], ['James Newton Howard', 'Composer'], ['John Frizzell', 'Composer'], ['Andrzej Bartkowiak', 'Cinematographer']]","$18,479,435 (27.5% of total gross)",3.63 (domestic box office/biggest weekend),37.7% (domestic box office/worldwide),"2,657 opening theaters/2,761 max. theaters, 7.4 weeks average run per theater","$134,181,382","$115,000,000 (worldwide box office is 1.5 times production budget)","February 7th, 1997 (Wide) by Universal",PG-13 for disaster related peril and gore.,vs. TwisterCreate your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"August 19th, 1997 by Universal Home Entertainment",109 minutes,"Disaster, Survival Thriller, 1990s, Prologue",,United States,English,,,"$67,163,857","$111,036,143","$178,200,000",,
11,https://www.the-numbers.com/movie/Dangerous-Ground,[],"[['Darrell Roodt', 'Director'], ['Greg Latter', 'Screenwriter'], ['Darrell Roodt', 'Screenwriter'], ['Ice Cube', 'Producer']]","$2,647,745 (51.9% of total gross)",1.93 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"808 opening theaters/808 max. theaters, 3.3 weeks average run per theater","$10,193,179",,"February 12th, 1997 (Wide) by New Line","R for strong violence, drug use and language, and for some nudity",Create your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,95 minutes,"Action Thriller, Prologue, 1980s, Funeral Reunions, You Can't Go Home Again, Missing Person, Dysfunctional Family, Narcotics, Addiction, Strippers / Stripping, No Honor Among Thieves, Money Troubles",,,,,,"$5,102,151",,,,
12,https://www.the-numbers.com/movie/Absolute-Power,"['Gene Hackman', 'Ed Harris', 'Clint Eastwood']","[['Clint Eastwood', 'Director'], ['Clint Eastwood', 'Producer'], ['William Goldman', 'Screenwriter'], ['Clint Eastwood', 'Composer'], ['David Baldacci', 'Story Creator'], ['Karen Spiegel', 'Producer'], ['Tom Rooker', 'Executive Producer'], ['Jack N. Green', 'Director of Photography'], ['Henry Bumstead', 'Production Designer'], ['Joel Cox', 'Editor'], ['Lennie Niehaus', 'Composer']]","$16,770,220 (33.5% of total gross)",2.99 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,568 opening theaters/2,568 max. theaters, 5.6 weeks average run per theater","$100,027,534","$50,000,000 (worldwide box office is 1.0 times production budget)","February 14th, 1997 (Wide) by Sony Pictures","R for violence, sexuality and language",vs. SavagesCreate your own comparison chart…,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"February 3rd, 1998 by Warner Home Video",121 minutes,"Political Thriller, Crime, Heist, Infidelity, Sex Crimes, Killing in Self Defence, Framed, Fugitive / On the Run, Faked Suicide","Castle Rock Entertainment, Malpaso Productions",United States,English,,,"$50,068,310",,,,
13,https://www.the-numbers.com/movie/Fools-Rush-In,[],"[['Andy Tennant', 'Director'], ['Alan Silvestri', 'Composer']]","$9,714,940 (33.2% of total gross)",3.02 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,674 opening theaters/1,701 max. theaters, 6.2 weeks average run per theater","$58,535,209",,"February 14th, 1997 (Wide) by Sony Pictures",PG-13 for sensuality and brief language,vs. The Forbidden KingdomCreate your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,Romance,,,,,,"$29,299,524",,,,
14,https://www.the-numbers.com/movie/That-Darn-Cat-(1997),"['George Dzundza', 'Peter Boyle', 'Michael McKean', 'Bess Armstrong', 'Christina Ricci', 'Doug E. Doug']","[['Bob Spiers', 'Director']]","$6,424,617 (35.1% of total gross)",2.85 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,891 opening theaters/1,891 max. theaters, 5.7 weeks average run per theater","$36,563,779",,"February 14th, 1997 (Wide) by Walt Disney",PG for mild thematic elements,vs. Jungle 2 JungleCreate your own comparison chart…,Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,,86 minutes,,,United States,English,,,"$18,301,828",,,,
15,https://www.the-numbers.com/movie/Vegas-Vacation,"['Wayne Newton', 'Wallace Shawn', 'Chevy Chase', ""Beverly D'Angelo"", 'Randy Quaid', 'Ethan Embry']","[['Stephen Kessler', 'Director'], ['Elisa Bell', 'Screenwriter'], ['Bob Ducsay', 'Story by'], ['Elisa Bell', 'Story by'], ['Jerry Weintraub', 'Producer'], ['Matty Simmons', 'Executive Producer'], ['Susan Ekins', 'Executive Producer'], ['David L Snyder', 'Production Designer'], ['Seth Flaum', 'Editor'], ['Joel McNeely', 'Composer'], ['William A. Fraker', 'Director of Photography']]","$12,837,927 (35.2% of total gross)",2.84 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,054 opening theaters/2,070 max. theaters, 6.5 weeks average run per theater","$72,861,473",,"February 14th, 1997 (Wide) by Warner Bros.","PG for sensuality, language and thematic elements",vs. Absolute PowerCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"May 21st, 2013 by Warner Home Video",93 minutes,"Family Vacations, Family Comedy, Sequel With Lead Character Recast, Set in Las Vegas, Delayed Sequel","Warner Bros., Jerry Weintraub",United States,English,National Lampoon's VacationNational Lampoon,,"$36,470,465",,,,
16,https://www.the-numbers.com/movie/Rosewood,[],"[['John Singleton', 'Director'], ['Gregory Poirier', 'Screenwriter'], ['John Williams', 'Composer']]","$3,154,075 (24.1% of total gross)",4.15 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"991 opening theaters/991 max. theaters, 4.5 weeks average run per theater","$26,180,433",,"February 21st, 1997 (Wide) by Warner Bros.",R for violence and some sexuality,vs. Lakeview TerraceCreate your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,,142 minutes,"Historical Drama, Returning Soldiers, African Americans, Romance, Set in Florida, 1920s, Infidelity, Domestic Abuse, Falsely Accused, Bigotry, Lynching",,United States,,,,"$13,104,494",,,,
17,https://www.the-numbers.com/movie/Booty-Call,[],"[['Jeff Pollack', 'Director'], ['Bootsie*', 'Screenwriter'], ['Takashi Bufford', 'Screenwriter']]","$6,429,364 (32.0% of total gross)",3.12 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,272 opening theaters/1,272 max. theaters, 4.4 weeks average run per theater","$40,090,112",,"February 26th, 1997 (Wide) by Sony Pictures","R for non-stop sexuality, including sex-related dialogue and crude humor, and for strong language",vs. BoomerangCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,79 minutes,"African Americans, Buddy Comedy, Relationships Gone Wrong, Romance",,,,,,"$20,066,917",,,,
18,https://www.the-numbers.com/movie/Donnie-Brasco,"['Al Pacino', 'Johnny Depp']","[['Mike Newell', 'Director'], ['Paul Attanasio', 'Screenwriter'], ['Joseph D. Pistone', 'Story Creator'], ['Richard Wooley', 'Story Creator'], ['Mark Johnson', 'Producer'], ['Barry Levinson', 'Producer'], ['Louis DiGiaimo', 'Producer'], ['Gail Mutrux', 'Producer'], ['Patrick McCormick', 'Executive Producer'], ['Alan Greenspan', 'Executive Producer'], ['Patrick Doyle', 'Composer'], ['Peter Sova', 'Director of Photography'], ['Jon Gregory', 'Editor'], ['Richard Baratta', 'Unit Production Manager']]","$11,660,216 (27.8% of total gross)",3.60 (domestic box office/biggest weekend),64.2% (domestic box office/worldwide),"1,503 opening theaters/1,593 max. theaters, 6.3 weeks average run per theater","$83,818,587","$35,000,000 (worldwide box office is 1.9 times production budget)","February 28th, 1997 (Wide) by Sony Pictures","R for some strong graphic violence, pervasive strong language, and for brief nudity and sexuality",vs. Donnie DarkoCreate your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,"January 20th, 1998 by Sony Pictures Home Entertainment",126 minutes,"Mafia, Undercover, Crime Drama, Biography",Mandalay Entertainment,United States,English,,,"$41,954,997","$23,348,055","$65,303,052",,
19,https://www.the-numbers.com/movie/Jungle-2-Jungle,[],"[['John Pasquin', 'Director']]","$12,812,047 (21.4% of total gross)",4.68 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,316 opening theaters/2,340 max. theaters, 9.1 weeks average run per theater","$119,719,494",,"March 7th, 1997 (Wide) by Walt Disney",PG for some mild violence and language,vs. Rocket ManCreate your own comparison chart…,Remake,Comedy,Live Action,Contemporary Fiction,,,"Country Mouse, City Mouse, Family Comedy, Unexpected Families, Relationships Gone Wrong, Dysfunctional Family, Workaholic, Culture Clash",,United States,,,,"$59,925,026",,,,
20,https://www.the-numbers.com/movie/Private-Parts,[],"[['Betty Thomas', 'Director']]","$14,616,333 (35.5% of total gross)",2.82 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,138 opening theaters/2,217 max. theaters, 5.1 weeks average run per theater","$82,306,527",,"March 7th, 1997 (Wide) by Paramount Pictures","R for strong language, nudity and crude sexual humor",vs. Pearl HarborCreate your own comparison chart…,Based on Real Life Events,Comedy,Live Action,Dramatization,"December 15th, 1998 by Warner Home Video",109 minutes,"Posthumous Release, Biography, Autobiographical, Comedy Drama, Radio Industry, TV Industry",,United States,English,,,"$41,198,146",,,,
