,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Video Release:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Firestorm,[],"[['Dean Semler', 'Director'], ['J. Peter Robinson', 'Composer']]","$3,849,308 (47.4% of total gross)",2.11 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$19,000,000 (worldwide box office is 0.4 times production budget)","2,037 opening theaters/2,057 max. theaters, 2.6 weeks average run per theater","$15,883,962","January 9th, 1998 (Wide) by 20th Century Fox",R for violence and language,89 minutes,vs. FallenCreate your own comparison chart…,"Action Thriller, Firefighter, Prison Break, Found Money, Set in Wyoming, False Identity, Disaster",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,,,,,"$8,123,860",,,,
1,https://www.the-numbers.com/movie/Fallen-(1998),['Denzel Washington'],"[['Charles Roven', 'Producer'], ['Dawn Steel', 'Producer'], ['Elon Dershowitz', 'Executive Producer'], ['Nicholas Kazan', 'Executive Producer'], ['Robert Cavallo', 'Executive Producer'], ['Ted Kurdyla', 'Executive Producer'], ['Kelley Smith-Wait', 'Co-Producer'], ['Gregory Hoblit', 'Director'], ['Nicholas Kazan', 'Screenwriter']]","$9,146,119 (36.1% of total gross)",2.77 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"2,448 opening theaters/2,448 max. theaters, 4.4 weeks average run per theater","$49,488,546","January 16th, 1998 (Wide) by Warner Bros.",R for violence and language,124 minutes,vs. Half BakedCreate your own comparison chart…,"Serial Killer, Film Noir, Crime Thriller, Supernatural, Possessed, Voiceover/Narration, Surprise Twist, Framed",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,,,,,"$25,310,938",,,,
2,https://www.the-numbers.com/movie/Half-Baked,"['Harland Williams', 'Gullermo Diaz', 'Clarence Williams, III', 'Dave Chappelle', 'Jim Breuer']","[['Tamra Davis', 'Director'], ['Dave Chappelle', 'Screenwriter'], ['Neal Brennan', 'Screenwriter'], ['Robert Simonds', 'Producer']]","$6,752,970 (38.8% of total gross)",2.58 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$8,000,000 (worldwide box office is 2.2 times production budget)","1,701 opening theaters/1,703 max. theaters, 4.1 weeks average run per theater","$34,010,879","January 16th, 1998 (Wide) by Universal","R for pervasive drug content, language, nudity and sexual material",84 minutes,vs. FridayCreate your own comparison chart…,"Stoner Comedy, Set in New York City, Set in New York, Narcotics, Prison, Drug Dealer, Organized Crime, Romance, Relationships Gone Wrong, Cult Movie",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"October 7th, 2006 by Universal Home Entertainment",Half Baked,"Universal Pictures, Robert Simonds Company",,"$17,394,881",,,,
3,https://www.the-numbers.com/movie/Hard-Rain,[],"[['Mikael Salomon', 'Director'], ['Graham Yost', 'Screenwriter'], ['Christopher Young', 'Composer']]","$7,076,110 (35.6% of total gross)",2.81 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$70,000,000 (worldwide box office is 0.3 times production budget)","2,107 opening theaters/2,132 max. theaters, 5.1 weeks average run per theater","$38,851,401","January 16th, 1998 (Wide) by Paramount Pictures",R for violence,96 minutes,vs. Red DawnCreate your own comparison chart…,"Disaster, Extreme Weather, Heist, Corrupt Cops, Gangs, Action Thriller, Sex Crimes, Surprise Twist",Original Screenplay,Action,Live Action,Contemporary Fiction,,,"June 6th, 1998 by Lionsgate Home Entertainment",,,,"$19,870,567",,,,
4,https://www.the-numbers.com/movie/Star-Kid,[],[],"$2,198,355 (31.3% of total gross)",3.19 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,041 opening theaters/1,053 max. theaters, 4.8 weeks average run per theater","$13,716,358","January 16th, 1998 (Wide) by Trimark",PG for fantasy combat violence and language,,vs. The Last StarfighterCreate your own comparison chart…,,Original Screenplay,Adventure,Live Action,Science Fiction,,,,,,,"$7,015,240",,,,
5,https://www.the-numbers.com/movie/Phantoms,[],"[['Joe Chappelle', 'Director'], ['Dean Koontz', 'Screenwriter'], ['Dean Koontz', 'Story Creator'], ['Harvey Weinstein', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer']]","$3,065,951 (53.3% of total gross)",1.88 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,859 opening theaters/1,859 max. theaters, 2.3 weeks average run per theater","$11,252,956","January 23rd, 1998 (Wide) by Miramax",R for sci-fi violence/gore and language,91 minutes,vs. HypnoticCreate your own comparison chart…,"Nature Horror, Shapeshifter, Novel or Other Work Adapted by Author, FBI, Research Scientist, Writing and Writers, Surprise Twist",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,United States,English,,,,,"$5,755,333",,,,
6,https://www.the-numbers.com/movie/Spice-World,['Roger Moore'],"[['Bob Spiers', 'Director'], ['Kim Fuller', 'Screenwriter']]","$10,527,222 (35.9% of total gross)",2.79 (domestic box office/biggest weekend),52.4% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 2.2 times production budget)","2,339 opening theaters/2,339 max. theaters, 5.3 weeks average run per theater","$57,371,335","January 23rd, 1998 (Wide) by Sony Pictures","PG for some vulgarity, brief nudity and language.",93 minutes,vs. The BorrowersCreate your own comparison chart…,"Musicians, Music Industry, Paparazzi, Epilogue, Voiceover/Narration, Scene in End Credits, Breaking the Fourth Wall, Gratuitous Cameos, Farcical / Slapstick Comedy",Based on Musical Group,Comedy,Live Action,Contemporary Fiction,United Kingdom,English,,,"Columbia Pictures, Spice Productions, Fragile Films, PolyGram Filmed Entertainment, Icon Entertainment International",,"$29,342,592","$26,700,000","$56,042,592",,
7,https://www.the-numbers.com/movie/Caught-Up,[],"[['Darin Scott', 'Director'], ['Darin Scott', 'Screenwriter']]",,2.79 (domestic box office/biggest weekend),99.9% (domestic box office/worldwide),,,"$13,207,450","January 30th, 1998 (Wide) by Live Film & Mediaworks","R for strong sexuality, violence and language.",97 minutes,Create your own comparison chart…,"Hood Film, Crime Drama, Crime, Life on the Outside, Going Legit, Psychics, Body in a Trunk, Undercover, Police Detective, Heist, No Honor Among Thieves, Death of a Girlfriend / Boyfriend, Doppelganger, Same Actor, Multiple Roles, Faked Death, Corrupt Cops, Revenge",Original Screenplay,Drama,Live Action,Contemporary Fiction,,,,,,,"$6,754,958","$7,703","$6,762,661",,
8,https://www.the-numbers.com/movie/Deep-Rising,[],"[['Stephen Sommers', 'Director'], ['Jerry Goldsmith', 'Composer'], ['Stephen Sommers', 'Screenwriter']]","$4,737,793 (42.3% of total gross)",2.36 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 0.2 times production budget)","1,758 opening theaters/1,788 max. theaters, 3.1 weeks average run per theater","$21,904,416","January 30th, 1998 (Wide) by Walt Disney",R for sci-fi violence and gore,106 minutes,vs. UnderwaterCreate your own comparison chart…,"Action Horror, Mercenaries, On a Boat, Surprise Twist, Cliffhanger Ending, Insurance Fraud, Cult Movie",Original Screenplay,Action,Live Action,Contemporary Fiction,"Canada, United States",English,"August 21st, 2018 by Kino Lorber",,"Hollywood Pictures, Walt Disney Pictures",,"$11,203,026",,,"$346,563","$346,563"
9,https://www.the-numbers.com/movie/Desperate-Measures-(1998),[],"[['Barbet Schroeder', 'Director']]","$5,833,412 (42.6% of total gross)",2.34 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,963 opening theaters/1,963 max. theaters, 3.5 weeks average run per theater","$26,744,085","January 30th, 1998 (Wide) by Sony Pictures",R for violence and language,100 minutes,vs. Spice WorldCreate your own comparison chart…,Action Thriller,Original Screenplay,Action,Live Action,Contemporary Fiction,,,,,,,"$13,678,274",,,,
