,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Video Release:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/At-First-Sight,[],"[['Irwin Winkler', 'Director'], ['Steve Levitt', 'Screenwriter'], ['Oliver Sacks', 'Story Creator'], ['Mark Isham', 'Composer']]","$8,444,321 (37.8% of total gross)",2.65 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 0.6 times production budget)","1,814 opening theaters/1,838 max. theaters, 5.0 weeks average run per theater","$40,371,704","January 15th, 1999 (Wide) by MGM","PG-13 for scenes involving sexuality and nudity, and for brief strong language",128 minutes,vs. Get Rich or Die Tryin'Create your own comparison chart…,"Romantic Drama, Romance, Relationships Gone Wrong, Blindness, Set in New York City, Set in New York",Based on Factual Book/Article,Drama,Live Action,Contemporary Fiction,,,,,,,"$22,365,133",,,,
1,https://www.the-numbers.com/movie/In-Dreams,"['Aidan Quinn', 'Stephen Rea', 'Robert Downey, Jr.', 'Paul Guilfoyle', 'Annette Bening']","[['Neil Jordan', 'Director'], ['Bruce Robinson', 'Screenwriter'], ['Neil Jordan', 'Screenwriter'], ['Stephen Woolley', 'Producer'], ['Redmond Morris', 'Co-Producer'], ['Bari Wood', 'Story Creator'], ['Darius Khondji', 'Director of Photography'], ['Nigel Phelps', 'Production Designer'], ['Tony Lawson', 'Editor'], ['Jeffrey Kurland', 'Costume Designer'], ['Elliot Goldenthal', 'Composer']]","$4,593,872 (38.2% of total gross)",2.62 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 0.4 times production budget)","1,670 opening theaters/1,682 max. theaters, 3.5 weeks average run per theater","$21,692,763","January 15th, 1999 (Wide) by Dreamworks SKG",R for violence/terror and language,100 minutes,vs. Dracula 2000Create your own comparison chart…,"Psychological Horror, Prophetic Dreams, Serial Killer, Child Abuse, Mental Illness, Mental Hospital, Unbelieving Police, Death of a Son or Daughter, Suicide Attempt, Drowning",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,Stephen Woolley,United States,English,,,,"$12,017,369",,,,
2,https://www.the-numbers.com/movie/Sixth-Sense-The,"['Olivia Williams', 'Donnie Wahlberg', 'Glenn Fitzgerald', 'Mischa Barton', 'Trevor Morgan', 'Bruce Norris', 'Bruce Willis', 'Haley Joel Osment']","[['Frank Marshall', 'Producer'], ['Kathleen Kennedy', 'Producer'], ['Barry Mendel', 'Producer'], ['Sam Mercer', 'Executive Producer'], ['M. Night Shyamalan', 'Director'], ['M. Night Shyamalan', 'Screenwriter']]","$26,681,262 (9.1% of total gross)",10.03 (domestic box office/biggest weekend),43.6% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 16.8 times production budget)","2,161 opening theaters/2,821 max. theaters, 18.3 weeks average run per theater","$528,036,147","August 6th, 1999 (Wide) by Walt Disney",PG-13 for intense thematic material and violent images.,108 minutes,vs. SignsCreate your own comparison chart…,"Supernatural, Surprise Twist, Psychological Thriller, 2000 Oscars Best Picture Nominee",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Hollywood Pictures, Spyglass Entertainment",United States,English,"January 15th, 1999 (Wide), released as O Sexto Sentido (Portugal)
","March 28th, 2000 by Walt Disney Home Entertainment",,"$293,506,292","$379,300,000","$672,806,292",,
3,https://www.the-numbers.com/movie/Varsity-Blues-(1999),"['James Van Der Beek', 'Jon Voight', 'Paul Walker', 'Ron Lester', 'Scott Caan', 'Ali Larter', 'Amy Smart', 'Eliel Swinton']","[['Brian Robbins', 'Director'], ['Mark Isham', 'Composer']]","$17,515,723 (33.1% of total gross)",3.02 (domestic box office/biggest weekend),97.4% (domestic box office/worldwide),"$16,000,000 (worldwide box office is 3.4 times production budget)","2,121 opening theaters/2,364 max. theaters, 7.1 weeks average run per theater","$95,480,213","January 15th, 1999 (Wide) by Paramount Pictures","R for strong language throughout, sexuality and nudity, and some substance abuse.",106 minutes,vs. Patch AdamsCreate your own comparison chart…,"Football, Sports Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Paramount Pictures, Marquee Entertainment, Tollin Productions, MTV Films",United States,English,,"May 31st, 1999 by Paramount Home Video",,"$52,894,169","$1,400,000","$54,294,169",,
4,https://www.the-numbers.com/movie/Virus,[],"[['John Bruno', 'Director'], ['Dennis Feldman', 'Screenwriter'], ['Chuck Pfarrer', 'Screenwriter'], ['Uncredited *', 'Screenwriter']]","$6,013,640 (42.9% of total gross)",2.33 (domestic box office/biggest weekend),45.7% (domestic box office/worldwide),"$75,000,000 (worldwide box office is 0.4 times production budget)","2,018 opening theaters/2,020 max. theaters, 3.8 weeks average run per theater","$25,290,943","January 15th, 1999 (Wide) by Universal","R for sci-fi violence/gore, and for language",99 minutes,vs. DreddCreate your own comparison chart…,"Dark Horse Comics, Action Horror, On a Boat, Extreme Weather, Alien Encounters, Cult Movie, Robot",Based on Comic/Graphic Novel,Action,Live Action,Science Fiction,,,,,"July 20th, 1999 by Universal Home Entertainment",,"$14,010,690","$16,616,000","$30,626,690",,
5,https://www.the-numbers.com/movie/Shes-All-That,"['Matthew Lillard', 'Paul Walker', ""Jodi Lyn O'Keefe"", 'Kevin Pollak', 'Usher', ""Lil' Kim"", 'Anna Paquin', 'Freddie Prinze, Jr.', 'Rachael Leigh Cook']","[['Robert Iscove', 'Director'], ['R Lee Fleming Jr', 'Screenwriter'], ['Peter Abrams', 'Producer'], ['Robert Levy', 'Producer'], ['Richard N. Gladstein', 'Producer'], ['Harvey Weinstein', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer'], ['Charles Breen', 'Production Designer'], ['Casey Rohrs', 'Editor'], ['Stewart Copeland', 'Composer'], ['Francis Kenny', 'Director of Photography']]","$16,065,430 (25.3% of total gross)",3.95 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 6.3 times production budget)","2,222 opening theaters/2,654 max. theaters, 7.7 weeks average run per theater","$114,562,754","January 29th, 1999 (Wide) by Miramax","PG-13 for sexual content, crude humor, brief strong language and teen drinking",95 minutes,vs. Never Been KissedCreate your own comparison chart…,"Romance, Tween, Ugly Duckling, Prom, Ensemble, Reality TV, Voiceover/Narration, Non-Chronological, Relationships Gone Wrong, Gambling, Performing Arts, Graduation",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Tapestry Films, FilmColony",United States,English,,"October 26th, 2006 by Miramax Video",,"$63,465,522",,,,
6,https://www.the-numbers.com/movie/Payback-(1999),[],"[['Brian Helgeland', 'Director']]","$21,221,526 (26.0% of total gross)",3.84 (domestic box office/biggest weekend),50.4% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 3.2 times production budget)","2,720 opening theaters/2,855 max. theaters, 7.7 weeks average run per theater","$147,164,277","February 5th, 1999 (Wide) by Paramount Pictures","R for strong violence, language, and drug and sexual content",101 minutes,vs. John WickCreate your own comparison chart…,"Revenge, Film Noir",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,United States,English,,"July 27th, 1999 by Paramount Home Video",,"$81,526,121","$80,100,000","$161,626,121",,
7,https://www.the-numbers.com/movie/Blast-from-the-Past,"['Brendan Fraser', 'Alicia Silverstone']","[['Hugh Wilson', 'Director'], ['Hugh Wilson', 'Screenwriter'], ['Bill Kelly', 'Screenwriter']]","$9,160,263 (34.4% of total gross)",2.91 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$35,000,000 (worldwide box office is 0.8 times production budget)","2,542 opening theaters/2,544 max. theaters, 5.0 weeks average run per theater","$48,040,722","February 12th, 1999 (Wide) by New Line","PG-13 for brief language, sex and drug references",112 minutes,vs. The Guilt TripCreate your own comparison chart…,"Romantic Comedy, Romance, 1960s, Cold War, Culture Clash",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,English,"July 8th, 1999 (Wide) (Australia)
June 30th, 2023 (Limited) (Australia)
","August 4th, 2015 by New Line Home Video",,"$26,613,620",,,"$156,612","$156,612"
8,https://www.the-numbers.com/movie/Message-in-a-Bottle-(1999),"['Paul Newman', 'John Savage', 'Illeana Douglas', 'Robbie Coltrane', 'Kevin Costner', 'Robin Wright']","[['Luis Mandoki', 'Director'], ['Denise Di Novi', 'Producer'], ['Jim Wilson', 'Producer'], ['Kevin Costner', 'Producer'], ['Gerald DiPego', 'Screenwriter'], ['Nicholas Sparks', 'Story based on the novel by'], ['Gabriel Yared', 'Composer'], ['Caleb Deschanel', 'Director of Photography'], ['Jeffrey Beecroft', 'Production Designer'], ['Steven Weisberg', 'Editor']]","$18,852,976 (35.7% of total gross)",2.80 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 1.8 times production budget)","2,538 opening theaters/2,545 max. theaters, 6.1 weeks average run per theater","$95,454,666","February 12th, 1999 (Wide) by Warner Bros.",PG-13 for a scene of sexuality.,126 minutes,vs. A Walk to RememberCreate your own comparison chart…,"Romance, Romantic Drama",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Warner Bros., Bel-Air Entertainment, Tig Productions, Di Novi Pictures",United States,English,,"August 3rd, 1999 by Warner Home Video",,"$52,880,016",,,,
9,https://www.the-numbers.com/movie/My-Favorite-Martian,"['Christopher Lloyd', 'Elizabeth Hurley', 'Daryl Hannah', 'Wallace Shawn', 'Christine Ebersole', 'Ray Walston', 'Jeff Daniels']","[['Donald Petrie', 'Director'], ['Robert Shapiro', 'Producer'], ['Jerry Leider', 'Producer'], ['Marc Toberoff', 'Producer'], ['Sherri Stoner', 'Screenwriter'], ['Deanna Oliver', 'Screenwriter'], ['John L Greene', ""Based on the Television Series 'My Favorite Martian' by""], ['Barry Bernardi', 'Executive Producer'], ['Thomas Ackerman', 'Director of Photography'], ['Sandy Veneziano', 'Production Designer'], ['Malcolm Campbell', 'Editor'], ['Alec Gillis', 'Special Effects-Animatronic Martian Effects'], ['Tom Woodruff, Jr.', 'Special Effects-Animatronic Martian Effects'], ['Hope Hanafin', 'Costume Designer'], ['John Debney', 'Composer'], ['Danny Elfman', 'Composer']]","$11,181,043 (30.3% of total gross)",3.30 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 0.6 times production budget)","2,275 opening theaters/2,349 max. theaters, 6.8 weeks average run per theater","$66,518,777","February 12th, 1999 (Wide) by Walt Disney","PG for some crude humor, action-violence, sensuality, partial nudity and language",94 minutes,vs. Galaxy QuestCreate your own comparison chart…,"Friendly Alien on Earth, Family Comedy, Investigative Journalist, Search for Extraterrestrial Life, Romance, TV Industry, TV News, News, Fired",Based on TV,Comedy,Live Action,Science Fiction,"Walt Disney Pictures, Jerry Leider Company, Robert Shapiro",United States,English,,,,"$36,850,101",,,,
