,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/My-Dog-Skip,[],"[['Jay Russell', 'Director']]","$56,943 (0.2% of total gross)",5.66 (domestic box office/biggest weekend),95.3% (domestic box office/worldwide),"$7,000,000 (worldwide box office is 5.1 times production budget)","5 opening theaters/2,331 max. theaters, 7.5 weeks average run per theater","$58,013,666","January 12th, 2000 (Limited) by Warner Bros.","July 11th, 2000 by Warner Home Video",PG for some violent content and mild language,95 minutes,vs. Dolphin Tale 2Create your own comparison chart…,"Coming of Age, Animal Lead, Family Drama, Non-Chronological, 1940s",Original Screenplay,Drama,Live Action,Kids Fiction,United States,English,,,,"$34,099,640","$1,695,679","$35,795,319",,
1,https://www.the-numbers.com/movie/Next-Friday,[],"[['Steve Carr', 'Director'], ['Ice Cube', 'Screenwriter'], ['Ice Cube', 'Producer'], ['Terence Blanchard', 'Composer']]","$16,918,226 (29.6% of total gross)",3.38 (domestic box office/biggest weekend),95.8% (domestic box office/worldwide),"$9,500,000 (worldwide box office is 6.3 times production budget)","1,103 opening theaters/2,012 max. theaters, 5.6 weeks average run per theater","$97,274,443","January 12th, 2000 (Wide) by New Line","August 29th, 2000 by New Line Home Video","R for strong language, drug use and sexual content.",,vs. Soul FoodCreate your own comparison chart…,"African Americans, Stoner Comedy, Revenge, Dysfunctional Family, Delayed Sequel, Narcotics, Money Troubles, Suburbs",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,Friday,,,"$57,176,582","$2,498,725","$59,675,307",,
2,https://www.the-numbers.com/movie/Supernova,"['Robert Forster', 'Lou Diamond Phillips', 'Peter Facinelli', 'Robin Tunney', 'Wilson Cruz', 'James Spader', 'Angela Bassett']","[['Francis Ford Coppola', 'Director'], ['Walter Hill', 'Director'], ['David Campbell Wilson', 'Screenwriter'], ['Ash R. Shah', 'Producer'], ['Daniel Chuba', 'Producer'], ['Jamie Dixon', 'Producer']]","$6,731,940 (47.3% of total gross)",2.11 (domestic box office/biggest weekend),96.0% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 0.2 times production budget)","2,280 opening theaters/2,280 max. theaters, 3.9 weeks average run per theater","$24,190,533","January 14th, 2000 (Wide) by MGM","February 8th, 2001 by MGM Video",PG-13 for sci-fi action violence and sensuality/nudity,90 minutes,vs. GamerCreate your own comparison chart…,"Psychological Thriller, Search and Rescue, Space Program, Relationships Gone Wrong, Domestic Abuse",Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,United States,English,,"Screenland Pictures, United Artists, Hammerhead Productions, Metro-Goldwyn-Mayer Pictures",,"$14,218,868","$597,626","$14,816,494",,
3,https://www.the-numbers.com/movie/Down-to-You,[],"[['Harvey Weinstein', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer']]","$7,602,507 (37.9% of total gross)",2.64 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$9,000,000 (worldwide box office is 2.2 times production budget)","1,971 opening theaters/2,005 max. theaters, 4.8 weeks average run per theater","$34,086,045","January 21st, 2000 (Wide) by Miramax",,"PG-13 for mature thematic material, sexual content, language, drug and alcohol use",,vs. Think Like a ManCreate your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,,,,"$20,035,310",,,,
4,https://www.the-numbers.com/movie/Eye-of-the-Beholder,[],"[['Stephan Elliott', 'Director'], ['Stephan Elliott', 'Screenwriter']]","$5,959,447 (36.1% of total gross)",2.77 (domestic box office/biggest weekend),90.4% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 1.2 times production budget)","1,751 opening theaters/2,351 max. theaters, 2.7 weeks average run per theater","$28,072,763","January 28th, 2000 (Wide) by Destination Films",,"R for some strong violence, sexuality, language and brief drug content",110 minutes,vs. Before I Go to SleepCreate your own comparison chart…,"Crime Thriller, Cop Falling in Love with Suspect, Serial Killer, Dysfunctional Family, Abandoned Child, Poverty, Death of a Spouse or Fiancée / Fiancé, Car Accident, FBI",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,,Village Roadshow Productions,,"$16,500,786","$1,760,079","$18,260,865",,
5,https://www.the-numbers.com/movie/Scream-3,"['Patrick Dempsey', 'Jenny McCarthy', 'Scott Foley', 'Lance Henriksen', 'Matt Keeslar', 'Emily Mortimer', 'Patrick Warburton', 'David Arquette', 'Neve Campbell', 'Courteney Cox', 'Parker Posey', 'Deon Richmond']","[['Wes Craven', 'Director'], ['Harvey Weinstein', 'Executive Producer'], ['Bob Weinstein', 'Executive Producer'], ['Marco Beltrami', 'Composer']]","$34,713,342 (38.9% of total gross)",2.57 (domestic box office/biggest weekend),55.1% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 4.0 times production budget)","3,467 opening theaters/3,467 max. theaters, 6.5 weeks average run per theater","$151,650,489","February 4th, 2000 (Wide) by Miramax","July 4th, 2000 by Dimension Home",R for strong horror violence and language,117 minutes,vs. ScreamCreate your own comparison chart…,"Dysfunctional Family, Sex Crimes, Gratuitous Cameos, Movie Business, Surprise Twist, Slasher Horror, Spoof, Prologue",Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,Scream,"Dimension Films, Konrad Pictures, Craven, Maddalena",,"$89,138,076","$72,700,000","$161,838,076",,
6,https://www.the-numbers.com/movie/Beach-The,"['Tilda Swinton', 'Virginie Ledoyen', 'Guillaume Canet', 'Robert Carlyle', 'Leonardo DiCaprio']","[['Danny Boyle', 'Director'], ['John Hodge', 'Screenwriter'], ['Alex Garland', 'Story Creator'], ['Andrew MacDonald', 'Producer'], ['Andrew McAlpine', 'Production Designer'], ['Mashahiro Hirakubo', 'Editor'], ['Angelo Badalamenti', 'Composer'], ['Darius Khondji', 'Cinematographer']]","$15,277,921 (38.4% of total gross)",2.60 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 0.8 times production budget)","2,547 opening theaters/2,587 max. theaters, 4.4 weeks average run per theater","$67,675,279","February 11th, 2000 (Wide) by 20th Century Fox",,"R for violence, some strong sexuality, language and drug content",,vs. The JudgeCreate your own comparison chart…,"Chase Adventure, Romance, Relationships Gone Wrong, Love Triangle, Set in Thailand, Narcotics",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,,,,,"$39,778,599",,,,
7,https://www.the-numbers.com/movie/Snow-Day,"['Chevy Chase', 'Chris Elliott', 'Mark Webber', 'Jean Smart']","[['Christopher Koch', 'Director']]","$14,331,819 (23.9% of total gross)",3.93 (domestic box office/biggest weekend),96.1% (domestic box office/worldwide),"$13,000,000 (worldwide box office is 4.8 times production budget)","2,664 opening theaters/2,717 max. theaters, 7.8 weeks average run per theater","$102,092,040","February 11th, 2000 (Wide) by Paramount Pictures",,PG for brief mild peril and language,89 minutes,vs. Fun Size Create your own comparison chart…,,Original Screenplay,Adventure,Live Action,Contemporary Fiction,United States,English,,,,"$60,008,303","$2,444,624","$62,452,927",,
8,https://www.the-numbers.com/movie/Tigger-Movie-The,['Jim Cummings'],"[['Jun Falkenstein', 'Director'], ['Harry Gregson-Williams', 'Composer']]","$9,427,532 (20.7% of total gross)",4.29 (domestic box office/biggest weekend),47.4% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 4.8 times production budget)","2,723 opening theaters/2,820 max. theaters, 6.9 weeks average run per theater","$77,481,255","February 11th, 2000 (Wide) by Walt Disney","August 22nd, 2000 by Walt Disney Home Entertainment, released as Tigger Movie, The",G,77 minutes,vs. Pooh's Heffalump MovieCreate your own comparison chart…,"Living Toys, Talking Animals, Animal Lead, Breaking the Fourth Wall, Voiceover/Narration, Intertitle",Spin-Off,Adventure,Hand Animation,Kids Fiction,United States,English,Winnie the Pooh,,,"$45,542,421","$50,605,267","$96,147,688",,
9,https://www.the-numbers.com/movie/Boiler-Room,"['Ben Affleck', 'Giovanni Ribisi', 'Vin Diesel', 'Nia Long', 'Nicky Katt', 'Scott Caan']","[['Ben Younger', 'Director'], ['Ben Younger', 'Screenwriter'], ['Suzanne Todd', 'Producer'], ['Jennifer Todd', 'Producer'], ['Claire Rudnick Polstein', 'Executive Producer'], ['Richard Brener', 'Executive Producer'], ['E. Bennett Walsh', 'Co-Producer'], ['Enrique Chediak', 'Director of Photography'], ['Anne Stuhler', 'Production Designer'], ['Chris Peppe', 'Editor'], ['Julia Caston', 'Costume Designer'], ['The Angel', 'Composer'], ['Dana Sano', 'Music Supervisor'], ['John Papsidera', 'Casting Director']]","$6,722,884 (39.6% of total gross)",2.52 (domestic box office/biggest weekend),59.0% (domestic box office/worldwide),"$9,000,000 (worldwide box office is 3.2 times production budget)","1,335 opening theaters/1,335 max. theaters, 3.9 weeks average run per theater","$28,860,759","February 18th, 2000 (Wide) by New Line","July 11th, 2000 by New Line Home Video",R for strong language and some drug content,120 minutes,vs. The Pursuit of HappynessCreate your own comparison chart…,"Crime Drama, White Collar Crime, 1990s, Dysfunctional Family, FBI",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,"New Line Cinema, Team Todd",,"$16,963,963","$11,809,674","$28,773,637",,
