,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Video Release:,Franchise:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Antitrust,[],"[['Peter Howitt', 'Director'], ['Howard Franklin', 'Screenwriter']]","$5,486,209 (50.0% of total gross)",2.00 (domestic box office/biggest weekend),61.4% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 0.6 times production budget)","2,433 opening theaters/2,433 max. theaters, 3.1 weeks average run per theater","$20,244,952","January 12th, 2001 (Wide) by MGM",PG-13 for some violence and brief language,109 minutes,vs. Double TakeCreate your own comparison chart…,"Techno-Thriller, Corporate Malfeasance",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,,,,,"$10,965,209","$6,900,000","$17,865,209",,
1,https://www.the-numbers.com/movie/Double-Take-(2001),"['Edward Herrmann', 'Gary Grubbs', 'Shawn Elliott', 'Brent Briscoe', 'Daniel Roebuck', 'Carlos Carrasco', 'Sterling Macer, Jr.', 'Garcelle Beauvais', 'Andrea Navedo', 'Benny Nieves', 'Orlando Jones', 'Eddie Griffin']","[['George Gallo', 'Director'], ['George Gallo', 'Screenwriter'], ['David Permut', 'Producer'], ['Brett Ratner', 'Producer'], ['Barry Bernardi', 'Executive Producer'], ['Michael Rotenberg', 'Executive Producer'], ['Frank Pesce', 'Co-Producer'], ['Steven A. Longi', 'Co-Producer']]","$11,736,236 (39.4% of total gross)",2.54 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$24,000,000 (worldwide box office is 1.2 times production budget)","1,631 opening theaters/1,631 max. theaters, 4.9 weeks average run per theater","$48,317,730","January 12th, 2001 (Wide) by Walt Disney",PG-13 for violence and language,88 minutes,vs. Patriots DayCreate your own comparison chart…,"Action Comedy, Confidence Men, White Collar Crime, Corporate Malfeasance, Organized Crime, C.I.A., Drug Cartels, FBI, Undercover, Fired, Rogue Agent, Surprise Twist, False Identity, Corrupt Cops",Remake,Action,Live Action,Contemporary Fiction,"Touchstone Pictures, Permut Presentations, Rat Entertainment",United States,English,,,,"$29,823,162",,,,
2,https://www.the-numbers.com/movie/Save-the-Last-Dance-(2001),[],"[['Mark Isham', 'Composer']]","$27,526,443 (30.2% of total gross)",3.31 (domestic box office/biggest weekend),74.5% (domestic box office/worldwide),"$13,000,000 (worldwide box office is 9.4 times production budget)","2,230 opening theaters/2,570 max. theaters, 8.7 weeks average run per theater","$147,494,874","January 12th, 2001 (Wide) by Paramount Pictures","PG-13 for violence, sexual content, language and brief drug references.",112 minutes,vs. Step UpCreate your own comparison chart…,"Performing Arts, Dancing, Sports Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,"June 19th, 2001 by Paramount Home VideoOctober 1st, 2003 by Paramount Home Entertainment",Save the Last Dance,,"$91,038,276","$31,206,053","$122,244,329",,
3,https://www.the-numbers.com/movie/Pledge-The,"['Benicio del Toro', 'Aaron Eckhart', 'Helen Mirren', 'Tom Noonan', 'Robin Wright', 'Vanessa Redgrave', 'Mickey Rourke', 'Sam Shepard', 'Lois Smith', 'Harry Dean Stanton', 'Jack Nicholson']","[['Sean Penn', 'Director'], ['Michael Fitzgerald', 'Producer'], ['Sean Penn', 'Producer'], ['Elie Samaha', 'Producer'], ['Jerzy Kromolowski', 'Screenwriter'], ['Mary Olson-Kromolowski', 'Screenwriter'], ['Bill Fergusonm', 'Screenwriter'], ['Friedrich Durrenmatt', 'Based on the book by'], ['Andrew Stevens', 'Executive Producer'], ['Chris Menges', 'Cinematographer'], ['Bill Groom', 'Production Designer'], ['Jay Cassidy', 'Editor'], ['Hans Zimmer', 'Composer'], ['Klaus Badelt', 'Composer'], ['Don Phillips', 'Casting Director']]","$5,765,347 (29.2% of total gross)",3.42 (domestic box office/biggest weekend),67.1% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 0.7 times production budget)","1,275 opening theaters/1,410 max. theaters, 4.7 weeks average run per theater","$31,949,069","January 19th, 2001 (Wide) by Warner Bros.",R for strong violence and language,124 minutes,vs. AbandonCreate your own comparison chart…,"Film Noir, Crime Thriller, Murdered Child, Police Detective, False Confession, Suicide, Car Accident, Romance, Relationships Gone Wrong, Epilogue",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,Franchise Pictures,United States,English,"June 19th, 2001 by Warner Home Video",,,"$19,719,930","$9,686,202","$29,406,132",,
4,https://www.the-numbers.com/movie/Rivieres-Pourpres-Les,[],"[['Mathieu Kassovitz', 'Director']]","$111,026 (17.6% of total gross)",5.70 (domestic box office/biggest weekend),1.1% (domestic box office/worldwide),,"47 opening theaters/47 max. theaters, 4.1 weeks average run per theater","$1,024,812","January 21st, 2001 (Wide) (Canada)
June 29th, 2001 (Limited) by Sony Pictures, released as The Crimson Rivers",R for violence/grisly images and language,,vs. The OthersCreate your own comparison chart…,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,France,,"October 16th, 2001 by Sony Pictures Home Entertainment, released as The Crimson Rivers",,"January 21st, 2001 (Wide) (Canada)
","$632,548","$59,500,000","$60,132,548",,
5,https://www.the-numbers.com/movie/Sugar-and-Spice,"['James Marsden', 'Marla Sokoloff', 'Marley Shelton', 'Melissa George', 'Mena Suvari', 'Rachel Blanchard']","[['Francine McDougall', 'Director'], ['Mandy Nelson', 'Screenwriter'], ['Wendy Finerman', 'Producer'], ['Mark Mothersbaugh', 'Composer']]","$5,891,176 (44.4% of total gross)",2.25 (domestic box office/biggest weekend),78.7% (domestic box office/worldwide),,"2,150 opening theaters/2,150 max. theaters, 3.0 weeks average run per theater","$21,510,537","January 26th, 2001 (Wide) by New Line","PG-13 for language, sex-related humor and some thematic elements",81 minutes,vs. Say It Isn't SoCreate your own comparison chart…,"Teenage Mom, Heist, Cheerleaders, Crime Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema, Wendy Fineman Productions",United States,English,,,,"$13,276,953","$3,603,846","$16,880,799",,
6,https://www.the-numbers.com/movie/Wedding-Planner-The,[],"[['Adam Shankman', 'Director']]","$13,510,293 (22.4% of total gross)",4.47 (domestic box office/biggest weekend),63.8% (domestic box office/worldwide),"$28,000,000 (worldwide box office is 3.4 times production budget)","2,785 opening theaters/2,785 max. theaters, 6.5 weeks average run per theater","$97,857,921","January 26th, 2001 (Wide) by Sony Pictures",PG-13 for language and some sexual humor,103 minutes,vs. SelenaCreate your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,,"July 3rd, 2001 by Sony Pictures Home Entertainment",,,"$60,400,856","$34,327,673","$94,728,529",,
7,https://www.the-numbers.com/movie/Amy-(2001),[],[],"$5,770 (73.2% of total gross)",1.37 (domestic box office/biggest weekend),0.1% (domestic box office/worldwide),,"4 opening theaters/4 max. theaters, 1.3 weeks average run per theater","$14,546","February 2nd, 2001 (Wide)","PG-13 for some domestic violence, disturbing images and brief language.",104 minutes,vs. It Might Get LoudCreate your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,,,,"July 8th, 2015 (Wide) (Belgium)
","$7,880","$6,475,545","$6,483,425",,
8,https://www.the-numbers.com/movie/Head-Over-Heels,[],"[['Mark Waters', 'Director']]","$4,804,595 (46.2% of total gross)",2.16 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$14,000,000 (worldwide box office is 0.7 times production budget)","2,338 opening theaters/2,385 max. theaters, 2.5 weeks average run per theater","$16,845,198","February 2nd, 2001 (Wide) by Universal","PG-13 for sexual content, crude humor and language",,vs. All About SteveCreate your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,,,,,"$10,397,365",,,,
9,https://www.the-numbers.com/movie/Valentine,[],"[['Jamie Blanks', 'Director'], ['Gretchen J. Berg', 'Screenwriter'], ['Aaron Harberts', 'Screenwriter'], ['Donna Powers', 'Screenwriter'], ['Wayne Powers', 'Screenwriter'], ['Bruce Berman', 'Executive Producer']]","$10,024,648 (49.2% of total gross)",2.03 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 2.0 times production budget)","2,310 opening theaters/2,310 max. theaters, 3.4 weeks average run per theater","$33,025,177","February 2nd, 2001 (Wide) by Warner Bros.","R for strong horror violence, some sexuality and language",96 minutes,vs. My Bloody ValentineCreate your own comparison chart…,"Slasher Horror, 1980s, Prologue, Framed, Sex Crimes, Surprise Twist, False Identity, Revenge",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,,United States,English,"June 24th, 2001 by Warner Home Video",,,"$20,384,136",,,,
