,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Production/Financing Companies:,Video Release:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Impostor,[],"[['Gary Fleder', 'Director'], ['Caroline Case', 'Screenwriter'], ['Ehren Kruger', 'Screenwriter'], ['David Twohy', 'Screenwriter'], ['Philip K. Dick', 'Story Creator'], ['Bob Weinstein', 'Co-Executive Producer'], ['Harvey Weinstein', 'Co-Executive Producer'], ['Mark Isham', 'Composer']]","$3,022,523 (49.4% of total gross)",2.02 (domestic box office/biggest weekend),76.7% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 0.2 times production budget)","1,870 opening theaters/1,870 max. theaters, 2.5 weeks average run per theater","$9,776,596","January 4th, 2002 (Wide) by Miramax","PG-13 for intense sci-fi violence, some sensuality and language (previously rated R)",102 minutes,vs. PushCreate your own comparison chart…,"Prologue, Alien Invasion, Voiceover/Narration, War, Young Child Dealing with the Death of a Parent, Intertitle, Political, Robot, Fugitive / On the Run, Surprise Twist, Doppelganger, Non-Chronological, Hitmen, Psychological Thriller",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction,United States,English,,,,,"$6,114,237","$1,860,370","$7,974,607",,
1,https://www.the-numbers.com/movie/Orange-County,"[""Catherine O'Hara"", 'Schuyler Fisk', 'John Lithgow', 'Lily Tomlin', 'Colin Hanks', 'Jack Black']","[['Jake Kasdan', 'Director'], ['Mike White', 'Screenwriter'], ['Scott Rudin', 'Producer'], ['Van Toffler', 'Producer'], ['David Gale', 'Producer'], ['Scott Aversano', 'Producer'], ['Herbert W. Gains', 'Executive Producer'], ['Adam Schroeder', 'Executive Producer'], ['Gary Frutkoff', 'Production Designer'], ['Tara Timpone', 'Editor'], ['Michael Andrews', 'Composer'], ['Greg Gardiner', 'Director of Photography']]","$15,053,226 (36.7% of total gross)",2.73 (domestic box office/biggest weekend),94.8% (domestic box office/worldwide),"$18,000,000 (worldwide box office is 2.4 times production budget)","2,317 opening theaters/2,317 max. theaters, 5.4 weeks average run per theater","$64,805,087","January 11th, 2002 (Wide) by Paramount Pictures","PG-13 for drug content, language and sexuality",83 minutes,vs. The Count of Monte CristoCreate your own comparison chart…,"Dysfunctional Family, Comedy Drama, Graduation, Set in California, Death of a Best Friend, Writing and Writers, Coming of Age",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,English,"August 29th, 2002 (Wide) (Australia)
March 31st, 2023 (Limited) (Australia)
","MTV Films, Scott Rudin Productions",,,"$41,059,716","$2,248,991","$43,308,707",,
2,https://www.the-numbers.com/movie/Snow-Dogs,"['James Coburn', 'Christopher Judge', 'Brian Doyle-Murray', 'James Belushi', 'Cuba Gooding, Jr.']","[['Brian Levant', 'Director'], ['John Debney', 'Composer']]","$17,814,259 (22.0% of total gross)",4.56 (domestic box office/biggest weekend),69.4% (domestic box office/worldwide),"$32,000,000 (worldwide box office is 3.7 times production budget)","2,302 opening theaters/2,454 max. theaters, 8.3 weeks average run per theater","$128,081,205","January 18th, 2002 (Wide) by Walt Disney",PG for mild crude humor,99 minutes,vs. PhenomenonCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,United States,English,,,"May 14th, 2002 by Buena Vista Home Entertainment",,"$81,150,692","$35,747,336","$116,898,028",,
3,https://www.the-numbers.com/movie/Count-of-Monte-Cristo-The-(2002),"['Guy Pearce', 'Richard Harris', 'James Frain', 'Dagmara Dominczyk', 'Luis Guzmán', 'Jim Caviezel*']","[['Kevin Reynolds', 'Director']]","$11,376,150 (21.0% of total gross)",4.77 (domestic box office/biggest weekend),71.9% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 1.9 times production budget)","2,007 opening theaters/2,211 max. theaters, 6.1 weeks average run per theater","$85,588,929","January 25th, 2002 (Wide) by Walt Disney",PG-13 for adventure violence/swordplay and some sensuality.,131 minutes,vs. Orange CountyCreate your own comparison chart…,"Revenge, Heroic Adventure, Pirates, Exile, 1800s, Relationships Gone Wrong, Prison, Cruel Wardens or Prison Guards, Escape, Prison Break, False Identity, Romance, Unexpected Families",Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,"Ireland, United Kingdom, United States",English,,Spyglass Entertainment,"September 10th, 2002 by Buena Vista Home Entertainment",,"$54,228,104","$21,160,986","$75,389,090",,
4,https://www.the-numbers.com/movie/Kung-Pow-Enter-the-Fist,[],"[['Steve Oedekerk', 'Director'], ['Steve Oedekerk', 'Screenwriter'], ['David Arnold', 'Composer']]","$7,017,474 (43.8% of total gross)",2.28 (domestic box office/biggest weekend),94.1% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 1.7 times production budget)","2,478 opening theaters/2,478 max. theaters, 3.0 weeks average run per theater","$25,305,972","January 25th, 2002 (Wide) by 20th Century Fox","PG-13 for comic violence, crude and sexual humor",81 minutes,vs. Orange CountyCreate your own comparison chart…,"Cut from Older Movies, Dubbed with New Dialogue, Martial Arts, Martial Arts Master, Farcical / Slapstick Comedy, Directing Yourself, Screenplay Written By the Star, Cult Movie",Original Screenplay,Comedy,Live Action,Contemporary Fiction,United States,,,,,,"$16,033,556","$1,000,000","$17,033,556",,
5,https://www.the-numbers.com/movie/Mothman-Prophecies-The,[],"[['Mark Pellington', 'Director']]","$11,208,851 (31.8% of total gross)",3.14 (domestic box office/biggest weekend),62.4% (domestic box office/worldwide),"$42,000,000 (worldwide box office is 1.3 times production budget)","2,331 opening theaters/2,331 max. theaters, 4.3 weeks average run per theater","$55,601,910","January 25th, 2002 (Wide) by Sony Pictures","PG-13 for terror, some sexuality and language",119 minutes,vs. The Conjuring 2: The Enfield PoltergeistCreate your own comparison chart…,"Based on an UNTRUE Story, Supernatural Horror, Supernatural, Set in West Virgina, Investigative Journalist, Death of a Spouse or Fiancée / Fiancé, Car Accident, Prophetic Dreams",Based on Fiction Book/Short Story,Horror,Live Action,Science Fiction,United States,,,,,,"$35,228,696","$21,209,859","$56,438,555",,
6,https://www.the-numbers.com/movie/Sons-Room-The,[],[],"$4,887 (0.5% of total gross)",16.02 (domestic box office/biggest weekend),8.7% (domestic box office/worldwide),,"1 opening theaters/26 max. theaters, 11.7 weeks average run per theater","$1,601,064","January 25th, 2002 (Wide) by Miramax",R for language and some sexuality,,Create your own comparison chart…,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,,,,,,"$1,014,416","$10,700,000","$11,714,416",,
7,https://www.the-numbers.com/movie/Walk-to-Remember-A,[],"[['Adam Shankman', 'Director'], ['Nicholas Sparks', 'Story Creator'], ['Bill Johnson', 'Executive Producer']]","$12,177,488 (29.5% of total gross)",3.39 (domestic box office/biggest weekend),89.5% (domestic box office/worldwide),"$11,000,000 (worldwide box office is 4.2 times production budget)","2,411 opening theaters/2,420 max. theaters, 5.3 weeks average run per theater","$65,069,229","January 25th, 2002 (Wide) by Warner Bros.","PG for thematic elements, language and some sensual material",101 minutes,vs. The NotebookCreate your own comparison chart…,"Coming of Age, Romantic Drama, Romance, Prank Gone Wrong, Terminal Illness, Cancer, 1990s",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,United States,English,"June 21st, 2002 (Wide) (South Korea)
",,"July 9th, 2002 by Warner Home Video",,"$41,227,069","$4,833,792","$46,060,861",,
8,https://www.the-numbers.com/movie/Birthday-Girl,[],"[['Jez Butterworth', 'Director'], ['Tom Butterworth', 'Screenwriter'], ['Jez Butterworth', 'Screenwriter']]","$2,370,809 (48.2% of total gross)",2.08 (domestic box office/biggest weekend),60.5% (domestic box office/worldwide),"$13,000,000 (worldwide box office is 0.6 times production budget)","1,000 opening theaters/1,000 max. theaters, 2.1 weeks average run per theater","$7,765,128","February 1st, 2002 (Wide) by Miramax",R for sexuality and language,93 minutes,vs. Two Can Play That GameCreate your own comparison chart…,"Confidence Men, Romance, Mail Order Bride, Life in a Small Town, Erotic Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,"English, Russian",,,"August 13th, 2002 by Miramax Video",,"$4,919,896","$3,210,831","$8,130,727",,
9,https://www.the-numbers.com/movie/Slackers,[],"[['Dewey Nicks', 'Director'], ['David H. Steinberg', 'Screenwriter']]","$2,785,283 (57.9% of total gross)",1.73 (domestic box office/biggest weekend),81.0% (domestic box office/worldwide),"$11,000,000 (worldwide box office is 0.5 times production budget)","1,893 opening theaters/1,893 max. theaters, 2.0 weeks average run per theater","$7,598,381","February 1st, 2002 (Wide) by Sony Pictures","R for strong language and sexual content, and for brief drug use.",87 minutes,"vs. The Goods: Live Hard, Sell HardCreate your own comparison chart…","Slackers, Situational Comedy, College, Romance, Relationships Gone Wrong, Cheating",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Canada, United States",English,,,"August 20th, 2002 by Sony Pictures Home Entertainment",,"$4,814,244","$1,127,974","$5,942,218",,
10,https://www.the-numbers.com/movie/Big-Fat-Liar,"['Amanda Detmer', 'Donald Faison', 'Lee Majors', 'Frankie Muniz', 'Paul Giamatti', 'Amanda Bynes']","[['Shawn Levy', 'Director'], ['Christophe Beck', 'Composer']]","$11,554,015 (24.2% of total gross)",4.14 (domestic box office/biggest weekend),91.1% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 3.5 times production budget)","2,531 opening theaters/2,534 max. theaters, 5.8 weeks average run per theater","$75,461,168","February 8th, 2002 (Wide) by Universal",PG for some language.,88 minutes,vs. Scooby-DooCreate your own comparison chart…,"Movie Business, Revenge, Summer School, Boss From Hell, Directing Yourself",Original Screenplay,Adventure,Live Action,Contemporary Fiction,United States,English,,,,Big Fat Liar,"$47,811,275","$4,649,742","$52,461,017",,
11,https://www.the-numbers.com/movie/Collateral-Damage,[],"[['Andrew Davis', 'Director'], ['Graeme Revell', 'Composer']]","$15,058,432 (37.6% of total gross)",2.66 (domestic box office/biggest weekend),51.1% (domestic box office/worldwide),"$85,000,000 (worldwide box office is 0.9 times production budget)","2,824 opening theaters/2,824 max. theaters, 4.2 weeks average run per theater","$63,208,810","February 8th, 2002 (Wide) by Warner Bros.",R for violence and some language,,vs. The ExpendablesCreate your own comparison chart…,"Terrorism, Revenge",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,"English, Spanish",,,,,"$40,048,332","$38,305,176","$78,353,508",,
12,https://www.the-numbers.com/movie/Rollerball,[],"[['John McTiernan', 'Director'], ['Larry Ferguson', 'Screenwriter'], ['John Pogue', 'Screenwriter']]","$9,013,548 (47.5% of total gross)",2.11 (domestic box office/biggest weekend),73.5% (domestic box office/worldwide),"$70,000,000 (worldwide box office is 0.4 times production budget)","2,762 opening theaters/2,762 max. theaters, 3.0 weeks average run per theater","$29,973,016","February 8th, 2002 (Wide) by MGM","PG-13 for violence, extreme sports action, sensuality, language and some drug references",98 minutes,vs. Aeon FluxCreate your own comparison chart…,"Fake Sports, Remake, Roller Skating, Sports Action, Dystopia, Near Future, 2000s, Yesterday's Tomorrow, Fugitive / On the Run, TV Industry, Death Sports",Remake,Action,Live Action,Science Fiction,"Germany, Japan, United States","Arabic, English, French, German, Japanese, Korean, Russian","March 7th, 2002 (Wide) (Australia)
",,"February 4th, 2003 by MGM Video",,"$18,990,542","$6,861,966","$25,852,508",,
13,https://www.the-numbers.com/movie/Crossroads-(2002),['Britney Spears'],[],"$14,527,187 (39.1% of total gross)",2.56 (domestic box office/biggest weekend),65.2% (domestic box office/worldwide),"$12,000,000 (worldwide box office is 4.8 times production budget)","2,380 opening theaters/2,381 max. theaters, 5.1 weeks average run per theater","$58,695,364","February 15th, 2002 (Wide) by Paramount Pictures",PG-13 for sexual content and brief teen drinking.,94 minutes,vs. The Croods: A New AgeCreate your own comparison chart…,"Road Trip, Tween, Teenage Mom, Family Affair, Coming of Age, Coming-of-Age Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,MTV Films,,,"$37,188,667","$19,811,333","$57,000,000",,
14,https://www.the-numbers.com/movie/Harts-War,"['Terrence Howard', 'Cole Hauser', 'Marcel Iures', 'Linus Roach', 'Colin Farrell', 'Bruce Willis']","[['Gregory Hoblit', 'Director'], ['Terry George', 'Screenwriter'], ['Billy Ray', 'Screenwriter'], ['Jeb Stuart', 'Screenwriter'], ['David Ladd', 'Producer'], ['David Foster', 'Producer'], ['Gregory Hoblit', 'Producer'], ['Arnold Rifkin', 'Producer'], ['Wolfgang Glattes', 'Executive Producer'], ['John Katzenbach', 'Story based on the novel by'], ['Alar Kivilo', 'Director of Photography'], ['Lilly Kilvert', 'Production Designer'], ['David Rosenbloom', 'Editor'], ['Elisabetta Beraldo', 'Costume Designer'], ['Rachel Portman', 'Composer']]","$7,771,753 (40.7% of total gross)",2.45 (domestic box office/biggest weekend),57.7% (domestic box office/worldwide),"$70,000,000 (worldwide box office is 0.5 times production budget)","2,459 opening theaters/2,459 max. theaters, 3.4 weeks average run per theater","$30,109,181","February 15th, 2002 (Wide) by MGM",R for some strong war violence and language,128 minutes,vs. BanditsCreate your own comparison chart…,"World War II, War, War Drama, POW, Bigotry, Prison Break, Court Martial",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,United States,"English, German",,"Metro-Goldwyn-Mayer Pictures, David Ladd Films, David Foster, Cheyenne Enterprises LLC","February 4th, 2003 by MGM Video",,"$19,076,815","$14,000,000","$33,076,815",,
