,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Running Time:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office
0,https://www.the-numbers.com/movie/Cidade-de-Deus,[],"[['Fernando Meirelles', 'Director'], ['Katia Lund', 'Director'], ['Braulio Mantovani', 'Screenwriter']]","$88,292 (1.2% of total gross)",17.14 (domestic box office/biggest weekend),23.6% (domestic box office/worldwide),"$3,300,000 (worldwide box office is 9.7 times production budget)","5 opening theaters/242 max. theaters, 8.7 weeks average run per theater","$11,379,732","January 17th, 2003 (Limited) by Miramax, released as City of God (International title)
","January 3rd, 2003 (Limited), released as City Of God (United Kingdom)
April 13th, 2023 (Limited), released as Cidade de Deus (Город Бога) (Russia (CIS))
","June 8th, 2004 by Miramax Video, released as City of God","R for strong brutal violence, sexuality, drug content and language.",City of God,vs. Maria Full of GraceCreate your own comparison chart…,"Film Noir, Hood Film, Crime Drama, Poverty, Prologue, Non-Chronological, 1960s, 1970s, No Honor Among Thieves, Drug Cartels, Organized Crime, Gangs, Set in Brazil",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,Brazil,Portuguese,,,"$7,563,397","$24,495,898","$32,059,295"
1,https://www.the-numbers.com/movie/Just-Married,[],"[['Shawn Levy', 'Director'], ['Christophe Beck', 'Composer'], ['Lauren Shuler Donner', 'Producer']]","$17,548,993 (31.3% of total gross)",3.20 (domestic box office/biggest weekend),55.3% (domestic box office/worldwide),"$19,000,000 (worldwide box office is 5.3 times production budget)","2,766 opening theaters/2,769 max. theaters, 5.4 weeks average run per theater","$85,354,241","January 10th, 2003 (Wide) by 20th Century Fox","March 21st, 2003 (Wide) (United Kingdom)
",,"PG-13 for sexual content, some crude humor and a brief drug reference",,vs. What's Your Number?Create your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,94 minutes,,"$56,127,162","$45,437,773","$101,564,935"
2,https://www.the-numbers.com/movie/Guy-Thing-A,[],"[['Mark Mothersbaugh', 'Composer']]","$6,988,749 (45.0% of total gross)",2.22 (domestic box office/biggest weekend),89.2% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 0.9 times production budget)","2,515 opening theaters/2,520 max. theaters, 3.2 weeks average run per theater","$23,638,004","January 17th, 2003 (Wide) by MGM","June 13th, 2003 (Wide) (United Kingdom)
",,"PG-13 for language, crude humor, some sexual content and drug references",,vs. Think Like a Man TooCreate your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,,101 minutes,,"$15,543,862","$1,886,732","$17,430,594"
3,https://www.the-numbers.com/movie/Kangaroo-Jack,"[""Jerry O'Connell"", 'Anthony Anderson', 'Estella Warren', 'Michael Shannon', 'Christopher Walken']","[['David McNally', 'Director'], ['Trevor Rabin', 'Composer']]","$16,580,209 (24.8% of total gross)",4.02 (domestic box office/biggest weekend),73.7% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 1.5 times production budget)","2,818 opening theaters/2,848 max. theaters, 7.3 weeks average run per theater","$101,467,967","January 17th, 2003 (Wide) by Warner Bros.","May 16th, 2003 (Wide) (United Kingdom)
",,"PG for language, crude humor, sensuality and violence",,vs. About SchmidtCreate your own comparison chart…,"Mafia, Animal Lead",Original Screenplay,Adventure,Live Action,Kids Fiction,"Australia, United States",English,89 minutes,,"$66,723,216","$23,835,366","$90,558,582"
4,https://www.the-numbers.com/movie/National-Security,[],"[['Dennis Dugan', 'Director'], ['Jeffrey Silver', 'Producer']]","$14,369,694 (39.6% of total gross)",2.53 (domestic box office/biggest weekend),66.5% (domestic box office/worldwide),,"2,729 opening theaters/2,848 max. theaters, 3.7 weeks average run per theater","$55,185,684","January 17th, 2003 (Wide) by Sony Pictures","March 21st, 2003 (Wide) (United Kingdom)
","May 27th, 2003 by Sony Pictures Home Entertainment","PG-13 for violence, language and some sensuality",,vs. Kangaroo JackCreate your own comparison chart…,"Action Comedy, Smuggler, Buddy Cop",Original Screenplay,Action,Live Action,Contemporary Fiction,United States,English,88 minutes,,"$36,288,951","$18,310,349","$54,599,300"
5,https://www.the-numbers.com/movie/Darkness-Falls,"['Chaney Kley', 'Emma Caulfield']","[['Brian Tyler', 'Composer']]","$12,024,917 (37.0% of total gross)",2.71 (domestic box office/biggest weekend),68.8% (domestic box office/worldwide),"$7,000,000 (worldwide box office is 6.8 times production budget)","2,837 opening theaters/2,865 max. theaters, 4.0 weeks average run per theater","$49,484,053","January 24th, 2003 (Wide) by Sony Pictures","May 9th, 2003 (Wide) (United Kingdom)
","April 22nd, 2003 by Lionsgate Home Entertainment","PG-13 for terror and horror images, and brief language.",,vs. How to Lose a Guy in 10 DaysCreate your own comparison chart…,"Supernatural, Supernatural Horror, 1800s, Revenge, Missing Child, Falsely Accused, Lynching, Young Child Dealing with the Death of a Parent, Mental Hospital, Mental Illness, Anxiety and Phobias",Original Screenplay,Horror,Live Action,Fantasy,"Australia, United States",English,86 minutes,"Village Roadshow Productions, Revolution Studios","$32,539,681","$14,750,077","$47,289,758"
6,https://www.the-numbers.com/movie/Whale-Rider,[],"[['Niki Caro', 'Director'], ['Niki Caro', 'Screenwriter']]","$137,418 (0.7% of total gross)",15.32 (domestic box office/biggest weekend),52.8% (domestic box office/worldwide),"$4,300,000 (worldwide box office is 9.2 times production budget)","9 opening theaters/556 max. theaters, 11.0 weeks average run per theater","$31,600,251","June 6th, 2003 (Limited) by Newmarket Films","January 30th, 2003 (Limited) (New Zealand)
July 11th, 2003 (Wide) (United Kingdom)
July 13th, 2023 (Limited) (New Zealand)
","October 28th, 2003 by Sony Pictures Home Entertainment",PG-13 for brief language and a momentary drug reference.,,vs. Hunt for the WilderpeopleCreate your own comparison chart…,"Coming-of-Age Drama, Coming of Age, Dysfunctional Family, Woman in a Male Dominated Profession, Sexism, Set in New Zealand, Maori, F-Rated",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,New Zealand,,101 minutes,,"$20,779,666","$18,594,934","$39,374,600"
7,https://www.the-numbers.com/movie/Biker-Boyz,"['Derek Luke', 'Orlando Jones', 'Djimon Hounsou', 'Lisa Bonet', 'Brendan Fehr', 'Larenz Tate', 'Kid Rock', 'Laurence Fishburne']","[['Reggie Rock Blythewood', 'Director'], ['Craig Fernandez', 'Screenwriter'], ['Reggie Rock Bythewood', 'Screenwriter']]","$10,106,992 (46.1% of total gross)",2.17 (domestic box office/biggest weekend),99.1% (domestic box office/worldwide),,"1,766 opening theaters/1,769 max. theaters, 3.7 weeks average run per theater","$33,316,196","January 31st, 2003 (Wide) by Dreamworks SKG","June 27th, 2003 (Wide) (United Kingdom)
","September 2nd, 2003 by Dreamworks Video","PG-13 for violence, sexual content and language",,Create your own comparison chart…,"Sports Action, Motorcycle Racing, Illegal Sports, Father’s Footsteps, Underdog",Based on Factual Book/Article,Action,Live Action,Contemporary Fiction,,English,111 minutes,DreamWorks Pictures,"$21,908,034","$197,276","$22,105,310"
8,https://www.the-numbers.com/movie/Final-Destination-2,"['Ali Larter', 'A.J. Cook', 'Michael Landes']","[['David R. Ellis', 'Director'], ['Eric Bress', 'Screenwriter'], ['J. Mackye Gruber', 'Screenwriter'], ['Jeffrey Reddick', 'Screenwriter'], ['Warren Zide', 'Producer'], ['Craig Perry', 'Producer'], ['Richard Brener', 'Executive Producer']]","$16,017,141 (34.2% of total gross)",2.93 (domestic box office/biggest weekend),51.9% (domestic box office/worldwide),"$26,000,000 (worldwide box office is 3.5 times production budget)","2,834 opening theaters/2,834 max. theaters, 4.6 weeks average run per theater","$71,317,144","January 31st, 2003 (Wide) by New Line","March 6th, 2003 (Wide) (Australia)
",,"R for strong violent/gruesome accidents, language, drug content and some nudity.",Final Destination,vs. Final DestinationCreate your own comparison chart…,Slasher Horror,Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,90 minutes,New Line Cinema,"$46,896,664","$43,500,000","$90,396,664"
9,https://www.the-numbers.com/movie/Guru-The,[],[],"$613,485 (20.1% of total gross)",4.97 (domestic box office/biggest weekend),12.6% (domestic box office/worldwide),"$11,000,000 (worldwide box office is 2.2 times production budget)","62 opening theaters/98 max. theaters, 7.4 weeks average run per theater","$4,640,075","January 31st, 2003 (Wide) by Universal",,"June 3rd, 2003 by Universal Home Entertainment","R for strong sexual content including dialogue, and for language",,vs. MotherhoodCreate your own comparison chart…,"Porn Business, Religious",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,English,,,"$3,051,221","$21,099,329","$24,150,550"
10,https://www.the-numbers.com/movie/Irreversible,"['Vincent Cassel', 'Albert Dupontel', 'Monica Bellucci']","[['Gaspar Noe', 'Director'], ['Christophe Rossignon', 'Producer']]","$60,086 (7.6% of total gross)",7.11 (domestic box office/biggest weekend),9.7% (domestic box office/worldwide),"$5,400,000 (worldwide box office is 1.5 times production budget)","7 opening theaters/35 max. theaters, 5.7 weeks average run per theater","$1,204,718","March 7th, 2003 (Limited) by Lionsgate","January 31st, 2003 (Limited) (United Kingdom)
September 11th, 2003 (Limited) (Germany)
February 12th, 2004 (Limited) (Australia)
December 3rd, 2020 (Limited), released as Irreversible Straight Cut (Germany)
","August 5th, 2003 by Lionsgate Home Entertainment",Not Rated,,vs. ElleCreate your own comparison chart…,,Original Screenplay,Drama,Live Action,Contemporary Fiction,France,"English, French, Italian, Spanish",97 minutes,,"$792,200","$7,341,056","$8,133,256"
11,https://www.the-numbers.com/movie/Recruit-The,[],"[['Roger Donaldson', 'Director'], ['Klaus Badelt', 'Composer']]","$16,302,063 (30.9% of total gross)",3.24 (domestic box office/biggest weekend),52.2% (domestic box office/worldwide),,"2,376 opening theaters/2,376 max. theaters, 5.5 weeks average run per theater","$80,271,246","January 31st, 2003 (Wide) by Walt Disney","March 21st, 2003 (Wide) (United Kingdom)
",,"PG-13 for violence, sexuality and language",,vs. Cradle 2 the GraveCreate your own comparison chart…,"Corrupt Cops, Action Thriller, Secret Agent, C.I.A., Romance, Relationships Gone Wrong, Double Agent, Internet, Father’s Footsteps, Young Child Dealing with the Death of a Parent",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,,,,"$52,784,696","$48,389,744","$101,174,440"
12,https://www.the-numbers.com/movie/Deliver-Us-From-Eva,"['Kym Whitley', 'Royale Watkins', 'Matt Winston', 'Ruben Paul Lucius', 'Dorian Gregory', 'LL Cool J', 'Gabrielle Union', 'Duane Martin', 'Essence Atkins', 'Robinne Lee', 'Meagan Good', 'Mel Jackson', 'Dartanyan Edmonds']","[['Gary Hardwick', 'Director'], ['James Iver Mattson', 'Screenwriter'], ['B.E. Brauner', 'Screenwriter'], ['Gary Hardwick', 'Screenwriter'], ['Len Amato', 'Producer'], ['Paddy Cullen', 'Producer'], ['Paula Weinstein', 'Executive Producer'], ['Barry Levinson', 'Executive Producer'], ['Rip Murray', 'Assistant Director']]","$6,648,374 (37.8% of total gross)",2.64 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,139 opening theaters/1,139 max. theaters, 3.9 weeks average run per theater","$26,724,681","February 7th, 2003 (Wide) by Focus Features",,"June 17th, 2003 by Universal Home Entertainment",R for sex-related dialogue,,Create your own comparison chart…,"Romance, Tricked into a Relationship",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,105 minutes,"Baltimore, Spring Creek Prod","$17,573,594",,
13,https://www.the-numbers.com/movie/How-to-Lose-a-Guy-in-10-Days,[],"[['Donald Petrie', 'Director'], ['David Newman', 'Composer']]","$23,774,850 (22.5% of total gross)",4.45 (domestic box office/biggest weekend),59.3% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 3.6 times production budget)","2,923 opening theaters/2,923 max. theaters, 8.0 weeks average run per theater","$160,904,633","February 7th, 2003 (Wide) by Paramount Pictures","April 18th, 2003 (Wide) (United Kingdom)
","July 1st, 2003 by Paramount Home Video",PG-13 for some sex-related material,,vs. Darkness FallsCreate your own comparison chart…,"Relationship Advice, Romance",Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,United States,,116 minutes,,"$105,807,520","$72,696,268","$178,503,788"
14,https://www.the-numbers.com/movie/Shanghai-Knights,[],"[['David Dobkin', 'Director']]","$19,603,630 (32.4% of total gross)",3.08 (domestic box office/biggest weekend),68.5% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 1.8 times production budget)","2,753 opening theaters/2,755 max. theaters, 5.8 weeks average run per theater","$91,958,851","February 7th, 2003 (Wide) by Walt Disney","April 4th, 2003 (Wide) (United Kingdom)
","July 15th, 2003 by Walt Disney Home Entertainment",PG-13 for action violence and sexual content.,Shanghai Noon,vs. Robin Hood: Prince of ThievesCreate your own comparison chart…,"Martial Arts, Culture Clash, 1880s, Underwater, Scotland Yard, Set in London, Set in England, Outtakes During Credits, Police Detective, Assassination, Fugitive / On the Run, Dream Sequence, Genre Mashup",Original Screenplay,Western,Live Action,Historical Fiction,United States,English,110 minutes,,"$60,470,220","$27,846,615","$88,316,835"
15,https://www.the-numbers.com/movie/Ocean-Wonderland,[],"[['Jean-Jacques Mantello', 'Director']]",,,,,,,"February 11th, 2003 (IMAX) by 3D Entertainment","February 14th, 2004 (IMAX), released as Ocean Wonderland 3D (Australia)
","June 7th, 2011 by Universal Home Entertainment",,,Create your own comparison chart…,"3-D, 3-D - Shot in 3-D, Short Film",Based on Real Life Events,Documentary,Live Action,Factual,France,English,41 minutes,,n/a,"$25,977,417","$25,977,417"
