,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,MPAA Rating:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Running Time:,Keywords:,Production Countries:,Languages:,International Releases:,Video Release:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Yves-St-Laurent,[],[],"$15,385 (15.8% of total gross)",5.03 (domestic box office/biggest weekend),1.2% (domestic box office/worldwide),"1 opening theaters/2 max. theaters, 6.0 weeks average run per theater","$143,364",,"January 7th, 2004 (Limited) by Empire Pictures",Not Rated,Create your own comparison chart…,Based on Real Life Events,Documentary,Live Action,Factual,,,,,,,,,"$97,092","$8,263,004","$8,360,096",,
1,https://www.the-numbers.com/movie/Chasing-Liberty,[],"[['Andy Cadiff', 'Director']]","$6,081,483 (49.9% of total gross)",2.00 (domestic box office/biggest weekend),99.2% (domestic box office/worldwide),"2,400 opening theaters/2,400 max. theaters, 2.7 weeks average run per theater","$17,999,646","$23,000,000 (worldwide box office is 0.5 times production budget)","January 9th, 2004 (Wide) by Warner Bros.",PG-13,vs. First DaughterCreate your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,111 minutes,"Cross-Class Romance, Romance, Tween","United Kingdom, United States","English, French, German, Hebrew, Italian, Spanish",,,,,"$12,189,514","$102,461","$12,291,975",,
2,https://www.the-numbers.com/movie/My-Babys-Daddy,[],"[['Cheryl Dunye', 'Director'], ['Eddie Griffin', 'Screenwriter'], [""Damon 'Coke' Daniels*"", 'Screenwriter'], ['Brent Goldberg', 'Screenwriter'], ['David Wagner', 'Screenwriter'], ['Bob Weinstein', 'Executive Producer']]","$7,548,819 (43.6% of total gross)",2.29 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,447 opening theaters/1,448 max. theaters, 3.7 weeks average run per theater","$25,577,909","$12,000,000 (worldwide box office is 1.4 times production budget)","January 9th, 2004 (Wide) by Miramax","PG-13 for sexual content, language and some drug references",vs. Big FishCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,86 minutes,"Buddy Comedy, Delayed Adulthood, Unexpected Families, Relationships Gone Wrong, Romance, LGBTQ+, Interracial Romance, Music Industry, Boxing, African Americans, Asian-Americans",United States,,,,,,"$17,321,573",$639,"$17,322,212",,
3,https://www.the-numbers.com/movie/Along-Came-Polly-(2004),"['Ben Stiller', 'Jennifer Aniston']","[['John Hamburg', 'Director'], ['John Hamburg', 'Screenwriter'], ['Danny DeVito', 'Producer'], ['Michael Shamberg', 'Producer'], ['Stacey Sher', 'Producer'], ['Jane Bartelme', 'Executive Producer'], ['Dan Levine', 'Executive Producer'], ['Theodore Shapiro', 'Composer']]","$27,721,185 (31.5% of total gross)",3.18 (domestic box office/biggest weekend),50.9% (domestic box office/worldwide),"2,984 opening theaters/3,052 max. theaters, 6.0 weeks average run per theater","$148,207,428","$42,000,000 (worldwide box office is 4.1 times production budget)","January 16th, 2004 (Wide) by Universal","PG-13 for sexual content, language, crude humor and some drug references.",vs. Teacher's Pet: The MovieCreate your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,90 minutes,Romance,United States,English,"January 22nd, 2004 (Wide) (Australia)
","June 8th, 2004 by Universal Home Entertainment",Jersey Films,,"$88,073,507","$84,970,903","$173,044,410",,
4,https://www.the-numbers.com/movie/Teachers-Pet-The-Movie,[],[],"$2,461,252 (37.9% of total gross)",2.64 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,027 opening theaters/2,027 max. theaters, 2.7 weeks average run per theater","$9,586,364","$10,000,000 (worldwide box office is 0.6 times production budget)","January 16th, 2004 (Wide) by Walt Disney",PG,vs. Along Came PollyCreate your own comparison chart…,Based on TV,Adventure,Hand Animation,Kids Fiction,74 minutes,,,English,,"June 15th, 2004 by Walt Disney Home Entertainment, released as Teacher's Pet",,,"$6,491,969",,,,
5,https://www.the-numbers.com/movie/Torque,"['Adam Scott', 'Matt Schulze', 'Jaime Pressly', 'Martin Henderson', 'Ice Cube', 'Monet Mazur', 'Jay Hernandez']","[['Joseph Kahn', 'Director'], ['Matt Johnson', 'Screenwriter'], ['Trevor Rabin', 'Composer'], ['Bruce Berman', 'Executive Producer']]","$9,970,557 (47.1% of total gross)",2.12 (domestic box office/biggest weekend),45.9% (domestic box office/worldwide),"2,463 opening theaters/2,463 max. theaters, 3.2 weeks average run per theater","$31,270,021","$40,000,000 (worldwide box office is 1.2 times production budget)","January 16th, 2004 (Wide) by Warner Bros.","PG-13 for violence, sexuality, language and drug references.",vs. Along Came PollyCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,84 minutes,"Action Thriller, Crime, Smuggler, Gangs, Gang Warfare, Motorcycle Gangs, Surprise Twist, Corrupt Cops, Car Chase, Narcotics, FBI, Falsely Accused",United States,English,"January 22nd, 2004 (Wide) (Australia)
","May 18th, 2004 by Warner Home Video",,,"$21,176,322","$25,000,000","$46,176,322",,
6,https://www.the-numbers.com/movie/Butterfly-Effect-The,"['Eric Stoltz', 'William Lee Scott', 'Elden Henson', 'Logan Lerman', 'Ethan Suplee', 'Melora Walters', 'Ashton Kutcher', 'Amy Smart']","[['Eric Bress', 'Director'], ['J. Mackye Gruber', 'Director'], ['Richard Brener', 'Executive Producer']]","$17,065,227 (29.5% of total gross)",3.39 (domestic box office/biggest weekend),60.6% (domestic box office/worldwide),"2,605 opening theaters/2,605 max. theaters, 5.6 weeks average run per theater","$85,534,505","$13,000,000 (worldwide box office is 7.4 times production budget)","January 23rd, 2004 (Wide) by New Line","R for violence, sexual content, language and brief drug use.",vs. Along Came PollyCreate your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,114 minutes,"Psychological Thriller, Faulty Memory, Time Travel, Surprise Twist, Child Abuse, Sex Crimes, Dysfunctional Family, Romance, Alternate or Altered Realities, Revenge, Prison, Pedophilia","Canada, United States",English,"March 11th, 2004 (Wide) (Australia)
","July 6th, 2004 by New Line Home Video, released as Butterfly Effect, The","Film Engine, Katalyst Films, Benderspink Productions",Butterfly Effect,"$57,924,679","$37,713,913","$95,638,592",,
7,https://www.the-numbers.com/movie/Win-a-Date-with-Tad-Hamilton,"['Sean Hayes', 'Nathan Lane', 'Kate Bosworth', 'Topher Grace', 'Josh Duhamel']","[['Robert Luketic', 'Director']]","$7,320,066 (43.1% of total gross)",2.32 (domestic box office/biggest weekend),96.5% (domestic box office/worldwide),"2,711 opening theaters/2,808 max. theaters, 2.9 weeks average run per theater","$25,073,669","$24,000,000 (worldwide box office is 0.7 times production budget)","January 23rd, 2004 (Wide) by Dreamworks SKG",PG-13,vs. Good Luck ChuckCreate your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,96 minutes,"Romance, Tween",United States,English,"April 8th, 2004 (Limited), released as Win a Date with Tad Hamilton (Australia)
",,,,"$16,980,098","$609,731","$17,589,829",,
8,https://www.the-numbers.com/movie/Big-Bounce-The,[],"[['George Armitage', 'Director'], ['Sebastian Gutierrez', 'Screenwriter'], ['Elmore Leonard', 'Story Creator'], ['George S. Clinton', 'Composer']]","$3,336,374 (51.6% of total gross)",1.94 (domestic box office/biggest weekend),97.7% (domestic box office/worldwide),"2,304 opening theaters/2,304 max. theaters, 2.2 weeks average run per theater","$9,555,984","$50,000,000 (worldwide box office is 0.1 times production budget)","January 30th, 2004 (Wide) by Warner Bros.","PG-13 for sexual content and nudity, violence and language",vs. Tyler Perry's A Madea ChristmasCreate your own comparison chart…,Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,88 minutes,"Crime Comedy, Heist, Remake, Remake with a Different Genre, Surfing, Infidelity, Corrupt Judge, No Honor Among Thieves, Framed",United States,English,"March 11th, 2004 (Limited) (Australia)
",,,,"$6,471,394","$154,721","$6,626,115",,
9,https://www.the-numbers.com/movie/Perfect-Score-The,"['Erika Christensen', 'Chris Evans', 'Scarlett Johansson', 'Darius Miles']","[['Brian Robbins', 'Director'], ['Mark Schwahn', 'Screenwriter'], ['Marc Hyman', 'Screenwriter'], ['Jon Zack', 'Screenwriter'], ['Marc Hyman', 'Story by'], ['Jon Zack', 'Story by'], ['Roger Birnbaum', 'Producer'], ['Jonathan Glickman', 'Producer'], ['Brian Robbins', 'Producer'], ['Mike Tollin', 'Producer'], ['Donald J. Lee, Jr', 'Executive Producer'], ['Jaymes Hinkle', 'Production Designer'], ['Ned Bastille', 'Editor'], ['John Murphy', 'Composer'], ['Clark Mathis', 'Director of Photography']]","$4,873,819 (46.9% of total gross)",2.13 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"2,208 opening theaters/2,208 max. theaters, 3.3 weeks average run per theater","$15,339,007",,"January 30th, 2004 (Wide) by Paramount Pictures",PG-13,vs. Funny GamesCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,93 minutes,"Heist, Cheating, Crime Comedy, Ensemble, Romance, Narcotics, High School, High School Sports",United States,English,,"June 29th, 2004 by Paramount Home Video","Roger Birnbaum, Tollin/Robbins",,"$10,387,706",,,,
