,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Racing-Stripes,"['David Spade', 'Steve Harvey', 'Snoop Dogg', 'Mandy Moore', 'Jeff Foxworthy', 'Joe Pantoliano', 'Dustin Hoffman', 'Whoopi Goldberg', 'Bruce Greenwood', 'Hayden Panettiere', 'M. Emmet Walsh', 'Wendie Malick', 'Michael Clarke Duncan', 'Joshua Jackson', 'Michael Rosenbaum', 'Fred Dalton Thompson', 'Frankie Muniz']","[['Mark Isham', 'Composer']]","$13,920,052 (28.0% of total gross)",3.58 (domestic box office/biggest weekend),55.4% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 3.0 times production budget)","3,185 opening theaters/3,185 max. theaters, 6.1 weeks average run per theater","$71,203,436","January 14th, 2005 (Wide) by Warner Bros.","January 7th, 2005 (Wide) (Australia)
","May 10th, 2005 by Warner Home Video",PG for mild crude humor and some language.,102 minutes,vs. Are We There Yet?Create your own comparison chart…,Talking Animals,Original Screenplay,Adventure,Animation/Live Action,Kids Fiction,United States,English,,,"$49,772,522","$40,036,911","$89,809,433",,,
1,https://www.the-numbers.com/movie/White-Noise-(2005),[],"[['Geoffrey Sax', 'Director']]","$24,113,565 (43.0% of total gross)",2.33 (domestic box office/biggest weekend),60.9% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 9.2 times production budget)","2,261 opening theaters/2,279 max. theaters, 4.8 weeks average run per theater","$80,247,312","January 7th, 2005 (Wide) by Universal","April 22nd, 2005 (Wide) (Australia)
","May 17th, 2005 by Universal Home Entertainment","PG-13 for violence, disturbing images and language.",101 minutes,vs. MonsterCreate your own comparison chart…,"Supernatural, Supernatural Horror",Original Screenplay,Horror,Live Action,Contemporary Fiction,"Canada, United Kingdom, United States",English,White Noise,Gold Circle Films,"$56,094,360","$36,000,000","$92,094,360",,,
2,https://www.the-numbers.com/movie/Coach-Carter-(2005),[],"[['Thomas Carter', 'Director'], ['Mark Schwahn', 'Screenwriter'], ['John Gatins', 'Screenwriter'], ['Ken Carter', 'Story Creator'], ['Brian Robbins', 'Producer'], ['Mike Tollin', 'Producer'], ['David Gale', 'Producer'], ['Van Toffler', 'Executive Producer'], ['Thomas Carter', 'Executive Producer'], ['Sharla Sumpter', 'Executive Producer'], ['Caitlin Scanlon', 'Executive Producer'], ['Carlos Barbosa', 'Production Designer'], ['Peter Berger', 'Editor'], ['Trevor Rabin', 'Composer'], ['Sharone Meir', 'Director of Photography']]","$24,182,960 (36.0% of total gross)",2.78 (domestic box office/biggest weekend),87.7% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 1.7 times production budget)","2,524 opening theaters/2,574 max. theaters, 6.0 weeks average run per theater","$96,227,596","January 14th, 2005 (Wide) by Paramount Pictures","May 27th, 2005 (Wide) (Australia)
","June 21st, 2005 by Paramount Home Video","PG-13 for violence, sexual content, language, teen partying and some drug material.",137 minutes,"vs. McFarland, USACreate your own comparison chart…","Basketball, Inspirational Coach, Epilogue, Inspired by a True Story, Hood Film, Biography, Sports Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,United States,English,,"MTV Films, Tollin/Robbins","$67,264,877","$9,400,630","$76,665,507",,,
3,https://www.the-numbers.com/movie/Elektra,['Jennifer Garner'],"[['Rob Bowman', 'Director'], ['Zak Penn', 'Screenwriter'], ['Stuart Zicherman', 'Screenwriter'], ['Raven Metzner', 'Screenwriter'], ['Arnon Milchan', 'Producer'], ['Gary Foster', 'Producer'], ['Avi Arad', 'Producer'], ['Kevin Feige', 'Co-Producer'], ['Josh McLaglen', 'Co-Producer'], ['Stan Lee', 'Executive Producer'], ['Mark Steven Johnson', 'Executive Producer'], ['Brent O’Connor', 'Executive Producer'], ['Bill Roe', 'Director of Photography'], ['Christophe Beck', 'Composer'], ['Graeme Murray', 'Production Designer'], ['Eric Norlin', 'Art Director'], ['Josh McLaglen', 'Assistant Director']]","$12,804,793 (52.5% of total gross)",1.91 (domestic box office/biggest weekend),43.0% (domestic box office/worldwide),"$65,000,000 (worldwide box office is 0.9 times production budget)","3,203 opening theaters/3,203 max. theaters, 2.9 weeks average run per theater","$34,919,984","January 14th, 2005 (Wide) by 20th Century Fox","January 14th, 2005 (Wide) (Australia)
","April 5th, 2005 by Fox Home Entertainment",PG-13 for action violence.,97 minutes,vs. Blade: TrinityCreate your own comparison chart…,"Marvel Comics, Visual Effects, Non-Chronological, Action Adventure, Hitmen, Hitman Falling In Love with their Target",Spin-Off,Action,Live Action,Super Hero,United States,English,,"Regency Enterprises, Twentieth Century Fox, Marvel Studios, New Regency, Horseshoe Bay","$24,409,722","$32,414,911","$56,824,633",,,
4,https://www.the-numbers.com/movie/Assault-On-Precinct-13,"['John Leguizamo', 'Maria Bello', 'Ja Rule', 'Drea de Matteo', 'Brian Dennehy', 'Gabriel Byrne', 'Ethan Hawke', 'Laurence Fishburne']","[['Jean-Francois Richet', 'Director'], ['James DeMonaco', 'Screenwriter'], ['Jeffrey Silver', 'Producer'], ['Don Carmody', 'Executive Producer'], ['Sebastien K. Lemercier', 'Executive Producer'], ['Joseph Kaufman', 'Executive Producer'], ['Graeme Revell', 'Composer']]","$6,502,724 (32.4% of total gross)",3.08 (domestic box office/biggest weekend),55.6% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 1.2 times production budget)","2,297 opening theaters/2,297 max. theaters, 3.0 weeks average run per theater","$28,670,042","January 19th, 2005 (Wide) by Focus/Rogue Pictures","April 1st, 2005 (Wide) (Australia)
","May 10th, 2005 by Universal Home Entertainment, released as Assault on Precinct 13June 27th, 2005 by Entertainment in Video, released as Assault on Precinct 13","R for strong violence and language throughout, and for some drug content.",109 minutes,vs. Kick-Ass 2Create your own comparison chart…,"Action Thriller, Remake, Crime Boss, Corrupt Cops, Siege, Surprise Twist",Remake,Action,Live Action,Contemporary Fiction,"France, United States",English,,"Rogue Pictures, Why Not Productions, Liaison Films","$20,040,895","$16,000,000","$36,040,895",,,
5,https://www.the-numbers.com/movie/Are-We-There-Yet,"['Nia Long', 'Jay Mohr', 'Tracy Morgan', 'Ice Cube', 'Aleisha Allen', 'Philip Bolden']","[['Brian Levant', 'Director'], ['David Newman', 'Composer'], ['J. David Stem', 'Screenwriter'], ['Ice Cube', 'Producer']]","$18,575,214 (22.5% of total gross)",4.45 (domestic box office/biggest weekend),84.3% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 4.9 times production budget)","2,709 opening theaters/2,810 max. theaters, 7.4 weeks average run per theater","$134,781,184","January 21st, 2005 (Wide) by Sony Pictures","March 11th, 2005 (Wide) (Australia)
","May 24th, 2005 by Sony Pictures Home Entertainment",PG for language and rude humor.,94 minutes,vs. Racing StripesCreate your own comparison chart…,"Road Trip, African Americans, Romance",Original Screenplay,Romantic Comedy,Live Action,Kids Fiction,United States,English,Are We There Yet?,Revolution Studios,"$82,674,398","$15,440,073","$98,114,471",,,
6,https://www.the-numbers.com/movie/Aliens-of-the-Deep,[],"[['James Cameron', 'Director'], ['Steven Quale', 'Director'], ['Andrew Wright', 'Producer'], ['James Cameron', 'Producer'], ['Ed W. Marsh', 'Creative Producer'], ['Vince Pace', 'Director of Photography'], ['Ralph Burris', 'Unit Production Manager'], ['Ellie Smith', 'First Assistant Director'], ['Christopher A. Debiec', 'Associate Producer'], ['Ed W. Marsh', 'Editor'], ['Fiona Wight', 'Editor'], ['Matt Kregor', 'Editor'], ['Jeehun Hwang', 'Composer']]","$479,368 (5.3% of total gross)",18.71 (domestic box office/biggest weekend),70.3% (domestic box office/worldwide),,"27 opening theaters/27 max. theaters, 47.9 weeks average run per theater","$12,771,582","January 28th, 2005 (IMAX) by Walt Disney","February 25th, 2005 (Wide), released as Aliens Of The Deep (Australia)
","November 5th, 2005 by Buena Vista Home Entertainment",G,47 minutes,vs. Ghosts of the AbyssCreate your own comparison chart…,"3-D, 3-D - Shot in 3-D",Based on Real Life Events,Documentary,Live Action,Factual,United States,English,,"Walden Media, Walt Disney Pictures, Earthship","$8,968,684","$3,797,000","$12,765,684",,,
7,https://www.the-numbers.com/movie/Alone-in-the-Dark-(2005),[],"[['Uwe Boll', 'Director'], ['Elan Mastai', 'Screenwriter'], ['Michael Roesch', 'Screenwriter'], ['Peter Scheerer', 'Screenwriter']]","$2,834,421 (54.7% of total gross)",1.83 (domestic box office/biggest weekend),48.9% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 0.5 times production budget)","2,124 opening theaters/2,124 max. theaters, 2.1 weeks average run per theater","$8,442,440","January 28th, 2005 (Wide) by Lionsgate",,,R for violence and language.,96 minutes,vs. GigliCreate your own comparison chart…,"Action Horror, Famously Bad, Paranormal Investigation, Nightmare",Based on Game,Horror,Live Action,Fantasy,,,,,"$5,178,569","$5,409,510","$10,588,079",,,
8,https://www.the-numbers.com/movie/Hide-and-Seek-(2005),"['Robert De Niro', 'Famke Janssen', 'Elisabeth Shue', 'Amy Irving', 'Dylan Baker', 'Melissa Leo', 'Dakota Fanning']","[['John Polson', 'Director'], ['Ari Schlossberg', 'Screenwriter'], ['Barry Josephson', 'Producer'], ['Joe Caracciolo, Jr.', 'Executive Producer'], ['Dana Robin', 'Co-Producer'], ['John Rogers', 'Co-Producer'], ['Jeffrey Ford', 'Editor']]","$21,959,233 (43.0% of total gross)",2.33 (domestic box office/biggest weekend),41.3% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 4.9 times production budget)","3,005 opening theaters/3,005 max. theaters, 4.3 weeks average run per theater","$73,103,185","January 28th, 2005 (Wide) by 20th Century Fox","February 11th, 2005 (Wide) (Australia)
","July 5th, 2005 by Fox Home Entertainment",R for frightening sequences and violence,100 minutes,vs. DaredevilCreate your own comparison chart…,"Surprise Twist, Psychological Horror, Multiple Personality, Mental Illness, Faked Suicide, Young Child Dealing with the Death of a Parent, Death of a Spouse or Fiancée / Fiancé, Infidelity",Original Screenplay,Horror,Live Action,Contemporary Fiction,United States,English,,Regency Enterprises,"$51,100,486","$72,596,255","$123,696,741",,,
9,https://www.the-numbers.com/movie/Sharks-3D,[],[],,,60.7% (domestic box office/worldwide),,,"$12,159,906","January 28th, 2005 (IMAX) by 3D Entertainment","May 6th, 2005 (Wide), released as Sharks 3d (Australia)
","June 7th, 2011 by Universal Home Entertainment",Not Rated,42 minutes,vs. Sea Rex 3D: Journey to a Prehistoric WorldCreate your own comparison chart…,"Short Film, 3-D, 3-D - Shot in 3-D",Based on Real Life Events,Documentary,Live Action,Factual,France,,,,"$8,500,000","$5,500,000","$14,000,000",,,
10,https://www.the-numbers.com/movie/Boogeyman,"['Emily Deschanel', 'Skye McCole Bartusiak', 'Lucy Lawless', 'Barry Watson']","[['Stephen Kay', 'Director']]","$19,020,655 (40.7% of total gross)",2.46 (domestic box office/biggest weekend),69.6% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 3.4 times production budget)","3,052 opening theaters/3,052 max. theaters, 4.0 weeks average run per theater","$66,882,890","February 4th, 2005 (Wide) by Sony Pictures","May 13th, 2005 (Wide) (Australia)
","May 31st, 2005 by Sony Pictures Home Entertainment","PG-13 for intense sequences of horror and terror/violence, and some partial nudity.",89 minutes,vs. The Grudge 2Create your own comparison chart…,"Supernatural Horror, Supernatural",Original Screenplay,Horror,Live Action,Contemporary Fiction,"New Zealand, United States",English,Boogeyman,Mandate Pictures,"$46,752,382","$20,440,477","$67,192,859",,,
