,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Total Est. Domestic Video Sales,Est. Domestic Blu-ray Sales
0,https://www.the-numbers.com/movie/BloodRayne,"['Ben Kingsley', 'Michelle Rodriguez', 'Matt Davis*', 'Geraldine Chaplin', 'Will Sanderson', 'Udo Kier', 'Billy Zane', 'Meat Loaf Addy*', 'Kristanna Loken', 'Michael Madsen']","[['Uwe Boll', 'Director'], ['Guinevere Turner', 'Screenwriter'], ['Daniel Clarke', 'Producer'], ['Shawn Williamson', 'Producer'], ['Uwe Boll', 'Producer'], ['Wolfgang Herold', 'Executive Producer'], ['James Steuart', 'Production Designer'], ['David Richardson', 'Editor'], ['Henning Lohner', 'Music Adapted By'], ['Mathias Neumann', 'Director of Photography'], ['Chris Kunzmann', 'Lead Makeup Effects Artist']]","$1,550,000 (64.4% of total gross)",1.55 (domestic box office/biggest weekend),64.8% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 0.1 times production budget)","985 opening theaters/985 max. theaters, 1.4 weeks average run per theater","$3,367,582","January 6th, 2006 (Wide) by Romar","May 23rd, 2006 by Uwe Boll Productions, released as Bloodrayne","R for strong bloody violence, some sexuality and nudity.",92 minutes,BloodRayne,vs. Conan the BarbarianCreate your own comparison chart…,Vampire,Based on Game,Action,Live Action,Fantasy,Romar/Boll KG Productions,"Romania, United Kingdom",English,,"$2,405,420","$1,306,213","$3,711,633","$11,261,569","$11,261,569",
1,https://www.the-numbers.com/movie/Grandmas-Boy,"['Linda Cardellini', 'Allen Covert', 'Peter Dante', 'Shirley Jones', 'Shirley Knight', 'Joel Moore', 'Kevin Nealon', 'Doris Roberts', 'Nick Swardson']","[['Nicholaus Goossen', 'Director'], ['Barry Wernick', 'Screenwriter'], ['Allen Covert', 'Screenwriter'], ['Nick Swardson', 'Screenwriter'], ['Allen Covert', 'Producer'], ['Adam Sandler', 'Executive Producer'], ['Jack Giarraputo', 'Executive Producer'], ['Glenn S. Gainor', 'Executive Producer'], ['Bill Todman, Jr.', 'Executive Producer'], ['Edward Milstein', 'Executive Producer'], ['Paul Schwake', 'Executive Producer'], ['Mark Irwin', 'Director of Photography'], ['Perry Andelin Blake', 'Production Designer'], ['Tom Costain', 'Editor'], ['Nick Swardson', 'Co-Producer'], ['Waddy Wachtel', 'Composer'], ['Maya Lieberman', 'Costume Designer']]","$3,009,341 (49.4% of total gross)",2.02 (domestic box office/biggest weekend),92.4% (domestic box office/worldwide),"$5,000,000 (worldwide box office is 1.3 times production budget)","2,016 opening theaters/2,016 max. theaters, 2.2 weeks average run per theater","$8,526,238","January 6th, 2006 (Wide) by 20th Century Fox","May 9th, 2006 by Fox Home Entertainment","R for drug use and language throughout, strong crude and sexual humor, and nudity.",96 minutes,,vs. The 40 Year-old VirginCreate your own comparison chart…,"Delayed Adulthood, Video Game, Stoner Comedy, Famously Bad, Romance, May / December Romance",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Twentieth Century Fox, Level 1 Entertainment, Happy Madison",United States,English,,"$6,090,172","$500,000","$6,590,172","$34,841,489","$34,841,489",
2,https://www.the-numbers.com/movie/Hostel-(2006),"['Eythor Gudjonsson', 'Barbara Nedeljakova', 'Rick Hoffman', 'Jay Hernandez', 'Derek Richardson']","[['Eli Roth', 'Producer'], ['Mike Fleiss', 'Producer'], ['Chris Briggs', 'Producer'], ['Quentin Tarantino', 'Executive Producer'], ['Boaz Yakin', 'Executive Producer'], ['Scott Spiegel', 'Executive Producer'], ['Dan Frisch', 'Co-Producer'], ['Philip Waley', 'Co-Producer'], ['Eli Roth', 'Director'], ['Eli Roth', 'Screenwriter']]","$19,556,099 (41.3% of total gross)",2.42 (domestic box office/biggest weekend),57.5% (domestic box office/worldwide),"$4,800,000 (worldwide box office is 17.1 times production budget)","2,195 opening theaters/2,337 max. theaters, 3.8 weeks average run per theater","$66,257,056","January 6th, 2006 (Wide) by Lionsgate","April 18th, 2006 by Sony Pictures Home Entertainment","R for brutal scenes of torture and violence, strong sexual content, language and drug use.",95 minutes,Hostel,vs. SawCreate your own comparison chart…,"Slasher Horror, Torture Porn",Original Screenplay,Horror,Live Action,Contemporary Fiction,"Screen Gems, Lionsgate, Quentin Tarantino, Next Entertainment, Raw Nerve",United States,English,,"$47,326,473","$34,914,637","$82,241,110","$23,882,146","$23,882,146",
3,https://www.the-numbers.com/movie/Glory-Road,"['Jon Voight', 'Josh Lucas']","[['Trevor Rabin', 'Composer']]","$13,594,734 (31.9% of total gross)",3.14 (domestic box office/biggest weekend),99.6% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 1.4 times production budget)","2,222 opening theaters/2,397 max. theaters, 5.1 weeks average run per theater","$59,706,420","January 13th, 2006 (Wide) by Walt Disney","June 6th, 2006 by Walt Disney Home Entertainment","PG for racial issues including violence and epithets, and mild language.",117 minutes,,"vs. McFarland, USACreate your own comparison chart…","Basketball, Inspirational Coach, Inspirational Sports, Inspired by a True Story, Sports Drama",Based on Real Life Events,Drama,Live Action,Dramatization,,United States,English,,"$42,647,449","$151,611","$42,799,060","$52,513,364","$52,513,364",
4,https://www.the-numbers.com/movie/Hoodwinked,"['Chazz Palminteri', 'Andy Dick', 'Anne Hathaway', 'Glenn Close', 'Jim Belushi*', 'Patrick Warburton', 'Anthony Anderson', 'David Ogden Stiers', 'Xzibit']",[],"$12,401,900 (24.1% of total gross)",4.14 (domestic box office/biggest weekend),46.8% (domestic box office/worldwide),"$17,500,000 (worldwide box office is 6.3 times production budget)","2,394 opening theaters/3,020 max. theaters, 5.4 weeks average run per theater","$71,941,254","December 16th, 2005 (Oscar Qualifying Run) by Weinstein Co.January 13th, 2006 (Wide) by Weinstein Co.","May 2nd, 2006 by Weinstein Co./Genius",PG for some mild action and thematic elements.,80 minutes,Hoodwinked,vs. Sausage PartyCreate your own comparison chart…,"Extreme Sports, Animal Lead, Talking Animals, Non-Chronological, Police Procedural",Based on Folk Tale/Legend/Fairytale,Adventure,Digital Animation,Kids Fiction,,United States,English,,"$51,386,611","$58,456,779","$109,843,390","$32,167,341","$32,167,341",
5,https://www.the-numbers.com/movie/Last-Holiday,[],"[['Wayne Wang', 'Director'], ['George Fenton', 'Composer']]","$12,806,188 (33.3% of total gross)",3.00 (domestic box office/biggest weekend),88.6% (domestic box office/worldwide),"$45,000,000 (worldwide box office is 1.0 times production budget)","2,514 opening theaters/2,514 max. theaters, 4.3 weeks average run per theater","$53,759,941","January 13th, 2006 (Wide) by Paramount Pictures","May 2nd, 2006 by Paramount Home Video",PG-13 for some sexual references,112 minutes,,vs. World Trade CenterCreate your own comparison chart…,"Epilogue, Terminal Illness, Comedy Drama, False Diagnosis",Remake,Comedy,Live Action,Contemporary Fiction,,United States,,,"$38,399,961","$4,943,286","$43,343,247","$31,134,478","$31,134,478",
6,https://www.the-numbers.com/movie/Tristan-and-Isolde,"['Rufus Sewell', 'James Franco', 'Sophia Myles']","[['Kevin Reynolds', 'Director'], ['Dean Georgaris', 'Screenwriter'], ['Lisa Ellzey', 'Producer'], ['Giannina Facio', 'Producer'], ['Moshe Diamant', 'Producer'], ['Elie Samaha', 'Producer'], ['Ridley Scott', 'Executive Producer'], ['Tony Scott', 'Executive Producer'], ['Jim Lemley', 'Executive Producer'], ['Frank Hübner', 'Executive Producer'], ['John Hardy', 'Executive Producer'], ['Matthew Stillman', 'Executive Producer'], ['Arthur Reinhart', 'Director of Photography'], ['Mark Geraghty', 'Production Designer'], ['Peter Boyle', 'Editor'], ['Maurizio Millenotti', 'Costume Designer'], ['Anne Lai', 'Co-Producer'], ['Jan Fantl', 'Co-Producer'], [""Morgan O'Sullivan"", 'Co-Producer'], ['James Flynn', 'Co-Producer'], ['Kate Dowd', 'Casting Director'], ['Anne Dudley', 'Composer']]","$6,583,135 (44.7% of total gross)",2.24 (domestic box office/biggest weekend),84.4% (domestic box office/worldwide),,"1,845 opening theaters/1,845 max. theaters, 2.8 weeks average run per theater","$20,628,484","January 13th, 2006 (Wide) by 20th Century Fox","April 25th, 2006 by Fox Home Entertainment, released as Tristan and Isolde",PG-13 for intense battle sequences and some sexuality.,125 minutes,,vs. Robin Hood: Prince of ThievesCreate your own comparison chart…,"Romantic Drama, Middle Ages, Prologue, Romance",Based on Folk Tale/Legend/Fairytale,Drama,Live Action,Historical Fiction,Twentieth Century Fox,United Kingdom,English,,"$14,734,633","$2,720,980","$17,455,613","$15,144,983","$15,144,983",
7,https://www.the-numbers.com/movie/Chaos-(2005-Action),[],"[['Tony Giglio', 'Director']]",,,,,,,,"February 19th, 2008 by Lionsgate Home EntertainmentMarch 24th, 2008 by Lionsgate Home Entertainment",R for violence and language.,106 minutes,,Create your own comparison chart…,Action Thriller,Original Screenplay,Action,Live Action,Contemporary Fiction,,"Canada, United Kingdom, United States",English,"January 18th, 2006 (Wide) (France)
",n/a,,,"$6,375,884","$6,375,884",
8,https://www.the-numbers.com/movie/End-of-the-Spear,[],"[['Jim Hanon', 'Director'], ['Bill Ewing', 'Screenwriter'], ['Bart Gavigan', 'Screenwriter'], ['Jim Hanon', 'Screenwriter']]","$4,281,388 (36.4% of total gross)",2.74 (domestic box office/biggest weekend),98.5% (domestic box office/worldwide),"$10,000,000 (worldwide box office is 1.2 times production budget)","1,162 opening theaters/1,163 max. theaters, 3.7 weeks average run per theater","$16,448,119","January 20th, 2006 (Wide) by M Power Releasing","June 13th, 2006 by Fox Home Entertainment",PG-13 for intense sequences of violence,111 minutes,,vs. The Secret Life of BeesCreate your own comparison chart…,"Religious, Biographical Drama, Biography, Christians, Missionary, 1950s",Original Screenplay,Drama,Live Action,Historical Fiction,,,,,"$11,748,661","$175,380","$11,924,041",,,
9,https://www.the-numbers.com/movie/Transamerica,[],"[['Duncan Tucker', 'Director'], ['Duncan Tucker', 'Screenwriter']]","$46,908 (0.5% of total gross)",6.21 (domestic box office/biggest weekend),54.5% (domestic box office/worldwide),"$1,000,000 (worldwide box office is 16.6 times production budget)","2 opening theaters/656 max. theaters, 4.4 weeks average run per theater","$12,621,423","December 2nd, 2005 (Oscar Qualifying Run) by Weinstein Co.January 20th, 2006 (Limited) by Weinstein Co.","May 23rd, 2006 by Weinstein Co./Genius","R for sexual content, nudity, language and drug use.",103 minutes,,vs. Raising Victor VargasCreate your own comparison chart…,"Comedy Drama, LGBTQ+, Road Trip, Dysfunctional Family, Suicide, Child Abuse, Sex Crimes, Young Child Dealing with the Death of a Parent, Prostitution, Porn Business, Jewish",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,,"$9,015,303","$7,537,860","$16,553,163","$3,951,906","$3,951,906",
