,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Languages:,Production/Financing Companies:,Production Countries:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic DVD Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales
0,https://www.the-numbers.com/movie/Code-Name-The-Cleaner,[],"[['Les Mayfield', 'Director'], ['Robert Adetuyi', 'Screenwriter'], ['George Gallo', 'Screenwriter'], ['Jay Stern', 'Producer'], ['Eric Rhone', 'Producer'], ['Brett Ratner', 'Producer'], ['Cedric the Entertainer', 'Producer'], ['Toby Emmerich', 'Executive Producer'], ['Mark Kaufman', 'Executive Producer'], ['Matt Moore', 'Executive Producer'], ['Anthony Rhulen', 'Executive Producer'], ['A.J. Dix', 'Executive Producer'], ['Bill Shively', 'Executive Producer'], ['Lucy Alexis Liu', 'Executive Producer'], ['George S. Clinton', 'Composer']]","$4,244,142 (52.2% of total gross)",1.92 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 0.4 times production budget)","1,736 opening theaters/1,736 max. theaters, 2.5 weeks average run per theater","$10,842,755","January 5th, 2007 (Wide) by New Line","April 24th, 2007 by New Line Home Video","PG-13 for sexual content, crude humor and some violence",91 minutes,vs. Grumpy Old MenCreate your own comparison chart…,"Secret Agent, Faulty Memory, Mistaken Identity, Action Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,English,,,,,"$8,135,024","$4,667,533","$4,667,533",,,
1,https://www.the-numbers.com/movie/Freedom-Writers,[],"[['Richard LaGravenese', 'Director'], ['Richard LaGravenese', 'Screenwriter'], ['Mark Isham', 'Composer']]","$9,405,582 (25.7% of total gross)",3.89 (domestic box office/biggest weekend),83.9% (domestic box office/worldwide),"$21,000,000 (worldwide box office is 2.1 times production budget)","1,360 opening theaters/2,286 max. theaters, 5.2 weeks average run per theater","$48,789,728","January 5th, 2007 (Wide) by Paramount Pictures","April 17th, 2007 by Paramount Home Video","PG-13 for violent content, some thematic material and language.",122 minutes,vs. My All-AmericanCreate your own comparison chart…,"Inspirational Teacher, Black Urban, Gangs, African Americans, Hood Film, Life Drama",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,English,"MTV Films, Double Feature Films, Jersey Films",United States,,,"$36,605,602","$22,189,658","$22,189,658","$7,027,007","$43,632,609",
2,https://www.the-numbers.com/movie/Happily-NEver-After,[],"[['Paul Bolger', 'Director'], ['Yvette Kaplan', 'Director'], ['Robert Moreland', 'Screenwriter'], ['John H. Williams', 'Producer'], ['Rainer Soehnlein', 'Executive Producer']]","$6,608,244 (41.7% of total gross)",2.40 (domestic box office/biggest weekend),41.8% (domestic box office/worldwide),"$47,000,000 (worldwide box office is 0.8 times production budget)","2,381 opening theaters/2,381 max. theaters, 3.4 weeks average run per theater","$21,124,360","January 5th, 2007 (Wide) by Lionsgate","May 1st, 2007 by Lionsgate Home Entertainment",PG for some mild action and rude humor.,87 minutes,vs. TMNTCreate your own comparison chart…,"Spoof, Good vs. Evil, Sword & Sorcerer",Original Screenplay,Adventure,Digital Animation,Kids Fiction,English,,"Germany, United States",Happily N'Ever After,,"$15,849,032","$16,810,140","$16,810,140","$22,074,786","$37,923,818",
3,https://www.the-numbers.com/movie/Alpha-Dog-(2007),"['Chris Marquette', 'Ben Foster', 'Shawn Hatosy', 'Emile Hirsch', 'Sharon Stone', 'Justin Timberlake', 'Anton Yelchin', 'Bruce Willis']","[['Nick Cassavetes', 'Director'], ['Nick Cassavetes', 'Screenwriter'], ['Aaron Zigman', 'Composer']]","$6,412,775 (41.9% of total gross)",2.39 (domestic box office/biggest weekend),47.1% (domestic box office/worldwide),,"1,289 opening theaters/1,292 max. theaters, 3.3 weeks average run per theater","$23,253,674","January 12th, 2007 (Wide) by Universal","May 1st, 2007 by Universal Home Entertainment","R for pervasive drug use and language, strong violence, sexuality and nudity.",117 minutes,vs. Super Dark TimesCreate your own comparison chart…,"Kidnap, Organized Crime, Crime Drama, 1990s, Death of a Sibling, Death of a Son or Daughter, Drug Dealer, Narcotics, Money Troubles",Based on Real Life Events,Drama,Live Action,Dramatization,English,,United States,,,"$15,309,602","$13,477,564","$13,477,564","$17,204,717","$32,514,319",
4,https://www.the-numbers.com/movie/Arthur-et-les-Minimoys,[],"[['Luc Besson', 'Director'], ['Luc Besson', 'Screenwriter'], ['Luc Besson', 'Producer'], ['Celine Garcia', 'Producer']]","$4,294,936 (28.4% of total gross)",3.52 (domestic box office/biggest weekend),13.4% (domestic box office/worldwide),"$80,000,000 (worldwide box office is 1.4 times production budget)","2,247 opening theaters/2,248 max. theaters, 4.4 weeks average run per theater","$20,169,681","December 15th, 2006 (Oscar Qualifying Run) by Weinstein Co., released as Arthur and the InvisiblesJanuary 12th, 2007 (Wide) by Weinstein Co., released as Arthur and the Invisibles","May 15th, 2007 by Weinstein Co./Genius, released as Arthur and the Invisibles",PG for fantasy action and brief suggestive material,94 minutes,vs. HugoCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,English,,France,Arthur and the Minimoys,,"$15,132,763","$13,212,260","$13,212,260","$98,192,980","$113,325,743",
5,https://www.the-numbers.com/movie/Primeval,"['Dominic Purcell', 'Orlando Jones', 'Brooke Langton', 'Jurgen Prochnow']","[['Michael Katleman', 'Director'], ['John Brancato', 'Screenwriter'], ['Michael Ferris', 'Screenwriter'], ['Gavin Polone', 'Producer'], ['Jamie Tarses', 'Executive Producer'], ['Mitch Engel', 'Executive Producer'], ['Edward J. Pei', 'Director of Photography'], ['John Frizzell', 'Composer']]","$6,048,315 (57.1% of total gross)",1.75 (domestic box office/biggest weekend),69.1% (domestic box office/worldwide),,"2,444 opening theaters/2,444 max. theaters, 2.3 weeks average run per theater","$14,125,175","January 12th, 2007 (Wide) by Walt Disney","June 12th, 2007 by Walt Disney Home Entertainment","R for strong graphic violence, brutality, terror and language",94 minutes,vs. Jurassic ParkCreate your own comparison chart…,"Nature Horror, Animals Gone Bad, Civil War, Set in Africa, Warlord",Based on Real Life Events,Horror,Live Action,Dramatization,English,"Hollywood Pictures, Pariah Productions",United States,,,"$10,597,734","$5,308,135","$5,308,135","$4,740,121","$15,337,855",
6,https://www.the-numbers.com/movie/Stomp-the-Yard,[],"[['Sylvain White', 'Director']]","$21,833,312 (35.6% of total gross)",2.81 (domestic box office/biggest weekend),81.2% (domestic box office/worldwide),"$14,000,000 (worldwide box office is 5.4 times production budget)","2,051 opening theaters/2,169 max. theaters, 5.5 weeks average run per theater","$81,778,564","January 12th, 2007 (Wide) by Sony Pictures","May 15th, 2007 by Sony Pictures Home Entertainment","PG-13 for a scene of violence, some sexual material and language.",116 minutes,vs. ValentineCreate your own comparison chart…,"Dancing, Coming of Age, Black Urban, African Americans, Sports Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,English,,United States,Stomp the Yard,,"$61,356,221","$33,570,591","$33,570,591","$14,169,497","$75,525,718",
7,https://www.the-numbers.com/movie/Hitcher-The-(2007),[],"[['Dave Meyers', 'Director'], ['Eric Bernt', 'Screenwriter'], ['Eric Red', 'Screenwriter'], ['Jake Wade Wall', 'Screenwriter']]","$7,818,239 (47.7% of total gross)",2.10 (domestic box office/biggest weekend),78.5% (domestic box office/worldwide),,"2,835 opening theaters/2,836 max. theaters, 2.8 weeks average run per theater","$21,831,505","January 19th, 2007 (Wide) by Focus Features","May 1st, 2007 by Universal Home Entertainment, released as Hitcher, The","R for strong bloody violence, terror and language.",84 minutes,vs. CountdownCreate your own comparison chart…,"Road Trip, Slasher Horror, Sex Crimes, Falsely Accused, Framed, Serial Killer, Remake, Familicide",Remake,Thriller/Suspense,Live Action,Contemporary Fiction,English,,United States,,,"$16,379,582","$9,276,450","$9,276,450","$4,476,064","$20,855,646",
8,https://www.the-numbers.com/movie/Blood-and-Chocolate,[],"[['Katja von Garnier', 'Director'], ['Ehren Kruger', 'Screenwriter'], ['Christopher Landon', 'Screenwriter'], ['Tom Rosenberg', 'Producer'], ['Gary Lucchesi', 'Producer'], ['Ehren Kruger', 'Executive Producer'], ['Robert Bernacchi', 'Executive Producer']]","$2,074,300 (58.8% of total gross)",1.70 (domestic box office/biggest weekend),53.8% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.4 times production budget)","1,200 opening theaters/1,200 max. theaters, 2.6 weeks average run per theater","$4,700,404","January 26th, 2007 (Wide) by MGM","June 12th, 2007 by Sony Pictures Home Entertainment","PG-13 for violence/terror, some sexuality and substance abuse.",98 minutes,Create your own comparison chart…,Werewolf,Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,"English, Romanian",Lakeshore Entertainment,,,,"$3,526,588","$8,688,484","$8,688,484","$3,024,722","$6,551,310",
9,https://www.the-numbers.com/movie/Catch-and-Release-(2007),"['Timothy Olyphant', 'Kevin Smith', 'Sam Jaeger', 'Fiona Shaw', 'Juliette Lewis', 'Jennifer Garner']","[['BT', 'Composer']]","$7,658,898 (49.6% of total gross)",2.01 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"1,622 opening theaters/1,622 max. theaters, 3.3 weeks average run per theater","$20,569,245","January 26th, 2007 (Wide) by Sony Pictures","May 8th, 2007 by Sony Pictures Home Entertainment","PG-13 for sexual content, language and some drug use.",111 minutes,vs. Ghost RiderCreate your own comparison chart…,"Romance, Death of a Spouse or Fiancée / Fiancé",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,English,Relativity Media,United States,,,"$15,432,542","$12,536,686","$12,536,686",,,
