,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Total Est. Domestic Video Sales,Est. Domestic Blu-ray Sales
0,https://www.the-numbers.com/movie/One-Missed-Call,[],"[['Eric Valette', 'Director'], ['Andrew Klavan', 'Screenwriter'], ['Minako Daira', 'Screenwriter']]","$12,511,473 (46.5% of total gross)",2.15 (domestic box office/biggest weekend),60.4% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 2.2 times production budget)","2,240 opening theaters/2,240 max. theaters, 3.6 weeks average run per theater","$34,342,851","January 4th, 2008 (Wide) by Warner Bros.","April 22nd, 2008 by Warner Home Video","PG-13 for intense sequences of violence and terror, frightening images, some sexual material and thematic elements",87 minutes,vs. Sinister 2Create your own comparison chart…,"Supernatural, Supernatural Horror, Remake, Foreign-Language Remake",Remake,Horror,Live Action,Contemporary Fiction,"Alcon Entertainment, Kadokawa Pictures, Equity Pictures Medienfonds GmbH and Co KG IV, Intermedia Films",United States,English,,,"$26,890,041","$17,623,425","$44,513,466","$14,677,017","$14,677,017",
1,https://www.the-numbers.com/movie/Bu-neng-shuo-de-mi-mi-(Hong-Kong),['Jay Chou'],[],,,,,,,,,,,Create your own comparison chart…,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,"Hong Kong, Taiwan, Province of China","English, Mandarin","January 10th, 2008 (Limited), released as Secret (South Korea)
",,n/a,"$6,645,631","$6,645,631",,,
2,https://www.the-numbers.com/movie/Woori-Saengae-Choigoeui-Soongan-(South-Korea)-(2008),[],[],,,,,,,,,,124 minutes,Create your own comparison chart…,Miscellaneous Sports,Based on Real Life Events,Drama,Live Action,Dramatization,,Republic of Korea,Korean,"January 10th, 2008 (Wide), released as Woo-ri Saeng-ae Choi-go-eui Soon-gan (South Korea)
",,n/a,"$25,377,585","$25,377,585",,,
3,https://www.the-numbers.com/movie/First-Sunday-(2008),[],"[['David E. Talbert', 'Director'], ['Ice Cube', 'Producer']]","$17,714,821 (46.7% of total gross)",2.14 (domestic box office/biggest weekend),97.7% (domestic box office/worldwide),,"2,213 opening theaters/2,213 max. theaters, 3.5 weeks average run per theater","$48,445,018","January 11th, 2008 (Wide) by Sony Pictures","May 6th, 2008 by Sony Pictures Home Entertainment","PG-13 for language, some sexual humor, and brief drug references.",96 minutes,vs. A Dog’s Way HomeCreate your own comparison chart…,"Crime Comedy, African Americans, Ensemble, Money Troubles, Confidence Men, Heist, Religious, Romance, Relationships Gone Wrong, Redemption",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Screen Gems, Cube Vision, Story Company, Firm Films",United States,English,,,"$37,931,869","$878,729","$38,810,598","$23,129,443","$23,129,443",
4,https://www.the-numbers.com/movie/In-the-Name-of-the-King-A-Dungeon-Siege-Tale,[],"[['Uwe Boll', 'Director']]","$2,984,524 (62.5% of total gross)",1.60 (domestic box office/biggest weekend),36.1% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 0.2 times production budget)","1,632 opening theaters/1,632 max. theaters, 1.8 weeks average run per theater","$6,099,270","January 11th, 2008 (Wide) by Freestyle Releasing","April 15th, 2008 by Fox Home Entertainment",PG-13 for intense battle sequences,127 minutes,vs. Drive AngryCreate your own comparison chart…,"Action Adventure, Famously Bad",Based on Game,Action,Live Action,Fantasy,"Boll KG Productions , Brightlight Pictures, Herold Productions","Germany, United Kingdom, United States",English,,In The Name of the King,"$4,775,656","$8,457,564","$13,233,220","$16,199,238","$16,199,238",
5,https://www.the-numbers.com/movie/Pirates-Who-Don-t-Do-Anything-A-VeggieTales-Movie-The,[],"[['Mike Nawrocki', 'Director']]","$4,251,320 (32.7% of total gross)",3.05 (domestic box office/biggest weekend),98.0% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.9 times production budget)","1,337 opening theaters/1,340 max. theaters, 4.6 weeks average run per theater","$16,579,140","January 11th, 2008 (Wide) by Universal","October 14th, 2008 by Universal Home Entertainment, released as Pirates Who Don't Do Anything: A VeggieTales Movie",G,85 minutes,vs. Fly Me To the MoonCreate your own comparison chart…,,Based on Short Film,Adventure,Digital Animation,Kids Fiction,"Universal Films, Big Idea ",United States,English,,VeggieTales,"$12,981,269","$267,175","$13,248,444","$5,556,506","$5,556,506",
6,https://www.the-numbers.com/movie/27-Dresses,"['Katherine Heigl', 'James Marsden', 'Malin Akerman', 'Judy Greer', 'Edward Burns']","[['Anne Fletcher', 'Director'], ['Aline Brosh McKenna', 'Screenwriter'], ['Roger Birnbaum', 'Producer'], ['Gary Barber', 'Producer'], ['Jonathan Glickman', 'Producer'], ['Bobby Newmyer', 'Executive Producer'], ['Peter James', 'Director of Photography'], ['Shepherd Frankel', 'Production Designer'], ['Priscilla Nedd Friendly', 'Editor'], ['Erin Stam', 'Co-Producer'], ['Catherine Marie Thomas', 'Costume Designer'], ['Buck Damon', 'Music Supervisor'], ['Randy Edelman', 'Composer']]","$23,007,725 (30.0% of total gross)",3.34 (domestic box office/biggest weekend),47.9% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 5.3 times production budget)","3,057 opening theaters/3,074 max. theaters, 5.8 weeks average run per theater","$111,789,753","January 13th, 2008 (Sneak Peek) by 20th Century FoxJanuary 18th, 2008 (Wide) by 20th Century Fox","April 29th, 2008 by Fox Home Entertainment","PG-13 for language, some innuendo and sexuality",111 minutes,vs. New Year’s EveCreate your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Spyglass Entertainment, Fox 2000 Pictures, Birnbaum/Barber",United States,English,"March 15th, 2023 (Limited) (Australia)
",,"$76,808,654","$83,439,151","$160,247,805","$46,249,590","$46,249,590",
7,https://www.the-numbers.com/movie/Cassandras-Dream,[],"[['Woody Allen', 'Director'], ['Philip Glass', 'Composer'], ['Woody Allen', 'Screenwriter']]","$361,901 (37.2% of total gross)",2.69 (domestic box office/biggest weekend),4.3% (domestic box office/worldwide),,"107 opening theaters/107 max. theaters, 3.2 weeks average run per theater","$1,242,691","January 18th, 2008 (Limited) by Weinstein Co.","May 27th, 2008 by Weinstein Co./Genius","PG-13 for thematic elements, some sexual material and brief violence.",,Create your own comparison chart…,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Wild Bunch, Iberville Productions","France, United Kingdom, United States",English,,,"$973,018","$21,505,120","$22,478,138",,,
8,https://www.the-numbers.com/movie/Cloverfield,"['Lizzy Caplan', 'Jessica Lucas', 'T.J. Miller', 'Michael Stahl-David', 'Mike Vogel', 'Odette Yustman']","[['Matt Reeves', 'Director'], ['Drew Goddard', 'Screenwriter'], ['J.J. Abrams', 'Producer'], ['Bryan Burk', 'Producer'], ['Guy Riedel', 'Executive Producer'], ['Sherryl Clark', 'Executive Producer'], ['Ellen Mirojnick', 'Costume Designer'], ['Kevin Stitt', 'Editor'], ['Martin Whist', 'Production Designer'], ['Michael Bonvillain', 'Director of Photography']]","$40,058,229 (50.0% of total gross)",2.00 (domestic box office/biggest weekend),46.7% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 6.9 times production budget)","3,411 opening theaters/3,411 max. theaters, 4.4 weeks average run per theater","$102,234,560","January 18th, 2008 (Wide) by Paramount Pictures","April 22nd, 2008 by Paramount Home Video","PG-13 for violence, terror and disturbing images",85 minutes,vs. 10 Cloverfield LaneCreate your own comparison chart…,"Monster, Found Footage, Parasite",Original Screenplay,Action,Live Action,Science Fiction,Bad Robot,United States,English,,Cloverfield,"$80,048,433","$91,253,793","$171,302,226","$29,459,274","$29,459,274",
9,https://www.the-numbers.com/movie/Mad-Money,"['Ted Danson', 'Stephen Root', 'Christopher McDonald', 'Adam Rothenberg', 'Roger Cross', 'Diane Keaton', 'Queen Latifah', 'Katie Holmes']","[['Callie Khouri', 'Director'], ['Glenn Gers', 'Screenwriter'], ['James Newton Howard', 'Composer']]","$7,736,452 (37.4% of total gross)",2.67 (domestic box office/biggest weekend),82.5% (domestic box office/worldwide),"$22,000,000 (worldwide box office is 1.1 times production budget)","2,470 opening theaters/2,470 max. theaters, 3.4 weeks average run per theater","$26,397,386","January 18th, 2008 (Wide) by Overture Films","May 13th, 2008 by Anchor Bay Home Entertainment","PG-13 for sexual material and language, and brief drug references",104 minutes,vs. SuperflyCreate your own comparison chart…,"Heist, Action Comedy, Non-Chronological, Fired, Money Troubles",Remake,Comedy,Live Action,Contemporary Fiction,"Overture Films, Millennium Films, Lightspeed Media Productions, Big City Pictures, Granada Productions, MMoney, Grand Army Entertainment",United States,English,,,"$20,668,843","$4,375,214","$25,044,057","$15,146,913","$15,146,913",
