,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Total Est. Domestic Video Sales,Est. Domestic Blu-ray Sales
0,https://www.the-numbers.com/movie/Bride-Wars,"['Kristen Johnston', 'Bryan Greenberg', 'Candice Bergen', 'Kate Hudson', 'Anne Hathaway']",[],"$21,058,173 (35.9% of total gross)",2.79 (domestic box office/biggest weekend),51.0% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 3.8 times production budget)","3,226 opening theaters/3,228 max. theaters, 4.4 weeks average run per theater","$71,789,500","January 9th, 2009 (Wide) by 20th Century Fox","April 28th, 2009 by Fox Home Entertainment","PG for suggestive content, language and some rude behavior",89 minutes,vs. Bridge to TerabithiaCreate your own comparison chart…,"Remade, Farcical / Slapstick Comedy, Friends turned Enemies, Wedding Planning, Wedding Day Disasters, Wedding Day, Prank Gone Wrong",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Fox 2000 Pictures, Regency Enterprises, New Regency, Birdie",United States,English,,,"$58,715,510","$56,434,914","$115,150,424","$32,859,883","$32,859,883",
1,https://www.the-numbers.com/movie/Not-Easily-Broken,"['Maeve Quinlan', 'Wood Harris', 'Morris Chestnut', 'Taraji P. Henson', 'Kevin Hart', 'Jennifer Lewis']","[['Bill Duke', 'Director'], ['Brian Bird', 'Screenwriter']]","$5,314,278 (50.3% of total gross)",1.99 (domestic box office/biggest weekend),98.5% (domestic box office/worldwide),"$5,000,000 (worldwide box office is 2.1 times production budget)","724 opening theaters/725 max. theaters, 3.3 weeks average run per theater","$12,926,931","January 9th, 2009 (Wide) by Sony Pictures","April 7th, 2009 by Sony Pictures Home Entertainment",PG-13 for sexual references and thematic elements,100 minutes,vs. The Players ClubCreate your own comparison chart…,"Romantic Drama, Romance, African Americans, Dysfunctional Family, Car Accident, Love Triangle, Death of a Son or Daughter",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$10,572,742","$160,167","$10,732,909","$15,667,305","$15,667,305",
2,https://www.the-numbers.com/movie/Unborn-The-(2009),"['Gary Oldman', 'Meagan Good', 'Cam Gigandet', 'James Remar', 'Jane Alexander', 'Idris Elba', 'Odette Yustman']","[['David S. Goyer', 'Director']]","$19,810,585 (46.4% of total gross)",2.15 (domestic box office/biggest weekend),54.6% (domestic box office/worldwide),"$16,000,000 (worldwide box office is 4.9 times production budget)","2,357 opening theaters/2,359 max. theaters, 3.8 weeks average run per theater","$52,171,688","January 9th, 2009 (Wide) by Universal","July 7th, 2009 by Universal Home Entertainment","PG-13 for intense sequences of violence and terror, disturbing images, thematic material and language including some sexual references",87 minutes,vs. The ConjuringCreate your own comparison chart…,"Possessed, Supernatural, Supernatural Horror, Twins, Death of a Sibling, Death of a Twin, Troubled Pregnancy or Miscarriage, Young Child Dealing with the Death of a Parent, Suicide, Nazis, Medical Crimes, Human Experimentation, Jewish, Exorcism",Original Screenplay,Horror,Live Action,Fantasy,"Rogue Pictures, Michael Bay, Platinum Dunes, Phantom Four",United States,English,,,"$42,670,410","$35,538,402","$78,208,812","$12,041,278","$12,041,278",
3,https://www.the-numbers.com/movie/Defiance,"['Liev Schreiber', 'Jamie Bell', 'Alexa Davalos', 'Allan Corduner', 'Mark Feuerstein', 'Tomas Arana', 'Kate Fahy', 'Jodhi May', 'Mia Wasikowska', 'Daniel Craig']","[['Edward Zwick', 'Director'], ['Clayton Frohman', 'Screenwriter'], ['Edward Zwick', 'Screenwriter'], ['Nachama Tec', 'Based on the book ""Defiance""'], ['Edward Zwick', 'Producer'], ['Pieter Jan Brugge', 'Producer'], ['Marshall Herskovitz', 'Executive Producer'], ['Clayton Frohman', 'Co-Producer'], ['Roland Tec', 'Co-Producer']]","$123,513 (0.4% of total gross)",3.21 (domestic box office/biggest weekend),54.1% (domestic box office/worldwide),"$50,000,000 (worldwide box office is 1.1 times production budget)","2 opening theaters/1,793 max. theaters, 4.6 weeks average run per theater","$34,777,775","December 31st, 2008 (Oscar Qualifying Run) by Paramount VantageJanuary 16th, 2009 (Wide) by Paramount Vantage","June 2nd, 2009 by Paramount Home Video",R for violence and language,136 minutes,vs. AgoraCreate your own comparison chart…,"World War II, Collaborator, War Drama, Young Child Dealing with the Death of a Parent, Revenge, 1940s, Set in Poland, Jewish, Genocide, Epilogue",Original Screenplay,Drama,Live Action,Historical Fiction,"Paramount Vantage, Grosvenor Park, Bedford Falls",United States,English,,,"$28,644,813","$24,342,941","$52,987,754","$14,354,165","$14,354,165",
4,https://www.the-numbers.com/movie/Hotel-for-Dogs,"['Kyla Pratt', 'Lisa Kudrow', 'Kevin Dillon', 'Don Cheadle', 'Emma Roberts', 'Jake T. Austin']","[['Thor Freudenthal', 'Director'], ['Jeff Lowell', 'Screenwriter'], ['Bob Schooley', 'Screenwriter'], ['Mark McCorkle', 'Screenwriter'], ['Lois Duncan', ""Based on the book: 'Hotel for Dogs'""], ['Lauren Shuler Donner', 'Producer'], ['Jonathan Gordon', 'Producer'], ['Ewan Leslie', 'Producer'], ['Jason Clark', 'Producer'], ['Tom Pollock', 'Executive Producer'], ['Jeffrey Clifford', 'Executive Producer'], ['Ivan Reitman', 'Executive Producer'], ['Michael Grady', 'Director of Photography'], ['William Sandell', 'Production Designer'], ['Sheldon Kahn', 'Editor'], ['Beth Pasternak', 'Costume Designer'], ['John Debney', 'Composer']]","$17,012,212 (23.2% of total gross)",4.30 (domestic box office/biggest weekend),59.8% (domestic box office/worldwide),"$35,000,000 (worldwide box office is 3.5 times production budget)","3,271 opening theaters/3,271 max. theaters, 6.8 weeks average run per theater","$89,472,974","January 16th, 2009 (Wide) by Paramount Pictures","April 28th, 2009 by Paramount Home Video","PG or brief mild thematic elements, language and some crude humor",100 minutes,vs. Brooklyn's FinestCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,"Donners’ Company, Montecito Picture Company",United States,English,,,"$73,178,547","$49,178,625","$122,357,172","$33,681,112","$33,681,112",
5,https://www.the-numbers.com/movie/My-Bloody-Valentine-(2009),[],"[['Patrick Lussier', 'Director']]","$21,241,456 (41.2% of total gross)",2.43 (domestic box office/biggest weekend),50.1% (domestic box office/worldwide),"$14,000,000 (worldwide box office is 7.3 times production budget)","2,534 opening theaters/2,534 max. theaters, 3.2 weeks average run per theater","$63,023,512","January 16th, 2009 (Wide) by Lionsgate","May 19th, 2009 by Lionsgate Home Entertainment, released as My Bloody Valentine 3D","R for graphic brutal horror violence and grisly images throughout, some strong sexuality, graphic nudity and language.",101 minutes,vs. ValentineCreate your own comparison chart…,"3-D, Slasher Horror",Remake,Horror,Live Action,Contemporary Fiction,Lionsgate,United States,English,,,"$51,545,952","$51,290,050","$102,836,002","$22,161,690","$22,161,690",
6,https://www.the-numbers.com/movie/Notorious-(2009),"['Angela Bassett', 'Smith Antonique', 'Naturi Naughton', 'Dennis White', 'Julia Pace Mitchell', 'Jamal Woolard', 'Derek Luke']","[['George Tillman, Jr', 'Director'], ['Cheo Hodari Coker', 'Screenwriter'], ['Reggie Rock Bythewood', 'Screenwriter'], ['Voletta Wallace', 'Producer'], ['Wayne Barrow', 'Producer'], ['Mark Pitts', 'Producer'], ['Robert Teitel', 'Producer'], ['Trish Hofmann', 'Producer']]","$20,497,596 (55.6% of total gross)",1.80 (domestic box office/biggest weekend),81.9% (domestic box office/worldwide),"$19,000,000 (worldwide box office is 2.4 times production budget)","1,638 opening theaters/1,641 max. theaters, 3.1 weeks average run per theater","$45,047,542","January 16th, 2009 (Wide) by Fox Searchlight","April 21st, 2009 by Fox Home Entertainment","R for pervasive language, some strong sexuality including dialogue, nudity, and for drug content.",122 minutes,vs. Straight Outta ComptonCreate your own comparison chart…,"Musicians, Biography, Hood Film, Biographical Drama, Non-Chronological, 1980s, 1990s, Set in New York City, Set in New York, Set in Brooklyn, Gangs",Based on Real Life Events,Drama,Live Action,Dramatization,"Fox Searchlight Pictures, Voletta Wallace Films, By Storm Films, State Street Pictures, Bad Boy Films",United States,English,"March 12th, 2009 (Wide) (Australia)
",,"$36,843,682","$8,128,501","$44,972,183","$23,096,451","$23,096,451",
7,https://www.the-numbers.com/movie/Paul-Blart-Mall-Cop,[],"[['Steve Carr', 'Director'], ['Kevin James', 'Screenwriter'], ['Nick Bakay', 'Screenwriter'], ['Todd Garner', 'Producer'], ['Kevin James', 'Producer'], ['Barry Bernardi', 'Producer'], ['Adam Sandler', 'Producer'], ['Jack Giarraputo', 'Producer'], ['Jeff Sussman', 'Executive Producer'], ['Russ Alsobrook', 'Cinematographer'], ['Jeff Freeman', 'Editor'], ['Waddy Wachtel', 'Composer'], ['Michael Dilbeck', 'Music Supervisor'], ['Perry Andelin Blake', 'Production Designer'], ['Alan Au', 'Art Director'], ['Tracey Doyle', 'Set Decorator'], ['Ellen Lutter', 'Costume Designer'], ['Deb Adair', 'Sound Mixer'], ['William Freesh', 'Sound Mixer'], ['Michael J. Benavente', 'Supervising Sound Editor'], ['Elmo Weber', 'Supervising Sound Editor'], ['Jason Taragon', 'Associate Producer'], ['Gino Falsetto', 'Associate Producer'], ['Marty Eli Schwartz', 'Assistant Director'], ['Barry Bernardi', 'Second Unit Director'], ['Jeanne McCarthy', 'Casting Director'], ['Nicole Abellera', 'Casting Director']]","$31,832,636 (21.8% of total gross)",4.60 (domestic box office/biggest weekend),78.7% (domestic box office/worldwide),"$26,000,000 (worldwide box office is 7.2 times production budget)","3,144 opening theaters/3,206 max. theaters, 9.9 weeks average run per theater","$178,920,363","January 16th, 2009 (Wide) by Sony Pictures","May 19th, 2009 by Sony Pictures Home Entertainment","PG for some violence, mild crude and suggestive humor, and language",91 minutes,vs. Paul Blart: Mall Cop 2Create your own comparison chart…,,Original Screenplay,Adventure,Live Action,Contemporary Fiction,"Columbia Pictures, Relativity Media, Happy Madison",United States,English,,Paul Blart: Mall Cop,"$146,336,178","$39,568,572","$185,904,750","$56,398,072","$58,302,185","$1,904,113"
8,https://www.the-numbers.com/movie/Inkheart,"['Jim Broadbent', 'Brendan Fraser', 'Paul Bettany', 'Helen Mirren', 'Andy Serkis', 'Eliza Hope Bennett*', 'Rafi Gavron']","[['Iain Softley', 'Director'], ['David Lindsay-Abaire', 'Screenwriter'], ['Cornelia Funke', 'Story Creator'], ['Iain Softley', 'Producer'], ['Diana Pokorny', 'Producer'], ['Cornelia Funke', 'Producer'], ['Toby Emmerich', 'Executive Producer'], ['Mark Ordesky', 'Executive Producer'], ['Ileen Maisel', 'Executive Producer'], ['Roger Pratt', 'Director of Photography'], ['John Beard', 'Production Designer'], ['Martin Walsh', 'Editor'], ['Javier Navarrete', 'Composer']]","$7,601,379 (43.9% of total gross)",2.28 (domestic box office/biggest weekend),26.0% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 1.1 times production budget)","2,655 opening theaters/2,655 max. theaters, 3.1 weeks average run per theater","$21,156,318","January 23rd, 2009 (Wide) by Warner Bros.","June 23rd, 2009 by New Line Home Video","PG for fantasy adventure action, some scary moments and brief language",106 minutes,vs. JumanjiCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy,New Line Cinema,"Germany, United Kingdom, United States",English,,,"$17,303,424","$49,352,514","$66,655,938","$9,323,656","$9,323,656",
9,https://www.the-numbers.com/movie/Underworld-3-Rise-of-the-Lycans,[],"[['Patrick Tatopoulos', 'Director'], ['Danny McBride', 'Screenwriter'], ['Dirk Blackman', 'Screenwriter']]","$20,828,511 (45.5% of total gross)",2.20 (domestic box office/biggest weekend),49.7% (domestic box office/worldwide),"$35,000,000 (worldwide box office is 2.6 times production budget)","2,942 opening theaters/2,942 max. theaters, 3.5 weeks average run per theater","$56,000,961","January 23rd, 2009 (Wide) by Sony Pictures","May 12th, 2009 by Sony Pictures Home Entertainment, released as Underworld: Rise of the Lycans",R for bloody violence and some sexuality,93 minutes,vs. Mortal Kombat: AnnihilationCreate your own comparison chart…,"Vampire, Werewolf, Action Horror",Original Screenplay,Action,Live Action,Fantasy,"Screen Gems, Lakeshore Entertainment, Sketch Films",United States,English,,Underworld,"$45,802,315","$46,339,571","$92,141,886","$46,611,757","$46,611,757",
