,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Comparisons:,Genre:,Production Countries:,Languages:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Keywords:,Source:,Production Method:,Creative Type:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Xin-Ling-De-Yang-Guang-(China),[],"[['Guohua Yang', 'Director']]",,,,,,,"January 1st, 2010 (Wide) (China)
",Create your own comparison chart…,Drama,China,Mandarin,,,,,,,,,,,n/a,"$8,780,000","$8,780,000",,,
1,https://www.the-numbers.com/movie/Daybreakers,[],"[['Michael Spierig', 'Director'], ['Peter Spierig', 'Director'], ['Michael Spierig', 'Screenwriter'], ['Peter Spierig', 'Screenwriter'], ['Bryan Furst', 'Producer'], ['Jason Constantine', 'Executive Producer'], ['Peter Block', 'Executive Producer']]","$15,146,692 (50.3% of total gross)",1.99 (domestic box office/biggest weekend),58.5% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 2.6 times production budget)","2,523 opening theaters/2,523 max. theaters, 3.0 weeks average run per theater","$39,868,370",,vs. PredestinationCreate your own comparison chart…,Horror,"Australia, United States",English,"January 8th, 2010 (Wide) by Lionsgate","May 11th, 2010 by Lionsgate Home Entertainment","R For strong bloody violence, language and brief nudity",98 minutes,"Vampire, Action Horror, 2000s, 2010s, Near Future, Epidemic, Pharmaceuticals, Epilogue, Voiceover/Narration, Corporate Malfeasance",Original Screenplay,Live Action,Science Fiction,"Lionsgate, Screen Australia, Pacific Film & Television Commission, Furst Films",,"$30,101,577","$21,343,926","$51,445,503","$14,361,762","$3,337,832","$17,699,594"
2,https://www.the-numbers.com/movie/Leap-Year,[],"[['Anand Tucker', 'Director'], ['Randy Edelman', 'Composer'], ['Deborah Kaplan', 'Screenwriter'], ['Harry Elfont', 'Screenwriter'], ['Edher Campos', 'Producer'], ['Luis Salinas', 'Producer'], ['Cassidy Lange', 'Co-Producer'], ['J.C. Spink', 'Executive Producer'], ['James Flynn', 'Co-Producer'], [""Morgan O'Sullivan"", 'Co-Producer'], ['Newton Thomas Sigel', 'Cinematographer'], ['Nick Moore', 'Editor'], ['Rebekah Rudd', 'Co-Producer'], ['Su Armstrong', 'Executive Producer']]","$9,202,815 (35.5% of total gross)",2.82 (domestic box office/biggest weekend),79.5% (domestic box office/worldwide),"$19,000,000 (worldwide box office is 1.7 times production budget)","2,511 opening theaters/2,512 max. theaters, 3.6 weeks average run per theater","$34,328,605",,vs. Monte CarloCreate your own comparison chart…,Romantic Comedy,United States,English,"January 8th, 2010 (Wide) by Universal","May 4th, 2010 by Universal Home Entertainment",PG For sensuality and language,119 minutes,Romance,Original Screenplay,Live Action,Contemporary Fiction,Strand Releasing,,"$25,918,920","$6,700,000","$32,618,920","$17,363,901","$1,652,266","$19,016,167"
3,https://www.the-numbers.com/movie/Youth-in-Revolt,"['Ray Liotta', 'Jean Smart', 'Mary Kay Place', 'Michael Cera', 'Portia Doubleday', 'Justin Long', 'Steve Buscemi', 'Zach Galifianakis']","[['Miguel Arteta', 'Director'], ['Gustin Nash', 'Screenwriter'], ['C.D. Payne', 'Story Creator'], ['David Permut', 'Producer'], ['Bob Weinstein', 'Executive Producer'], ['Harvey Weinstein', 'Executive Producer']]","$6,888,334 (45.1% of total gross)",2.22 (domestic box office/biggest weekend),77.6% (domestic box office/worldwide),"$18,000,000 (worldwide box office is 1.1 times production budget)","1,873 opening theaters/1,873 max. theaters, 2.7 weeks average run per theater","$20,245,161",,vs. Lottery TicketCreate your own comparison chart…,Comedy,United States,English,"January 8th, 2010 (Wide) by Weinstein/Dimension","June 15th, 2010 by Sony Pictures Home Entertainment","R for sexual content, language and drug use.",90 minutes,"Comedy Drama, Romance, Relationships Gone Wrong, Delayed Adulthood, Juvenile Delinquent, Animated Sequences, Loss Of Virginity, Epilogue, Dysfunctional Family",Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"Dimension Films, David Permut, Shangri-La Entertainment",,"$15,285,588","$4,400,000","$19,685,588","$6,250,956","$789,202","$7,040,158"
4,https://www.the-numbers.com/movie/Book-of-Eli-The,['Denzel Washington'],"[['Albert Hughes', 'Director'], ['Allen Hughes', 'Director'], ['Gary Whitta', 'Screenwriter'], ['Joel Silver', 'Producer'], ['Denzel Washington', 'Producer'], ['Broderick Johnson', 'Producer'], ['Andrew Kosove', 'Producer'], ['David Valdes', 'Producer'], ['Steve Richards', 'Executive Producer'], ['Susan Downey', 'Executive Producer'], ['Erik Olsen', 'Executive Producer'], ['Steven P. Wegner', 'Co-Producer'], ['Yolanda T. Cochran', 'Co-Producer'], ['John David Washington', 'Co-Producer']]","$32,789,494 (34.6% of total gross)",2.89 (domestic box office/biggest weekend),59.7% (domestic box office/worldwide),"$80,000,000 (worldwide box office is 2.0 times production budget)","3,111 opening theaters/3,111 max. theaters, 5.8 weeks average run per theater","$125,605,374",,vs. RiddickCreate your own comparison chart…,Action,United States,English,"January 15th, 2010 (Wide) by Warner Bros.","June 15th, 2010 by Warner Home Video",R For some brutal violence and language,118 minutes,Post Apocalypse,Original Screenplay,Live Action,Science Fiction,"Alcon Entertainment, Silver Pictures",,"$94,835,059","$63,915,758","$158,750,817","$44,711,076","$18,544,025","$63,255,101"
5,https://www.the-numbers.com/movie/Fish-Tank,[],"[['Andrea Arnold', 'Director']]","$25,854 (6.9% of total gross)",7.55 (domestic box office/biggest weekend),6.3% (domestic box office/worldwide),"$3,000,000 (worldwide box office is 2.0 times production budget)","2 opening theaters/15 max. theaters, 11.7 weeks average run per theater","$496,239",,vs. PariahCreate your own comparison chart…,Drama,United Kingdom,English,"January 15th, 2010 (Limited) by IFC Films",,Not Rated,123 minutes,,Original Screenplay,Live Action,Contemporary Fiction,"BBC Films, UK Film Council, Limelight, Kasander Film Company",,"$374,675","$5,547,617","$5,922,292",,,
6,https://www.the-numbers.com/movie/Last-Station-The,[],"[['Michael Hoffman', 'Director'], ['Michael Hoffman', 'Screenwriter']]","$73,723 (1.1% of total gross)",6.82 (domestic box office/biggest weekend),42.2% (domestic box office/worldwide),"$18,000,000 (worldwide box office is 0.9 times production budget)","3 opening theaters/354 max. theaters, 5.9 weeks average run per theater","$8,765,105",,vs. Le Scaphandre et le PapillonCreate your own comparison chart…,Drama,Germany,English,"January 15th, 2010 (Limited) by Sony Pictures Classics","June 22nd, 2010 by Sony Pictures Home Entertainment",R For a scene of sexuality/nudity,110 minutes,"Biography, Writing and Writers, Biographical Drama, 1910s, Inheritance, Terminal Illness, Death of a Spouse or Fiancée / Fiancé, Adult Child Dealing with the Death of a Parent, Epilogue",Based on Fiction Book/Short Story,Live Action,Dramatization,,,"$6,617,867","$9,078,279","$15,696,146",,,
7,https://www.the-numbers.com/movie/Spy-Next-Door-The,[],"[['Brian Levant', 'Director'], ['Jonathan Bernstein', 'Screenwriter'], ['James Greer', 'Screenwriter'], ['Gregory Poirier', 'Screenwriter'], ['Robert Simonds', 'Producer'], ['Ryan Kavanaugh', 'Executive Producer'], ['Tucker Tooley', 'Executive Producer'], ['Ira Shuman', 'Executive Producer'], ['Solon So', 'Executive Producer']]","$9,726,056 (40.0% of total gross)",2.50 (domestic box office/biggest weekend),52.0% (domestic box office/worldwide),"$28,000,000 (worldwide box office is 1.7 times production budget)","2,924 opening theaters/2,924 max. theaters, 3.3 weeks average run per theater","$32,193,817",,"vs. Alexander and the Terrible, Horrible, No Good, Very Bad DayCreate your own comparison chart…",Adventure,United States,English,"January 15th, 2010 (Wide) by Lionsgate","May 18th, 2010 by Lionsgate Home Entertainment",PG For sequences of action violence and some mild rude humor,94 minutes,Family Movie,Original Screenplay,Live Action,Kids Fiction,"Lionsgate, Relativity Media, Robert Simonds Company",,"$24,307,106","$22,445,752","$46,752,858","$9,798,000","$1,096,563","$10,894,563"
8,https://www.the-numbers.com/movie/Shi-Yue-Wei-Cheng,[],[],,,,"$23,000,000 (worldwide box office is 1.9 times production budget)",,,"January 21st, 2010 (Wide) (South Korea)
",Create your own comparison chart…,Action,China,"Cantonese, Mandarin",,"March 15th, 2011 by Shout Factory",,139 minutes,"Martial Arts, Hitmen, Government Corruption, Political, Foreign Language, Prologue, Intertitle, Ensemble, Corrupt Cops, Gambling, Inspired by a True Story, Voiceover/Narration, Demons, Sex Crimes",,,Historical Fiction,,,n/a,"$44,195,779","$44,195,779",,,
9,https://www.the-numbers.com/movie/Extraordinary-Measures,"['Brendan Fraser', 'Harrison Ford']","[['Tom Vaughan', 'Director'], ['Robert Nelson Jacobs', 'Screenwriter'], ['Michael Shamberg', 'Producer'], ['Stacey Sher', 'Producer'], ['Carla Santos Shamberg', 'Producer'], ['Harrison Ford', 'Executive Producer'], ['Nan Morales', 'Executive Producer']]","$6,012,594 (48.2% of total gross)",2.08 (domestic box office/biggest weekend),78.9% (domestic box office/worldwide),"$31,000,000 (worldwide box office is 0.5 times production budget)","2,545 opening theaters/2,549 max. theaters, 2.6 weeks average run per theater","$16,532,903",,vs. Alice in WonderlandCreate your own comparison chart…,Drama,United States,English,"January 22nd, 2010 (Wide) by CBS Films","May 18th, 2010 by Sony Pictures Home Entertainment","PG For thematic material, language and a mild suggestive moment",106 minutes,"Biographical Drama, Biography, Medical and Hospitals, Terminal Illness, Workaholic",Based on Real Life Events,Live Action,Dramatization,Double Feature Films,,"$12,482,741","$3,344,243","$15,826,984","$7,283,366","$880,690","$8,164,056"
