,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
0,https://www.the-numbers.com/movie/Plastic-Planet/Spain#tab=box-office,2012/06/01,27,$345, ,9,$38,  $345,weekend,2,
0,https://www.the-numbers.com/movie/Plastic-Planet/Spain#tab=box-office,2012/06/01,27,$345, ,9,$38,  $345,weekend,2,
0,https://www.the-numbers.com/movie/Evangerion-shin-gekijoban-Ha-(2009-Japan)/South-Korea#tab=box-office,2022/10/14,19,"$15,804", ,12,"$1,317","  $15,804",weekend,1,
1,https://www.the-numbers.com/movie/Evangerion-shin-gekijoban-Ha-(2009-Japan)/South-Korea#tab=box-office,2022/10/28,-,"$4,307", ,12,$359,"  $23,970",weekend,3,
0,https://www.the-numbers.com/movie/Evangerion-shin-gekijoban-Ha-(2009-Japan)/South-Korea#tab=box-office,2022/10/14,19,"$15,804", ,12,"$1,317","  $15,804",weekend,1,
1,https://www.the-numbers.com/movie/Evangerion-shin-gekijoban-Ha-(2009-Japan)/South-Korea#tab=box-office,2022/10/28,-,"$4,307", ,12,$359,"  $23,970",weekend,3,
0,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/07/06,9,"$23,189", ,14,"$1,656","  $23,189",weekend,1,
1,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/07/13,9,"$22,946",-1%,15,"$1,530","  $63,575",weekend,2,
2,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/07/27,10,"$7,787", ,7,"$1,112","  $112,907",weekend,4,
3,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/08/03,14,"$7,181",-8%,6,"$1,197","  $122,524",weekend,5,
4,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/08/10,14,"$4,778",-33%,4,"$1,195","  $132,306",weekend,6,
0,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/07/06,9,"$23,189", ,14,"$1,656","  $23,189",weekend,1,
1,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/07/13,9,"$22,946",-1%,15,"$1,530","  $63,575",weekend,2,
2,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/07/27,10,"$7,787", ,7,"$1,112","  $112,907",weekend,4,
3,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/08/03,14,"$7,181",-8%,6,"$1,197","  $122,524",weekend,5,
4,https://www.the-numbers.com/movie/Way-Back-The/Italy#tab=box-office,2012/08/10,14,"$4,778",-33%,4,"$1,195","  $132,306",weekend,6,
0,https://www.the-numbers.com/movie/Mechanic-The-(2010)/Ecuador#tab=box-office,2012/07/13,4,"$18,137", ,11,"$1,649","  $18,137",weekend,1,
1,https://www.the-numbers.com/movie/Mechanic-The-(2010)/Ecuador#tab=box-office,2012/07/20,3,"$14,150",-22%,11,"$1,286","  $42,901",weekend,2,
2,https://www.the-numbers.com/movie/Mechanic-The-(2010)/Ecuador#tab=box-office,2012/07/27,2,"$3,097",-78%,11,$282,"  $55,205",weekend,3,
0,https://www.the-numbers.com/movie/Mechanic-The-(2010)/Ecuador#tab=box-office,2012/07/13,4,"$18,137", ,11,"$1,649","  $18,137",weekend,1,
1,https://www.the-numbers.com/movie/Mechanic-The-(2010)/Ecuador#tab=box-office,2012/07/20,3,"$14,150",-22%,11,"$1,286","  $42,901",weekend,2,
2,https://www.the-numbers.com/movie/Mechanic-The-(2010)/Ecuador#tab=box-office,2012/07/27,2,"$3,097",-78%,11,$282,"  $55,205",weekend,3,
0,https://www.the-numbers.com/movie/Manchoo-(S-Korea)/South-Korea#tab=box-office,2019/09/13,30,"$2,081", ,5,$416,"  $5,324,500",weekend,448,
0,https://www.the-numbers.com/movie/Manchoo-(S-Korea)/South-Korea#tab=box-office,2019/09/13,30,"$2,081", ,5,$416,"  $5,324,500",weekend,448,
0,https://www.the-numbers.com/movie/I-am-Number-Four/Central-America#tab=box-office,2013/01/25,9,"$114,005", ,62,"$1,839","  $296,394",weekend,99,
0,https://www.the-numbers.com/movie/I-am-Number-Four/Central-America#tab=box-office,2013/01/25,9,"$114,005", ,62,"$1,839","  $296,394",weekend,99,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Bolivia#tab=box-office,2012/08/17,6,"$7,517", ,4,"$1,879","  $7,517",weekend,1,
1,https://www.the-numbers.com/movie/Pina-(Germany)/Bolivia#tab=box-office,2012/08/24,9,"$3,409",-55%,4,$852,"  $15,396",weekend,2,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/04/27,10,"$16,321", ,9,"$1,813","  $820,278",weekend,6,
1,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/05/04,16,"$4,121",-75%,4,"$1,030","  $816,439",weekend,7,
2,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/05/11,12,"$5,896",+43%,6,$983,"  $824,315",weekend,8,
3,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/05/18,13,"$6,883",+17%,6,"$1,147","  $840,235",weekend,9,
4,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/05/25,13,"$3,847",-44%,3,"$1,282","  $853,655",weekend,10,
5,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/06/01,15,"$2,553",-34%,3,$851,"  $864,441",weekend,11,
6,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/06/08,20,$47,-98%,1,$47,"  $47,928",weekend,12,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/04/27,12,"$50,650", ,12,"$4,221","  $50,650",weekend,1,
1,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/04,16,"$35,465",-30%,12,"$2,955","  $127,338",weekend,2,
2,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/11,14,"$27,730",-22%,11,"$2,521","  $179,712",weekend,3,
3,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/18,18,"$18,324",-34%,6,"$3,054","  $215,780",weekend,4,
4,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/25,19,"$12,258",-33%,6,"$2,043","  $237,522",weekend,5,
5,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/06/01,21,"$6,157",-50%,5,"$1,231","  $249,446",weekend,6,
6,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/06/08,17,"$3,993",-35%,4,$998,"  $232,771",weekend,7,
7,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/06/15,23,"$2,809",-30%,4,$702,"  $237,972",weekend,8,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Portugal#tab=box-office,2017/10/13,-,$472, ,1,$472,"  $174,046",weekend,336,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Spain#tab=box-office,2012/05/04,26,$540, ,2,$270,"  $678,394",weekend,32,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/08,9,"$7,516", ,1,"$7,516","  $9,399",weekend,1,
1,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/15,7,"$10,964",+46%,1,"$10,964","  $35,450",weekend,2,
2,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/22,8,"$8,500",-22%,2,"$4,250","  $70,319",weekend,3,
3,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/29,8,"$5,015",-41%,2,"$2,508","  $87,331",weekend,4,
4,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/07/06,6,"$3,315",-34%,1,"$3,315","  $93,677",weekend,5,
5,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/07/13,7,"$2,070",-38%,1,"$2,070","  $100,421",weekend,6,
6,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/07/20,7,$763,-63%,1,$763,"  $107,982",weekend,7,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Venezuela#tab=box-office,2012/04/27,17,$173, ,"2,462",$0,"  $50,481",weekend,1,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Bolivia#tab=box-office,2012/08/17,6,"$7,517", ,4,"$1,879","  $7,517",weekend,1,
