,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Season-of-the-Witch,"['Ron Perlman', 'Stephen Campbell Moore', 'Stephen Graham', 'Ulrich Thomsen', 'Claire Foy', 'Robert Sheehan', 'Christopher Lee', 'Nicolas Cage']","[['Dominic Sena', 'Director'], ['Bragi Schut', 'Screenwriter'], ['Charles Roven', 'Producer'], ['Alex Gartner', 'Producer'], ['Ryan Kavanaugh', 'Executive Producer'], ['Steve Alexander', 'Executive Producer'], ['Tucker Tooley', 'Executive Producer'], ['Alan G. Glazer', 'Executive Producer'], ['Tom Karnowski', 'Executive Producer'], ['Amir Mokri', 'Cinematographer']]","$10,612,375 (42.7% of total gross)",2.34 (domestic box office/biggest weekend),27.2% (domestic box office/worldwide),"$40,000,000 (worldwide box office is 2.3 times production budget)","2,816 opening theaters/2,827 max. theaters, 3.6 weeks average run per theater","$32,716,829","January 7th, 2011 (Wide) by Relativity","June 28th, 2011 by Fox Home Entertainment","PG-13 for thematic elements, violence and disturbing content(Rating bulletin 2103, 1/13/2010)PG-13 for thematic elements, violence and disturbing content.(Rating bulletin 2147, 11/17/2010)",98 minutes,vs. The Conjuring 2: The Enfield PoltergeistCreate your own comparison chart…,"Religious, War, Epidemic, Occult, Demons, Returning Soldiers, Possessed, Voiceover/Narration, Zombies, Sword & Sorcerer, Supernatural, Action Adventure",Original Screenplay,Action,Live Action,Fantasy,"Rogue Pictures, Atlas Entertainment",United States,English,,,"$24,827,228","$66,299,372","$91,126,600","$7,291,626","$2,806,289","$10,097,915"
1,https://www.the-numbers.com/movie/Barneys-Version,"['Scott Speedman', 'Mark Addy', 'Bruce Greenwood', 'Saul Rubinek', 'Macha Grenon', 'Jake Hoffman', 'Anna Hopkins', 'Paul Giamatti', 'Dustin Hoffman', 'Rosamund Pike', 'Minnie Driver', 'Rachelle Lefevre']","[['Robert Lantos', 'Producer'], ['Mark Musselman', 'Executive Producer'], ['Domenico Procacci', 'Co-Producer'], ['Lyse Lafontaine', 'Co-Producer'], ['Ari Lantos', 'Co-Producer'], ['Richard J. Lewis', 'Director'], ['Michael Konyves', 'Screenwriter'], ['Mordecai Richler', 'Story Creator']]","$362,524 (4.8% of total gross)",10.05 (domestic box office/biggest weekend),84.8% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 0.3 times production budget)","42 opening theaters/322 max. theaters, 6.6 weeks average run per theater","$9,886,724","December 17th, 2010 (Oscar Qualifying Run) by Sony Pictures ClassicsJanuary 14th, 2011 (Limited) by Sony Pictures Classics","June 28th, 2011 by Sony Pictures Home Entertainment","R for language and some sexual content.(Rating bulletin 2148, 11/24/2010)",132 minutes,vs. Frost/NixonCreate your own comparison chart…,"Non-Chronological, Relationships Gone Wrong, Dysfunctional Family, Faulty Memory, Medical and Hospitals, Comedy Drama, Suicide, Mental Illness, Terminal Illness, Infidelity",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,"Telefilm Canada, Corus Entertainment, Astral Media, Sodec, Canadian Broadcasting Corp, Harold Greenberg Fund, Ontario Media Development Corporation","Argentina, France, United States",English,,,"$7,502,560","$1,343,015","$8,845,575",,,
2,https://www.the-numbers.com/movie/Dilemma-The,"['Jennifer Connelly', 'Winona Ryder', 'Channing Tatum', 'Queen Latifah', 'Vince Vaughn', 'Kevin James']","[['Ron Howard', 'Director'], ['Allan Loeb', 'Screenwriter'], ['Brian Grazer', 'Producer'], ['Ron Howard', 'Producer'], ['Vince Vaughn', 'Producer'], ['Todd Hallowell', 'Executive Producer'], ['Victoria Vaughn', 'Executive Producer'], ['Kim Roth', 'Executive Producer']]","$17,816,230 (36.8% of total gross)",2.72 (domestic box office/biggest weekend),68.7% (domestic box office/worldwide),"$70,000,000 (worldwide box office is 1.0 times production budget)","2,940 opening theaters/2,943 max. theaters, 4.5 weeks average run per theater","$63,879,795","January 14th, 2011 (Wide) by Universal","May 3rd, 2011 by Universal Home Entertainment","PG-13 for mature thematic elements involving sexual content.(Rating bulletin 2148, 11/24/2010)",110 minutes,vs. Angels & DemonsCreate your own comparison chart…,"Relationships Gone Wrong, Relationship Advice, Infidelity, Comedy Drama, Gambling, Addiction",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Wild West Picture Show, Imagine Entertainment, Spyglass Entertainment, Brian Grazer Productions",United States,English,,,"$48,475,290","$22,071,575","$70,546,865","$7,243,480","$1,689,809","$8,933,289"
3,https://www.the-numbers.com/movie/Green-Hornet-The,"['Cameron Diaz', 'Tom Wilkinson', 'Christoph Waltz', 'Edward James Olmos', 'David Harbour', 'Seth Rogen', 'Jay Chou']","[['Michel Gondry', 'Director'], ['Neal H. Moritz', 'Producer'], ['Seth Rogen', 'Executive Producer'], ['Evan Goldberg', 'Executive Producer'], ['Michael Grillo', 'Executive Producer'], ['Ori Marmur', 'Executive Producer'], ['George W. Trendle, Jr.', 'Executive Producer'], ['Seth Rogen', 'Screenwriter'], ['Evan Goldberg', 'Screenwriter'], ['George W. Trendle', 'Story Creator'], ['John Schwartzman', 'Cinematographer'], ['Michael Tronick', 'Editor'], ['James Newton Howard', 'Composer'], ['Owen Paterson', 'Production Designer']]","$33,526,876 (33.9% of total gross)",2.95 (domestic box office/biggest weekend),43.1% (domestic box office/worldwide),"$110,000,000 (worldwide box office is 2.1 times production budget)","3,584 opening theaters/3,584 max. theaters, 5.4 weeks average run per theater","$130,170,415","January 14th, 2011 (Wide) by Sony PicturesJanuary 14th, 2011 (IMAX) by Sony Pictures","May 3rd, 2011 by Sony Pictures Home Entertainment","PG-13 for sequences of violent action, language, sensuality and drug content.(Rating bulletin 2152, 12/22/2010)",118 minutes,vs. Sausage PartyCreate your own comparison chart…,"Delayed Adulthood, Organized Crime, Inheritance, 3-D, Secret Identity, Martial Arts, News, Vigilante, Romance, IMAX: DMR, 3-D - Post-production Conversion",Based on TV,Action,Live Action,Super Hero,Original Film,United States,English,,,"$98,780,042","$130,375,461","$229,155,503","$16,488,064","$12,200,885","$28,688,949"
4,https://www.the-numbers.com/movie/Ong-Bak-3,"['Nirut Sirijanya', 'Dan Chupong', 'Wongkamlaoprimrata Det-Udom', 'Petchtai Wongkamlao', 'Tony Jaa', 'Sarunyu Wongkrajang']","[['Panna Rittikrai', 'Producer'], ['Tony Jaa', 'Producer'], ['Akarapol Techaratanaprasert', 'Producer'], ['Somsak Techaratanaprasert', 'Executive Producer'], ['Panna Rittikrai', 'Director'], ['Tony Jaa', 'Director'], ['Panna Rittikrai', 'Screenwriter'], ['Tony Jaa', 'Screenwriter']]","$5,648 (37.9% of total gross)",2.64 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),,"3 opening theaters/4 max. theaters, 2.5 weeks average run per theater","$19,615","January 14th, 2011 (Limited) by Magnet Pictures","February 8th, 2011 by Magnolia Home Entertainment","R for strong violence and bloody images.(Rating bulletin 2141, 10/6/2010)",98 minutes,Create your own comparison chart…,"Martial Arts, Revenge, Prologue, Archival Footage of Previous Installment",Original Screenplay,Action,Live Action,Contemporary Fiction,"Sahamongkolfilm Intl, Iyara Film",Thailand,"English, Thai",Ong-Bak,,"$14,890",,,"$3,811,275","$1,415,218","$5,226,493"
5,https://www.the-numbers.com/movie/Plastic-Planet,['Frederick Corbin'],"[['Werner Boote', 'Director'], ['Thomas Bogner', 'Producer'], ['Daniel Zuta', 'Producer'], ['Ilann Girard', 'Executive Producer']]",$740 (23.4% of total gross),4.28 (domestic box office/biggest weekend),0.0% (domestic box office/worldwide),,"1 opening theaters/2 max. theaters, 2.5 weeks average run per theater","$4,159","January 14th, 2011 (Limited) by First Run Features",,Not Rated,99 minutes,vs. Layer CakeCreate your own comparison chart…,"Environment, Directing Yourself, Foreign Language, Agitprop",Based on Real Life Events,Documentary,Multiple Production Methods,Factual,"Neue Sentimental Film Entertainment, Brandstorm Entertainment, Cine Cartoon Filmproduktion","Austria, Germany","Dutch, English, German, Italian",,"May 25th, 2012 (Wide) (Spain)
","$3,164","$13,565,535","$13,568,699",,,
6,https://www.the-numbers.com/movie/Company-Men-The,"['Rosemarie DeWitt', 'Craig T. Nelson', 'Ben Affleck', 'Chris Cooper', 'Kevin Costner', 'Tommy Lee Jones', 'Maria Bello']","[['Claire Rudnick Polstein', 'Producer'], ['Paula Weinstein', 'Producer'], ['John Wells', 'Producer'], ['Barbara A. Hall', 'Executive Producer'], ['Kristin Harms', 'Co-Producer'], ['John Wells', 'Screenwriter'], ['John Wells', 'Director']]","$647,797 (14.6% of total gross)",6.68 (domestic box office/biggest weekend),97.3% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 0.3 times production budget)","106 opening theaters/277 max. theaters, 6.2 weeks average run per theater","$5,857,016","January 21st, 2011 (Limited) by Weinstein Co.","June 7th, 2011 by Weinstein Co./Anchor Bay","R for language and brief nudity.(Rating bulletin 2138, 9/15/2010)",115 minutes,vs. Up in the AirCreate your own comparison chart…,"Corporate Life, Life Drama, Fired, Money Troubles, Infidelity, Suicide, Ensemble",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Battle Mountain Films, Spring Creek Prod",United States,English,,,"$4,444,612","$125,355","$4,569,967","$3,336,070","$545,327","$3,881,397"
7,https://www.the-numbers.com/movie/Evangerion-shin-gekijoban-Ha-(2009-Japan),[],"[['Toshimichi Otsuki', 'Producer']]",,,84.8% (domestic box office/worldwide),,,"$133,640","January 21st, 2011 (Limited) by Eleven Arts, released as Evangelion: 2.0 You Can (Not) Advance","March 29th, 2011 by Funimation Productions, released as Evangelion: 2.22 You Can [Not] Advance",Not Rated,113 minutes,vs. AquamanCreate your own comparison chart…,"Alien Invasion, War, End of the World, Foreign Language, Anime",Based on TV,Multiple Genres,Hand Animation,Fantasy,Khara Corp,Japan,"English, Japanese",Evangelion,"October 14th, 2022 (Wide), released as Evangelion: 2.22 You Can (Not) Advance. (South Korea)
","$133,640","$23,970","$157,610","$2,700,334","$5,077,081","$7,777,415"
8,https://www.the-numbers.com/movie/Hanyo-(S-Korea)(2010),"['Seo Woo', 'Ahn Seo-hyun', 'Jeon Do-youn', 'Lee Jung-jae', 'Youn Yuh-jung']","[['Im Sang-soo', 'Director'], ['Im Sang-soo', 'Screenwriter'], ['Jason Chae', 'Producer'], ['Choi Pyung Ho', 'Executive Producer'], ['Seo Bum-seok', 'Executive Producer'], ['Lee Ha-jun', 'Production Designer'], ['Eun-soo Lee ', 'Editor'], ['Kim Hong-jip', 'Composer']]","$16,670 (10.6% of total gross)",9.48 (domestic box office/biggest weekend),1.2% (domestic box office/worldwide),,"2 opening theaters/12 max. theaters, 6.2 weeks average run per theater","$208,154","January 21st, 2011 (Limited) by IFC Films, released as The Housemaid",,Not Rated,106 minutes,Create your own comparison chart…,"Dysfunctional Family, Relationships Gone Wrong, Cross-Class Romance, Revenge",Remake,Thriller/Suspense,Live Action,Contemporary Fiction,"Mirovision Inc., Sidus FNH",Republic of Korea,Korean,,,"$157,961","$13,047,269","$13,205,230",,,
9,https://www.the-numbers.com/movie/No-Strings-Attached,"['Kevin Kline', 'Cary Elwes', 'Greta Gerwig', 'Lake Bell', 'Olivia Thirlby', 'Jake Johnson', 'Mindy Kaling', 'Talia Balsam', 'Ophelia Lovibond', 'Guy Branum', 'Ben Lawson', 'Adhir Kalyan', 'Abby Elliott', 'Natalie Portman', 'Ashton Kutcher']","[['Ivan Reitman', 'Producer'], ['Joe Medjuck', 'Producer'], ['Jeffrey Clifford', 'Producer'], ['Roger Birnbaum', 'Executive Producer'], ['Gary Barber', 'Executive Producer'], ['Jonathan Glickman', 'Executive Producer'], ['Natalie Portman', 'Executive Producer'], ['Tom Pollock', 'Executive Producer'], ['Ali Bell', 'Co-Producer'], ['Annette Savitch', 'Co-Producer'], ['Lisa Bruce', 'Co-Executive Producer'], ['Ivan Reitman', 'Director'], ['Elizabeth Meriwether', 'Screenwriter'], ['Mike Samonek', 'Story Creator'], ['Elizabeth Meriwether', 'Story Creator']]","$19,652,921 (27.8% of total gross)",3.60 (domestic box office/biggest weekend),47.4% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 6.0 times production budget)","3,018 opening theaters/3,050 max. theaters, 5.4 weeks average run per theater","$93,117,306","January 21st, 2011 (Wide) by Paramount Pictures","May 10th, 2011 by Dreamworks Video","R for sexual content, language and some drug material.(Rating bulletin 2152, 12/22/2010)",106 minutes,vs. Friends with BenefitsCreate your own comparison chart…,"Romance, Relationship Advice, LGBTQ+, Medical and Hospitals, Doctors, Prologue, TV Industry, Writing and Writers, Relationships Gone Wrong, Dysfunctional Family, Directing Yourself, Epilogue",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Cold Springs Pictures, Spyglass Entertainment, Montecito Picture Company",United States,English,,,"$70,662,220","$78,565,858","$149,228,078","$13,045,768","$3,750,238","$16,796,006"
