,url,cast,crew,Legs:,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Production Budget:,Theater counts:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,International Releases:,Keywords:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Agneepath-(2012),[],[],23.57 (domestic box office/biggest weekend),6.1% (domestic box office/worldwide),"$2,590,931",,,,"January 6th, 2012 (Limited) by Eros Entertainment","March 13th, 2012",Not Rated,168 minutes,vs. Bang BangCreate your own comparison chart…,Remake,Action,Live Action,Historical Fiction,India,Hindi,,,,,"$1,973,574","$30,213,296","$32,186,870",,,
1,https://www.the-numbers.com/movie/Devil-Inside-The,"['Fernanda Andrade', 'Simon Quarterman', 'Evan Helmuth']","[['William Brent Bell', 'Director'], ['William Brent Bell', 'Screenwriter'], ['Matthew Peterman', 'Screenwriter'], ['Matthew Peterman', 'Producer'], ['Morris Paulson', 'Producer'], ['Lorenzo di Bonaventura', 'Executive Producer'], ['Steven Schneider', 'Executive Producer'], ['Mark Vahradian', 'Executive Producer'], ['Erik Howsam', 'Executive Producer'], ['Gonzalo Amat', 'Director of Photography'], ['Tony Demille', 'Production Designer'], ['Timothy Mirkovich*', 'Editor'], ['William Brent Bell', 'Editor'], ['Terri Prescott', 'Costume Designer'], ['Brett Detar', 'Composer'], ['Ben Romans', 'Composer'], ['Leigh Hudgens', 'Key Makeup'], ['Leigh Hudgens', 'Special Make-up Effects']]",1.58 (domestic box office/biggest weekend),52.3% (domestic box office/worldwide),"$69,924,336","$33,732,515 (63.3% of total gross)","$1,000,000 (worldwide box office is 101.8 times production budget)","2,285 opening theaters/2,551 max. theaters, 3.3 weeks average run per theater","January 6th, 2012 (Wide) by Paramount Pictures","May 15th, 2012 by Paramount Home Video","R for disturbing violent content and grisly images, and for language including some sexual references.(Rating bulletin 2203, 12/21/2012)",83 minutes,vs. InsidiousCreate your own comparison chart…,Original Screenplay,Horror,Live Action,Historical Fiction,"Italy, Romania, United States",English,"February 3rd, 2012 (Wide) (Brazil)
February 23rd, 2012 (Wide) (Argentina)
March 2nd, 2012 (Wide) (Colombia)
March 16th, 2012 (Wide) (Italy)
March 16th, 2012 (Wide) (Spain)
... Show all releases
","Found Footage, Religious, Possessed, Based on an UNTRUE Story, Surprise Twist, Skeptic, Supernatural, Found footage horror","Insurge Pictures, Prototype",,"$53,262,945","$48,496,545","$101,759,490","$2,791,621","$1,427,676","$4,219,297"
2,https://www.the-numbers.com/movie/Kari-gurashi-no-Arietti,"['Amy Poehler', 'Will Arnett', 'Carol Burnett', 'Gracie Poletti', 'Peter Jason', 'Bridgit Mendler', 'David Henrie']","[['Hiromasa Yonebayashi', 'Director'], ['Toshio Suzuki', 'Producer'], ['Hayao Miyazaki', 'Screenwriter'], ['Koji Kasamatsu', 'Sound Designer'], ['Cecile Corbel', 'Composer'], ['Mary Norton', 'Based on the novel ""The Borrowers""'], ['Gary Rydstrom', 'Director U.S. Production'], ['Frank Marshall', 'Executive Producer'], ['Kathleen Kennedy', 'Executive Producer'], ['Tim Bevan', 'Executive Producer'], ['Walt Defaria', 'Executive Producer'], ['Karey Kirkpatrick', 'English Language Screenplay '], ['Jonathan Null', 'Supervising Sound Editor'], ['Michael Semanick', 'Re-recording Mixer'], ['Brian Chumney', 'Assistant Supervising Sound Editor U.S. Production'], ['Scott R. Lewis', 'Assistant Re-Recording Mixer']]",2.98 (domestic box office/biggest weekend),12.7% (domestic box office/worldwide),"$25,196,194","$6,446,395 (33.6% of total gross)","$23,000,000 (worldwide box office is 6.6 times production budget)","1,522 opening theaters/2,958 max. theaters, 2.6 weeks average run per theater","February 17th, 2012 (Wide) by Walt Disney, released as The Secret World of Arrietty","May 22nd, 2012 by Buena Vista Home Entertainment, released as The Secret World of Arrietty","G(Rating bulletin 2194, 10/19/2011)",94 minutes,vs. Sen to Chihiro no KamikakushiCreate your own comparison chart…,Based on Fiction Book/Short Story,Adventure,Hand Animation,Kids Fiction,Japan,English,"January 12th, 2012 (Wide), released as The Secret World of Arrietty (Australia)
November 26th, 2020 (Limited), released as The Secret World of Arrietty (Australia)
","Tiny Worlds, Anime, Rescue, Kidnap, Coming of Age, Voiceover/Narration","Studio Ghibli, Nippon Television Network, Dentsu Inc., Hakuhoda, DY Media Partners, Walt Disney Japan, Mitsubishi, Toho Co, Wild Bunch",,"$19,192,510","$132,303,587","$151,496,097","$17,421,329","$7,372,528","$24,793,857"
3,https://www.the-numbers.com/movie/Xi-Yang-Yang-Yu-Hui-Tai-Lang-Zhi-Kaixin-Chuang-Long-Nian-(China),[],[],,,,,,,,,,85 minutes,Create your own comparison chart…,Original Screenplay,Adventure,Digital Animation,Contemporary Fiction,China,Mandarin,"January 12th, 2012 (Limited), released as Pleasant Goat and Big Big Wolf 4 (International name)
 (China)
July 16th, 2020 (Wide) (South Korea)
",Anime,Creative Power Entertaining,,n/a,"$25,310,000","$25,310,000",,,
4,https://www.the-numbers.com/movie/Contraband,"['Ben Foster', 'Giovanni Ribisi', 'Lukas Haas', 'Caleb Landry-Jones', 'Diego Luna', 'Mark Wahlberg', 'Kate Beckinsale']","[['Baltasar Kormakur', 'Director'], ['Aaron Guzikowski', 'Screenwriter'], ['Arnaldur Indridason', 'Based Upon the Film ""Reykjavik-Rotterdam"" Written by'], ['Oskar Jonasson', 'Based Upon the Film ""Reykjavik-Rotterdam"" Written by'], ['Tim Bevan', 'Producer'], ['Eric Fellner', 'Producer'], ['Baltasar Kormakur', 'Producer'], ['Stephen Levinson', 'Producer'], ['Mark Wahlberg', 'Producer'], ['Liza Chasin', 'Executive Producer'], ['Evan Hayes', 'Executive Producer'], ['Bill Johnson', 'Executive Producer'], ['Barry Ackroyd', 'Director of Photography'], ['Tony Fanning', 'Production Designer'], ['Elisabet Ronalds', 'Editor'], ['Jenny Eagan', 'Costume Designer'], ['Clinton Shorter', 'Composer'], ['Sheila Jaffe', 'Casting'], ['Bill Johnson', 'Unit Production Manager'], ['Michele Ziegler', 'First Assistant Director'], ['Xanthus Valan', 'Second Assistant Director']]",2.73 (domestic box office/biggest weekend),67.6% (domestic box office/worldwide),"$87,338,885","$24,349,815 (36.6% of total gross)","$25,000,000 (worldwide box office is 3.9 times production budget)","2,863 opening theaters/2,870 max. theaters, 4.3 weeks average run per theater","January 13th, 2012 (Wide) by Universal","April 24th, 2012 by Universal Home Entertainment","R for violence, pervasive language and brief drug use.(Rating bulletin 2182, 7/27/2011)",109 minutes,vs. Runner RunnerCreate your own comparison chart…,Remake,Action,Live Action,Contemporary Fiction,United States,English,"March 16th, 2012 (Wide) (United Kingdom)
March 23rd, 2012 (Wide) (Nigeria)
May 16th, 2012 (Wide) (France)
May 16th, 2012 (Wide) (Switzerland)
May 17th, 2012 (Wide) (Peru)
... Show all releases
","Surprise Twist, Organized Crime, Out of Retirement, One Last Job, Foreign-Language Remake, Prologue, Revenge, Addiction, Narcotics, Action Thriller, Betrayal, No Honor Among Thieves","Relativity Media, Working Title Films, Blueeyes, Leverage, Closest to the Hole, Universal Pictures",,"$66,528,000","$31,878,855","$98,406,855","$16,373,530","$8,572,235","$24,945,765"
5,https://www.the-numbers.com/movie/Iron-Lady-The,"['Jim Broadbent', 'Richard E. Grant', 'Gordon Reece', 'Nicholas Farrell', 'Alexandra Roach', 'Harry Lloyd', 'Meryl Streep']","[['Phyllida Lloyd', 'Director'], ['Damian Jones', 'Producer'], ['Abi Morgan', 'Screenwriter'], ['Simon Elliott', 'Production Designer'], ['Annie Gilhooly', 'Set Decorator'], ['Elliot Davis', 'Director of Photography'], ['Nina Gold', 'Casting Director'], ['Justine Wright', 'Editor'], ['Consolata Boyle', 'Costume Designer'], ['J. Roy Helland', 'Personal make-up and hair to Ms. Streep'], ['Marese Langan', 'Make-up and Hair Designer'], ['Mark Coulier', 'Prosthetic Make-Up Designer'], ['Thomas Newman', 'Composer'], ['Tim Cavagin', 'Sound Mixer'], ['Craig Irving', 'Sound Mixer'], ['Nigel Stone', 'Sound Mixer'], ['Anita Overland', 'Co-Producer'], ['Colleen Woodcock', 'Co-Producer'], ['Francois Ivernel', 'Executive Producer'], ['Cameron McCracken', 'Executive Producer'], ['Tessa Ross', 'Executive Producer'], ['Adam Kulick', 'Executive Producer']]",5.53 (domestic box office/biggest weekend),25.9% (domestic box office/worldwide),"$39,331,167","$220,409 (0.7% of total gross)","$14,000,000 (worldwide box office is 8.3 times production budget)","4 opening theaters/1,244 max. theaters, 6.7 weeks average run per theater","December 30th, 2011 (Oscar Qualifying Run) by Weinstein Co.January 13th, 2012 (Limited) by Weinstein Co.","April 10th, 2012 by Anchor Bay Home Entertainment","PG-13 for some violent images and brief nudity.(Rating bulletin 2195, 10/26/2011)",105 minutes,vs. Florence Foster JenkinsCreate your own comparison chart…,Based on Real Life Events,Drama,Live Action,Dramatization,United Kingdom,English,"February 9th, 2012 (Wide) (Portugal)
February 10th, 2012 (Wide) (Poland)
February 15th, 2012 (Wide) (Belgium)
February 16th, 2012 (Wide) (Peru)
February 17th, 2012 (Wide) (Brazil)
... Show all releases
","Political, Biography, Non-Chronological, Breaking the Fourth Wall, Strike, Hallucinations, Faulty Memory, War, Rags to Riches, Dysfunctional Family, Class Warfare, Biographical Drama","Pathe, Film4, UK Film Council, Canal Plus, Cine Plus, Goldcrest Films, DJ Films",,"$29,959,436","$85,632,668","$115,592,104","$9,280,300","$1,969,674","$11,249,974"
6,https://www.the-numbers.com/movie/Joyful-Noise,"['Queen Latifah', 'Dolly Parton', 'Keke Palmer', 'Jeremy Jordan']","[['Todd Graff', 'Screenwriter'], ['Todd Graff', 'Director'], ['Michael Nathanson', 'Producer'], ['Joseph Farrell', 'Producer'], ['Catherine Paura', 'Producer'], ['Broderick Johnson', 'Producer'], ['Timothy M. Bourne', 'Executive Producer'], ['Queen Latifah', 'Executive Producer'], ['Shakim Compere', 'Executive Producer'], ['Yolanda T. Cochran', 'Co-Producer'], ['Steven P. Wegner', 'Co-Producer'], ['David Boyd', 'Director of Photography'], ['Jeff Knipp', 'Production Designer'], ['Kathryn Himoff', 'Editor'], ['Tom Broecker', 'Costume Designer'], ['Linda Cohen', 'Casting'], ['Linda Cohen', 'Music Supervisor'], ['Mervyn Warren', 'Composer'], ['Timothy M. Bourne', 'Unit Production Manager'], ['Dale Williams', 'Unit Production Manager'], ['K.C. Hodenfield', 'First Assistant Director'], ['Karen Davis', 'Second Assistant Director'], ['Joe Cecchini', 'Associate Producer']]",2.76 (domestic box office/biggest weekend),99.3% (domestic box office/worldwide),"$40,608,104","$11,225,190 (36.3% of total gross)","$27,500,000 (worldwide box office is 1.1 times production budget)","2,735 opening theaters/2,735 max. theaters, 3.8 weeks average run per theater","January 13th, 2012 (Wide) by Warner Bros.","May 1st, 2012 by Warner Home Video","PG-13 for some language including a sexual reference.(Rating bulletin 2193, 10/12/2011)",118 minutes,vs. Mamma Mia!Create your own comparison chart…,Original Screenplay,Musical,Live Action,Contemporary Fiction,United States,English,"April 27th, 2012 (Wide) (Norway)
June 22nd, 2012 (Wide) (Finland)
June 29th, 2012 (Wide) (United Kingdom)
","African Americans, Gospel Music, Musicians, Death of a Spouse or Fiancée / Fiancé, Romance, Interracial Romance, Underdog","Alcon Entertainment, Farrell Paura Productions, O.N.C. Entertainment",,"$30,932,113","$225,801","$31,157,914","$12,912,602","$1,816,181","$14,728,783"
7,https://www.the-numbers.com/movie/We-need-to-Talk-About-Kevin,"['John C. Reilly', 'Tilda Swinton', 'Ezra Miller']","[['Lynne Ramsay', 'Director'], ['Lynne Ramsay', 'Screenwriter'], ['Lynne Ramsay', 'Executive Producer'], ['Rory Stewart Kinnear', 'Screenwriter'], ['Seamus McGarvey', 'Director of Photography'], ['Luc Roeg', 'Producer'], ['Jennifer Fox', 'Producer'], ['Bob Salerno', 'Robert Salerno'], ['Joe Bini', 'Editor'], ['Jonny Greenwood', 'Composer'], ['Judy Becker', 'Production Designer'], ['Catherine George', 'Costume Designer']]",11.09 (domestic box office/biggest weekend),16.2% (domestic box office/worldwide),"$2,282,573","$24,587 (1.4% of total gross)","$7,000,000 (worldwide box office is 1.5 times production budget)","1 opening theaters/80 max. theaters, 7.7 weeks average run per theater","December 9th, 2011 (Oscar Qualifying Run) by Oscilloscope PicturesJanuary 13th, 2012 (Limited) by Oscilloscope Pictures","May 29th, 2012 by Oscilloscope Video","R for disturbing violence and behavior, some sexuality and language",112 minutes,vs. BasquiatCreate your own comparison chart…,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"United Kingdom, United States",English,"January 27th, 2012 (Wide) (Brazil)
March 1st, 2012 (Wide) (New Zealand)
April 5th, 2012 (Wide) (Argentina)
April 12th, 2012 (Wide) (Denmark)
April 20th, 2012 (Wide) (Finland)
... Show all releases
","Dysfunctional Family, Spree Killer, Epilogue, Domestic Abuse, Mental Illness, Non-Chronological","Footprint Investments, Piccadilly Pictures, LypSync Productions, Artina Films, Rockinghorse Films",,"$1,738,692","$9,026,591","$10,765,283",,,
8,https://www.the-numbers.com/movie/Benvenuti-al-nord,[],[],,,,,,,,,,110 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Italy,Italian,"January 18th, 2012 (Limited), released as Welcome to the North (International name)
 (Italy)
",,"Cattleya, Medusa Film",,n/a,"$31,546,647","$31,546,647",,,
9,https://www.the-numbers.com/movie/Daensing-Kwin,[],[],,,,,,,,,,124 minutes,Create your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,Republic of Korea,Korean,"January 18th, 2012 (Limited), released as Dancing Queen (International name)
 (South Korea)
",,JK Film,,n/a,"$21,387,594","$21,387,594",,,
