,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones,[],"[['Christopher Landon', 'Director'], ['Christopher Landon', 'Screenwriter'], ['Oren Peli', 'Story Creator'], ['Jason Blum', 'Producer'], ['Oren Peli', 'Producer'], ['Steven Schneider', 'Executive Producer'], ['Gonzalo Amat', 'Director of Photography'], ['Nathan Amondson', 'Production Designer'], ['Gregory Plotkin', 'Editor'], ['Marylou Lim', 'Costume Designer']]","$18,343,611 (56.5% of total gross)",1.77 (domestic box office/biggest weekend),35.7% (domestic box office/worldwide),"$5,000,000 (worldwide box office is 18.2 times production budget)","2,867 opening theaters/2,883 max. theaters, 2.8 weeks average run per theater","$41,637,064","January 3rd, 2014 (Wide) by Paramount Pictures","January 23rd, 2014 (Limited) (Australia)
","April 8th, 2014 by Paramount Home Video","R for pervasive language, some violence, graphic nudity and some drug
use.(Rating bulletin 2302, 12/18/2013)",84 minutes,Paranormal Activity,vs. The ForestCreate your own comparison chart…,"Occult, Possessed, Found Footage, Filmed By a Character, Hispanic, Prologue, Intertitle, Supernatural, Supernatural Horror",Spin-Off,Horror,Live Action,Contemporary Fiction,"Blumhouse, Solana Films",United States,"English, Spanish","$32,462,372","$58,442,482","$90,904,854","$1,536,049","$1,024,488","$2,560,537"
1,https://www.the-numbers.com/movie/Tarzan-(2013),[],"[['Reinhard Klooss', 'Director']]",,,,,,,,"January 9th, 2014 (Wide), released as Tarzan 3D (South Korea)
","August 5th, 2015 by Lionsgate Home Entertainment","PG for action violence, peril, frightening images, mild language and thematic elements.(Rating bulletin 2314, 3/19/2014)",,,vs. The IncrediblesCreate your own comparison chart…,Motion Capture Performance,Based on Fiction Book/Short Story,Adventure,Digital Animation,Kids Fiction,,Germany,English,n/a,"$20,200,000","$20,200,000","$79,733","$35,142","$114,875"
2,https://www.the-numbers.com/movie/Demain-Tout-Commence-(France),[],[],,,,,,,,"January 10th, 2014 (Wide) (Germany)
December 7th, 2016 (Wide) (France)
January 13th, 2017 (Wide), released as Two is a Family (Russia (CIS))
January 26th, 2017 (Wide) (Netherlands)
February 24th, 2017 (Wide), released as I dva jsou rodina (Czech Republic)
... Show all releases
",,,118 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,"France, United Kingdom","English, French",n/a,"$49,070,099","$49,070,099",,,
3,https://www.the-numbers.com/movie/Her,"['Amy Adams', 'Rooney Mara', 'Olivia Wilde', 'Scarlett Johansson', 'Joaquin Phoenix']","[['Spike Jonze', 'Director'], ['Spike Jonze', 'Screenwriter'], ['Spike Jonze', 'Producer'], ['Vincent Landay', 'Producer'], ['Megan Ellison', 'Producer'], ['Daniel Lupi', 'Executive Producer'], ['Natalie Farrey', 'Executive Producer'], ['Chelsea Barnard', 'Executive Producer'], ['Hoyte Van Hoytema', 'Director of Photography'], ['K.K. Barrett', 'Production Designer'], ['Eric Zumbrunnen', 'Editor'], ['Jeff Buchanan', 'Editor'], ['Casey Storm', 'Costume Designer'], ['Arcade Fire*', 'Composer'], ['Arcade Fire*', 'Composer'], ['Ren Klyce', 'Sound Designer'], ['Ren Klyce', 'Music Supervisor'], ['Ellen Lewis', 'Casting Director'], ['Cassandra Kulukundis', 'Casting Director']]","$260,382 (1.0% of total gross)",4.78 (domestic box office/biggest weekend),53.2% (domestic box office/worldwide),"$23,000,000 (worldwide box office is 2.1 times production budget)","6 opening theaters/2,005 max. theaters, 3.7 weeks average run per theater","$32,703,568","December 18th, 2013 (Oscar Qualifying Run) by Warner Bros.January 10th, 2014 (Expands Wide) by Warner Bros.","February 7th, 2014 (Wide) (Finland)
February 21st, 2014 (Wide) (Spain)
May 22nd, 2014 (Wide) (South Korea)
June 28th, 2014 (Wide) (Japan)
November 28th, 2022 (Limited) (South Korea)
... Show all releases
","May 13th, 2014 by Warner Home Video","R for language, sexual content and brief graphic nudity.(Rating bulletin 2295, 10/23/2013)",119 minutes,,"Best Picture Oscar Nominees, 2014vs. About TimeCreate your own comparison chart…","Romance, Artificial Intelligence, Relationships Gone Wrong, Voiceover/Narration, Interspecies Romance, 2014 Oscars Best Picture Nominee, Romantic Drama",Original Screenplay,Drama,Live Action,Science Fiction,Annapurna Pictures,United States,English,"$25,568,251","$22,475,747","$48,043,998","$3,367,785","$3,374,168","$6,741,953"
4,https://www.the-numbers.com/movie/Legend-of-Hercules-The,"['Scott Adkins', 'Liam McIntyre', 'Liam Garrigan', 'Johnathon Schaech', 'Roxanne McKee', 'Gaia Weiss', 'Rade Serbedzija', 'Kellan Lutz']","[['Renny Harlin', 'Director'], ['Daniel Giat', 'Screenwriter'], ['Sean Hood', 'Screenwriter'], ['Danny Lerner', 'Producer'], ['Les Weldon', 'Producer'], ['Boaz Davidson', 'Producer'], ['Renny Harlin', 'Producer'], ['Avi Lerner', 'Executive Producer'], ['Trevor Short', 'Executive Producer'], ['John Thompson', 'Executive Producer'], ['Sam McCurdy', 'Director of Photography'], ['Luca Tranchino', 'Production Designer'], ['Vincent Tabaillon', 'Editor'], ['Sonu Mishra', 'Costume Designer'], ['Tuomas Kantelinen', 'Composer'], ['Kate Dowd', 'Casting Director']]","$8,868,318 (47.1% of total gross)",2.13 (domestic box office/biggest weekend),32.0% (domestic box office/worldwide),"$70,000,000 (worldwide box office is 0.8 times production budget)","2,104 opening theaters/2,104 max. theaters, 3.2 weeks average run per theater","$24,108,589","January 10th, 2014 (Wide) by Lionsgate",,"April 29th, 2014 by Summit Home Video","PG-13 for sequences of intense combat action and violence, and for some sensuality.(Rating bulletin 2302, 12/18/2013)",98 minutes,,vs. Blade Runner 2049Create your own comparison chart…,"Gods and Goddesses, Royalty, Slavery, Political, Romance, Forbidden Romance, 3-D, 3-D - Shot in 3-D, Sword and Sandal",Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,Fantasy,"Millennium Films, Summit Entertainment, Nu Boyana",United States,English,"$18,848,538","$40,104,781","$58,953,319","$8,332,790","$4,537,132","$12,869,922"
5,https://www.the-numbers.com/movie/Devils-Due,"['Zach Gilford', 'Allison Miller']","[['Matt Bettinelli-Olpin', 'Director'], ['Tyler Gillett', 'Director'], ['Lindsay Devlin', 'Screenwriter'], ['John Davis', 'Producer'], ['Chad Villella', 'Executive Producer'], ['Justin Martinez', 'Executive Producer'], ['James Dodson', 'Executive Producer'], ['Brittany Morrissey', 'Executive Producer'], ['Andrea von Foerster', 'Music Supervisor']]","$8,308,220 (52.5% of total gross)",1.90 (domestic box office/biggest weekend),43.8% (domestic box office/worldwide),"$7,000,000 (worldwide box office is 5.2 times production budget)","2,544 opening theaters/2,544 max. theaters, 2.8 weeks average run per theater","$20,236,749","January 17th, 2014 (Wide) by 20th Century Fox","January 29th, 2014 (Wide) (Egypt)
June 13th, 2014 (Wide) (Venezuela)
","April 29th, 2014 by Fox Home Entertainment","R for language and some bloody images.(Rating bulletin 2301, 12/11/2013)",89 minutes,,vs. CountdownCreate your own comparison chart…,"Newlyweds, Found Footage, Troubled Pregnancy or Miscarriage, Unexpected Pregnancy, Occult, Filmed By a Character, Body Horror",Original Screenplay,Horror,Live Action,Fantasy,Davis Entertainment,United States,English,"$15,821,461","$20,324,626","$36,146,087","$2,582,044","$1,421,774","$4,003,818"
6,https://www.the-numbers.com/movie/Jack-Ryan-Shadow-Recruit,"['Kenneth Branagh', 'Chris Pine', 'Kevin Costner', 'Keira Knightley']","[['Kenneth Branagh', 'Director'], ['Adam Cozad', 'Screenwriter'], ['David Koepp', 'Screenwriter'], ['Tom Clancy', 'Character Creator'], ['Lorenzo di Bonaventura', 'Producer'], ['Mace Neufeld', 'Producer'], ['David Barron', 'Producer'], ['Mark Vahradian', 'Producer'], ['David Ellison', 'Executive Producer'], ['Dana Goldberg', 'Executive Producer'], ['Paul Schwake', 'Executive Producer'], ['Haris Zambarloukos', 'Director of Photography'], ['Andrew Laws', 'Production Designer'], ['Martin Walsh', 'Editor'], ['Jill Taylor', 'Costume Designer'], ['Patrick Doyle', 'Composer']]","$15,451,981 (30.6% of total gross)",3.27 (domestic box office/biggest weekend),38.5% (domestic box office/worldwide),"$60,000,000 (worldwide box office is 2.2 times production budget)","3,387 opening theaters/3,387 max. theaters, 4.4 weeks average run per theater","$64,692,031","January 17th, 2014 (Wide) by Paramount PicturesJanuary 17th, 2014 (IMAX) by Paramount Pictures","January 22nd, 2014 (Wide) (Egypt)
","June 10th, 2014 by Paramount Home Video","PG-13 for sequences of violence and intense action, and brief strong language.(Rating bulletin 2303, 12/24/2013)",105 minutes,Jack Ryan,vs. London Has FallenCreate your own comparison chart…,"Secret Agent, Terrorism, Cold War, Delayed Sequel, Sequel With Lead Character Recast, Reboot, Directing Yourself, Digital Cinematography, 9/11, Intertitle, Returning Soldiers, Medical and Hospitals, Romance, Relationships Gone Wrong, Wall Street, Faked Death, IMAX: DMR",Original Screenplay,Action,Live Action,Contemporary Fiction,"Skydance Productions, di Bonaventura Pictures, Mace Neufeld",United States,English,"$50,577,412","$80,800,000","$131,377,412","$8,083,551","$8,287,013","$16,370,564"
7,https://www.the-numbers.com/movie/Nut-Job-The,"['Brendan Fraser', 'Gabriel Iglesias', 'Jeff Dunham', 'Liam Neeson', 'Katherine Heigl', 'Stephen Lang', 'Sarah Gadon', 'Will Arnett']","[['Peter Lepeniotis', 'Director'], ['Lorne Cameron', 'Screenwriter'], ['Peter Lepeniotis', 'Screenwriter'], ['Daniel Woo', 'Story Creator'], ['Peter Lepeniotis', 'Story Creator'], ['WooKyung Jung', 'Producer'], ['Graham Moloy', 'Producer'], ['Daniel Woo', 'Executive Producer'], ['Hong Kim', 'Executive Producer'], ['Jay Ahn', 'Executive Producer'], ['Mike Karz', 'Executive Producer'], ['William Bindley', 'Executive Producer'], ['Hoejin Ha', 'Executive Producer'], ['Tom Yoon', 'Executive Producer'], ['Hyungkon Kim', 'Executive Producer'], ['Paul Hunter', 'Editor'], ['Paul Intson', 'Composer']]","$19,405,000 (30.2% of total gross)",3.31 (domestic box office/biggest weekend),52.4% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 4.1 times production budget)","3,427 opening theaters/3,472 max. theaters, 5.7 weeks average run per theater","$82,182,196","January 17th, 2014 (Wide) by Open Road","May 1st, 2014 (Wide) (Estonia)
May 2nd, 2014 (Wide) (Latvia)
May 9th, 2014 (Wide) (Lithuania)
May 15th, 2014 (Wide) (Croatia)
June 5th, 2014 (Wide) (Serbia and Montenegro)
... Show all releases
","April 15th, 2014 by Universal Home Entertainment","PG for mild action and rude humor.(Rating bulletin 2298, 11/13/2013)",86 minutes,The Nut Job,vs. The Nut Job 2: Nutty by NatureCreate your own comparison chart…,"3-D, Heist, Animal Lead, Talking Animals, Food, Voiceover/Narration, Director Remaking Their Own Movie, Surprise Twist, Scene in End Credits, Epilogue, 3-D - Shot in 3-D",Based on Short Film,Adventure,Digital Animation,Kids Fiction,"Redrover, Toonbox Entertainment, Gulfstream Pictures, Ministry of Culture, Sports and Tourism of the Republic of Korea, Korean Small and Medium Business Administration, Korea Venture Investment Corp.","Canada, Republic of Korea",English,"$64,251,538","$58,278,428","$122,529,966","$15,465,527","$9,046,159","$24,511,686"
8,https://www.the-numbers.com/movie/Ride-Along,"['Ice Cube', 'Kevin Hart']","[['Tim Story', 'Director'], ['Greg Coolidge', 'Screenwriter'], ['Jason Mantzoukas', 'Screenwriter'], ['Phil Hay', 'Screenwriter'], ['Matt Manfredi', 'Screenwriter'], ['Greg Coolidge', 'Story Creator'], ['Will Packer', 'Producer'], ['Ice Cube', 'Producer'], ['Matt Alvarez', 'Producer'], ['Larry Brezner', 'Producer'], ['Nicolas Stern', 'Executive Producer'], ['Ron Muhammad', 'Executive Producer'], ['Chris Bender', 'Executive Producer'], ['J.C. Spink', 'Executive Producer'], ['Chris Cornwell', 'Production Designer'], ['Craig Alpert', 'Editor'], ['Christopher Lennertz', 'Composer'], ['Larry Blanford', 'Director of Photography']]","$41,516,170 (30.9% of total gross)",3.23 (domestic box office/biggest weekend),87.3% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 6.1 times production budget)","2,663 opening theaters/2,867 max. theaters, 7.5 weeks average run per theater","$171,654,438","January 17th, 2014 (Wide) by Universal",,"April 15th, 2014 by Universal Home Entertainment","PG-13 for sequences of violence, sexual content and brief strong language.(Rating bulletin 2275, 6/5/2013)",100 minutes,Ride Along,vs. Central IntelligenceCreate your own comparison chart…,"African Americans, Buddy Cop, In-Laws / Future In-Laws, Undercover, Organized Crime, Corrupt Cops, Fantasy Sequence, Intertitle, Epilogue",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Cube Vision, Rainforest Films, Relativity Media",United States,"English, Serbian","$134,202,565","$19,531,235","$153,733,800","$21,352,772","$10,874,735","$32,227,507"
9,https://www.the-numbers.com/movie/Chong-fan-20-sui-(China)(2014),[],"[['Hwang Dong-hyuk', 'Director']]",,,,,,,"January 24th, 2014 (Limited) by CJ Entertainment, released as Miss Granny","January 6th, 2015 (Wide) (China)
January 8th, 2015 (Limited), released as 20, Once Again! (New Zealand)
January 23rd, 2015 (Wide) (Hong Kong)
January 23rd, 2015 (Wide) (Taiwan)
",,Not Rated,125 minutes,,Create your own comparison chart…,"Autumn Years, Body Swap, False Identity, Singers, Missing Person, Romance, Heavy Metal, Medical and Hospitals, Nursing Home",Remake,Romantic Comedy,Live Action,Fantasy,Yeinplus Entertainment,Republic of Korea,"Korean, Mandarin",n/a,"$58,100,000","$58,100,000",,,
