,url,cast,crew,Production Budget:,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Franchise:,Domestic Releases:,Video Release:,MPAA Rating:,Keywords:,Production/Financing Companies:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/8-novykh-svidaniy,[],"[['Marius Balchunas', 'Director']]",,,,,,,"January 1st, 2015 (Wide) (Russia (CIS))
",86 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Fantasy,Russian Federation,Russian,,,,,,,n/a,"$5,977,612","$5,977,612",,,
1,https://www.the-numbers.com/movie/Babysitting-(France)(2014),[],[],"$3,400,000 (worldwide box office is 7.2 times production budget)",,,,,,"January 2nd, 2015 (Wide) (Spain)
",85 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,France,French,,,,,,,n/a,"$24,564,100","$24,564,100",,,
2,https://www.the-numbers.com/movie/Mucize-(Turkey)-(2015),[],"[['Mahsun Kirmizigül', 'Director']]",,,,,,,"January 2nd, 2015 (Wide) (Turkey)
",136 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,Turkey,Turkish,The Miracle,,,,,,n/a,"$15,301,749","$15,301,749",,,
3,https://www.the-numbers.com/movie/Si-accettano-miracoli-(Italy)-(2015),[],"[['Alessandro Siani', 'Director']]",,,,,,,"January 2nd, 2015 (Wide) (Italy)
",110 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,,Italy,,,,,,,,n/a,"$17,368,660","$17,368,660",,,
4,https://www.the-numbers.com/movie/Taken-3,"['Forest Whitaker', 'Famke Janssen', 'Maggie Grace', 'Dougray Scott', 'Sam Spruell', 'Leland Orser', 'Liam Neeson']","[['Olivier Magaton', 'Director'], ['Luc Besson', 'Screenwriter'], ['Robert Mark Kamen', 'Screenwriter'], ['Luc Besson', 'Producer'], ['Fernando Victoria de Lecea', 'Executive Producer'], ['Eric Kress', 'Director of Photography'], ['Sebastien Inizan', 'Production Designer'], ['Nathaniel Mechaly', 'Composer'], ['Olivier Beriot', 'Costume Designer']]","$48,000,000 (worldwide box office is 6.8 times production budget)","$39,201,657 (43.9% of total gross)",2.28 (domestic box office/biggest weekend),27.2% (domestic box office/worldwide),"3,594 opening theaters/3,594 max. theaters, 4.6 weeks average run per theater","$110,644,088","January 2nd, 2015 (Wide) (Hong Kong)
January 2nd, 2015 (Wide) (South Korea)
January 8th, 2015 (Wide) (Australia)
January 8th, 2015 (Wide) (United Kingdom)
January 9th, 2015 (Wide) (Germany)
... Show all releases
",118 minutes,vs. TakenCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,France,English,Taken,"January 9th, 2015 (Wide) by 20th Century Fox","March 31st, 2015 by Fox Home Entertainment","PG-13 for intense sequences of violence and action, and for brief strong language.(Rating bulletin 2349, 11/19/2014)","Death of a Spouse or Fiancée / Fiancé, Framed, Fugitive / On the Run, Revenge, Divorced Couple Falling Back in Love, Digital Cinematography, 3-D, 3-D - Post-production Conversion, IMAX: DMR","EuropaCorp, Canal Plus, M6 Films","$89,256,424","$238,400,000","$327,656,424","$14,216,005","$8,645,046","$22,861,051"
5,https://www.the-numbers.com/movie/Three-Heroes-Horseback-(Russia),[],"[['Konstantin Feoktistov', 'Director']]",,,,,,,"January 2nd, 2015 (Wide) (Russia (CIS))
",75 minutes,Create your own comparison chart…,Original Screenplay,Adventure,Digital Animation,Kids Fiction,Russian Federation,Russian,,,,,,,n/a,"$12,909,250","$12,909,250",,,
6,https://www.the-numbers.com/movie/Une-heure-de-tranquillite-(France)-(2014),[],"[['Patrice Leconte', 'Director']]",,,,,,,"January 2nd, 2015 (Wide) (France)
April 17th, 2015 (Wide) (Germany)
June 26th, 2015 (Wide) (Spain)
October 30th, 2015 (Wide) (Italy)
November 6th, 2015 (Wide) (Russia (CIS))
... Show all releases
",79 minutes,Create your own comparison chart…,,Comedy,,,France,,,,,,,,n/a,"$8,482,884","$8,482,884",,,
7,https://www.the-numbers.com/movie/Woman-in-Black-2-Angel-of-Death-The-(2015),"['Phoebe Fox', 'Jeremy Irvine', 'Helen McCrory', 'Adrian Rawlins', 'Ned Dennehy', 'Leanne Best']","[['Tom Harper', 'Director'], ['Jon Croker', 'Screenwriter'], ['Tobin Armbrust', 'Producer'], ['Simon Oakes', 'Producer'], ['Ben Holden', 'Producer'], ['Richard Jackson', 'Producer'], ['Susan Hill', 'Story Creator'], ['Marc Schipper', 'Executive Producer'], ['Guy East', 'Executive Producer'], ['Nigel Sinclair', 'Executive Producer'], ['Neil Dunn', 'Executive Producer'], ['Graeme Witts', 'Executive Producer'], ['Xavier Marchand', 'Executive Producer'], ['Roy Lee', 'Executive Producer'], ['Richard Toussaint', 'Executive Producer'], ['Wade Barker', 'Executive Producer'], ['Ryan Kavanaugh', 'Executive Producer'], ['Tucker Tooley', 'Executive Producer'], ['Jacqueline Abrahams', 'Production Designer'], ['Mark Eckersley', 'Editor'], ['Marco Beltrami', 'Composer'], ['Marcus Trumpp', 'Composer'], ['Brandon Roberts', 'Composer'], ['Annie Symons', 'Costume Designer'], ['Cate Hall', 'Make-up and Hair Designer'], ['Julie Harkin', 'Casting Director']]",,"$15,027,415 (56.7% of total gross)",1.76 (domestic box office/biggest weekend),58.9% (domestic box office/worldwide),"2,602 opening theaters/2,602 max. theaters, 2.9 weeks average run per theater","$33,444,389","January 2nd, 2015 (Wide) (United Kingdom)
January 16th, 2015 (Wide) (France)
January 16th, 2015 (Wide) (Russia (CIS))
January 23rd, 2015 (Wide) (Mexico)
January 30th, 2015 (Wide) (Brazil)
... Show all releases
",98 minutes,vs. The ForestCreate your own comparison chart…,Original Screenplay,Horror,Live Action,Fantasy,United States,English,The Woman in Black,"January 2nd, 2015 (Wide) by Relativity","March 31st, 2015 by Fox Home Entertainment","PG-13 for some disturbing and frightening images, and for thematic elements.(Rating bulletin 2345, 10/22/2014)","Haunting, Demons, World War II, Haunted House, Set in England, Supernatural, Supernatural Horror, Sequels Without Their Original Stars, 1940s","Talisman, Hammer Films","$26,501,323","$18,505,369","$45,006,692","$1,893,225","$753,545","$2,646,770"
8,https://www.the-numbers.com/movie/Bana-Masal-Anlatma-(Turkey)-(2015),[],"[['Burak Aksak', 'Director']]",,,,,,,"January 9th, 2015 (Wide) (Turkey)
",103 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Fantasy,Turkey,,,,,,,,n/a,"$6,740,968","$6,740,968",,,
9,https://www.the-numbers.com/movie/Loucas-pra-Casar-(Brazil)(2014),[],[],,,,,,,"January 9th, 2015 (Wide) (Brazil)
",108 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Brazil,Portuguese,,,,,,,n/a,"$15,918,808","$15,918,808",,,
10,https://www.the-numbers.com/movie/Seinto-Seiya-Legend-of-Sanctuary,[],[],,,,,,,"January 9th, 2015 (Wide) (Italy)
February 27th, 2015 (Wide) (France)
March 6th, 2015 (Wide) (Spain)
February 26th, 2016 (Wide), released as Saint Seiya: Legend of Sanctuary (China)
",93 minutes,Create your own comparison chart…,Original Screenplay,Action,Digital Animation,Fantasy,Japan,Japanese,,,,,,,n/a,"$7,851,441","$7,851,441",,,
