,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Franchise:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Video Release:,Production/Financing Companies:,Domestic Releases:,MPAA Rating:,Keywords:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Ivan-Tsarevich-i-Seryy-Volk-3,[],"[['Darina Schmidt', 'Director']]",,,,,,,"January 1st, 2016 (Wide) (Russia (CIS))
",76 minutes,Ivan Tsarevich i Seryy Volk,Create your own comparison chart…,Original Screenplay,Adventure,Digital Animation,Kids Fiction,Russian Federation,Russian,,,,,,n/a,"$9,775,063","$9,775,063",,,
1,https://www.the-numbers.com/movie/Kocan-Kadar-Konus-Dirilis,[],"[['Kivanc Baruonu', 'Director']]",,,,,,,"January 1st, 2016 (Wide) (Turkey)
January 7th, 2016 (Wide) (Germany)
January 8th, 2016 (Wide) (Austria)
January 8th, 2016 (Wide), released as Kocan Kadar Konus: Dirilis (United Kingdom)
",,Kocan Kadar Konus,Create your own comparison chart…,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,Turkey,Turkish,"March 10th, 2017 by Netflix",,,,,n/a,"$6,174,554","$6,174,554",,,
2,https://www.the-numbers.com/movie/Mafiya-Igra-na-vyzhivanie-(Russia),[],[],,,,,,,"January 1st, 2016 (Wide) (Russia (CIS))
October 14th, 2016 (Wide), released as Mafia: Survival Game (China)
",91 minutes,,Create your own comparison chart…,Original Screenplay,Action,Live Action,Science Fiction,Russian Federation,Russian,,,,,,n/a,"$7,313,343","$7,313,343",,,
3,https://www.the-numbers.com/movie/Quo-Vado,[],"[['Gennaro Nunziante', 'Director']]",,,,,,,"January 1st, 2016 (Wide) (Italy)
April 22nd, 2016 (Wide) (United Kingdom)
July 29th, 2016 (Wide) (Argentina)
August 12th, 2016 (Wide) (Portugal)
August 12th, 2016 (Wide) (Russia (CIS))
... Show all releases
",,,vs. Call Me by Your NameCreate your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Italy,Italian,,,,,,n/a,"$73,838,483","$73,838,483",,,
4,https://www.the-numbers.com/movie/Sherlock-The-Abominable-Bride,[],"[['Douglas Mackinnon', 'Director']]",,,,,,,"January 1st, 2016 (Limited) (Australia)
January 1st, 2016 (Wide) (New Zealand)
January 1st, 2016 (Wide) (South Korea)
January 1st, 2016 (Wide) (United Kingdom)
January 2nd, 2016 (Wide) (Hong Kong)
... Show all releases
",,,Create your own comparison chart…,Based on TV,Drama,Live Action,Fantasy,United Kingdom,English,,"BBC Wales, Masterpiece PBS, Hartswood Films",,,,n/a,"$39,111,922","$39,111,922",,,
5,https://www.the-numbers.com/movie/Xiao-men-shen-(China)-(2016),[],[],,,,,,,"January 1st, 2016 (Wide) (China)
",103 minutes,,Create your own comparison chart…,Based on Fiction Book/Short Story,Comedy,Digital Animation,Fantasy,China,Mandarin,"September 1st, 2017 by Netflix, released as The Guardian Brothers",,,,,n/a,"$11,902,156","$11,902,156",,,
6,https://www.the-numbers.com/movie/10-Cloverfield-Lane,"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher, Jr.']","[['Dan Trachtenberg', 'Director'], ['Josh Campbell', 'Screenwriter'], ['Matt Stuecken', 'Screenwriter'], ['Damien Chazelle', 'Screenwriter'], ['Josh Campbell', 'Story by'], ['Matt Stuecken', 'Story by'], ['J.J. Abrams', 'Producer'], ['Lindsey Weber', 'Producer'], ['Bryan Burk', 'Executive Producer'], ['Drew Goddard', 'Executive Producer'], ['Matt Reeves', 'Executive Producer'], ['Robert J. Dohrmann', 'Co-Producer'], ['Jon Cohen', 'Co-Producer'], ['Jeff Cutter', 'Director of Photography'], ['Ramsey Avery', 'Production Designer'], ['Stefan Grube', 'Editor'], ['Meagan McLaughlin Luster*', 'Costume Designer'], ['Bear McCreary', 'Composer']]","$24,727,437 (34.3% of total gross)",2.92 (domestic box office/biggest weekend),66.6% (domestic box office/worldwide),"$15,000,000 (worldwide box office is 7.2 times production budget)","3,391 opening theaters/3,427 max. theaters, 4.9 weeks average run per theater","$87,082,922","January 4th, 2016 (Wide) (Lithuania)
March 10th, 2016 (Wide) (Denmark)
March 10th, 2016 (Wide) (Netherlands)
March 11th, 2016 (Wide) (Australia)
March 11th, 2016 (Wide) (New Zealand)
... Show all releases
",103 minutes,Cloverfield,vs. Don’t BreatheCreate your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"May 31st, 2016 by Paramount Home Video","Bad Robot, Paramount Pictures","March 11th, 2016 (Wide) by Paramount Pictures","PG-13 for thematic material including frightening sequences of threat with some violence, and brief language.(Rating bulletin 2414 (Cert #50291), 3/2/2016)","Kidnap, Post Apocalypse, Escape, Survivalist, Car Accident, One Location, Secret Sequel, Psychological Thriller, IMAX: DMR","$72,082,999","$36,203,423","$108,286,422","$3,621,109","$4,670,240","$8,291,349"
7,https://www.the-numbers.com/movie/Quackerz,"['Enn Reitel', 'Jesse Corti', 'Bruce Nozick', 'Mark DeCarlo', 'Andrea Becker', 'Amy Margolis', 'Joshua J. Greene', 'Evelina Bledans', 'Robbie Daymond', 'Michael Gross']","[['Viktor Lakisov', 'Director'], ['Viktor Lakisov', 'Screenwriter'], ['Bob Underwood', 'Screenwriter'], ['Vadim Sveshnikov', 'Screenwriter'], ['John Mickevich', 'Screenwriter'], ['Ruben Atoyan', 'Producer'], ['Oksana Brovchenko', 'Producer'], ['Vsevolod Zorin', 'Producer-General Producer'], ['Dmitry Noskov', 'Composer'], ['Aleksandr Khramtsov', 'Art Director']]",,,,,,,"January 4th, 2016 (Wide) (Lithuania)
February 19th, 2016 (Wide), released as КРЯКНУТЫЕ КАНИКУЛЫ (Russia (CIS))
July 15th, 2016 (Wide), released as Sun Duck (China)
November 11th, 2016 (Wide), released as Квакъри (Bulgaria)
November 11th, 2016 (Wide), released as Zakwakani (Poland)
... Show all releases
",81 minutes,,Create your own comparison chart…,Original Screenplay,Adventure,Digital Animation,Kids Fiction,"China, Russian Federation, United States","English, Russian","June 14th, 2016 by Cinedigm",Rome Animation,"June 3rd, 2016 (Limited) by Shout! Factory","PG for rude and suggestive humor, and some action.(Rating bulletin 2414 (Cert #50314), 3/2/2016)","Romeo and Juliet Romance, Animal Lead, Talking Animals, Supernatural, Witches",n/a,"$4,946,941","$4,946,941","$26,763","$43,343","$70,106"
8,https://www.the-numbers.com/movie/Sadako-vs-Kayako-(Japan),[],[],,,,,,,"January 4th, 2016 (Wide), released as Sadako vs Kayako (South Korea)
June 17th, 2016 (Wide) (Japan)
July 15th, 2016 (Wide) (Russia (CIS))
June 2nd, 2017 (Wide), released as El Aro vs La Maldición (Mexico)
",98 minutes,,Create your own comparison chart…,Original Screenplay,Horror,Live Action,Contemporary Fiction,Japan,Japanese,,,,,,n/a,"$9,075,247","$9,075,247",,,
9,https://www.the-numbers.com/movie/Calgi-Cengi-Ikimiz-(Turkey),[],[],,,,,,,"January 6th, 2016 (Limited), released as Calgi Cengi Ikimiz (United Kingdom)
January 6th, 2017 (Wide) (Turkey)
",116 minutes,,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Turkey,Turkish,,,,,,n/a,"$9,201,138","$9,201,138",,,
